"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1001,vt3_Huissi,2020/04/01,1,"11 HA-PA",,,2,3,6,23,51,29,21,20,20,18,25,28,28,36,49,41,25,19,14,6,6,5
1001,vt3_Huissi,2020/04/01,1,"12 KAIP",,,,,1,1,2,2,2,2,2,2,3,2,1,,1,1,1,,,1,,
1001,vt3_Huissi,2020/04/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,1,,,,
1001,vt3_Huissi,2020/04/01,1,"14 KAPP",,,,,,1,,1,1,,4,2,1,1,2,2,1,3,,,,,1,
1001,vt3_Huissi,2020/04/01,1,"15 KATP",2,2,3,2,1,2,1,4,4,5,2,7,4,5,1,6,2,4,3,4,2,3,,2
1001,vt3_Huissi,2020/04/01,1,"16 HA + PK",,,,,1,,2,2,2,1,,,1,2,1,,3,3,,1,1,1,,
1001,vt3_Huissi,2020/04/01,1,"17 HA + AV",,,,,,,1,,,,1,,1,,,1,,,,,,1,,
1001,vt3_Huissi,2020/04/01,2,"11 HA-PA",3,,,3,3,7,17,23,20,22,20,28,28,21,49,53,63,26,22,23,15,14,8,8
1001,vt3_Huissi,2020/04/01,2,"12 KAIP",,,,,,,2,2,2,2,4,2,1,2,2,2,1,1,,1,1,,,
1001,vt3_Huissi,2020/04/01,2,"13 Linja-autot",,,,,,1,,,,,,1,,,1,,,,1,,,,,
1001,vt3_Huissi,2020/04/01,2,"14 KAPP",,,,,,,,1,,2,1,1,2,2,5,,,,,1,2,,,
1001,vt3_Huissi,2020/04/01,2,"15 KATP",1,,,2,2,1,5,1,6,8,6,8,3,8,11,7,5,6,5,7,4,2,,
1001,vt3_Huissi,2020/04/01,2,"16 HA + PK",,,,,,,,,,,,3,3,2,3,2,4,1,1,2,,1,,
1001,vt3_Huissi,2020/04/01,2,"17 HA + AV",,,,,,,1,,,,,1,1,1,,,,1,,,,,,
