"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1046,kt67_Teuva,2020/04/01,1,"11 HA-PA",3,,,2,3,15,36,46,35,35,33,49,40,55,59,101,82,51,46,27,15,14,13,3
1046,kt67_Teuva,2020/04/01,1,"12 KAIP",,,,,,,1,3,2,3,1,3,3,4,,3,3,3,1,2,1,,,
1046,kt67_Teuva,2020/04/01,1,"13 Linja-autot",,,,,,,,,1,,,,,,,,,,,,,,,
1046,kt67_Teuva,2020/04/01,1,"14 KAPP",,,,,,,,,1,1,3,1,2,1,1,,1,2,,,,,,
1046,kt67_Teuva,2020/04/01,1,"15 KATP",1,,,2,2,3,4,7,4,11,5,4,6,6,6,7,5,4,4,2,1,1,1,1
1046,kt67_Teuva,2020/04/01,1,"16 HA + PK",,,,,,,,,1,3,,1,4,,1,2,2,1,,,2,1,,
1046,kt67_Teuva,2020/04/01,1,"17 HA + AV",,,,,,,,,,2,,1,,,,,1,1,3,,,,,
1046,kt67_Teuva,2020/04/01,2,"11 HA-PA",2,,,1,,36,75,51,27,39,52,47,43,63,57,71,57,59,30,29,14,18,8,3
1046,kt67_Teuva,2020/04/01,2,"12 KAIP",,,,,1,3,4,7,1,6,1,3,3,2,1,1,1,1,,,,3,1,
1046,kt67_Teuva,2020/04/01,2,"13 Linja-autot",,,,1,,,,,,,,,,,,,,,,,,,,
1046,kt67_Teuva,2020/04/01,2,"14 KAPP",,,,,,1,,,3,,,,3,4,2,1,1,1,,,,,,
1046,kt67_Teuva,2020/04/01,2,"15 KATP",1,,1,1,3,1,2,11,7,8,9,6,6,3,3,5,2,4,1,6,1,3,,2
1046,kt67_Teuva,2020/04/01,2,"16 HA + PK",,,,,,,,,,,5,,3,4,1,1,1,2,,,,,,
1046,kt67_Teuva,2020/04/01,2,"17 HA + AV",,,,,,,,,1,4,1,1,1,,,1,,,1,,,,,
1046,kt67_Teuva,2020/04/02,1,"11 HA-PA",4,,,2,2,15,41,43,24,37,28,39,34,46,58,90,88,48,39,28,29,20,6,2
1046,kt67_Teuva,2020/04/02,1,"12 KAIP",,,,,1,1,,6,4,1,3,2,2,2,6,3,,2,2,1,1,,,
1046,kt67_Teuva,2020/04/02,1,"13 Linja-autot",,,,,,,,,2,,,,,,,,1,,,,,,,
1046,kt67_Teuva,2020/04/02,1,"14 KAPP",,,,,,,,4,1,,1,1,1,1,,3,1,1,,1,,,,
1046,kt67_Teuva,2020/04/02,1,"15 KATP",,1,1,1,,2,1,7,1,3,6,3,5,7,5,6,10,7,1,3,4,3,2,2
1046,kt67_Teuva,2020/04/02,1,"16 HA + PK",,,,,,,,2,,3,2,3,,2,1,1,3,2,1,,,,1,
1046,kt67_Teuva,2020/04/02,1,"17 HA + AV",,,,,,,,,,,1,,,,,,1,,,1,,,,
1046,kt67_Teuva,2020/04/02,2,"11 HA-PA",2,1,,1,1,37,71,52,24,37,36,41,49,49,43,82,56,67,33,21,13,20,4,4
1046,kt67_Teuva,2020/04/02,2,"12 KAIP",,,,,1,3,2,6,2,5,4,3,2,1,2,2,2,,1,2,2,,1,1
1046,kt67_Teuva,2020/04/02,2,"14 KAPP",,,,,,,1,,1,,1,1,,2,,3,,,,2,,1,,
1046,kt67_Teuva,2020/04/02,2,"15 KATP",1,3,,1,1,2,5,4,4,6,6,4,5,3,5,7,3,5,2,4,4,3,1,1
1046,kt67_Teuva,2020/04/02,2,"16 HA + PK",,,,,,,1,,1,1,2,4,2,1,1,2,1,2,1,1,,1,,1
1046,kt67_Teuva,2020/04/02,2,"17 HA + AV",,,,,,,,,,,,,,1,,1,,,1,,,,,
1046,kt67_Teuva,2020/04/03,1,"11 HA-PA",3,1,,2,2,11,35,42,29,27,27,38,57,56,81,81,81,45,41,42,24,18,8,7
1046,kt67_Teuva,2020/04/03,1,"12 KAIP",,,,1,1,1,2,,3,3,5,5,2,5,1,2,5,1,,,,,,
1046,kt67_Teuva,2020/04/03,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,,,,,,,,
