"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,1,"11 HA-PA",10,3,5,4,16,51,91,147,109,139,127,177,168,200,227,416,433,251,173,124,111,74,38,24
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,1,"12 KAIP",,1,1,,,1,7,15,23,22,18,15,18,14,14,8,2,7,4,8,5,1,2,
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,1,"13 Linja-autot",,,,,,,,,,,1,,1,,2,2,,1,,,,,,
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,1,"14 KAPP",1,,1,1,,,1,3,6,5,,3,5,10,4,5,4,5,3,1,1,,1,
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,1,"15 KATP",1,2,,4,1,2,7,10,11,10,8,12,11,15,13,15,11,6,7,11,4,6,4,3
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,1,"16 HA + PK",,,,,,,1,4,3,3,6,9,12,14,6,6,5,11,13,4,1,1,2,
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,1,"17 HA + AV",,,,,,,1,1,1,,,1,,,2,1,1,1,1,,,,1,
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,2,"11 HA-PA",4,3,3,2,7,33,202,279,217,146,160,152,140,175,185,215,204,145,130,121,95,43,35,13
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,2,"12 KAIP",,1,,,,1,4,8,8,10,9,8,9,10,11,9,3,2,3,3,,2,,
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,2,"13 Linja-autot",,,,,,2,1,3,1,1,1,1,3,1,,,2,1,,,,,,
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,2,"14 KAPP",,,,,,,1,,1,,2,4,1,1,3,4,1,3,3,1,,,,
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,2,"15 KATP",3,,1,,,,6,17,10,14,6,12,18,21,19,6,14,9,8,4,12,5,3,
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,2,"16 HA + PK",,,,,,1,6,14,14,14,8,12,17,14,5,11,9,8,10,3,5,4,,
1066,vt8_Mustasaari_Lintuvuori,2020/04/01,2,"17 HA + AV",,1,,,,1,,2,4,2,2,4,4,1,3,1,1,2,,,,,,
1066,vt8_Mustasaari_Lintuvuori,2020/04/02,1,"11 HA-PA",13,3,6,2,9,46,106,140,115,121,133,162,171,220,262,387,420,269,178,143,120,59,40,31
1066,vt8_Mustasaari_Lintuvuori,2020/04/02,1,"12 KAIP",1,1,1,,,4,12,17,17,15,21,20,22,23,24,14,4,7,7,3,4,1,2,
1066,vt8_Mustasaari_Lintuvuori,2020/04/02,1,"13 Linja-autot",,,,,,,,,,,,,2,,1,1,,1,1,,,,,
1066,vt8_Mustasaari_Lintuvuori,2020/04/02,1,"14 KAPP",3,,,,1,2,3,6,,5,6,4,1,3,2,3,3,7,2,2,2,1,,2
1066,vt8_Mustasaari_Lintuvuori,2020/04/02,1,"15 KATP",5,4,5,1,4,6,6,22,16,11,10,13,12,12,18,13,10,11,7,4,2,5,7,5
1066,vt8_Mustasaari_Lintuvuori,2020/04/02,1,"16 HA + PK",,,,,,1,2,6,4,3,10,6,12,6,11,12,10,11,8,4,6,,,1
