"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
117,vt1_Munkkiniemi,2020/04/01,1,"11 HA-PA",35,21,17,8,24,67,272,508,468,425,456,550,576,642,816,1409,1134,840,602,434,353,229,138,69
117,vt1_Munkkiniemi,2020/04/01,1,"12 KAIP",,,3,,2,5,3,11,20,17,17,10,17,18,13,12,8,6,3,2,2,2,,
117,vt1_Munkkiniemi,2020/04/01,1,"13 Linja-autot",3,1,,,7,7,18,20,11,10,11,8,9,13,15,16,17,13,11,8,7,5,7,3
117,vt1_Munkkiniemi,2020/04/01,1,"14 KAPP",,,,,1,1,,1,2,1,1,3,3,4,,,,,,,,,1,2
117,vt1_Munkkiniemi,2020/04/01,1,"15 KATP",,,,,,2,3,3,5,,5,7,4,1,4,8,1,2,4,2,,1,1,1
117,vt1_Munkkiniemi,2020/04/01,1,"16 HA + PK",1,,,,,,,1,,,1,1,5,3,6,2,4,5,3,1,2,1,,
117,vt1_Munkkiniemi,2020/04/01,1,"17 HA + AV",,,1,,,,,,,,,,1,2,,1,1,,1,1,,,,
117,vt1_Munkkiniemi,2020/04/01,2,"11 HA-PA",27,15,8,17,44,295,1051,1121,799,646,511,511,610,555,574,710,634,554,445,469,301,203,102,69
117,vt1_Munkkiniemi,2020/04/01,2,"12 KAIP",,,3,,2,6,23,22,16,12,16,12,16,14,13,6,5,6,9,4,2,1,1,2
117,vt1_Munkkiniemi,2020/04/01,2,"13 Linja-autot",2,2,2,1,2,9,21,12,12,17,10,11,8,10,11,15,12,12,14,8,7,10,6,4
117,vt1_Munkkiniemi,2020/04/01,2,"14 KAPP",,3,,,1,4,3,3,1,2,1,4,3,1,1,4,5,,2,2,,,2,2
117,vt1_Munkkiniemi,2020/04/01,2,"15 KATP",,1,,,1,4,7,2,3,4,4,5,6,4,2,,2,2,1,1,,1,1,
117,vt1_Munkkiniemi,2020/04/01,2,"16 HA + PK",1,,,,,1,5,5,2,1,1,1,3,2,1,2,2,1,1,3,,,1,
117,vt1_Munkkiniemi,2020/04/01,2,"17 HA + AV",,1,,,,,1,1,1,,2,,,,,,,,,,,,,
117,vt1_Munkkiniemi,2020/04/02,1,"11 HA-PA",58,23,24,17,16,71,260,460,432,389,424,508,516,599,857,1397,1076,784,590,417,323,240,137,86
