"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
118,st_101_Keilaniemi,2020/04/01,1,"11 HA-PA",22,15,7,6,15,78,376,637,662,482,509,505,591,554,668,757,666,605,475,373,282,161,86,52
118,st_101_Keilaniemi,2020/04/01,1,"12 KAIP",1,2,6,1,,3,13,25,25,24,45,37,29,24,31,33,23,8,4,6,2,8,3,5
118,st_101_Keilaniemi,2020/04/01,1,"13 Linja-autot",,,,,,,1,,,1,1,,,,,,,,2,,,,,1
118,st_101_Keilaniemi,2020/04/01,1,"14 KAPP",1,2,,,,2,2,1,29,63,32,7,2,4,3,54,39,6,4,3,1,29,54,27
118,st_101_Keilaniemi,2020/04/01,1,"15 KATP",1,1,,,2,1,1,4,5,6,6,1,2,5,1,3,3,,2,1,1,1,2,
118,st_101_Keilaniemi,2020/04/01,1,"16 HA + PK",,,,,,,,1,,1,1,4,4,5,3,,2,3,3,5,3,1,,
118,st_101_Keilaniemi,2020/04/01,1,"17 HA + AV",1,,,,,,,2,,,,,3,1,,2,1,1,,,1,3,1,
118,st_101_Keilaniemi,2020/04/01,2,"11 HA-PA",32,9,10,2,12,93,423,439,493,432,432,500,531,511,570,831,832,665,519,430,274,186,101,53
118,st_101_Keilaniemi,2020/04/01,2,"12 KAIP",3,3,1,,2,15,24,33,31,32,27,26,22,29,15,17,10,6,2,7,6,6,1,1
118,st_101_Keilaniemi,2020/04/01,2,"13 Linja-autot",,,,,,4,5,3,2,,1,,,,1,,2,,,,,,,1
118,st_101_Keilaniemi,2020/04/01,2,"14 KAPP",,,,,5,6,27,42,36,19,3,12,37,58,57,19,18,25,20,19,33,6,10,
118,st_101_Keilaniemi,2020/04/01,2,"15 KATP",,,,,,,8,5,4,2,2,3,6,3,8,1,,4,1,1,2,,1,
118,st_101_Keilaniemi,2020/04/01,2,"16 HA + PK",,,,,,,1,2,,2,5,3,2,1,4,4,1,2,1,,2,,,
118,st_101_Keilaniemi,2020/04/01,2,"17 HA + AV",,,,,,1,2,,2,,1,2,2,,,,,,,,,,,
118,st_101_Keilaniemi,2020/04/02,1,"11 HA-PA",21,10,17,7,15,77,368,640,570,496,427,478,519,562,641,784,630,635,500,339,256,170,69,43
118,st_101_Keilaniemi,2020/04/02,1,"12 KAIP",1,5,2,1,,3,13,19,40,45,37,33,23,32,28,31,14,11,9,3,4,9,10,2
118,st_101_Keilaniemi,2020/04/02,1,"13 Linja-autot",,,,,,,1,,1,1,,,,,,1,,,3,1,,1,,1
118,st_101_Keilaniemi,2020/04/02,1,"14 KAPP",1,2,,,,1,2,4,47,43,24,5,1,1,,43,33,8,6,2,,38,38,4
118,st_101_Keilaniemi,2020/04/02,1,"15 KATP",1,,1,,2,,1,2,2,2,2,6,,4,2,2,1,,,,1,,1,
118,st_101_Keilaniemi,2020/04/02,1,"16 HA + PK",,,,,,,1,2,,2,,2,3,2,1,1,2,2,1,2,2,,,
118,st_101_Keilaniemi,2020/04/02,1,"17 HA + AV",1,1,2,,,,,1,,2,,,1,,4,2,1,,,,,1,1,1
118,st_101_Keilaniemi,2020/04/02,2,"11 HA-PA",20,17,8,6,11,98,410,456,480,379,437,446,554,486,579,745,849,645,481,419,256,168,90,62
118,st_101_Keilaniemi,2020/04/02,2,"12 KAIP",1,1,1,,3,10,30,40,25,35,21,14,19,34,29,11,7,5,3,7,4,,,1
118,st_101_Keilaniemi,2020/04/02,2,"13 Linja-autot",,,,,1,4,3,1,1,2,,,,,1,,2,1,,,,,,
118,st_101_Keilaniemi,2020/04/02,2,"14 KAPP",,1,,,4,8,27,46,37,10,9,8,22,46,43,29,27,41,23,30,22,9,2,1
118,st_101_Keilaniemi,2020/04/02,2,"15 KATP",,1,,,1,1,8,3,4,4,2,4,2,5,3,3,1,,1,1,2,,,1
118,st_101_Keilaniemi,2020/04/02,2,"16 HA + PK",,,,,,,,3,,1,,2,1,,2,2,1,4,3,1,,1,,
118,st_101_Keilaniemi,2020/04/02,2,"17 HA + AV",,,,,,,1,1,,,,1,2,1,1,,,,1,,,,1,
118,st_101_Keilaniemi,2020/04/03,1,"11 HA-PA",24,9,2,5,16,74,360,654,579,442,424,541,532,580,708,730,671,555,420,305,229,149,93,65
118,st_101_Keilaniemi,2020/04/03,1,"12 KAIP",,5,1,,2,2,14,18,23,39,32,34,27,25,26,17,9,7,8,5,7,7,5,3
118,st_101_Keilaniemi,2020/04/03,1,"13 Linja-autot",,,,,,1,1,,,1,,,,,1,1,,1,1,1,,1,,
118,st_101_Keilaniemi,2020/04/03,1,"14 KAPP",2,2,1,,,2,3,3,32,36,14,4,7,5,2,14,3,5,6,2,,10,3,3
118,st_101_Keilaniemi,2020/04/03,1,"15 KATP",,,,,2,,1,2,3,2,3,1,4,2,3,3,1,1,,1,,1,2,
118,st_101_Keilaniemi,2020/04/03,1,"16 HA + PK",1,,,,,,1,1,2,1,3,,4,1,5,4,2,1,2,3,1,,,1
118,st_101_Keilaniemi,2020/04/03,1,"17 HA + AV",1,,1,,,,,,1,1,,2,,,,1,,,,1,,1,,
118,st_101_Keilaniemi,2020/04/03,2,"11 HA-PA",21,10,7,7,21,81,382,443,413,412,377,452,494,551,597,861,789,649,464,317,237,149,86,48
118,st_101_Keilaniemi,2020/04/03,2,"12 KAIP",4,,1,2,5,12,26,31,35,33,25,16,29,23,20,10,8,10,7,6,4,3,,
118,st_101_Keilaniemi,2020/04/03,2,"13 Linja-autot",,,,,1,4,1,1,1,,,,,,2,,1,,,,,,,1
118,st_101_Keilaniemi,2020/04/03,2,"14 KAPP",1,,,1,3,8,27,44,46,16,6,10,34,52,45,20,22,33,25,25,25,9,3,
118,st_101_Keilaniemi,2020/04/03,2,"15 KATP",,,,,,1,6,1,9,4,3,7,3,3,3,1,,2,1,3,2,1,,
118,st_101_Keilaniemi,2020/04/03,2,"16 HA + PK",,,,,,,1,2,3,2,1,4,2,2,2,2,1,2,3,4,,,1,
118,st_101_Keilaniemi,2020/04/03,2,"17 HA + AV",,,,,,,1,1,,1,,,2,1,,,,,1,,2,,,
