"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,1,"11 HA-PA",40,26,21,17,30,104,320,365,324,336,354,403,457,587,746,1278,1163,717,550,442,319,278,159,83
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,1,"12 KAIP",1,1,4,,2,7,12,26,29,32,26,15,27,34,20,16,9,6,9,5,2,,3,1
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,1,"13 Linja-autot",,,,,3,9,8,11,,,2,1,2,1,1,1,3,,,,,,,
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,1,"14 KAPP",,1,,,2,1,2,4,3,6,10,8,7,12,5,7,8,6,6,9,2,3,1,3
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,1,"15 KATP",6,8,12,16,7,12,16,15,28,23,17,20,10,15,12,14,13,11,15,13,11,8,9,10
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,1,"16 HA + PK",,,,,,1,4,2,3,7,9,5,13,11,10,19,18,13,18,13,8,3,2,1
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,1,"17 HA + AV",,,1,1,,,,1,3,3,1,,1,2,4,5,1,3,3,2,1,,,
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,2,"11 HA-PA",21,18,15,22,62,253,1077,1180,655,440,386,453,482,553,499,623,637,478,412,381,280,195,110,46
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,2,"12 KAIP",3,2,3,1,1,,12,23,24,23,42,25,26,24,27,21,14,11,4,8,,,,3
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,2,"13 Linja-autot",2,,,,,,,2,1,2,1,,1,,,1,1,6,5,6,3,3,1,4
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,2,"14 KAPP",1,,2,,1,5,,5,3,4,5,6,9,8,10,17,7,10,13,10,4,3,4,3
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,2,"15 KATP",4,,2,7,5,6,13,11,20,19,23,31,23,25,30,21,22,20,15,13,11,7,16,7
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,2,"16 HA + PK",2,3,1,,,1,4,6,6,9,6,10,11,14,13,13,14,11,17,6,6,3,2,
1246,vt4_Oulu_Kuivasjärvi,2020/04/01,2,"17 HA + AV",,1,,,1,,2,1,3,1,2,1,1,1,,1,2,2,1,3,1,2,,
1246,vt4_Oulu_Kuivasjärvi,2020/04/02,1,"11 HA-PA",39,19,17,26,28,87,305,384,319,296,384,405,495,566,769,1366,1138,688,568,391,302,241,180,71
1246,vt4_Oulu_Kuivasjärvi,2020/04/02,1,"12 KAIP",4,1,4,4,4,1,14,25,33,18,24,34,29,30,26,17,12,10,7,6,4,2,5,2
1246,vt4_Oulu_Kuivasjärvi,2020/04/02,1,"13 Linja-autot",,,,,4,7,9,8,1,,2,1,,1,1,1,5,,,,,,,
1246,vt4_Oulu_Kuivasjärvi,2020/04/02,1,"14 KAPP",4,4,1,1,,,5,7,10,13,11,6,15,9,6,6,17,4,3,6,1,,4,1
1246,vt4_Oulu_Kuivasjärvi,2020/04/02,1,"15 KATP",7,7,11,19,5,13,9,22,23,26,17,14,17,17,10,13,13,10,15,15,7,9,14,10
1246,vt4_Oulu_Kuivasjärvi,2020/04/02,1,"16 HA + PK",,,,,1,1,4,6,8,7,9,7,12,9,12,21,14,15,12,10,5,2,2,
1246,vt4_Oulu_Kuivasjärvi,2020/04/02,1,"17 HA + AV",1,,,1,,,1,2,1,3,3,4,,1,,3,1,1,1,1,1,1,,
