"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1247,st847_Oulunlahti,2020/04/01,1,"11 HA-PA",7,8,6,9,15,69,241,347,266,263,259,282,340,322,323,375,348,285,239,181,135,92,48,22
1247,st847_Oulunlahti,2020/04/01,1,"12 KAIP",1,,1,2,1,4,11,7,10,14,10,9,12,3,9,8,1,1,4,3,,3,2,
1247,st847_Oulunlahti,2020/04/01,1,"13 Linja-autot",,,,,,1,5,6,5,4,4,4,3,5,4,5,5,5,4,2,3,3,1,1
1247,st847_Oulunlahti,2020/04/01,1,"14 KAPP",1,,,,,,,,1,,,2,1,,,1,,,,1,,,,1
1247,st847_Oulunlahti,2020/04/01,1,"15 KATP",,,,,,,,,,1,3,1,3,1,,4,,1,1,3,,,,1
1247,st847_Oulunlahti,2020/04/01,1,"16 HA + PK",,1,1,,,,2,1,8,11,7,8,6,2,2,3,4,6,2,2,1,1,,
1247,st847_Oulunlahti,2020/04/01,1,"17 HA + AV",1,,,,,1,1,1,2,,1,,1,,3,2,1,,,,,,,
1247,st847_Oulunlahti,2020/04/01,2,"11 HA-PA",12,11,10,2,4,40,56,144,182,185,254,278,349,350,417,542,534,390,284,252,151,106,59,36
1247,st847_Oulunlahti,2020/04/01,2,"12 KAIP",1,1,1,2,,1,6,8,12,9,10,11,7,6,4,4,1,4,5,3,3,1,2,1
1247,st847_Oulunlahti,2020/04/01,2,"13 Linja-autot",1,,,,1,2,3,4,5,7,2,3,4,3,6,5,6,3,6,4,1,3,3,
1247,st847_Oulunlahti,2020/04/01,2,"14 KAPP",,,1,,1,1,,,,,,1,,,,,1,1,,,,,,
1247,st847_Oulunlahti,2020/04/01,2,"15 KATP",,2,,,,,,2,1,1,4,1,1,2,2,1,2,,1,1,1,2,,1
1247,st847_Oulunlahti,2020/04/01,2,"16 HA + PK",,1,,,2,,3,2,4,11,8,8,8,5,9,4,4,6,3,5,1,2,,
1247,st847_Oulunlahti,2020/04/01,2,"17 HA + AV",,,,,,1,1,,2,3,1,1,,1,2,3,,2,,,,,,
1247,st847_Oulunlahti,2020/04/02,1,"11 HA-PA",6,5,6,5,16,71,222,314,259,256,265,325,373,344,362,360,351,269,215,211,155,97,51,16
1247,st847_Oulunlahti,2020/04/02,1,"12 KAIP",1,,1,2,,6,11,7,11,8,10,9,11,8,7,11,8,2,7,7,5,5,5,5
1247,st847_Oulunlahti,2020/04/02,1,"13 Linja-autot",,,,,,1,6,6,5,3,4,3,4,6,4,5,4,5,4,2,3,5,1,1
1247,st847_Oulunlahti,2020/04/02,1,"14 KAPP",,,,,,,1,1,,1,,1,,,2,,,,1,1,1,,,1
1247,st847_Oulunlahti,2020/04/02,1,"15 KATP",,1,,,,,6,2,1,,1,2,1,1,,1,1,,,1,1,,,
1247,st847_Oulunlahti,2020/04/02,1,"16 HA + PK",,,,,,,2,6,4,5,2,6,5,8,5,7,3,5,2,5,1,1,1,
1247,st847_Oulunlahti,2020/04/02,1,"17 HA + AV",,,,,,,,2,,1,3,1,1,,1,1,,,1,,,1,,
1247,st847_Oulunlahti,2020/04/02,2,"11 HA-PA",12,10,3,6,3,35,51,145,168,238,267,325,342,388,464,556,550,390,276,228,183,128,68,28
1247,st847_Oulunlahti,2020/04/02,2,"12 KAIP",1,1,1,1,1,3,4,8,10,7,7,14,10,9,3,7,6,4,6,5,8,3,3,5
1247,st847_Oulunlahti,2020/04/02,2,"13 Linja-autot",1,,,,1,2,3,7,4,5,4,4,2,4,7,7,8,6,4,5,2,3,2,
1247,st847_Oulunlahti,2020/04/02,2,"14 KAPP",,,1,,,1,,,,1,,,1,,,1,1,,,1,,,1,
1247,st847_Oulunlahti,2020/04/02,2,"15 KATP",2,,1,,,,1,1,4,,1,2,1,2,3,,2,,1,2,,,,
1247,st847_Oulunlahti,2020/04/02,2,"16 HA + PK",,,,,,1,1,3,9,4,9,7,5,9,8,7,3,5,5,5,1,1,1,1
1247,st847_Oulunlahti,2020/04/02,2,"17 HA + AV",,,,,,1,1,,1,1,1,,3,1,,2,1,,,,,1,1,
1247,st847_Oulunlahti,2020/04/03,1,"11 HA-PA",14,5,11,8,17,76,231,304,279,299,321,356,388,397,389,417,378,287,239,179,141,92,50,29
1247,st847_Oulunlahti,2020/04/03,1,"12 KAIP",2,,1,2,,1,9,8,7,13,6,9,6,11,6,11,6,2,4,,,2,,
