"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1253,st816_Hailuoto,2020/04/01,1,"11 HA-PA",5,,,,5,5,11,5,7,9,8,,12,13,22,14,9,,13,4,2,5
1253,st816_Hailuoto,2020/04/01,1,"12 KAIP",,,,,1,,,1,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/01,1,"13 Linja-autot",,,,,1,,,,2,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/01,1,"14 KAPP",,,,,,,,,1,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/01,1,"15 KATP",,,,,1,,,,,,,,,1,1,1,,,2,,,
1253,st816_Hailuoto,2020/04/01,1,"16 HA + PK",,,,,,2,,,,,,,2,,2,1,2,,,,,
1253,st816_Hailuoto,2020/04/01,2,"11 HA-PA",,,3,15,10,9,12,4,12,9,18,12,22,,9,9,4,11,,,3,
1253,st816_Hailuoto,2020/04/01,2,"12 KAIP",,,,1,,,1,,2,2,3,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/01,2,"13 Linja-autot",,,,,,,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/01,2,"14 KAPP",,,,,2,1,,,,,2,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/01,2,"15 KATP",,,,,,1,,,,,,,,1,,1,1,,2,,,
1253,st816_Hailuoto,2020/04/01,2,"16 HA + PK",,,1,,,1,1,,1,,,1,1,,,,1,,,,,
1253,st816_Hailuoto,2020/04/01,2,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/02,1,"11 HA-PA",,,,,9,7,11,4,18,14,9,19,16,3,14,8,10,7,8,1,,4
1253,st816_Hailuoto,2020/04/02,1,"12 KAIP",,,,,2,,,3,,,,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/02,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/02,1,"14 KAPP",,,,,,,,,1,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/02,1,"15 KATP",,,,,,,1,,,,1,1,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/02,1,"16 HA + PK",,,,,,1,1,,,1,,2,,1,2,,,,2,,,
1253,st816_Hailuoto,2020/04/02,2,"11 HA-PA",,,9,14,9,8,16,,14,8,11,13,26,7,17,8,4,5,1,1,1,
1253,st816_Hailuoto,2020/04/02,2,"12 KAIP",,,,,,1,,2,1,,,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/02,2,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/02,2,"14 KAPP",,,,,2,,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/02,2,"15 KATP",,,,,1,,1,,1,,,2,,1,,,2,,,,,
1253,st816_Hailuoto,2020/04/02,2,"16 HA + PK",,,1,,1,,1,,,,2,,2,,,,,,,,,
1253,st816_Hailuoto,2020/04/02,2,"17 HA + AV",,,,,,,,,,,,,,,,,,,,,1,
1253,st816_Hailuoto,2020/04/03,1,"11 HA-PA",,,,4,6,7,,5,6,9,10,10,6,28,24,13,18,13,4,3,,3
1253,st816_Hailuoto,2020/04/03,1,"12 KAIP",,,,,,,,1,1,1,,1,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/03,1,"13 Linja-autot",,,,,1,,,,1,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/03,1,"14 KAPP",,,,1,,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/03,1,"15 KATP",,,,,2,1,,,,,1,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/03,1,"16 HA + PK",,,,,1,,,1,1,,1,1,1,1,,3,,1,1,,,
1253,st816_Hailuoto,2020/04/03,1,"17 HA + AV",,,,,,,,,,,,,,,1,,,2,1,,,
1253,st816_Hailuoto,2020/04/03,2,"11 HA-PA",,,6,10,7,4,15,2,11,8,17,19,15,2,9,6,4,2,4,1,1,
1253,st816_Hailuoto,2020/04/03,2,"12 KAIP",,,,1,1,1,,,1,1,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/03,2,"13 Linja-autot",,,,,1,,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/03,2,"15 KATP",,,,,2,2,,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/03,2,"16 HA + PK",,,1,,,,2,,,1,2,1,,1,,1,,,,,,
1253,st816_Hailuoto,2020/04/03,2,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,,,
