"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1257,vt22_Oulu_Iinatti,2020/04/01,1,"11 HA-PA",21,7,7,4,8,47,115,168,169,173,175,207,260,255,318,511,525,365,280,220,184,116,79,22
1257,vt22_Oulu_Iinatti,2020/04/01,1,"12 KAIP",1,,,2,1,3,2,10,9,2,4,10,9,4,5,9,6,4,3,1,2,1,,
1257,vt22_Oulu_Iinatti,2020/04/01,1,"13 Linja-autot",,,,,1,1,2,3,1,1,,1,1,1,2,1,1,1,1,,,,,1
1257,vt22_Oulu_Iinatti,2020/04/01,1,"14 KAPP",,1,,,,,,2,1,1,5,1,3,2,4,1,5,5,2,,,2,,
1257,vt22_Oulu_Iinatti,2020/04/01,1,"15 KATP",2,3,5,2,2,8,5,6,7,11,5,6,6,6,6,5,10,3,4,2,4,6,5,1
1257,vt22_Oulu_Iinatti,2020/04/01,1,"16 HA + PK",1,,,,,,,2,5,10,7,6,4,5,9,9,9,8,5,3,,3,,
1257,vt22_Oulu_Iinatti,2020/04/01,1,"17 HA + AV",,,,,,,,,,1,,,,1,,,1,1,,3,,,,
1257,vt22_Oulu_Iinatti,2020/04/01,2,"11 HA-PA",14,11,9,5,23,116,384,437,262,226,193,227,241,266,257,296,312,262,235,193,167,97,55,24
1257,vt22_Oulu_Iinatti,2020/04/01,2,"12 KAIP",,5,1,,1,,7,4,6,8,7,3,5,12,5,9,4,4,7,1,1,1,1,1
1257,vt22_Oulu_Iinatti,2020/04/01,2,"13 Linja-autot",,,,,,1,2,1,1,2,1,,2,1,,1,1,3,2,1,2,,1,1
1257,vt22_Oulu_Iinatti,2020/04/01,2,"14 KAPP",,,,,,,1,1,1,2,,1,3,4,7,4,2,,2,1,,,,
1257,vt22_Oulu_Iinatti,2020/04/01,2,"15 KATP",2,1,2,3,2,5,5,6,5,4,6,7,5,6,8,7,2,6,5,5,4,4,1,2
1257,vt22_Oulu_Iinatti,2020/04/01,2,"16 HA + PK",,,,,,2,3,3,5,4,2,8,6,6,6,10,5,6,6,5,,1,1,
1257,vt22_Oulu_Iinatti,2020/04/01,2,"17 HA + AV",,,,,1,1,2,1,2,,,,,1,,1,1,2,,1,,,,
1257,vt22_Oulu_Iinatti,2020/04/02,1,"11 HA-PA",16,16,7,6,9,51,121,152,132,155,190,208,266,240,323,543,493,339,281,196,160,127,50,32
1257,vt22_Oulu_Iinatti,2020/04/02,1,"12 KAIP",2,,,2,2,5,2,4,10,7,3,16,5,3,6,3,1,2,,2,1,2,2,
1257,vt22_Oulu_Iinatti,2020/04/02,1,"13 Linja-autot",,,,,1,1,3,2,1,2,,1,1,2,1,1,,,1,1,1,,,1
1257,vt22_Oulu_Iinatti,2020/04/02,1,"14 KAPP",,,,,,,,2,,1,,5,4,1,3,7,5,,3,,2,,,
1257,vt22_Oulu_Iinatti,2020/04/02,1,"15 KATP",2,,3,2,6,4,7,5,8,8,4,4,11,8,7,7,8,6,3,4,3,6,3,4
1257,vt22_Oulu_Iinatti,2020/04/02,1,"16 HA + PK",,,,,,1,2,1,3,3,4,4,5,3,9,10,8,13,5,2,4,1,1,1
1257,vt22_Oulu_Iinatti,2020/04/02,1,"17 HA + AV",,,,,,,1,2,,1,,1,,,,,1,2,,,,,,
1257,vt22_Oulu_Iinatti,2020/04/02,2,"11 HA-PA",9,12,12,7,26,91,379,430,264,223,207,249,227,258,236,297,261,247,225,164,140,94,53,23
1257,vt22_Oulu_Iinatti,2020/04/02,2,"12 KAIP",,1,1,,,3,4,2,5,6,9,8,6,10,9,9,6,3,7,1,4,7,,1
1257,vt22_Oulu_Iinatti,2020/04/02,2,"13 Linja-autot",,,,,,1,2,,1,1,1,1,,1,1,1,1,3,2,1,2,,1,1
1257,vt22_Oulu_Iinatti,2020/04/02,2,"14 KAPP",,,,,,,,1,1,1,4,2,3,1,7,2,2,2,1,2,,3,,
1257,vt22_Oulu_Iinatti,2020/04/02,2,"15 KATP",3,4,1,2,7,,5,4,8,5,15,4,5,10,6,9,8,4,10,4,4,3,3,3
1257,vt22_Oulu_Iinatti,2020/04/02,2,"16 HA + PK",,,,,,1,1,3,7,3,,6,5,5,4,8,7,6,5,3,3,2,1,
1257,vt22_Oulu_Iinatti,2020/04/02,2,"17 HA + AV",,,,,1,,1,1,,1,3,,,1,,2,1,,,,,,,
1257,vt22_Oulu_Iinatti,2020/04/03,1,"11 HA-PA",23,12,6,12,7,35,114,147,113,160,236,255,307,359,474,597,565,414,309,240,167,156,71,48
1257,vt22_Oulu_Iinatti,2020/04/03,1,"12 KAIP",1,,,1,3,3,4,7,3,7,6,5,2,5,4,7,5,5,3,2,,1,1,
1257,vt22_Oulu_Iinatti,2020/04/03,1,"13 Linja-autot",,,,,,1,3,2,1,1,,1,1,1,1,,1,1,1,1,,,,
1257,vt22_Oulu_Iinatti,2020/04/03,1,"14 KAPP",,,,,,,1,3,2,2,3,1,1,2,4,2,,1,,,,,,
1257,vt22_Oulu_Iinatti,2020/04/03,1,"15 KATP",4,4,5,4,2,6,5,5,2,9,9,12,7,7,4,5,5,2,,6,5,1,2,4
1257,vt22_Oulu_Iinatti,2020/04/03,1,"16 HA + PK",,,,,,,,4,3,5,4,4,8,8,17,14,9,11,11,8,6,4,,1
1257,vt22_Oulu_Iinatti,2020/04/03,1,"17 HA + AV",,,,,,,,,1,2,,,,,2,2,1,1,1,,,,,
1257,vt22_Oulu_Iinatti,2020/04/03,2,"11 HA-PA",20,10,13,9,16,91,374,414,253,241,215,253,269,300,343,350,324,288,250,194,163,122,69,34
1257,vt22_Oulu_Iinatti,2020/04/03,2,"12 KAIP",,1,1,,1,2,7,7,7,9,2,10,9,6,9,7,6,3,3,3,2,2,2,1
1257,vt22_Oulu_Iinatti,2020/04/03,2,"13 Linja-autot",,,,,,,1,,1,1,1,,1,1,1,,1,3,2,1,1,,2,
1257,vt22_Oulu_Iinatti,2020/04/03,2,"14 KAPP",,,,,,1,1,2,,4,,,4,,1,1,1,,1,,,,,
1257,vt22_Oulu_Iinatti,2020/04/03,2,"15 KATP",4,8,3,3,1,6,3,2,5,9,3,8,11,9,8,3,3,1,4,1,5,5,3,1
1257,vt22_Oulu_Iinatti,2020/04/03,2,"16 HA + PK",,,,,,,1,4,4,3,4,9,4,7,10,4,9,2,6,5,4,2,2,1
1257,vt22_Oulu_Iinatti,2020/04/03,2,"17 HA + AV",,,,,,1,3,1,,,1,1,,3,1,2,1,1,1,1,2,,,
1257,vt22_Oulu_Iinatti,2020/04/04,1,"11 HA-PA",41,31,14,19,7,21,38,42,77,202,214,278,345,305,339,322,309,262,217,166,145,115,63,44
1257,vt22_Oulu_Iinatti,2020/04/04,1,"12 KAIP",1,,,1,1,,1,,3,1,,,1,2,3,3,1,2,1,,,,,
1257,vt22_Oulu_Iinatti,2020/04/04,1,"13 Linja-autot",,,1,,,,,2,,,,,,,,,,,,,,1,1,
1257,vt22_Oulu_Iinatti,2020/04/04,1,"14 KAPP",,,1,,,,,,2,1,1,,,2,,,2,,1,1,1,,,
1257,vt22_Oulu_Iinatti,2020/04/04,1,"15 KATP",3,2,1,,1,2,1,1,1,5,3,2,1,4,2,3,1,3,,,,,1,
1257,vt22_Oulu_Iinatti,2020/04/04,1,"16 HA + PK",1,,,,,,1,2,3,10,7,8,8,16,5,3,5,8,9,1,1,2,,
1257,vt22_Oulu_Iinatti,2020/04/04,1,"17 HA + AV",,,,,,,,,1,2,,,,,,1,,1,,1,,,,
1257,vt22_Oulu_Iinatti,2020/04/04,2,"11 HA-PA",38,16,17,14,9,34,70,73,104,165,223,258,278,322,277,311,262,248,243,197,165,125,68,42
