"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1466,vt4_Syväsenvaara,2020/04/01,1,"11 HA-PA",21,17,8,14,23,49,201,327,153,136,173,218,246,259,283,358,319,274,218,188,146,98,62,37
1466,vt4_Syväsenvaara,2020/04/01,1,"12 KAIP",2,,4,,2,2,11,7,7,15,11,6,8,10,10,12,4,8,5,7,5,3,3,
1466,vt4_Syväsenvaara,2020/04/01,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,,2,,,,,,
1466,vt4_Syväsenvaara,2020/04/01,1,"14 KAPP",,,1,,,,1,1,1,2,,2,,1,2,2,,1,,1,1,,,2
1466,vt4_Syväsenvaara,2020/04/01,1,"15 KATP",3,1,2,6,7,16,9,13,18,13,9,7,8,12,8,14,8,6,7,9,3,5,2,5
1466,vt4_Syväsenvaara,2020/04/01,1,"16 HA + PK",,,,1,,,2,5,6,9,9,7,5,13,16,8,14,8,4,6,4,2,,1
1466,vt4_Syväsenvaara,2020/04/01,1,"17 HA + AV",,,,,1,1,1,1,2,1,,2,,1,,,1,1,3,1,1,,,
1466,vt4_Syväsenvaara,2020/04/01,2,"11 HA-PA",17,18,9,11,29,67,242,289,238,198,213,237,281,275,310,420,410,254,217,193,137,93,45,38
1466,vt4_Syväsenvaara,2020/04/01,2,"12 KAIP",,3,,,3,2,10,6,5,9,9,10,8,7,15,7,16,3,4,5,1,1,3,1
1466,vt4_Syväsenvaara,2020/04/01,2,"13 Linja-autot",,,,,,1,2,,,,,2,,1,,1,1,1,,,,,,
1466,vt4_Syväsenvaara,2020/04/01,2,"14 KAPP",,,,,,1,,,,3,2,1,,3,2,1,,,1,1,,,1,
1466,vt4_Syväsenvaara,2020/04/01,2,"15 KATP",9,3,1,3,5,1,1,5,4,11,17,12,18,5,16,21,12,6,9,8,4,3,6,5
1466,vt4_Syväsenvaara,2020/04/01,2,"16 HA + PK",,,,,1,1,3,7,10,7,7,11,16,17,16,10,11,13,1,3,4,6,2,2
1466,vt4_Syväsenvaara,2020/04/01,2,"17 HA + AV",,,,,,,,1,2,5,,1,1,2,2,,2,1,2,,,,1,
1466,vt4_Syväsenvaara,2020/04/02,1,"11 HA-PA",23,13,8,8,20,40,187,347,161,150,186,229,236,289,289,392,331,295,214,161,159,94,69,32
1466,vt4_Syväsenvaara,2020/04/02,1,"12 KAIP",2,,1,,1,2,8,11,16,9,11,3,14,15,7,7,4,6,3,3,5,2,2,
1466,vt4_Syväsenvaara,2020/04/02,1,"13 Linja-autot",,,,,,1,,,,3,1,,1,1,2,1,,2,,,,,,
1466,vt4_Syväsenvaara,2020/04/02,1,"14 KAPP",,,,,,1,1,2,1,2,2,1,1,2,1,1,2,,2,2,1,,,
1466,vt4_Syväsenvaara,2020/04/02,1,"15 KATP",1,3,5,5,13,8,10,6,8,9,8,7,10,9,12,4,7,8,8,8,5,3,5,3
1466,vt4_Syväsenvaara,2020/04/02,1,"16 HA + PK",1,,,,,1,3,7,4,10,6,4,7,6,9,8,7,6,7,2,5,1,5,1
1466,vt4_Syväsenvaara,2020/04/02,1,"17 HA + AV",,,,,,,1,2,4,3,1,,2,4,2,1,2,,2,1,1,,,
1466,vt4_Syväsenvaara,2020/04/02,2,"11 HA-PA",15,19,19,12,23,73,242,262,213,205,203,226,267,253,298,420,429,264,202,214,135,88,73,24
1466,vt4_Syväsenvaara,2020/04/02,2,"12 KAIP",,,,,1,,6,10,3,11,11,14,11,12,13,9,7,7,5,8,2,3,3,1
1466,vt4_Syväsenvaara,2020/04/02,2,"13 Linja-autot",1,,,,,1,1,,1,,3,1,1,3,1,1,1,,,,,,,
1466,vt4_Syväsenvaara,2020/04/02,2,"14 KAPP",,,,1,,1,,1,1,4,5,,1,,1,1,,2,,,2,,1,1
1466,vt4_Syväsenvaara,2020/04/02,2,"15 KATP",6,2,1,1,3,4,6,7,12,10,16,9,12,8,14,15,9,8,8,3,1,7,8,4
1466,vt4_Syväsenvaara,2020/04/02,2,"16 HA + PK",,,,1,,1,3,5,5,7,14,7,9,15,13,9,13,11,5,7,4,1,4,
1466,vt4_Syväsenvaara,2020/04/02,2,"17 HA + AV",,,,,,,,2,1,4,,1,2,3,,4,2,2,1,,1,,,
1466,vt4_Syväsenvaara,2020/04/03,1,"11 HA-PA",24,13,16,11,12,40,194,307,168,154,187,268,293,274,330,411,343,284,244,191,147,108,87,64
1466,vt4_Syväsenvaara,2020/04/03,1,"12 KAIP",,1,,2,,3,8,10,8,6,9,5,11,9,7,10,7,5,,2,,4,2,1
1466,vt4_Syväsenvaara,2020/04/03,1,"13 Linja-autot",,,,,,,,,,1,1,2,,,,1,,2,,,,,,
1466,vt4_Syväsenvaara,2020/04/03,1,"14 KAPP",,,,,,,1,1,1,2,2,2,1,2,1,2,2,,,,,,,1
1466,vt4_Syväsenvaara,2020/04/03,1,"15 KATP",2,1,7,4,14,9,5,7,12,10,9,11,10,7,5,7,5,4,5,8,5,3,1,3
1466,vt4_Syväsenvaara,2020/04/03,1,"16 HA + PK",,,1,2,1,,3,10,17,4,7,10,17,8,16,18,17,12,9,9,,2,1,1
1466,vt4_Syväsenvaara,2020/04/03,1,"17 HA + AV",,,,,,,1,2,3,2,3,1,3,2,2,2,3,2,2,,1,,,
1466,vt4_Syväsenvaara,2020/04/03,2,"11 HA-PA",25,21,9,11,21,70,244,275,219,220,243,274,347,353,369,430,315,256,234,139,133,105,77,53
1466,vt4_Syväsenvaara,2020/04/03,2,"12 KAIP",1,,1,,1,,7,6,6,4,7,9,11,17,7,10,7,7,3,2,1,4,,
1466,vt4_Syväsenvaara,2020/04/03,2,"13 Linja-autot",,,,,,1,,3,,,,,4,,1,6,1,,,,,,1,
1466,vt4_Syväsenvaara,2020/04/03,2,"14 KAPP",,,,,1,,1,3,1,2,,1,1,,1,1,1,,,,1,,1,
1466,vt4_Syväsenvaara,2020/04/03,2,"15 KATP",1,5,2,1,3,3,3,6,14,12,11,13,8,15,12,9,7,11,6,3,5,6,4,4
1466,vt4_Syväsenvaara,2020/04/03,2,"16 HA + PK",1,,,,,1,2,11,6,15,11,19,12,14,16,12,20,5,10,3,4,1,2,1
1466,vt4_Syväsenvaara,2020/04/03,2,"17 HA + AV",1,,,,,,1,2,,3,1,3,,3,2,4,1,2,,2,1,,,
1466,vt4_Syväsenvaara,2020/04/04,1,"11 HA-PA",45,37,20,23,14,26,36,47,68,100,197,207,254,257,244,256,222,183,150,121,116,89,81,59
1466,vt4_Syväsenvaara,2020/04/04,1,"12 KAIP",,,,,,1,2,2,3,1,,2,3,2,,1,3,2,2,1,5,2,1,2
1466,vt4_Syväsenvaara,2020/04/04,1,"13 Linja-autot",,,,,,,,,,,,1,,1,4,1,,,,,6,,1,
1466,vt4_Syväsenvaara,2020/04/04,1,"14 KAPP",,,,,,,,2,1,,,,1,,,,,,2,,3,,1,
1466,vt4_Syväsenvaara,2020/04/04,1,"15 KATP",1,,2,1,2,1,4,,1,3,2,1,2,2,4,,3,3,1,1,1,3,1,3
1466,vt4_Syväsenvaara,2020/04/04,1,"16 HA + PK",3,,2,,1,2,4,6,6,11,15,17,12,14,8,5,7,3,6,2,4,,4,1
1466,vt4_Syväsenvaara,2020/04/04,1,"17 HA + AV",,,,2,,1,,,,1,1,,1,,,,,1,,2,,,1,
1466,vt4_Syväsenvaara,2020/04/04,2,"11 HA-PA",45,34,18,23,14,13,32,42,70,119,161,199,225,272,269,284,270,218,195,166,130,87,59,57
1466,vt4_Syväsenvaara,2020/04/04,2,"12 KAIP",,,,,,,,2,3,2,1,3,2,4,3,,6,3,4,2,1,1,,2
1466,vt4_Syväsenvaara,2020/04/04,2,"13 Linja-autot",,,,,,,,,1,1,,2,1,,3,,,,,,,,,2
1466,vt4_Syväsenvaara,2020/04/04,2,"14 KAPP",1,1,1,1,1,1,,1,,,,,,,2,,,1,1,,,,,
1466,vt4_Syväsenvaara,2020/04/04,2,"15 KATP",2,1,2,3,1,,2,3,2,1,3,2,4,4,1,2,2,3,1,2,2,1,1,2
1466,vt4_Syväsenvaara,2020/04/04,2,"16 HA + PK",1,,,,1,,,2,4,6,7,10,4,11,12,12,10,11,16,6,5,3,2,3
1466,vt4_Syväsenvaara,2020/04/04,2,"17 HA + AV",,,,,,,1,1,1,,1,1,1,,2,4,,1,,1,2,,,
1466,vt4_Syväsenvaara,2020/04/05,1,"11 HA-PA",35,25,29,16,14,14,32,38,29,74,106,197,229,202,232,211,218,179,177,168,119,87,56,45
1466,vt4_Syväsenvaara,2020/04/05,1,"12 KAIP",,1,,,,,,,1,1,,2,3,2,2,2,2,1,1,1,1,2,2,
1466,vt4_Syväsenvaara,2020/04/05,1,"13 Linja-autot",,,,,,,,,,,,1,1,1,,,,,1,,,1,,
