"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
201,st110_Muurla_Salo,2020/04/01,1,"11 HA-PA",3,2,,,4,15,41,36,33,31,35,34,40,37,43,59,45,31,31,26,14,5,1,
201,st110_Muurla_Salo,2020/04/01,1,"12 KAIP",,1,4,1,1,,1,,3,,2,2,,3,2,3,1,,,1,1,3,,
201,st110_Muurla_Salo,2020/04/01,1,"13 Linja-autot",,,,,,,1,1,1,1,1,1,,1,1,1,1,2,,,,,,
201,st110_Muurla_Salo,2020/04/01,1,"14 KAPP",,,,,,,,,1,,,1,1,1,,1,,,,1,,,,
201,st110_Muurla_Salo,2020/04/01,1,"15 KATP",,1,,,,,,,,,1,,,1,2,1,,,,,1,,,
201,st110_Muurla_Salo,2020/04/01,1,"16 HA + PK",,,,,,,1,,,3,2,1,1,,2,3,1,,2,,,,,
201,st110_Muurla_Salo,2020/04/01,1,"17 HA + AV",,,,,,,,1,,,,,,,,3,1,1,,1,,,,
201,st110_Muurla_Salo,2020/04/01,2,"11 HA-PA",2,2,1,1,,6,18,18,15,28,51,43,40,61,51,58,61,49,35,23,11,10,3,4
201,st110_Muurla_Salo,2020/04/01,2,"12 KAIP",,,,,,,,2,1,2,1,7,3,1,4,,,3,2,2,1,,,
201,st110_Muurla_Salo,2020/04/01,2,"13 Linja-autot",,,,,,,1,1,,1,1,,1,,1,2,1,,,,,,,
201,st110_Muurla_Salo,2020/04/01,2,"14 KAPP",,,,,,,,,,,1,,,1,,,,,,,,,,
201,st110_Muurla_Salo,2020/04/01,2,"15 KATP",,,,,,,,,1,,1,2,,,,1,2,,,,2,,,
201,st110_Muurla_Salo,2020/04/01,2,"16 HA + PK",,,,,,,1,,1,4,3,2,,1,,2,1,2,,,,,,
201,st110_Muurla_Salo,2020/04/01,2,"17 HA + AV",,,,,,,,,,,,1,,,,1,1,,,,,,,
201,st110_Muurla_Salo,2020/04/02,1,"11 HA-PA",,,,,2,10,34,38,37,31,43,39,42,37,40,38,42,31,24,14,7,4,3,
201,st110_Muurla_Salo,2020/04/02,1,"12 KAIP",,,,,,,,,1,1,1,1,1,3,1,,1,,2,1,,1,,
201,st110_Muurla_Salo,2020/04/02,1,"13 Linja-autot",,,,,,,1,1,1,1,1,1,,1,1,1,1,2,,,,,,
201,st110_Muurla_Salo,2020/04/02,1,"14 KAPP",,,,,,,,,1,,,2,,,,,,,,,,,,
201,st110_Muurla_Salo,2020/04/02,1,"15 KATP",,,,,,1,,,1,,1,2,,3,2,1,1,1,1,,,,,
201,st110_Muurla_Salo,2020/04/02,1,"16 HA + PK",,,,,,,1,2,1,,,,1,1,4,2,1,1,1,,1,,,
201,st110_Muurla_Salo,2020/04/02,2,"11 HA-PA",4,,1,,1,4,15,16,23,32,36,34,40,47,39,62,41,49,27,15,14,3,2,4
201,st110_Muurla_Salo,2020/04/02,2,"12 KAIP",,,,,,,,,2,4,4,,2,1,,3,1,1,2,1,1,,,
201,st110_Muurla_Salo,2020/04/02,2,"13 Linja-autot",,,,,,,,1,1,1,2,,,,1,,1,1,,,,,,
201,st110_Muurla_Salo,2020/04/02,2,"14 KAPP",,,,,,1,,,,1,,,,,,,1,,,,,,,
201,st110_Muurla_Salo,2020/04/02,2,"15 KATP",,,,,,1,,,1,3,2,1,1,,2,,2,,,,,,,
201,st110_Muurla_Salo,2020/04/02,2,"16 HA + PK",,,,,,,,1,1,4,,,,2,1,5,2,1,2,,1,,,
201,st110_Muurla_Salo,2020/04/02,2,"17 HA + AV",,,,,,,,1,,,1,,,,,,,,,,,,,
201,st110_Muurla_Salo,2020/04/03,1,"11 HA-PA",1,,,,,14,28,36,28,30,33,41,42,30,31,43,37,21,29,18,12,1,3,3
201,st110_Muurla_Salo,2020/04/03,1,"12 KAIP",,,,,,,2,,3,1,,,,2,1,2,,,1,,1,1,,
201,st110_Muurla_Salo,2020/04/03,1,"13 Linja-autot",,,,,,,1,1,1,1,,1,,1,1,1,1,2,,,,,,
201,st110_Muurla_Salo,2020/04/03,1,"14 KAPP",,,,,,,,1,,,,,,2,1,1,,,,,,,,
201,st110_Muurla_Salo,2020/04/03,1,"15 KATP",,,,,,,,1,1,1,,2,2,2,1,,3,2,,,,,,
201,st110_Muurla_Salo,2020/04/03,1,"16 HA + PK",,,,,,,,,,1,,1,1,1,1,1,1,1,1,,,,,
201,st110_Muurla_Salo,2020/04/03,1,"17 HA + AV",,,,,,,,,,,,,1,1,2,,,,,,,,,
201,st110_Muurla_Salo,2020/04/03,2,"11 HA-PA",3,,,,,2,18,12,15,26,27,31,49,38,43,59,52,37,34,16,14,7,1,1
201,st110_Muurla_Salo,2020/04/03,2,"12 KAIP",,,,,,1,,,2,4,3,1,1,4,4,1,1,2,2,,,1,,
201,st110_Muurla_Salo,2020/04/03,2,"13 Linja-autot",,,,,,,,1,1,,1,,1,,,1,1,1,1,,,,,
201,st110_Muurla_Salo,2020/04/03,2,"15 KATP",,,,,,,2,,1,,1,,1,2,,1,1,,,,,,,
201,st110_Muurla_Salo,2020/04/03,2,"16 HA + PK",,,,,,,,1,,,2,,1,1,,1,,3,1,1,,,,
201,st110_Muurla_Salo,2020/04/03,2,"17 HA + AV",,,,,,,,,1,,,,,1,1,1,,,,,,,,
201,st110_Muurla_Salo,2020/04/04,1,"11 HA-PA",1,1,,,,4,3,5,11,24,44,33,38,33,49,40,43,38,28,17,17,8,1,4
201,st110_Muurla_Salo,2020/04/04,1,"12 KAIP",,,,,,,,,,,1,,,,,,,,1,,,,,
201,st110_Muurla_Salo,2020/04/04,1,"15 KATP",,,,,,1,,,,,,,1,1,,,,,,,,,,
201,st110_Muurla_Salo,2020/04/04,1,"16 HA + PK",,,,,,,,,1,2,2,3,1,,3,,1,1,2,1,1,,,
201,st110_Muurla_Salo,2020/04/04,1,"17 HA + AV",,,,,,,,,,,1,,,,,,,2,,,,,,
201,st110_Muurla_Salo,2020/04/04,2,"11 HA-PA",2,1,1,,,,2,5,13,26,42,61,57,59,40,44,37,19,26,15,8,5,1,3
