"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
207,vt8_Pori,2020/04/01,1,"11 HA-PA",6,10,12,20,13,63,147,176,187,200,187,231,268,257,342,505,511,298,268,163,103,90,63,24
207,vt8_Pori,2020/04/01,1,"12 KAIP",1,,,2,2,3,11,11,22,12,9,11,13,8,12,14,6,5,4,2,4,1,,
207,vt8_Pori,2020/04/01,1,"13 Linja-autot",,,,,,2,4,1,4,2,1,2,2,4,2,1,5,1,2,3,,,3,
207,vt8_Pori,2020/04/01,1,"14 KAPP",3,,1,,,2,1,3,6,4,6,4,6,7,5,8,7,3,6,5,7,3,1,2
207,vt8_Pori,2020/04/01,1,"15 KATP",9,8,6,6,4,8,13,25,15,22,30,14,32,26,20,25,23,15,21,19,14,16,5,7
207,vt8_Pori,2020/04/01,1,"16 HA + PK",1,,,,,1,4,7,6,13,16,10,9,7,12,8,13,8,13,9,4,,1,2
207,vt8_Pori,2020/04/01,1,"17 HA + AV",,1,,,,,,1,5,,2,,3,4,2,2,5,3,,,,,,1
207,vt8_Pori,2020/04/01,2,"11 HA-PA",16,12,7,13,28,154,350,352,248,183,184,257,227,246,294,358,276,273,201,181,143,101,47,30
207,vt8_Pori,2020/04/01,2,"12 KAIP",1,1,,1,1,4,3,11,5,8,14,9,15,14,12,22,5,9,9,2,3,1,2,1
207,vt8_Pori,2020/04/01,2,"13 Linja-autot",,,,,,,,1,1,1,1,,,4,1,2,,,1,,,1,,
207,vt8_Pori,2020/04/01,2,"14 KAPP",,,,,,1,1,6,,5,9,8,6,2,11,6,4,10,7,8,1,1,,
207,vt8_Pori,2020/04/01,2,"15 KATP",9,5,6,4,4,5,12,27,17,15,25,25,22,23,19,19,42,28,20,31,17,10,9,7
207,vt8_Pori,2020/04/01,2,"16 HA + PK",,1,,,2,1,6,14,8,5,12,9,11,12,8,15,16,15,7,6,7,4,2,
207,vt8_Pori,2020/04/01,2,"17 HA + AV",,,,,,,,4,4,2,,2,3,3,2,3,,3,1,2,2,,1,
207,vt8_Pori,2020/04/02,1,"11 HA-PA",18,12,1,11,11,53,162,163,180,190,201,251,254,274,362,568,527,344,246,173,131,82,68,26
207,vt8_Pori,2020/04/02,1,"12 KAIP",1,,2,3,,5,14,16,14,22,7,19,15,10,10,10,12,11,3,3,4,,3,
207,vt8_Pori,2020/04/02,1,"13 Linja-autot",1,,,,,2,4,2,6,2,1,1,1,1,2,2,2,1,3,1,1,,2,1
207,vt8_Pori,2020/04/02,1,"14 KAPP",1,,,2,1,2,4,3,7,5,6,8,6,8,9,5,6,4,3,6,5,6,2,1
207,vt8_Pori,2020/04/02,1,"15 KATP",9,7,4,3,6,11,12,20,23,22,23,18,18,30,33,22,31,19,27,20,13,14,10,7
207,vt8_Pori,2020/04/02,1,"16 HA + PK",1,1,,,,,2,4,10,8,9,11,14,12,14,17,10,18,13,9,6,1,1,2
207,vt8_Pori,2020/04/02,1,"17 HA + AV",,,,,,1,1,2,4,1,,1,4,3,6,3,3,1,2,1,1,,,
207,vt8_Pori,2020/04/02,2,"11 HA-PA",23,5,7,9,16,139,364,363,219,212,215,208,248,283,290,342,327,283,208,164,125,75,45,22
