"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
249,vt8_Ihala,2020/04/01,1,"11 HA-PA",11,16,12,10,12,63,316,485,408,368,460,440,528,553,694,1045,947,652,484,384,235,110,74,19
249,vt8_Ihala,2020/04/01,1,"12 KAIP",1,2,,,,2,9,26,27,20,30,17,30,20,30,14,11,11,7,5,8,1,1,
249,vt8_Ihala,2020/04/01,1,"13 Linja-autot",,,,1,,,2,5,5,1,5,3,4,3,8,6,7,6,5,3,4,,,
249,vt8_Ihala,2020/04/01,1,"14 KAPP",1,1,1,1,,1,4,43,22,22,23,9,15,10,10,11,5,9,5,9,24,6,5,1
249,vt8_Ihala,2020/04/01,1,"15 KATP",2,2,2,4,1,3,15,52,41,23,20,24,16,30,23,15,13,17,17,26,37,7,8,3
249,vt8_Ihala,2020/04/01,1,"16 HA + PK",1,1,,,,,8,13,13,7,12,12,11,22,20,16,12,11,6,9,5,3,,2
249,vt8_Ihala,2020/04/01,1,"17 HA + AV",,,,,,2,,2,1,1,2,1,2,4,2,1,,1,2,1,,1,,1
249,vt8_Ihala,2020/04/01,2,"11 HA-PA",36,11,8,18,33,198,728,785,500,422,407,448,495,508,563,744,707,559,485,381,251,177,113,62
249,vt8_Ihala,2020/04/01,2,"12 KAIP",1,3,2,2,3,8,10,24,34,27,30,21,27,31,25,26,15,14,8,6,6,3,3,
249,vt8_Ihala,2020/04/01,2,"13 Linja-autot",,,,,,,1,1,2,1,4,1,,1,1,2,1,2,,2,1,,,
249,vt8_Ihala,2020/04/01,2,"14 KAPP",4,1,1,3,3,5,10,18,10,11,6,11,18,17,21,15,25,25,14,18,10,6,1,7
249,vt8_Ihala,2020/04/01,2,"15 KATP",3,6,8,7,8,7,13,17,8,12,11,16,20,13,18,21,22,17,22,17,10,9,3,10
249,vt8_Ihala,2020/04/01,2,"16 HA + PK",,,1,1,,,5,8,4,9,8,8,8,5,8,8,10,5,9,4,4,,,2
249,vt8_Ihala,2020/04/01,2,"17 HA + AV",,,,,,,1,,,,,1,,1,1,,,1,,,,,,
249,vt8_Ihala,2020/04/02,1,"11 HA-PA",22,12,3,,34,67,294,472,377,347,392,452,525,525,711,1052,951,659,470,347,191,105,78,32
249,vt8_Ihala,2020/04/02,1,"12 KAIP",,,1,1,1,4,8,23,18,21,30,27,24,20,17,18,21,9,8,3,5,,2,1
249,vt8_Ihala,2020/04/02,1,"13 Linja-autot",1,,,,,2,,4,6,4,2,5,3,5,10,5,7,5,5,3,4,2,2,
249,vt8_Ihala,2020/04/02,1,"14 KAPP",1,1,,,1,1,2,26,32,23,16,20,13,15,8,13,7,6,9,25,18,4,5,2
249,vt8_Ihala,2020/04/02,1,"15 KATP",2,2,,,6,8,6,50,44,34,32,31,20,26,23,31,21,13,19,26,32,6,3,4
249,vt8_Ihala,2020/04/02,1,"16 HA + PK",,,,,,1,7,5,10,9,18,8,14,17,15,19,12,12,10,9,2,,2,5
249,vt8_Ihala,2020/04/02,1,"17 HA + AV",,,1,,,,,4,2,,3,3,4,2,,1,4,2,1,3,1,,1,
249,vt8_Ihala,2020/04/02,2,"11 HA-PA",37,20,12,12,37,187,743,771,547,403,402,462,464,521,542,695,719,599,430,373,305,173,106,58
249,vt8_Ihala,2020/04/02,2,"12 KAIP",1,3,2,3,6,3,11,29,33,35,27,27,29,38,19,21,10,14,10,9,4,1,3,1
249,vt8_Ihala,2020/04/02,2,"13 Linja-autot",,,,,,1,1,1,1,2,1,3,1,3,3,2,3,,1,2,1,,,
249,vt8_Ihala,2020/04/02,2,"14 KAPP",2,1,3,3,3,2,8,18,15,13,22,18,15,8,23,18,19,22,10,16,5,3,,6
249,vt8_Ihala,2020/04/02,2,"15 KATP",2,5,8,8,12,8,10,20,9,13,19,11,13,18,10,20,26,11,21,15,10,7,5,7
249,vt8_Ihala,2020/04/02,2,"16 HA + PK",,,,,1,1,5,6,7,6,6,7,9,7,7,8,8,6,5,7,2,,,
249,vt8_Ihala,2020/04/02,2,"17 HA + AV",,,,,,,1,,5,,1,,,1,,2,1,,,,,,,
249,vt8_Ihala,2020/04/03,1,"11 HA-PA",24,4,12,5,7,64,281,447,397,396,441,548,582,669,831,1181,999,684,505,332,246,60,127,64
249,vt8_Ihala,2020/04/03,1,"12 KAIP",,1,1,1,1,5,8,29,29,18,29,29,15,22,22,18,18,10,4,2,5,3,,2
249,vt8_Ihala,2020/04/03,1,"13 Linja-autot",,,1,,,,1,1,,1,4,7,3,8,4,3,5,3,1,,2,,,1
249,vt8_Ihala,2020/04/03,1,"14 KAPP",1,,,,,1,4,40,24,18,17,22,13,9,18,5,10,11,8,12,22,2,4,2
249,vt8_Ihala,2020/04/03,1,"15 KATP",,1,1,2,1,5,14,50,50,34,24,25,22,19,23,20,15,13,9,29,23,2,4,1
249,vt8_Ihala,2020/04/03,1,"16 HA + PK",1,1,,,1,,7,15,10,11,13,15,18,24,16,24,25,17,11,7,3,4,1,
249,vt8_Ihala,2020/04/03,1,"17 HA + AV",,,,,1,1,3,3,2,5,2,4,7,3,2,4,3,2,1,3,,,1,
249,vt8_Ihala,2020/04/03,2,"11 HA-PA",42,23,9,15,36,182,696,737,476,426,427,459,537,560,618,713,698,570,494,301,279,213,152,82
249,vt8_Ihala,2020/04/03,2,"12 KAIP",1,,5,7,4,4,16,28,36,30,33,32,26,35,29,23,13,11,3,5,3,3,4,1
249,vt8_Ihala,2020/04/03,2,"13 Linja-autot",,,,,,,1,3,1,4,2,1,1,3,1,1,1,,1,1,,,,
249,vt8_Ihala,2020/04/03,2,"14 KAPP",2,1,2,1,2,5,8,12,17,18,26,18,21,22,32,31,38,29,16,16,5,6,5,6
249,vt8_Ihala,2020/04/03,2,"15 KATP",2,5,6,4,7,9,12,7,14,15,16,18,17,19,21,26,24,17,15,6,16,12,5,2
249,vt8_Ihala,2020/04/03,2,"16 HA + PK",1,,,,,,7,6,4,8,4,15,12,12,14,11,7,5,7,5,3,1,1,1
249,vt8_Ihala,2020/04/03,2,"17 HA + AV",,,1,,,,1,1,,,2,1,,,,1,,,1,1,,,,
249,vt8_Ihala,2020/04/04,1,"11 HA-PA",78,34,13,8,9,15,58,96,165,335,482,612,654,633,658,568,496,381,309,226,191,137,91,84
249,vt8_Ihala,2020/04/04,1,"12 KAIP",2,2,,,,1,2,4,2,3,5,2,8,8,8,8,3,3,2,1,2,1,,1
249,vt8_Ihala,2020/04/04,1,"13 Linja-autot",,,,,,,,1,2,4,2,6,6,6,3,10,2,9,6,1,6,3,1,1
249,vt8_Ihala,2020/04/04,1,"14 KAPP",,,,,,,1,11,12,5,4,3,4,2,1,5,2,1,1,8,19,2,,2
249,vt8_Ihala,2020/04/04,1,"15 KATP",4,,1,1,1,1,2,31,14,10,9,5,16,10,14,8,8,6,8,8,15,3,3,3
249,vt8_Ihala,2020/04/04,1,"16 HA + PK",,,,,,,3,6,1,13,22,12,13,24,14,17,8,4,6,1,2,,2,
249,vt8_Ihala,2020/04/04,1,"17 HA + AV",,,,,,,1,1,1,1,,3,1,1,,1,,2,1,,2,1,,
249,vt8_Ihala,2020/04/04,2,"11 HA-PA",84,40,32,23,20,56,108,74,137,208,358,448,492,557,606,536,519,513,442,345,274,231,165,78
249,vt8_Ihala,2020/04/04,2,"12 KAIP",1,,,1,3,,4,3,6,2,1,5,6,2,5,,4,1,2,3,,1,1,2
249,vt8_Ihala,2020/04/04,2,"13 Linja-autot",,,,,,,,1,1,,3,1,3,,1,2,2,1,,2,,,,
249,vt8_Ihala,2020/04/04,2,"14 KAPP",2,1,1,1,1,1,6,1,4,,2,1,2,4,1,5,2,2,6,7,2,2,2,1
249,vt8_Ihala,2020/04/04,2,"15 KATP",,5,9,4,3,5,8,1,3,3,2,4,3,8,2,3,3,7,4,4,,2,2,1
249,vt8_Ihala,2020/04/04,2,"16 HA + PK",,,,,,,1,,3,6,8,6,14,10,17,15,7,12,7,7,2,3,1,
249,vt8_Ihala,2020/04/04,2,"17 HA + AV",,,1,,,,,1,,,1,1,1,,1,,,,,1,,,,
249,vt8_Ihala,2020/04/05,1,"11 HA-PA",54,41,27,18,15,23,38,66,97,125,308,456,489,539,515,472,431,408,292,229,165,113,47,27
249,vt8_Ihala,2020/04/05,1,"12 KAIP",,2,,,,,,,1,3,4,3,6,6,4,8,6,6,4,1,1,2,,1
249,vt8_Ihala,2020/04/05,1,"13 Linja-autot",,,1,1,,,,,1,3,5,3,4,7,7,9,12,6,7,3,4,1,,
249,vt8_Ihala,2020/04/05,1,"14 KAPP",,,,,,,,6,1,3,2,4,3,3,,4,2,5,4,10,22,1,1,
249,vt8_Ihala,2020/04/05,1,"15 KATP",3,,,,1,,,12,2,6,5,5,12,5,11,8,18,15,10,13,13,8,2,1
249,vt8_Ihala,2020/04/05,1,"16 HA + PK",1,,,,,,3,,,2,8,12,9,10,1,8,7,5,7,1,2,,,2
249,vt8_Ihala,2020/04/05,1,"17 HA + AV",,,,,,,,,,,,,,1,,,2,1,,,,,,
249,vt8_Ihala,2020/04/05,2,"11 HA-PA",113,59,30,43,20,30,93,46,55,118,227,310,422,438,544,546,526,570,508,389,289,227,112,48
249,vt8_Ihala,2020/04/05,2,"12 KAIP",,1,1,,,,,,2,,1,1,3,1,2,2,1,8,8,1,3,,4,2
249,vt8_Ihala,2020/04/05,2,"13 Linja-autot",,,,,,,,,,1,,2,,1,3,,4,,,2,1,,,
249,vt8_Ihala,2020/04/05,2,"14 KAPP",2,,1,,2,1,3,1,1,,1,3,4,3,,1,9,7,18,9,2,,1,1
249,vt8_Ihala,2020/04/05,2,"15 KATP",3,,,1,1,,3,10,1,,1,,2,4,3,1,4,8,13,10,5,2,,2
249,vt8_Ihala,2020/04/05,2,"16 HA + PK",,,,,,,1,,,2,8,10,4,6,11,8,6,15,12,10,5,4,,1
249,vt8_Ihala,2020/04/05,2,"17 HA + AV",,,,,,,,,,1,,,,,,1,2,,,,1,,,
249,vt8_Ihala,2020/04/06,1,"11 HA-PA",12,10,6,10,18,88,308,486,399,416,479,541,522,586,633,1079,991,603,488,337,219,97,79,25
