"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
303,vt7_Hamina_Ruissalo,2020/04/01,1,"11 HA-PA",3,3,1,1,4,14,47,56,55,51,51,71,67,77,87,155,129,90,60,45,37,32,39,11
303,vt7_Hamina_Ruissalo,2020/04/01,1,"12 KAIP",,5,,,,2,7,5,2,6,4,1,5,6,5,3,4,1,2,,,,,
303,vt7_Hamina_Ruissalo,2020/04/01,1,"13 Linja-autot",,,,,,,,1,,1,,2,1,1,1,1,1,,,,,,,
303,vt7_Hamina_Ruissalo,2020/04/01,1,"14 KAPP",2,2,,1,4,1,3,5,7,9,9,8,11,12,12,10,15,12,16,3,,1,4,5
303,vt7_Hamina_Ruissalo,2020/04/01,1,"15 KATP",10,5,2,1,7,3,8,17,8,13,12,17,10,16,10,8,12,8,7,10,8,4,7,4
303,vt7_Hamina_Ruissalo,2020/04/01,1,"16 HA + PK",,,,,,,2,1,,5,1,2,1,1,2,2,2,2,,,,1,,
303,vt7_Hamina_Ruissalo,2020/04/01,1,"17 HA + AV",,,,,,,,,,,,,,,1,,,,,,,1,,
303,vt7_Hamina_Ruissalo,2020/04/01,2,"11 HA-PA",,4,2,2,13,66,159,139,52,50,51,78,71,108,81,91,71,72,61,41,41,17,19,8
303,vt7_Hamina_Ruissalo,2020/04/01,2,"12 KAIP",2,,,,3,2,3,3,2,5,5,5,1,4,3,3,6,1,1,1,1,1,1,
303,vt7_Hamina_Ruissalo,2020/04/01,2,"13 Linja-autot",,,,,,,,,,,,2,,2,,2,,,,,,,,
303,vt7_Hamina_Ruissalo,2020/04/01,2,"14 KAPP",2,3,6,2,3,2,8,2,11,18,12,19,10,15,8,11,7,10,5,12,7,1,2,5
303,vt7_Hamina_Ruissalo,2020/04/01,2,"15 KATP",5,4,1,5,7,7,17,11,9,14,23,15,20,16,11,10,16,6,10,10,7,6,6,3
303,vt7_Hamina_Ruissalo,2020/04/01,2,"16 HA + PK",,,,,,1,1,2,,1,,2,1,3,3,1,3,3,3,1,,,,
303,vt7_Hamina_Ruissalo,2020/04/01,2,"17 HA + AV",,,2,,,,2,1,,,2,,,1,,,,,,,,,,
303,vt7_Hamina_Ruissalo,2020/04/02,1,"11 HA-PA",7,5,3,3,3,7,39,49,53,33,45,68,51,88,111,159,135,95,48,56,40,33,25,7
303,vt7_Hamina_Ruissalo,2020/04/02,1,"12 KAIP",,1,,,,1,2,3,6,5,3,2,3,4,1,3,6,4,2,,2,,1,1
303,vt7_Hamina_Ruissalo,2020/04/02,1,"13 Linja-autot",,,,,,,,,,1,,,2,,,2,3,,,,,,,
303,vt7_Hamina_Ruissalo,2020/04/02,1,"14 KAPP",4,2,2,,2,3,3,5,4,12,18,17,11,11,15,24,16,19,8,5,4,3,2,4
303,vt7_Hamina_Ruissalo,2020/04/02,1,"15 KATP",6,5,7,,2,7,10,11,11,21,11,16,22,9,16,8,11,8,8,6,12,9,8,5
303,vt7_Hamina_Ruissalo,2020/04/02,1,"16 HA + PK",,,,,,,1,,,1,1,1,1,3,3,4,4,4,4,2,,,,1
303,vt7_Hamina_Ruissalo,2020/04/02,1,"17 HA + AV",1,,,,,,,1,3,1,,,,,,2,1,1,1,,,,,
303,vt7_Hamina_Ruissalo,2020/04/02,2,"11 HA-PA",4,4,2,5,11,67,170,123,65,53,50,61,84,92,70,93,76,62,73,45,47,30,13,8
303,vt7_Hamina_Ruissalo,2020/04/02,2,"12 KAIP",,1,,1,,1,5,4,2,1,6,4,3,3,3,6,5,,3,1,1,1,,1
303,vt7_Hamina_Ruissalo,2020/04/02,2,"13 Linja-autot",,,,,,2,1,,,,1,2,,,1,,1,1,1,1,,,,
303,vt7_Hamina_Ruissalo,2020/04/02,2,"14 KAPP",3,6,2,5,6,7,7,3,14,23,11,6,25,16,14,13,6,7,13,13,9,13,2,5
303,vt7_Hamina_Ruissalo,2020/04/02,2,"15 KATP",1,6,1,2,2,8,14,13,19,16,17,15,12,16,11,11,4,8,12,13,7,8,5,6
303,vt7_Hamina_Ruissalo,2020/04/02,2,"16 HA + PK",,,,,,,2,1,2,1,2,2,4,1,2,4,3,2,3,2,1,,,
303,vt7_Hamina_Ruissalo,2020/04/02,2,"17 HA + AV",,,,1,1,,,,,,,,,,,,,,,,,,,
303,vt7_Hamina_Ruissalo,2020/04/03,1,"11 HA-PA",8,4,1,5,3,10,38,54,57,50,68,73,82,96,138,191,150,99,69,47,46,36,30,5
303,vt7_Hamina_Ruissalo,2020/04/03,1,"12 KAIP",,,,,,2,4,4,4,5,4,3,7,4,2,2,4,3,2,3,1,,3,1
303,vt7_Hamina_Ruissalo,2020/04/03,1,"13 Linja-autot",,,,,,,,1,,2,,,,1,,1,,,1,,,,,
303,vt7_Hamina_Ruissalo,2020/04/03,1,"14 KAPP",2,4,,,1,,3,5,5,14,16,19,25,19,22,12,22,21,9,9,5,5,1,4
303,vt7_Hamina_Ruissalo,2020/04/03,1,"15 KATP",8,1,1,2,2,4,4,6,12,10,8,18,10,10,14,8,13,5,10,8,3,4,7,2
303,vt7_Hamina_Ruissalo,2020/04/03,1,"16 HA + PK",,,,,,,2,2,1,3,4,5,7,3,4,4,2,5,2,1,3,1,,2
303,vt7_Hamina_Ruissalo,2020/04/03,1,"17 HA + AV",,,,,,,,,,1,2,4,1,1,2,,2,1,,1,,,,
303,vt7_Hamina_Ruissalo,2020/04/03,2,"11 HA-PA",3,4,5,3,14,63,140,111,71,59,57,79,106,100,83,80,92,73,63,50,34,32,20,12
303,vt7_Hamina_Ruissalo,2020/04/03,2,"12 KAIP",,,,,1,1,5,2,7,6,6,2,8,,6,4,3,1,1,,1,,,1
303,vt7_Hamina_Ruissalo,2020/04/03,2,"13 Linja-autot",,,,,,,,1,,,,4,1,1,,,,,,,,,,
303,vt7_Hamina_Ruissalo,2020/04/03,2,"14 KAPP",5,5,4,7,2,7,7,9,11,6,8,10,10,5,8,11,6,8,2,6,2,2,2,1
303,vt7_Hamina_Ruissalo,2020/04/03,2,"15 KATP",3,4,3,1,1,13,6,9,11,9,8,12,9,9,9,10,6,9,4,5,2,2,4,2
303,vt7_Hamina_Ruissalo,2020/04/03,2,"16 HA + PK",,,,,,,,3,,1,3,,3,11,2,3,1,2,5,2,,,,
303,vt7_Hamina_Ruissalo,2020/04/03,2,"17 HA + AV",,1,1,,,,1,1,,1,,,,,,,,,,,,,,
303,vt7_Hamina_Ruissalo,2020/04/04,1,"11 HA-PA",6,7,1,1,7,6,25,37,31,71,100,95,110,88,82,72,59,34,50,36,30,20,18,12
303,vt7_Hamina_Ruissalo,2020/04/04,1,"12 KAIP",,,,,1,,1,,2,1,3,1,2,2,2,,2,1,,,1,,,
303,vt7_Hamina_Ruissalo,2020/04/04,1,"13 Linja-autot",,,,,,,,,,,,1,2,,,,1,,,,,,,1
303,vt7_Hamina_Ruissalo,2020/04/04,1,"14 KAPP",6,5,1,,,1,2,,6,7,5,7,5,4,4,5,7,3,1,2,,,,4
303,vt7_Hamina_Ruissalo,2020/04/04,1,"15 KATP",3,3,2,2,,1,2,4,6,4,5,3,5,3,,4,,2,2,2,2,3,1,1
303,vt7_Hamina_Ruissalo,2020/04/04,1,"16 HA + PK",,1,,,,,,1,3,12,4,11,6,1,5,7,5,,,1,1,,,
303,vt7_Hamina_Ruissalo,2020/04/04,1,"17 HA + AV",,,,,,,1,,,,1,,,1,,,1,,,,,,,
303,vt7_Hamina_Ruissalo,2020/04/04,2,"11 HA-PA",4,6,8,3,7,22,25,32,31,40,52,65,90,74,92,106,98,85,80,22,46,16,21,16
303,vt7_Hamina_Ruissalo,2020/04/04,2,"12 KAIP",2,,,,,,1,,,,,1,,2,1,1,2,2,,1,,,,
303,vt7_Hamina_Ruissalo,2020/04/04,2,"13 Linja-autot",,1,,,,,,2,,,,,,,,1,,,,,,,,
303,vt7_Hamina_Ruissalo,2020/04/04,2,"14 KAPP",1,1,3,,,,2,3,7,2,9,4,6,4,4,10,5,3,6,8,2,7,1,5
303,vt7_Hamina_Ruissalo,2020/04/04,2,"15 KATP",3,2,3,1,1,,6,,2,1,2,3,1,1,1,1,3,2,1,4,,,1,
303,vt7_Hamina_Ruissalo,2020/04/04,2,"16 HA + PK",,,,,,,,,4,1,1,4,2,2,4,5,6,9,1,4,1,,,
303,vt7_Hamina_Ruissalo,2020/04/04,2,"17 HA + AV",,,,,,,,,,,,1,,,,1,,,,,,,,
303,vt7_Hamina_Ruissalo,2020/04/05,1,"11 HA-PA",9,4,2,2,3,4,11,22,17,42,79,87,83,74,73,65,70,60,54,41,38,18,13,7
303,vt7_Hamina_Ruissalo,2020/04/05,1,"12 KAIP",,,,,,,,,,1,1,1,,,1,1,,1,,,1,1,,1
303,vt7_Hamina_Ruissalo,2020/04/05,1,"13 Linja-autot",,,,,,,,,,,,1,1,,,,,,,,,,,
303,vt7_Hamina_Ruissalo,2020/04/05,1,"14 KAPP",7,,,1,,,,,4,12,3,8,6,2,2,5,3,3,4,,2,,,8
303,vt7_Hamina_Ruissalo,2020/04/05,1,"15 KATP",2,,1,,2,,3,1,4,2,5,4,5,2,5,3,4,1,1,5,2,,2,1
303,vt7_Hamina_Ruissalo,2020/04/05,1,"16 HA + PK",,,,,,,,1,1,5,1,7,3,3,,4,2,2,,,,2,,
303,vt7_Hamina_Ruissalo,2020/04/05,1,"17 HA + AV",,,,,,,,,,,,,,,,2,,,,1,,,,
303,vt7_Hamina_Ruissalo,2020/04/05,2,"11 HA-PA",12,6,4,4,3,11,25,22,12,24,45,71,74,101,104,113,106,105,87,73,53,31,16,13
303,vt7_Hamina_Ruissalo,2020/04/05,2,"12 KAIP",,1,,,,,1,,,1,1,,,2,2,,1,2,1,1,1,3,,
303,vt7_Hamina_Ruissalo,2020/04/05,2,"13 Linja-autot",,1,,,,,,,1,,,,,,,2,,,,,,,,
303,vt7_Hamina_Ruissalo,2020/04/05,2,"14 KAPP",5,6,3,3,1,1,4,3,10,8,8,6,10,9,9,9,14,14,6,12,4,4,1,5
303,vt7_Hamina_Ruissalo,2020/04/05,2,"15 KATP",,,2,,1,1,2,,1,2,2,3,3,5,2,,5,3,5,,3,4,3,5
303,vt7_Hamina_Ruissalo,2020/04/05,2,"16 HA + PK",,,,,,,,,,2,2,2,4,6,3,4,7,11,7,3,2,1,,
303,vt7_Hamina_Ruissalo,2020/04/05,2,"17 HA + AV",,,,,,,1,,,,,,,1,1,,1,,2,,1,,,
303,vt7_Hamina_Ruissalo,2020/04/06,1,"11 HA-PA",4,3,1,1,2,22,56,76,52,54,74,55,80,68,90,161,108,94,52,46,31,48,21,8
303,vt7_Hamina_Ruissalo,2020/04/06,1,"12 KAIP",,,,,1,1,2,3,,5,9,7,4,4,2,2,5,1,,2,1,,1,
303,vt7_Hamina_Ruissalo,2020/04/06,1,"13 Linja-autot",,,1,,,,,1,,,,1,,,,1,4,1,,,,,,
303,vt7_Hamina_Ruissalo,2020/04/06,1,"14 KAPP",,1,,,2,,1,7,8,8,19,21,19,15,24,19,20,17,16,7,8,6,4,3
303,vt7_Hamina_Ruissalo,2020/04/06,1,"15 KATP",2,3,,2,2,3,7,11,9,7,19,13,19,14,12,13,17,16,9,11,6,2,2,10
303,vt7_Hamina_Ruissalo,2020/04/06,1,"16 HA + PK",,,,,1,,,1,3,4,7,3,4,4,3,2,5,4,2,,2,,,
303,vt7_Hamina_Ruissalo,2020/04/06,1,"17 HA + AV",,,,,,,,1,2,1,2,2,1,,,,,1,2,1,,,,
303,vt7_Hamina_Ruissalo,2020/04/06,2,"11 HA-PA",5,3,3,5,23,82,180,145,74,82,62,67,71,99,64,89,87,68,49,39,30,20,15,3
303,vt7_Hamina_Ruissalo,2020/04/06,2,"12 KAIP",1,1,2,,1,1,5,,3,6,4,,5,7,6,4,1,2,1,,,1,1,
303,vt7_Hamina_Ruissalo,2020/04/06,2,"13 Linja-autot",,,,1,,,2,,2,,,,,,,1,,1,1,,,,,1
303,vt7_Hamina_Ruissalo,2020/04/06,2,"14 KAPP",6,6,7,3,4,6,13,11,13,20,15,10,16,18,20,12,11,10,11,7,10,4,6,7
303,vt7_Hamina_Ruissalo,2020/04/06,2,"15 KATP",4,2,3,1,4,10,17,10,11,17,10,12,15,8,12,15,11,6,12,11,8,8,4,1
303,vt7_Hamina_Ruissalo,2020/04/06,2,"16 HA + PK",,,,,,1,4,2,3,2,5,2,2,5,6,3,5,5,2,,,1,,
303,vt7_Hamina_Ruissalo,2020/04/06,2,"17 HA + AV",,,2,,,,1,1,,,,,,,,1,1,1,,1,1,,,
303,vt7_Hamina_Ruissalo,2020/04/07,1,"11 HA-PA",8,4,3,2,2,8,53,79,71,90,90,98,67,90,89,165,146,100,72,56,26,37,26,9
