"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
307,vt7_Virolahti_Virojoki,2020/04/01,1,"11 HA-PA",,1,2,2,1,10,27,23,29,21,20,30,35,42,34,49,65,29,23,19,15,11,7,3
307,vt7_Virolahti_Virojoki,2020/04/01,1,"12 KAIP",,,2,,1,,1,3,3,6,3,2,1,3,3,2,2,3,2,1,,1,,
307,vt7_Virolahti_Virojoki,2020/04/01,1,"13 Linja-autot",,,,,,,,1,,,,,,,,,,,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/01,1,"14 KAPP",3,1,2,,1,1,1,2,5,6,10,13,7,5,15,16,15,9,16,13,4,1,2,1
307,vt7_Virolahti_Virojoki,2020/04/01,1,"15 KATP",1,,,1,,,1,,3,3,1,2,,2,4,2,2,,1,1,,,,1
307,vt7_Virolahti_Virojoki,2020/04/01,1,"16 HA + PK",,,,,,,,,,2,2,1,1,2,1,1,,3,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/01,1,"17 HA + AV",,,1,,,,,1,,1,1,,,,,,,,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/01,2,"11 HA-PA",,1,,4,2,24,39,36,18,21,16,30,32,42,37,52,41,22,28,11,10,11,12,4
307,vt7_Virolahti_Virojoki,2020/04/01,2,"12 KAIP",1,1,1,3,2,2,1,4,4,2,4,3,3,3,,3,4,3,1,,,,1,
307,vt7_Virolahti_Virojoki,2020/04/01,2,"14 KAPP",1,7,3,1,4,1,2,5,12,15,9,8,22,5,3,8,4,8,9,9,4,1,4,4
307,vt7_Virolahti_Virojoki,2020/04/01,2,"15 KATP",,,,1,,2,2,1,,1,1,5,5,1,,,1,3,1,1,,1,,
307,vt7_Virolahti_Virojoki,2020/04/01,2,"16 HA + PK",,,,,,2,,,1,1,,2,,2,1,1,1,2,1,1,,,,
307,vt7_Virolahti_Virojoki,2020/04/01,2,"17 HA + AV",,,,,,,,,,,,1,,,,,,,,,1,,,
307,vt7_Virolahti_Virojoki,2020/04/02,1,"11 HA-PA",4,1,2,3,1,11,24,27,29,23,22,31,26,40,36,36,58,29,29,16,14,17,9,1
307,vt7_Virolahti_Virojoki,2020/04/02,1,"12 KAIP",1,,1,1,,,2,3,4,1,3,4,2,7,3,3,1,4,1,,1,,,
307,vt7_Virolahti_Virojoki,2020/04/02,1,"13 Linja-autot",,,,,,,,,1,,,,,,,,1,,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/02,1,"14 KAPP",6,6,1,2,,,,2,1,14,16,14,21,9,13,17,24,20,15,6,4,3,1,2
307,vt7_Virolahti_Virojoki,2020/04/02,1,"15 KATP",1,,1,,,1,1,3,3,2,6,2,,4,3,1,5,2,3,,2,4,1,1
307,vt7_Virolahti_Virojoki,2020/04/02,1,"16 HA + PK",,,,,,,2,1,,1,1,,,,2,2,,1,,1,,,,
307,vt7_Virolahti_Virojoki,2020/04/02,1,"17 HA + AV",,,,,,,,,1,1,1,1,,,,,,,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/02,2,"11 HA-PA",2,,2,,1,25,41,35,24,27,25,31,33,23,37,53,29,22,14,17,12,8,14,4
307,vt7_Virolahti_Virojoki,2020/04/02,2,"12 KAIP",,2,,2,1,,1,3,2,2,5,5,7,1,3,3,1,2,4,1,3,2,1,
307,vt7_Virolahti_Virojoki,2020/04/02,2,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/02,2,"14 KAPP",2,4,6,6,2,6,1,6,19,14,7,9,10,7,12,7,5,7,10,9,14,7,2,4
307,vt7_Virolahti_Virojoki,2020/04/02,2,"15 KATP",,2,,,,1,1,1,5,4,3,2,,1,,3,1,1,3,4,,,,3
307,vt7_Virolahti_Virojoki,2020/04/02,2,"16 HA + PK",,,,,,,,,1,,1,2,,,,1,2,1,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/02,2,"17 HA + AV",,,,,,,,1,1,1,,,,2,,,,,,,1,,,
307,vt7_Virolahti_Virojoki,2020/04/03,1,"11 HA-PA",1,,2,1,,6,29,24,30,29,23,28,43,40,49,66,61,52,27,19,27,18,12,3
307,vt7_Virolahti_Virojoki,2020/04/03,1,"12 KAIP",,,,,,2,1,1,,2,7,4,4,1,4,3,1,3,2,1,3,1,,3
307,vt7_Virolahti_Virojoki,2020/04/03,1,"13 Linja-autot",,,,,,,,,,1,,,,,,,,,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/03,1,"14 KAPP",5,8,,,2,,,5,5,7,10,23,27,22,30,23,24,29,10,15,6,6,8,3
307,vt7_Virolahti_Virojoki,2020/04/03,1,"15 KATP",2,3,,,,2,1,,2,2,,3,3,1,2,2,3,1,2,2,2,1,1,1
307,vt7_Virolahti_Virojoki,2020/04/03,1,"16 HA + PK",,,,,,,,2,,,,,1,,3,1,1,1,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/03,1,"17 HA + AV",,,,,,,,1,,,,,,,,,,,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/03,2,"11 HA-PA",2,,1,,2,22,32,29,25,27,32,34,46,40,29,46,29,23,32,13,6,11,14,4
307,vt7_Virolahti_Virojoki,2020/04/03,2,"12 KAIP",3,1,,1,,,,2,2,3,1,3,,2,4,3,2,2,1,,1,,,1
307,vt7_Virolahti_Virojoki,2020/04/03,2,"14 KAPP",4,4,1,3,2,5,3,9,6,6,8,8,7,3,4,8,4,3,5,3,,,1,
307,vt7_Virolahti_Virojoki,2020/04/03,2,"15 KATP",,,,1,,2,1,4,1,,2,,1,,1,2,3,,,1,,,1,2
307,vt7_Virolahti_Virojoki,2020/04/03,2,"16 HA + PK",,,,,,,,1,,,,,2,,1,,,2,1,1,,,,
307,vt7_Virolahti_Virojoki,2020/04/03,2,"17 HA + AV",,,1,,,,,,1,,,,,1,,,,,1,,,,,
307,vt7_Virolahti_Virojoki,2020/04/04,1,"11 HA-PA",1,2,3,2,3,8,12,7,14,31,36,29,32,45,42,23,21,22,12,17,8,14,3,2
307,vt7_Virolahti_Virojoki,2020/04/04,1,"12 KAIP",,2,,,,,1,,1,1,2,2,,2,2,1,1,1,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/04,1,"14 KAPP",5,10,4,1,1,2,3,2,2,9,8,9,8,7,7,4,3,3,4,2,1,,,2
307,vt7_Virolahti_Virojoki,2020/04/04,1,"15 KATP",2,,,,,,,,2,,1,1,,,,2,,1,1,,,,,
307,vt7_Virolahti_Virojoki,2020/04/04,1,"16 HA + PK",,,,,,,,1,1,2,5,4,3,1,1,,1,1,1,1,1,,,
307,vt7_Virolahti_Virojoki,2020/04/04,1,"17 HA + AV",,,,,,,,1,,,1,,,,1,,1,,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/04,2,"11 HA-PA",3,4,3,,,5,6,19,7,14,20,16,27,29,36,30,32,37,19,15,13,3,18,4
307,vt7_Virolahti_Virojoki,2020/04/04,2,"12 KAIP",1,2,,,,,,1,,3,1,,,2,,3,,,2,1,,,,
307,vt7_Virolahti_Virojoki,2020/04/04,2,"14 KAPP",,1,1,,1,5,1,6,3,1,5,2,7,4,5,10,9,5,7,9,10,2,2,6
307,vt7_Virolahti_Virojoki,2020/04/04,2,"15 KATP",,1,,,,,1,,,,1,,1,,,,,1,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/04,2,"16 HA + PK",,,,,,,,,,2,,1,,3,,5,,2,,3,,,,
307,vt7_Virolahti_Virojoki,2020/04/05,1,"11 HA-PA",4,2,1,1,1,5,13,4,13,10,19,18,39,37,30,17,16,18,16,10,12,17,4,2
307,vt7_Virolahti_Virojoki,2020/04/05,1,"12 KAIP",,,,,,,,,,,,2,1,2,,1,1,,,,1,,,
307,vt7_Virolahti_Virojoki,2020/04/05,1,"14 KAPP",9,5,,1,,,,1,,8,11,6,12,1,3,3,3,2,1,1,,,,1
307,vt7_Virolahti_Virojoki,2020/04/05,1,"15 KATP",2,,,,,,,,,1,1,1,,,,,,,,,,,,
307,vt7_Virolahti_Virojoki,2020/04/05,1,"16 HA + PK",,,,,,,,,1,3,1,1,3,2,,2,,,,,,,,
