"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
402,st130_Jutikkala,2020/04/01,1,"11 HA-PA",2,1,,2,4,20,29,24,26,24,31,29,31,33,41,78,87,54,44,25,17,10,12,6
402,st130_Jutikkala,2020/04/01,1,"12 KAIP",,,,1,,1,1,1,2,3,1,1,2,,1,2,,2,2,,1,,,
402,st130_Jutikkala,2020/04/01,1,"13 Linja-autot",,,,,,,,,,1,,,,,,1,,,,,,,1,
402,st130_Jutikkala,2020/04/01,1,"14 KAPP",,,,,,,1,1,3,,2,6,2,2,4,3,2,1,1,1,,,,1
402,st130_Jutikkala,2020/04/01,1,"15 KATP",1,2,,,,1,,2,10,4,1,3,2,7,4,3,3,4,3,2,1,2,2,
402,st130_Jutikkala,2020/04/01,1,"16 HA + PK",,,,,,,,,2,1,1,1,,1,4,3,,,3,2,1,,,
402,st130_Jutikkala,2020/04/01,1,"17 HA + AV",,,,,,1,,,,1,,,,,,,1,,,,,,,
402,st130_Jutikkala,2020/04/01,2,"11 HA-PA",,,1,3,4,24,57,47,28,24,31,30,39,45,55,47,45,45,31,27,18,6,6,3
402,st130_Jutikkala,2020/04/01,2,"12 KAIP",,1,,,,,2,2,,3,3,2,2,2,1,2,2,2,1,,,1,,
402,st130_Jutikkala,2020/04/01,2,"13 Linja-autot",,,,,,1,,,,1,,,1,,,,,1,,,,,,
402,st130_Jutikkala,2020/04/01,2,"14 KAPP",,1,,,1,,1,,1,4,2,6,2,3,,3,,1,1,2,3,,,
402,st130_Jutikkala,2020/04/01,2,"15 KATP",,1,2,,1,1,3,8,2,5,7,2,6,4,5,2,1,1,3,2,1,,1,
402,st130_Jutikkala,2020/04/01,2,"16 HA + PK",,,,,1,1,,1,,3,1,1,2,1,1,2,,,1,,,1,,
402,st130_Jutikkala,2020/04/01,2,"17 HA + AV",,,,,,,,,,1,,2,,,,,,,,1,1,,,
402,st130_Jutikkala,2020/04/02,1,"11 HA-PA",3,1,2,,5,22,22,24,22,20,19,25,32,30,39,82,77,34,27,30,22,10,15,3
402,st130_Jutikkala,2020/04/02,1,"12 KAIP",,,,,,1,,1,,1,4,1,,2,3,,2,2,2,,,,1,
402,st130_Jutikkala,2020/04/02,1,"13 Linja-autot",,,,,,,,1,1,,,,,1,,,,,,,,,,
402,st130_Jutikkala,2020/04/02,1,"14 KAPP",,,,,,2,1,2,3,2,2,1,6,4,2,5,1,3,3,,,,1,1
402,st130_Jutikkala,2020/04/02,1,"15 KATP",,,,2,2,,2,5,3,1,1,4,6,3,3,7,6,3,4,1,1,3,,2
402,st130_Jutikkala,2020/04/02,1,"16 HA + PK",,,,,,2,,,,,,1,,,4,1,1,3,1,2,1,,,
402,st130_Jutikkala,2020/04/02,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,1,,,,,
402,st130_Jutikkala,2020/04/02,2,"11 HA-PA",1,3,3,1,8,26,56,41,27,21,25,21,38,35,59,57,42,23,28,26,12,7,5,
402,st130_Jutikkala,2020/04/02,2,"12 KAIP",,1,,,,1,,1,2,2,,1,1,3,2,1,1,1,,,,,,
402,st130_Jutikkala,2020/04/02,2,"13 Linja-autot",,,,,,1,,,,1,,,1,,,,1,,,,,,,
402,st130_Jutikkala,2020/04/02,2,"14 KAPP",,,,,,,,4,5,3,4,5,4,,4,2,2,,2,3,3,,,1
402,st130_Jutikkala,2020/04/02,2,"15 KATP",,,1,1,1,3,3,5,10,4,4,4,10,4,2,4,3,3,8,4,3,1,1,
402,st130_Jutikkala,2020/04/02,2,"16 HA + PK",,,,,,,,1,,,,,2,2,,1,1,1,1,2,,,,
402,st130_Jutikkala,2020/04/02,2,"17 HA + AV",,,,,,,,1,,,,,,,,,1,,,,,,,
402,st130_Jutikkala,2020/04/03,1,"11 HA-PA",2,,3,1,2,20,19,19,23,17,26,29,28,55,60,68,73,52,30,25,21,14,11,10
402,st130_Jutikkala,2020/04/03,1,"12 KAIP",,,,3,,1,3,3,1,2,1,2,3,2,,2,1,1,,1,,,,1
402,st130_Jutikkala,2020/04/03,1,"13 Linja-autot",,,,,,,,,,1,2,,,,,,,,,,,,1,
402,st130_Jutikkala,2020/04/03,1,"14 KAPP",,,,,,1,2,3,3,4,3,,3,2,2,1,2,1,1,1,,,,1
402,st130_Jutikkala,2020/04/03,1,"15 KATP",1,1,2,1,1,1,7,5,5,9,6,5,11,4,7,2,1,1,8,3,1,,1,1
402,st130_Jutikkala,2020/04/03,1,"16 HA + PK",,,,,,,,,1,1,1,2,,3,2,1,2,,,2,2,,,
402,st130_Jutikkala,2020/04/03,2,"11 HA-PA",3,1,,,10,22,48,47,27,20,23,30,37,48,64,60,45,37,32,19,15,6,7,5
402,st130_Jutikkala,2020/04/03,2,"12 KAIP",1,,,,,,3,,1,5,2,4,3,,,1,,,,,,,,1
402,st130_Jutikkala,2020/04/03,2,"13 Linja-autot",,,,,,1,1,,,,,,1,1,,,,,,,,,,
402,st130_Jutikkala,2020/04/03,2,"14 KAPP",,,,,,1,,3,1,7,1,4,7,2,4,4,2,1,,3,,,,
402,st130_Jutikkala,2020/04/03,2,"15 KATP",,1,3,2,1,2,2,10,10,4,7,6,3,4,8,3,2,,2,2,2,2,,
402,st130_Jutikkala,2020/04/03,2,"16 HA + PK",,,,1,,,,1,,,1,1,2,2,2,2,2,,1,1,,,,
402,st130_Jutikkala,2020/04/03,2,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,,,
