"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
405,vt10_Hämeenlinna,2020/04/01,1,"11 HA-PA",10,4,2,1,5,32,57,78,87,74,75,93,104,118,145,235,230,148,109,68,44,42,30,14
405,vt10_Hämeenlinna,2020/04/01,1,"12 KAIP",,,,,,2,4,7,7,3,4,6,6,6,4,7,4,3,6,2,,1,3,2
405,vt10_Hämeenlinna,2020/04/01,1,"13 Linja-autot",,,,,,,1,1,1,,,1,,1,1,1,1,2,1,1,,,,
405,vt10_Hämeenlinna,2020/04/01,1,"14 KAPP",,2,,,,1,,2,3,5,7,7,5,4,5,3,3,2,,2,,1,2,
405,vt10_Hämeenlinna,2020/04/01,1,"15 KATP",1,3,1,,8,4,1,5,6,4,5,9,7,7,6,8,8,6,6,13,8,3,4,2
405,vt10_Hämeenlinna,2020/04/01,1,"16 HA + PK",,1,,,,,3,1,1,,5,4,2,5,4,10,3,7,2,2,1,,,1
405,vt10_Hämeenlinna,2020/04/01,1,"17 HA + AV",,,,,,,2,1,1,1,1,1,,1,,1,,,,,,,,
405,vt10_Hämeenlinna,2020/04/01,2,"11 HA-PA",5,5,3,1,22,88,161,162,96,101,103,99,96,107,109,122,132,101,91,67,45,46,11,13
405,vt10_Hämeenlinna,2020/04/01,2,"12 KAIP",,1,,,2,3,6,8,7,6,4,6,7,6,10,3,7,2,2,2,1,1,1,
405,vt10_Hämeenlinna,2020/04/01,2,"13 Linja-autot",,,,,,,1,1,1,,,2,,2,,,1,,1,,1,,,
405,vt10_Hämeenlinna,2020/04/01,2,"14 KAPP",,2,1,,,1,5,2,3,4,3,5,2,4,4,5,5,4,5,3,1,2,2,1
405,vt10_Hämeenlinna,2020/04/01,2,"15 KATP",3,1,1,7,1,7,3,4,7,11,2,12,8,2,11,9,15,1,9,7,5,5,3,2
405,vt10_Hämeenlinna,2020/04/01,2,"16 HA + PK",,,,1,,1,1,4,3,5,,1,4,4,9,1,11,3,2,3,2,2,2,1
405,vt10_Hämeenlinna,2020/04/01,2,"17 HA + AV",,,,,,,1,1,1,,1,1,1,,1,,,1,3,,,1,,
405,vt10_Hämeenlinna,2020/04/02,1,"11 HA-PA",6,5,6,1,9,28,66,77,76,93,62,77,100,115,155,235,214,161,91,56,62,30,29,15
