"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
442,vt4_Heinola_Lusi,2020/04/01,1,"11 HA-PA",4,4,4,1,3,17,31,46,46,52,46,53,63,75,57,87,91,87,59,41,21,20,16,10
442,vt4_Heinola_Lusi,2020/04/01,1,"12 KAIP",,1,1,,,,8,4,6,4,6,,5,5,1,2,1,2,3,3,2,2,1,
442,vt4_Heinola_Lusi,2020/04/01,1,"13 Linja-autot",,,,1,,,,,,,,,,1,1,,,,,,1,1,,
442,vt4_Heinola_Lusi,2020/04/01,1,"14 KAPP",2,1,,,1,3,1,6,6,7,14,11,14,14,4,11,11,10,13,6,7,3,1,
442,vt4_Heinola_Lusi,2020/04/01,1,"15 KATP",7,9,9,5,3,6,18,11,17,12,19,9,24,23,19,21,18,16,24,27,24,29,20,17
442,vt4_Heinola_Lusi,2020/04/01,1,"16 HA + PK",,,,,,,1,,1,2,,2,1,3,5,1,1,4,,2,,2,1,
442,vt4_Heinola_Lusi,2020/04/01,1,"17 HA + AV",,,1,,,,,,1,,2,,1,2,3,1,1,,3,,,,,
442,vt4_Heinola_Lusi,2020/04/01,2,"11 HA-PA",7,3,10,2,10,27,44,54,48,53,46,53,53,68,72,81,70,57,46,50,32,25,10,10
442,vt4_Heinola_Lusi,2020/04/01,2,"12 KAIP",,2,,,1,,3,3,1,4,4,5,4,3,4,2,6,2,4,3,3,,,2
442,vt4_Heinola_Lusi,2020/04/01,2,"13 Linja-autot",,,1,,,,,,,1,1,,,,,1,1,1,2,,,1,1,
442,vt4_Heinola_Lusi,2020/04/01,2,"14 KAPP",,1,1,,1,5,4,7,5,6,16,10,12,4,15,21,6,11,8,14,8,9,4,1
442,vt4_Heinola_Lusi,2020/04/01,2,"15 KATP",8,10,10,13,15,14,11,19,20,16,19,12,19,13,22,22,21,31,28,24,17,12,12,14
442,vt4_Heinola_Lusi,2020/04/01,2,"16 HA + PK",,,1,2,,1,2,1,4,1,3,3,2,2,2,2,3,,2,2,1,2,,1
442,vt4_Heinola_Lusi,2020/04/01,2,"17 HA + AV",,,,,,,,,,1,3,,,,,,,,1,,,,1,
442,vt4_Heinola_Lusi,2020/04/02,1,"11 HA-PA",16,7,,6,2,22,33,53,44,55,50,63,69,83,82,108,103,116,81,52,29,11,10,6
442,vt4_Heinola_Lusi,2020/04/02,1,"12 KAIP",,2,1,,,3,1,6,2,2,4,9,4,8,5,2,3,3,1,3,,,,
442,vt4_Heinola_Lusi,2020/04/02,1,"13 Linja-autot",,,,,1,,,1,,,1,2,1,1,,,,,,,,1,,
442,vt4_Heinola_Lusi,2020/04/02,1,"14 KAPP",2,2,,1,,3,1,9,3,9,16,22,8,9,7,7,6,12,13,6,5,3,1,
442,vt4_Heinola_Lusi,2020/04/02,1,"15 KATP",8,11,3,6,4,8,10,12,16,9,20,24,18,22,17,21,14,17,25,38,23,22,14,14
442,vt4_Heinola_Lusi,2020/04/02,1,"16 HA + PK",,,,,,,1,1,2,4,1,3,2,7,1,2,2,3,1,1,2,,,1
442,vt4_Heinola_Lusi,2020/04/02,1,"17 HA + AV",1,,,,,,,2,,2,3,,,,2,,1,,2,3,,,,
442,vt4_Heinola_Lusi,2020/04/02,2,"11 HA-PA",7,9,1,6,11,26,49,58,38,36,56,59,63,80,76,83,81,78,60,39,32,24,11,11
442,vt4_Heinola_Lusi,2020/04/02,2,"12 KAIP",,1,,,1,1,4,4,1,2,4,4,7,6,2,2,2,5,1,3,3,1,1,
442,vt4_Heinola_Lusi,2020/04/02,2,"13 Linja-autot",1,,1,,,,,2,1,,,,,,1,1,,,1,,1,,,1
442,vt4_Heinola_Lusi,2020/04/02,2,"14 KAPP",,1,1,,2,2,5,5,4,9,10,4,6,14,15,18,22,12,8,12,2,9,,2
442,vt4_Heinola_Lusi,2020/04/02,2,"15 KATP",10,7,16,13,16,9,12,17,14,19,25,20,9,18,22,21,22,15,20,14,14,9,12,11
442,vt4_Heinola_Lusi,2020/04/02,2,"16 HA + PK",,,1,,,1,2,3,1,,1,2,5,3,4,1,2,1,1,1,,2,1,
442,vt4_Heinola_Lusi,2020/04/02,2,"17 HA + AV",,,,,1,,,1,1,,,,,2,1,3,1,,1,,,,,
442,vt4_Heinola_Lusi,2020/04/03,1,"11 HA-PA",4,1,3,2,5,14,31,29,54,51,69,68,91,94,111,142,143,125,78,45,24,24,12,6
442,vt4_Heinola_Lusi,2020/04/03,1,"12 KAIP",,1,,,,1,9,3,5,5,3,2,1,6,6,1,1,4,2,2,1,,1,1
442,vt4_Heinola_Lusi,2020/04/03,1,"13 Linja-autot",,,,1,,,1,,,,,,,2,,,,1,,,,1,,
442,vt4_Heinola_Lusi,2020/04/03,1,"14 KAPP",1,1,1,,2,2,2,4,3,5,11,7,6,5,8,3,6,,4,1,1,2,2,1
442,vt4_Heinola_Lusi,2020/04/03,1,"15 KATP",11,10,6,7,4,7,13,12,12,10,14,14,12,21,19,12,18,10,14,25,21,10,16,16
442,vt4_Heinola_Lusi,2020/04/03,1,"16 HA + PK",,,,,,,3,,3,3,2,4,7,3,6,9,10,6,7,2,,,,
442,vt4_Heinola_Lusi,2020/04/03,1,"17 HA + AV",1,,,,,,1,1,,,,1,,1,,2,1,2,,,,,,
442,vt4_Heinola_Lusi,2020/04/03,2,"11 HA-PA",7,2,3,6,6,21,51,36,38,40,37,61,73,68,84,102,93,78,60,50,32,26,20,9
442,vt4_Heinola_Lusi,2020/04/03,2,"12 KAIP",,,,,3,1,2,1,4,2,3,4,4,3,6,4,4,6,2,4,2,,,
442,vt4_Heinola_Lusi,2020/04/03,2,"13 Linja-autot",,,,,,,,,1,,1,,,1,,1,,,1,,,,1,1
442,vt4_Heinola_Lusi,2020/04/03,2,"14 KAPP",1,2,6,1,,2,2,8,7,8,9,14,8,9,12,13,13,11,7,9,5,4,3,1
442,vt4_Heinola_Lusi,2020/04/03,2,"15 KATP",8,10,11,9,15,16,11,14,11,12,10,17,19,21,18,13,11,17,10,7,5,4,4,6
442,vt4_Heinola_Lusi,2020/04/03,2,"16 HA + PK",1,,,1,,,1,,1,1,2,1,3,3,6,4,1,2,3,1,1,,1,
442,vt4_Heinola_Lusi,2020/04/03,2,"17 HA + AV",,,,,,,,1,,,,2,1,2,,,1,1,,,,1,,1
442,vt4_Heinola_Lusi,2020/04/04,1,"11 HA-PA",7,4,,7,3,9,12,26,44,73,77,73,101,70,82,66,59,57,35,18,21,13,7,6
442,vt4_Heinola_Lusi,2020/04/04,1,"12 KAIP",,1,,1,,,,1,1,1,3,1,1,2,1,1,1,,,,1,,,1
442,vt4_Heinola_Lusi,2020/04/04,1,"13 Linja-autot",,,,1,,,,,,,,1,,1,1,1,1,2,,,,1,,
442,vt4_Heinola_Lusi,2020/04/04,1,"14 KAPP",,1,,,,,,1,,,4,3,4,2,1,2,,5,2,,1,,1,
