"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
449,vt3_Tre_Sarankulma,2020/04/01,1,"11 HA-PA",64,54,42,39,101,438,1179,1466,1028,793,747,858,1052,1174,1431,2193,1904,1261,1033,764,519,355,251,143
449,vt3_Tre_Sarankulma,2020/04/01,1,"12 KAIP",13,10,4,5,13,33,60,82,95,68,111,82,85,98,110,96,58,41,30,25,10,15,18,9
449,vt3_Tre_Sarankulma,2020/04/01,1,"13 Linja-autot",,,,,,3,5,3,1,6,3,1,4,3,6,2,2,,3,2,,,,1
449,vt3_Tre_Sarankulma,2020/04/01,1,"14 KAPP",9,13,4,13,12,12,17,23,30,40,36,39,31,42,52,31,27,24,20,21,14,15,4,3
449,vt3_Tre_Sarankulma,2020/04/01,1,"15 KATP",30,19,14,22,13,14,40,41,40,50,41,44,58,52,49,60,51,39,44,42,30,34,33,33
449,vt3_Tre_Sarankulma,2020/04/01,1,"16 HA + PK",,,,2,,2,7,10,20,13,19,24,18,22,21,28,36,26,18,12,9,5,3,
449,vt3_Tre_Sarankulma,2020/04/01,1,"17 HA + AV",1,4,2,7,5,2,5,10,6,6,8,11,4,8,6,15,8,6,4,4,4,1,,
449,vt3_Tre_Sarankulma,2020/04/01,2,"11 HA-PA",58,61,39,51,93,407,1134,1518,988,798,731,837,1003,1113,1355,1837,1885,1249,967,766,541,408,256,133
449,vt3_Tre_Sarankulma,2020/04/01,2,"12 KAIP",11,6,8,10,21,19,62,98,95,113,81,82,82,97,89,77,54,36,24,20,18,12,16,10
449,vt3_Tre_Sarankulma,2020/04/01,2,"13 Linja-autot",1,,1,,2,4,1,1,2,9,2,3,3,,3,3,4,4,4,2,1,1,1,1
449,vt3_Tre_Sarankulma,2020/04/01,2,"14 KAPP",5,4,4,5,3,4,11,18,41,43,38,35,32,34,37,41,30,37,16,10,10,5,8,1
449,vt3_Tre_Sarankulma,2020/04/01,2,"15 KATP",19,13,16,15,14,32,41,33,53,54,40,40,54,53,51,55,48,36,46,39,32,34,27,16
449,vt3_Tre_Sarankulma,2020/04/01,2,"16 HA + PK",1,,,,,1,4,10,18,22,16,19,20,32,29,31,21,28,22,10,7,3,,
449,vt3_Tre_Sarankulma,2020/04/01,2,"17 HA + AV",1,4,3,1,4,7,7,9,10,7,9,10,8,11,4,6,11,9,4,3,1,2,1,1
449,vt3_Tre_Sarankulma,2020/04/02,1,"11 HA-PA",90,60,46,52,98,446,1166,1366,1033,789,767,918,1018,1175,1500,2078,1838,1325,1000,781,457,364,240,131
449,vt3_Tre_Sarankulma,2020/04/02,1,"12 KAIP",13,7,7,5,13,45,60,64,75,97,97,87,83,94,117,96,58,40,26,25,17,25,14,9
