"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
451,vt9_Tre_Aitovuori,2020/04/01,1,"11 HA-PA",21,18,8,12,17,66,179,294,249,223,233,293,318,344,516,754,758,510,366,232,199,127,82,50
451,vt9_Tre_Aitovuori,2020/04/01,1,"12 KAIP",3,1,2,1,3,5,19,22,19,21,29,27,42,38,25,18,20,13,4,6,13,1,1,2
451,vt9_Tre_Aitovuori,2020/04/01,1,"13 Linja-autot",,,,,1,3,1,3,1,2,3,2,,2,2,,2,2,1,2,3,,,
451,vt9_Tre_Aitovuori,2020/04/01,1,"14 KAPP",3,,1,1,2,4,4,4,11,10,14,10,11,9,8,7,10,2,5,6,4,3,5,3
451,vt9_Tre_Aitovuori,2020/04/01,1,"15 KATP",4,9,10,2,5,8,14,21,24,30,26,24,20,17,29,26,14,19,23,14,16,19,24,9
451,vt9_Tre_Aitovuori,2020/04/01,1,"16 HA + PK",,,,,2,1,3,9,12,7,13,13,21,15,14,19,15,19,13,19,7,2,1,1
451,vt9_Tre_Aitovuori,2020/04/01,1,"17 HA + AV",,,,1,,1,3,2,4,3,4,2,2,6,1,1,4,1,2,,1,1,,
451,vt9_Tre_Aitovuori,2020/04/01,2,"11 HA-PA",17,7,8,14,35,159,633,655,400,287,315,313,314,366,322,461,423,377,297,218,169,138,62,38
451,vt9_Tre_Aitovuori,2020/04/01,2,"12 KAIP",1,,,1,,,17,17,20,21,20,23,29,32,30,20,7,10,11,11,10,7,2,2
451,vt9_Tre_Aitovuori,2020/04/01,2,"13 Linja-autot",,,,,,1,1,1,2,1,,1,,1,,1,3,,2,2,1,,1,
451,vt9_Tre_Aitovuori,2020/04/01,2,"14 KAPP",,1,2,2,1,2,4,4,5,8,7,10,9,9,16,5,11,11,5,7,2,4,1,1
451,vt9_Tre_Aitovuori,2020/04/01,2,"15 KATP",10,8,9,15,14,9,12,21,12,30,26,21,34,26,31,27,24,24,11,20,8,13,11,8
451,vt9_Tre_Aitovuori,2020/04/01,2,"16 HA + PK",1,1,,1,,3,3,8,11,13,21,15,22,19,16,19,10,17,20,18,10,4,1,2
451,vt9_Tre_Aitovuori,2020/04/01,2,"17 HA + AV",,,,,,,2,4,6,4,4,8,3,5,1,2,2,3,2,1,2,1,1,
451,vt9_Tre_Aitovuori,2020/04/02,1,"11 HA-PA",14,18,11,10,14,73,177,285,264,201,263,258,301,384,504,774,739,490,355,269,191,129,74,35
451,vt9_Tre_Aitovuori,2020/04/02,1,"12 KAIP",5,2,,4,2,6,20,23,27,24,31,25,36,42,29,18,25,11,12,13,12,1,2,1
451,vt9_Tre_Aitovuori,2020/04/02,1,"13 Linja-autot",,,,,1,3,1,4,2,,3,4,2,3,2,1,4,,,1,,,,
451,vt9_Tre_Aitovuori,2020/04/02,1,"14 KAPP",3,,1,2,1,1,1,6,8,8,16,22,10,9,6,11,6,7,6,2,3,6,2,2
451,vt9_Tre_Aitovuori,2020/04/02,1,"15 KATP",7,8,3,2,2,8,10,29,26,33,33,17,25,22,26,14,15,19,19,13,19,18,23,9
451,vt9_Tre_Aitovuori,2020/04/02,1,"16 HA + PK",,,,,,1,3,7,12,7,19,14,11,15,16,20,20,18,16,8,4,1,1,
451,vt9_Tre_Aitovuori,2020/04/02,1,"17 HA + AV",1,,,2,,1,3,3,,2,3,3,3,1,3,3,3,3,2,,2,1,,
451,vt9_Tre_Aitovuori,2020/04/02,2,"11 HA-PA",10,11,9,17,37,176,603,614,391,298,241,292,309,364,367,426,412,359,277,215,177,137,59,26
451,vt9_Tre_Aitovuori,2020/04/02,2,"12 KAIP",,1,1,1,,3,12,21,32,24,28,30,27,29,35,20,13,15,8,11,14,4,1,1
451,vt9_Tre_Aitovuori,2020/04/02,2,"13 Linja-autot",,,,,,,1,1,1,3,5,,1,3,,2,3,1,2,3,1,1,,
451,vt9_Tre_Aitovuori,2020/04/02,2,"14 KAPP",,,2,1,1,1,6,5,5,6,7,7,4,8,12,13,8,7,2,9,1,3,,1
451,vt9_Tre_Aitovuori,2020/04/02,2,"15 KATP",6,12,7,10,9,11,10,15,19,34,21,21,24,28,29,23,22,21,18,14,12,13,16,4
451,vt9_Tre_Aitovuori,2020/04/02,2,"16 HA + PK",1,,,1,,2,4,12,12,11,8,19,11,20,21,16,22,19,17,12,5,2,4,
451,vt9_Tre_Aitovuori,2020/04/02,2,"17 HA + AV",,,,,,,3,4,3,6,6,3,2,3,4,5,6,1,,3,1,2,,
451,vt9_Tre_Aitovuori,2020/04/03,1,"11 HA-PA",24,15,12,15,12,63,163,247,243,242,257,317,420,519,691,822,761,633,415,257,191,133,87,38
451,vt9_Tre_Aitovuori,2020/04/03,1,"12 KAIP",3,3,,1,3,5,16,19,23,19,23,22,34,34,28,23,10,6,13,6,7,1,2,5
451,vt9_Tre_Aitovuori,2020/04/03,1,"13 Linja-autot",,,,,1,2,2,2,1,,,3,2,3,1,1,2,1,,1,,,,
451,vt9_Tre_Aitovuori,2020/04/03,1,"14 KAPP",4,1,2,1,,,2,7,3,10,10,4,8,5,6,6,3,3,2,1,2,2,3,
451,vt9_Tre_Aitovuori,2020/04/03,1,"15 KATP",10,5,5,,4,15,15,17,19,39,24,22,20,18,17,17,13,12,10,6,17,10,18,8
451,vt9_Tre_Aitovuori,2020/04/03,1,"16 HA + PK",1,1,,1,,3,2,3,9,14,10,16,27,24,25,35,33,25,20,11,7,3,2,
451,vt9_Tre_Aitovuori,2020/04/03,1,"17 HA + AV",2,,,1,,,2,3,,4,3,6,1,5,4,,3,4,1,,2,1,,1
451,vt9_Tre_Aitovuori,2020/04/03,2,"11 HA-PA",26,15,5,12,31,161,573,588,408,336,320,374,378,411,406,457,472,373,318,220,185,119,74,38
451,vt9_Tre_Aitovuori,2020/04/03,2,"12 KAIP",,1,1,2,4,3,12,19,15,21,29,17,35,30,21,15,17,10,13,5,10,2,3,2
451,vt9_Tre_Aitovuori,2020/04/03,2,"13 Linja-autot",,,,,,,2,1,2,1,1,,,2,1,1,2,,3,2,,,1,
451,vt9_Tre_Aitovuori,2020/04/03,2,"14 KAPP",,,1,1,,1,9,7,5,7,9,9,9,9,9,4,7,3,8,2,2,3,,
451,vt9_Tre_Aitovuori,2020/04/03,2,"15 KATP",7,11,4,11,8,14,13,25,19,15,20,19,27,23,16,21,29,16,14,12,10,7,5,9
451,vt9_Tre_Aitovuori,2020/04/03,2,"16 HA + PK",1,,,,,1,10,12,17,17,18,20,24,35,15,24,19,27,20,17,7,3,3,2
451,vt9_Tre_Aitovuori,2020/04/03,2,"17 HA + AV",,,,,,,3,4,5,,3,3,4,1,2,4,,1,2,1,,3,1,
451,vt9_Tre_Aitovuori,2020/04/04,1,"11 HA-PA",29,23,14,10,15,34,59,117,183,280,445,535,550,553,485,466,337,308,256,175,128,112,72,49
451,vt9_Tre_Aitovuori,2020/04/04,1,"12 KAIP",2,1,,,,,2,2,4,3,5,5,5,4,4,4,4,3,,1,1,3,2,
451,vt9_Tre_Aitovuori,2020/04/04,1,"13 Linja-autot",,,,,,,1,,,,1,,,1,,,2,,,2,,,,
451,vt9_Tre_Aitovuori,2020/04/04,1,"14 KAPP",2,1,1,2,,2,1,1,,2,1,3,,,1,1,1,1,,,,2,3,
451,vt9_Tre_Aitovuori,2020/04/04,1,"15 KATP",6,14,2,2,2,6,3,2,4,7,5,4,4,1,5,6,5,3,4,3,1,,2,2
451,vt9_Tre_Aitovuori,2020/04/04,1,"16 HA + PK",,,1,,,1,3,3,16,21,30,31,39,46,40,30,21,8,11,7,4,2,2,
451,vt9_Tre_Aitovuori,2020/04/04,1,"17 HA + AV",,,,2,,,2,2,,2,,3,1,,2,,1,,,,,,,
451,vt9_Tre_Aitovuori,2020/04/04,2,"11 HA-PA",29,18,12,6,18,31,82,80,135,220,248,344,419,461,466,479,504,446,344,266,175,138,83,57
451,vt9_Tre_Aitovuori,2020/04/04,2,"12 KAIP",,,,,1,1,3,,2,3,4,8,7,5,5,3,1,6,2,,1,1,1,2
451,vt9_Tre_Aitovuori,2020/04/04,2,"13 Linja-autot",,,1,,,,,,,2,,,1,1,,2,2,,,1,,,2,2
451,vt9_Tre_Aitovuori,2020/04/04,2,"14 KAPP",,3,,2,,,4,1,2,,1,,1,3,1,1,2,1,,1,,,1,
451,vt9_Tre_Aitovuori,2020/04/04,2,"15 KATP",4,14,3,6,11,6,4,2,4,6,7,2,5,4,2,3,7,2,1,3,2,4,1,1
451,vt9_Tre_Aitovuori,2020/04/04,2,"16 HA + PK",2,,2,,,,1,3,5,19,30,28,28,41,41,36,28,20,20,8,4,8,,3
451,vt9_Tre_Aitovuori,2020/04/04,2,"17 HA + AV",,,,1,1,,1,,2,2,5,2,,1,1,3,,1,,,,1,,
451,vt9_Tre_Aitovuori,2020/04/05,1,"11 HA-PA",41,16,23,13,10,26,35,64,98,211,285,422,442,466,404,408,366,335,260,234,138,98,59,27
451,vt9_Tre_Aitovuori,2020/04/05,1,"12 KAIP",1,2,,,,3,2,,,1,3,3,5,3,1,3,2,3,2,1,4,2,,2
451,vt9_Tre_Aitovuori,2020/04/05,1,"13 Linja-autot",,,,,,,,,,1,1,,1,3,1,,,,2,1,,,1,
451,vt9_Tre_Aitovuori,2020/04/05,1,"14 KAPP",,,,,,,1,,,,,1,3,2,4,1,1,2,4,3,,1,2,1
451,vt9_Tre_Aitovuori,2020/04/05,1,"15 KATP",2,,,,1,1,,1,3,5,1,6,9,3,4,4,10,5,9,6,3,4,5,5
451,vt9_Tre_Aitovuori,2020/04/05,1,"16 HA + PK",1,,,,1,,,,2,6,12,14,11,21,8,11,15,12,8,9,7,3,,
451,vt9_Tre_Aitovuori,2020/04/05,1,"17 HA + AV",,,,,,,,1,,1,1,,,2,2,,2,1,1,1,1,,1,
451,vt9_Tre_Aitovuori,2020/04/05,2,"11 HA-PA",37,24,15,16,9,20,65,39,50,120,185,288,375,455,475,545,577,586,490,426,256,171,75,34
451,vt9_Tre_Aitovuori,2020/04/05,2,"12 KAIP",,,,1,1,2,,1,,,3,1,4,4,3,1,3,2,5,2,4,3,1,1
451,vt9_Tre_Aitovuori,2020/04/05,2,"13 Linja-autot",,,1,,,,,,1,,1,,1,1,1,2,5,,1,3,,,2,1
451,vt9_Tre_Aitovuori,2020/04/05,2,"14 KAPP",,,,,,,,,,1,1,,2,,,2,1,5,2,3,2,1,1,
451,vt9_Tre_Aitovuori,2020/04/05,2,"15 KATP",1,1,,,1,1,3,2,1,1,5,6,7,3,9,5,9,7,7,9,10,9,5,4
451,vt9_Tre_Aitovuori,2020/04/05,2,"16 HA + PK",2,,,,,,1,,3,1,12,9,17,20,14,30,17,18,24,14,6,6,2,2
451,vt9_Tre_Aitovuori,2020/04/05,2,"17 HA + AV",,1,,,1,,,1,,2,1,2,2,1,,1,1,1,1,,1,,1,
451,vt9_Tre_Aitovuori,2020/04/06,1,"11 HA-PA",18,9,6,14,12,94,199,318,298,280,304,318,392,391,532,800,791,538,348,257,184,110,82,29
451,vt9_Tre_Aitovuori,2020/04/06,1,"12 KAIP",1,2,,,3,11,22,24,18,20,26,15,27,22,34,21,21,13,13,7,15,3,1,5
451,vt9_Tre_Aitovuori,2020/04/06,1,"13 Linja-autot",,,,,2,1,1,5,,,1,,2,4,,1,,1,,1,1,,,
451,vt9_Tre_Aitovuori,2020/04/06,1,"14 KAPP",1,,1,1,,,1,3,8,12,11,13,14,10,9,11,7,15,7,7,6,8,3,1
451,vt9_Tre_Aitovuori,2020/04/06,1,"15 KATP",5,2,4,5,6,9,16,25,33,42,38,32,24,24,29,16,23,20,17,12,13,19,17,10
451,vt9_Tre_Aitovuori,2020/04/06,1,"16 HA + PK",,,,1,,2,2,12,21,27,32,30,25,22,22,28,40,31,36,17,7,1,1,
451,vt9_Tre_Aitovuori,2020/04/06,1,"17 HA + AV",,,,,1,,,6,6,2,7,1,2,4,3,2,,2,1,,2,,,
451,vt9_Tre_Aitovuori,2020/04/06,2,"11 HA-PA",17,9,11,21,42,189,667,724,484,373,334,349,349,384,374,475,427,366,317,237,179,131,69,22
451,vt9_Tre_Aitovuori,2020/04/06,2,"12 KAIP",,,2,,3,2,24,27,24,16,26,20,20,26,27,20,12,17,12,11,14,3,4,
451,vt9_Tre_Aitovuori,2020/04/06,2,"13 Linja-autot",,,,,,1,2,,2,2,,,,,1,,2,1,2,2,,,1,
451,vt9_Tre_Aitovuori,2020/04/06,2,"14 KAPP",2,,1,2,1,1,4,3,4,2,5,9,8,12,11,9,9,10,5,7,2,3,2,3
451,vt9_Tre_Aitovuori,2020/04/06,2,"15 KATP",4,3,1,5,3,10,15,24,18,19,28,24,32,32,27,38,29,27,14,24,19,13,8,9
451,vt9_Tre_Aitovuori,2020/04/06,2,"16 HA + PK",,,,,1,7,14,12,18,19,26,24,24,31,22,34,38,35,37,27,17,6,,1
451,vt9_Tre_Aitovuori,2020/04/06,2,"17 HA + AV",1,,,,1,1,1,2,12,4,9,8,3,8,2,5,5,3,3,3,3,2,,
451,vt9_Tre_Aitovuori,2020/04/07,1,"11 HA-PA",17,20,7,6,17,72,182,320,318,365,419,390,413,422,533,814,756,547,394,248,174,137,78,35
451,vt9_Tre_Aitovuori,2020/04/07,1,"12 KAIP",1,2,1,1,3,4,15,26,21,22,36,30,34,33,14,24,18,17,7,21,12,5,3,3
451,vt9_Tre_Aitovuori,2020/04/07,1,"13 Linja-autot",,,,,1,2,2,4,,,4,,2,3,1,1,1,,,1,2,,,
451,vt9_Tre_Aitovuori,2020/04/07,1,"14 KAPP",3,1,3,1,2,2,4,3,6,17,14,8,8,9,8,9,2,6,6,7,4,5,7,
451,vt9_Tre_Aitovuori,2020/04/07,1,"15 KATP",3,4,7,3,5,10,15,22,16,32,32,20,24,26,23,21,21,26,15,16,18,17,21,13
451,vt9_Tre_Aitovuori,2020/04/07,1,"16 HA + PK",,,,,,1,4,7,18,21,24,23,30,26,24,38,34,23,22,10,6,2,,
451,vt9_Tre_Aitovuori,2020/04/07,1,"17 HA + AV",,,,,,1,,1,4,3,2,5,2,4,2,3,2,3,1,,1,,1,
451,vt9_Tre_Aitovuori,2020/04/07,2,"11 HA-PA",9,15,10,16,30,184,641,647,447,358,326,341,362,377,455,517,550,463,340,244,180,106,47,33
451,vt9_Tre_Aitovuori,2020/04/07,2,"12 KAIP",,,,1,2,3,19,24,24,27,24,32,30,29,25,24,15,22,9,13,14,2,2,3
451,vt9_Tre_Aitovuori,2020/04/07,2,"13 Linja-autot",,,,,,,3,1,3,1,1,1,,1,1,1,2,1,2,2,,,1,
