"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
464,yt3495_Rautaharkko,2020/04/01,1,"11 HA-PA",24,18,10,11,23,116,529,669,551,382,371,367,428,407,479,519,582,410,306,268,201,128,83,48
464,yt3495_Rautaharkko,2020/04/01,1,"12 KAIP",,,,1,2,6,24,22,28,21,26,21,19,16,17,19,11,10,5,6,5,,1,2
464,yt3495_Rautaharkko,2020/04/01,1,"13 Linja-autot",1,,,1,,2,,4,2,3,3,4,2,3,5,3,2,5,5,1,2,2,3,1
464,yt3495_Rautaharkko,2020/04/01,1,"14 KAPP",1,1,,1,,,,2,3,1,,2,2,5,3,1,4,,,,1,,,1
464,yt3495_Rautaharkko,2020/04/01,1,"15 KATP",,,,2,1,3,5,4,6,12,4,12,6,4,3,6,7,4,5,6,,1,1,2
464,yt3495_Rautaharkko,2020/04/01,1,"16 HA + PK",,,,,,4,,9,4,9,5,8,5,9,10,6,7,7,7,2,1,,1,1
464,yt3495_Rautaharkko,2020/04/01,1,"17 HA + AV",1,2,,,,,,1,3,2,3,2,4,2,,1,1,1,,,,1,,
464,yt3495_Rautaharkko,2020/04/02,1,"11 HA-PA",31,23,12,14,22,107,513,665,537,350,328,375,395,392,470,557,572,399,306,263,189,127,73,41
464,yt3495_Rautaharkko,2020/04/02,1,"12 KAIP",,1,,2,5,6,21,27,27,23,20,23,20,21,13,17,9,11,6,7,4,2,2,2
464,yt3495_Rautaharkko,2020/04/02,1,"13 Linja-autot",1,,1,,,1,1,4,1,5,2,4,2,2,7,3,6,3,5,2,2,2,4,
464,yt3495_Rautaharkko,2020/04/02,1,"14 KAPP",,,1,,,3,1,,4,4,1,8,4,3,1,1,2,1,,,2,1,1,1
464,yt3495_Rautaharkko,2020/04/02,1,"15 KATP",2,2,2,1,,1,4,6,9,6,9,6,6,6,11,4,9,1,,,3,3,1,2
464,yt3495_Rautaharkko,2020/04/02,1,"16 HA + PK",,,,,1,,3,14,2,6,6,7,4,12,12,6,8,8,4,1,,,,1
464,yt3495_Rautaharkko,2020/04/02,1,"17 HA + AV",,,,2,,1,1,2,3,2,3,2,2,2,3,1,1,1,,,,2,,
464,yt3495_Rautaharkko,2020/04/03,1,"11 HA-PA",22,19,18,13,14,101,516,604,513,381,377,380,434,497,521,556,531,430,350,216,202,141,102,59
464,yt3495_Rautaharkko,2020/04/03,1,"12 KAIP",,,1,2,3,6,25,27,20,25,21,25,25,26,9,6,10,7,2,4,2,2,1,1
464,yt3495_Rautaharkko,2020/04/03,1,"13 Linja-autot",2,,,,,1,1,5,2,3,4,1,2,1,6,3,2,3,4,1,3,1,2,
464,yt3495_Rautaharkko,2020/04/03,1,"14 KAPP",1,,1,,,,1,4,3,4,,2,2,4,1,2,2,2,,,,,,
464,yt3495_Rautaharkko,2020/04/03,1,"15 KATP",3,1,,4,,4,3,4,9,8,9,5,6,7,4,4,1,2,3,,1,,2,1
464,yt3495_Rautaharkko,2020/04/03,1,"16 HA + PK",,,,,,1,3,10,6,4,8,5,6,14,11,10,9,6,8,2,1,4,,
464,yt3495_Rautaharkko,2020/04/03,1,"17 HA + AV",,,,,1,,1,4,3,1,4,5,2,1,2,,1,,1,1,,1,,
464,yt3495_Rautaharkko,2020/04/04,1,"11 HA-PA",44,26,17,15,16,30,72,71,91,174,236,306,373,427,418,357,366,327,268,201,189,126,128,79
464,yt3495_Rautaharkko,2020/04/04,1,"12 KAIP",2,,,2,2,,1,2,3,3,4,5,4,3,3,2,3,1,4,3,2,2,,
464,yt3495_Rautaharkko,2020/04/04,1,"13 Linja-autot",,,,,,,,,1,1,2,1,2,2,3,1,4,4,1,1,1,,3,1
464,yt3495_Rautaharkko,2020/04/04,1,"14 KAPP",1,,1,,,,1,1,,,,,,,2,1,,,,,1,1,,
464,yt3495_Rautaharkko,2020/04/04,1,"15 KATP",2,,,1,,1,2,1,1,,7,2,1,,3,1,2,4,3,2,,1,,
464,yt3495_Rautaharkko,2020/04/04,1,"16 HA + PK",,,,,,,,1,,3,7,9,6,7,5,5,4,4,1,1,4,2,1,1
464,yt3495_Rautaharkko,2020/04/04,1,"17 HA + AV",,,1,,,,,,1,1,,,,1,2,,,,,,,1,,
464,yt3495_Rautaharkko,2020/04/05,1,"11 HA-PA",46,33,25,19,6,26,57,37,50,70,119,217,283,316,344,352,347,323,325,240,189,119,73,31
464,yt3495_Rautaharkko,2020/04/05,1,"12 KAIP",2,,,,,,,,,2,1,,2,1,2,,1,1,6,2,1,1,,1
464,yt3495_Rautaharkko,2020/04/05,1,"13 Linja-autot",1,,,,,,,,,1,1,1,3,3,4,2,2,3,1,2,2,1,2,
464,yt3495_Rautaharkko,2020/04/05,1,"14 KAPP",,1,,,,,,,,,,,,,,,,,,1,1,,,
464,yt3495_Rautaharkko,2020/04/05,1,"15 KATP",,,,,,,,,,,3,1,5,,1,2,6,2,1,5,2,,,2
464,yt3495_Rautaharkko,2020/04/05,1,"16 HA + PK",1,,,,,,,,,1,3,3,4,1,5,1,5,6,3,2,1,1,,
464,yt3495_Rautaharkko,2020/04/05,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,1,,1,,,2
464,yt3495_Rautaharkko,2020/04/06,1,"11 HA-PA",23,23,11,11,23,112,581,743,575,424,375,407,435,427,487,555,565,390,317,238,205,120,78,37
464,yt3495_Rautaharkko,2020/04/06,1,"12 KAIP",,1,,3,,9,30,25,29,25,24,17,23,23,18,23,8,7,8,6,5,1,,3
464,yt3495_Rautaharkko,2020/04/06,1,"13 Linja-autot",1,,,,,1,2,3,2,2,4,4,2,1,5,3,4,3,5,4,2,1,,1
464,yt3495_Rautaharkko,2020/04/06,1,"14 KAPP",,,1,1,1,,2,1,,1,4,3,1,2,,1,,1,2,,,,2,
464,yt3495_Rautaharkko,2020/04/06,1,"15 KATP",1,,,1,,1,4,7,3,12,2,4,6,9,3,6,7,4,4,2,2,1,,1
464,yt3495_Rautaharkko,2020/04/06,1,"16 HA + PK",,,,,1,1,4,13,13,4,9,6,8,5,9,8,9,4,7,2,3,1,,
464,yt3495_Rautaharkko,2020/04/06,1,"17 HA + AV",,,,,,,3,2,,2,2,4,4,3,,,2,,1,1,1,2,,
464,yt3495_Rautaharkko,2020/04/07,1,"11 HA-PA",20,12,10,7,26,105,563,698,583,434,367,425,429,443,495,565,563,449,332,232,180,123,75,38
464,yt3495_Rautaharkko,2020/04/07,1,"12 KAIP",2,,2,1,2,6,25,30,24,22,24,17,24,17,21,16,12,10,7,4,5,7,2,1
464,yt3495_Rautaharkko,2020/04/07,1,"13 Linja-autot",,,1,,,1,2,4,2,2,3,7,3,3,8,2,2,5,5,4,1,1,2,2
464,yt3495_Rautaharkko,2020/04/07,1,"14 KAPP",,1,,,,,2,2,,1,3,,3,3,3,5,2,,2,,,,1,
464,yt3495_Rautaharkko,2020/04/07,1,"15 KATP",,2,1,2,1,2,4,7,3,7,6,6,4,6,4,4,5,4,2,6,2,2,2,1
464,yt3495_Rautaharkko,2020/04/07,1,"16 HA + PK",,1,,,,,7,13,8,10,5,8,8,9,9,12,3,4,1,4,2,1,1,
464,yt3495_Rautaharkko,2020/04/07,1,"17 HA + AV",,,,,,1,2,,3,4,2,3,1,1,2,3,2,1,1,,2,1,,
464,yt3495_Rautaharkko,2020/04/08,1,"11 HA-PA",29,21,17,15,25,111,563,693,516,422,408,440,436,432,496,603,627,425,361,285,243,147,97,52
464,yt3495_Rautaharkko,2020/04/08,1,"12 KAIP",,1,3,2,1,12,26,27,21,20,27,18,23,18,32,18,13,9,14,6,5,1,2,2
464,yt3495_Rautaharkko,2020/04/08,1,"13 Linja-autot",1,,1,,,3,2,4,2,3,4,3,3,5,5,2,3,6,5,4,4,2,1,2
464,yt3495_Rautaharkko,2020/04/08,1,"14 KAPP",,1,,,,1,2,6,3,5,5,1,3,2,4,5,3,4,1,,1,,4,
464,yt3495_Rautaharkko,2020/04/08,1,"15 KATP",,1,1,,,2,2,9,5,9,5,8,7,8,6,8,5,6,8,4,4,,,1
464,yt3495_Rautaharkko,2020/04/08,1,"16 HA + PK",,2,,,,1,4,15,10,3,9,10,7,6,9,7,5,5,4,5,1,4,1,
464,yt3495_Rautaharkko,2020/04/08,1,"17 HA + AV",,,,,,1,3,6,3,4,2,6,2,2,2,1,2,1,1,,2,2,,1
464,yt3495_Rautaharkko,2020/04/09,1,"11 HA-PA",35,27,13,14,23,130,503,665,526,431,433,474,539,561,586,652,589,439,344,273,227,167,110,59
464,yt3495_Rautaharkko,2020/04/09,1,"12 KAIP",2,2,1,1,,9,22,32,28,18,30,18,25,19,22,9,12,6,5,5,1,3,1,
464,yt3495_Rautaharkko,2020/04/09,1,"13 Linja-autot",,,1,,,1,2,3,3,3,3,4,4,4,5,2,2,10,6,2,2,1,1,2
464,yt3495_Rautaharkko,2020/04/09,1,"14 KAPP",1,1,1,,1,1,3,6,5,,2,2,1,2,3,,1,2,2,,1,,,
464,yt3495_Rautaharkko,2020/04/09,1,"15 KATP",1,,2,1,1,,5,6,5,6,9,7,3,4,7,4,3,2,4,3,3,2,,1
464,yt3495_Rautaharkko,2020/04/09,1,"16 HA + PK",,,1,,1,2,6,14,12,8,7,9,12,12,12,14,6,7,5,5,1,,1,1
464,yt3495_Rautaharkko,2020/04/09,1,"17 HA + AV",,,,,,1,1,1,3,4,2,1,2,5,1,,,,,,,,,
464,yt3495_Rautaharkko,2020/04/10,1,"11 HA-PA",45,40,20,14,19,23,82,75,83,115,160,218,265,316,321,312,271,256,228,175,177,129,101,99
