"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
556,vt6_Selkäharju,2020/04/01,1,"11 HA-PA",7,5,2,5,22,66,303,304,191,186,160,181,169,189,165,205,230,180,131,94,70,61,29,13
556,vt6_Selkäharju,2020/04/01,1,"12 KAIP",3,1,1,,2,3,8,14,14,15,12,12,17,13,8,13,13,5,2,4,1,1,1,3
556,vt6_Selkäharju,2020/04/01,1,"13 Linja-autot",1,,,1,,,,1,,1,1,,1,1,,2,1,,2,,,,,
556,vt6_Selkäharju,2020/04/01,1,"14 KAPP",4,4,4,3,2,9,10,11,10,16,18,21,19,13,16,23,21,16,17,21,8,6,10,5
556,vt6_Selkäharju,2020/04/01,1,"15 KATP",17,31,20,14,26,21,25,30,29,27,27,32,33,34,43,35,37,29,32,31,27,25,25,18
556,vt6_Selkäharju,2020/04/01,1,"16 HA + PK",,,,,,,,2,9,1,5,2,4,8,9,5,6,7,,,,,,
556,vt6_Selkäharju,2020/04/01,1,"17 HA + AV",,1,,,,,1,1,,,1,1,,4,1,,1,,,2,1,,,
556,vt6_Selkäharju,2020/04/01,2,"11 HA-PA",6,6,6,6,15,43,96,158,126,133,128,172,183,200,239,380,308,207,171,124,64,52,41,12
556,vt6_Selkäharju,2020/04/01,2,"12 KAIP",2,4,1,1,2,5,6,20,9,16,11,13,11,15,14,7,9,3,4,,2,1,,1
556,vt6_Selkäharju,2020/04/01,2,"13 Linja-autot",,,,,1,,1,,,,2,,1,,,2,,,,,,,,
556,vt6_Selkäharju,2020/04/01,2,"14 KAPP",5,7,3,4,5,9,4,10,16,12,17,20,8,16,21,15,13,12,12,14,13,3,3,3
556,vt6_Selkäharju,2020/04/01,2,"15 KATP",11,16,10,11,15,33,20,25,39,37,41,41,44,33,38,38,33,42,45,26,27,15,19,23
556,vt6_Selkäharju,2020/04/01,2,"16 HA + PK",,,,,,2,1,4,3,3,4,2,7,4,8,7,10,3,1,1,,,,
556,vt6_Selkäharju,2020/04/01,2,"17 HA + AV",,,,1,,,1,2,2,1,,1,2,2,1,1,1,,1,,,1,,
556,vt6_Selkäharju,2020/04/02,1,"11 HA-PA",6,8,9,5,30,69,286,314,178,174,132,174,176,159,186,217,217,154,144,106,86,68,29,10
556,vt6_Selkäharju,2020/04/02,1,"12 KAIP",4,,1,1,2,1,5,14,14,22,7,8,8,7,11,8,7,7,3,4,3,,3,1
556,vt6_Selkäharju,2020/04/02,1,"13 Linja-autot",,,,,,,,,,,2,,,,1,,1,,1,1,1,,,
556,vt6_Selkäharju,2020/04/02,1,"14 KAPP",3,7,8,4,2,4,9,7,13,11,21,23,24,27,27,27,29,32,12,13,8,6,4,4
556,vt6_Selkäharju,2020/04/02,1,"15 KATP",15,16,25,21,22,18,23,29,32,28,35,31,34,33,35,37,39,30,22,26,24,31,26,13
556,vt6_Selkäharju,2020/04/02,1,"16 HA + PK",,,,,,1,2,1,5,6,4,8,10,4,5,6,6,3,,2,1,,1,
556,vt6_Selkäharju,2020/04/02,1,"17 HA + AV",,,,,,,,1,,1,1,1,1,,,,3,,2,,1,,,
556,vt6_Selkäharju,2020/04/02,2,"11 HA-PA",6,4,3,7,18,44,98,138,106,104,157,137,197,223,221,341,323,220,183,101,62,51,43,16
556,vt6_Selkäharju,2020/04/02,2,"12 KAIP",2,,2,,,7,10,15,13,9,12,9,7,8,15,9,7,11,4,4,5,3,,
556,vt6_Selkäharju,2020/04/02,2,"13 Linja-autot",,,,1,,,,1,,,3,3,,,,1,1,1,,,,,,
556,vt6_Selkäharju,2020/04/02,2,"14 KAPP",20,7,1,9,13,11,3,10,11,10,9,20,18,21,14,19,20,21,10,20,8,3,3,5
556,vt6_Selkäharju,2020/04/02,2,"15 KATP",15,13,11,8,19,27,26,24,39,32,49,29,30,48,32,30,28,65,42,27,21,14,18,18
556,vt6_Selkäharju,2020/04/02,2,"16 HA + PK",,,,,,1,1,5,4,1,7,9,6,7,8,7,3,6,4,,2,,1,
556,vt6_Selkäharju,2020/04/02,2,"17 HA + AV",,,2,2,,1,,,2,,2,1,,4,1,1,1,1,,,,,,
556,vt6_Selkäharju,2020/04/03,1,"11 HA-PA",12,9,3,7,27,63,273,296,177,170,193,173,195,242,206,292,259,193,171,128,101,61,24,18
556,vt6_Selkäharju,2020/04/03,1,"12 KAIP",2,1,,2,4,3,7,12,7,10,11,8,8,10,6,4,5,4,3,4,3,,3,3
556,vt6_Selkäharju,2020/04/03,1,"13 Linja-autot",,,,,,,,,1,,,,,,,,,1,1,,,,,
556,vt6_Selkäharju,2020/04/03,1,"14 KAPP",3,7,4,2,,2,11,4,9,18,19,29,30,20,26,23,19,10,13,6,6,6,3,
556,vt6_Selkäharju,2020/04/03,1,"15 KATP",18,27,11,19,22,20,13,33,26,32,26,25,30,35,26,26,25,21,28,17,16,9,10,13
556,vt6_Selkäharju,2020/04/03,1,"16 HA + PK",1,,,,,,1,3,2,7,6,7,9,9,4,5,8,10,7,5,2,2,3,
556,vt6_Selkäharju,2020/04/03,1,"17 HA + AV",,,,,,,,1,1,2,,1,2,1,1,1,,,,,1,,,
556,vt6_Selkäharju,2020/04/03,2,"11 HA-PA",6,5,9,6,16,47,103,148,107,108,165,176,214,231,314,401,358,286,200,126,74,56,47,19
556,vt6_Selkäharju,2020/04/03,2,"12 KAIP",2,1,1,1,1,6,6,17,9,13,11,8,7,9,11,15,5,1,3,2,1,2,5,1
556,vt6_Selkäharju,2020/04/03,2,"13 Linja-autot",,1,,,,,,,1,,1,,1,,,,,,,,,,,
556,vt6_Selkäharju,2020/04/03,2,"14 KAPP",6,4,4,12,7,4,8,4,17,18,11,13,17,13,11,8,9,7,12,6,6,3,6,5
556,vt6_Selkäharju,2020/04/03,2,"15 KATP",13,15,9,11,17,18,23,22,35,35,37,19,34,30,28,30,28,27,26,22,16,14,10,11
556,vt6_Selkäharju,2020/04/03,2,"16 HA + PK",,1,,,,,4,4,2,3,4,3,13,12,4,10,9,14,4,3,2,,,
556,vt6_Selkäharju,2020/04/03,2,"17 HA + AV",1,,,,1,,3,2,1,,4,1,1,,3,,1,,1,,,,,
556,vt6_Selkäharju,2020/04/04,1,"11 HA-PA",18,12,6,3,8,23,37,54,77,128,170,184,220,232,205,189,183,152,141,102,100,56,21,24
556,vt6_Selkäharju,2020/04/04,1,"12 KAIP",2,1,,,2,3,1,,3,2,2,6,4,3,4,5,4,4,3,3,,1,1,1
556,vt6_Selkäharju,2020/04/04,1,"13 Linja-autot",,,,,,,,,,1,,,,,,1,,,,1,,,,
556,vt6_Selkäharju,2020/04/04,1,"14 KAPP",1,9,6,1,4,3,3,6,8,5,10,8,8,1,6,7,7,7,2,2,8,3,1,
556,vt6_Selkäharju,2020/04/04,1,"15 KATP",16,13,12,10,13,4,5,14,13,15,8,9,10,8,10,7,7,5,8,2,8,4,5,3
556,vt6_Selkäharju,2020/04/04,1,"16 HA + PK",,,,,,,,1,4,8,10,12,5,7,11,16,12,10,4,4,2,1,,1
556,vt6_Selkäharju,2020/04/04,1,"17 HA + AV",,,,,,,,1,1,2,,,,1,1,1,,,1,,,1,,
556,vt6_Selkäharju,2020/04/04,2,"11 HA-PA",16,11,3,9,5,12,52,48,61,160,191,200,249,220,212,207,159,137,116,87,65,50,39,22
556,vt6_Selkäharju,2020/04/04,2,"12 KAIP",1,1,,,,,3,6,6,4,3,2,6,7,3,5,4,3,1,,,,2,
556,vt6_Selkäharju,2020/04/04,2,"13 Linja-autot",,,,,,,,,,2,,1,1,,,,,1,,,,,1,
556,vt6_Selkäharju,2020/04/04,2,"14 KAPP",2,3,4,2,3,1,6,5,5,5,4,4,7,7,5,6,2,13,5,3,2,1,6,
556,vt6_Selkäharju,2020/04/04,2,"15 KATP",9,15,4,4,2,10,10,10,13,7,16,10,10,12,5,13,4,12,5,7,2,1,3,2
556,vt6_Selkäharju,2020/04/04,2,"16 HA + PK",,,,,,,2,1,3,15,16,18,17,8,7,7,4,5,4,1,4,,,
556,vt6_Selkäharju,2020/04/04,2,"17 HA + AV",,,,,,,,2,1,2,2,1,3,2,,1,,,1,,,2,,
556,vt6_Selkäharju,2020/04/05,1,"11 HA-PA",25,17,10,5,4,15,30,17,30,69,110,135,139,203,221,221,209,174,188,132,119,86,30,23
556,vt6_Selkäharju,2020/04/05,1,"12 KAIP",,,,,,,,,,,,1,2,2,2,4,3,1,3,1,1,1,1,
556,vt6_Selkäharju,2020/04/05,1,"14 KAPP",1,1,1,,2,,2,4,5,,7,10,8,2,4,4,8,7,8,4,6,3,4,
556,vt6_Selkäharju,2020/04/05,1,"15 KATP",2,4,,1,2,1,1,2,6,14,3,9,7,6,8,10,8,8,8,7,11,9,5,9
556,vt6_Selkäharju,2020/04/05,1,"16 HA + PK",,,,,,,,1,2,3,4,10,7,8,11,8,7,5,3,5,6,1,1,
556,vt6_Selkäharju,2020/04/05,1,"17 HA + AV",,,,,,,,,,,,,1,1,1,2,1,1,1,,3,,,
556,vt6_Selkäharju,2020/04/05,2,"11 HA-PA",16,9,9,8,6,13,23,32,43,76,130,150,201,220,222,197,184,161,153,95,76,62,35,12
556,vt6_Selkäharju,2020/04/05,2,"12 KAIP",,,,,,,,2,,,1,2,2,1,3,1,3,4,5,1,3,3,1,1
556,vt6_Selkäharju,2020/04/05,2,"13 Linja-autot",1,,,,,,,,,,1,,,,,,,,,,,,,
556,vt6_Selkäharju,2020/04/05,2,"14 KAPP",3,1,3,,2,2,4,8,5,7,6,9,7,9,13,20,12,10,16,5,9,4,8,4
556,vt6_Selkäharju,2020/04/05,2,"15 KATP",3,1,1,1,2,3,1,3,5,8,12,9,13,10,8,15,14,11,7,7,4,10,8,11
556,vt6_Selkäharju,2020/04/05,2,"16 HA + PK",1,,,,,,,2,5,7,4,5,14,10,10,13,3,4,2,1,3,,,
556,vt6_Selkäharju,2020/04/05,2,"17 HA + AV",,1,,,,,,,,,1,,1,,,1,2,1,2,1,,,1,
556,vt6_Selkäharju,2020/04/06,1,"11 HA-PA",12,8,6,6,28,75,316,313,208,205,179,209,184,214,194,238,220,180,146,89,77,45,21,14
