"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
557,vt6_Lavola,2020/04/01,1,"11 HA-PA",10,3,3,7,36,124,426,474,287,241,240,267,253,274,267,376,346,262,159,122,85,79,35,21
557,vt6_Lavola,2020/04/01,1,"12 KAIP",2,1,1,2,2,7,15,23,24,24,17,22,17,16,11,11,10,9,7,4,2,2,1,3
557,vt6_Lavola,2020/04/01,1,"13 Linja-autot",2,,,,,,,1,1,1,5,,1,,,1,2,1,1,1,,,,
557,vt6_Lavola,2020/04/01,1,"14 KAPP",3,4,4,2,1,6,11,14,9,18,13,21,18,16,15,21,17,16,16,20,8,6,9,5
557,vt6_Lavola,2020/04/01,1,"15 KATP",13,31,18,12,26,23,30,35,30,23,27,32,34,32,41,30,40,34,33,31,26,26,21,21
557,vt6_Lavola,2020/04/01,1,"16 HA + PK",,,,,,,2,4,10,1,8,3,8,17,15,8,14,14,4,3,,,,
557,vt6_Lavola,2020/04/01,1,"17 HA + AV",,1,,,,,1,1,,,1,1,,2,3,1,1,,,,1,,,
557,vt6_Lavola,2020/04/01,2,"11 HA-PA",12,13,7,8,19,49,184,226,168,189,156,216,242,297,328,511,476,305,248,168,99,80,58,24
557,vt6_Lavola,2020/04/01,2,"12 KAIP",1,,,1,1,9,10,29,19,13,24,20,13,15,20,20,12,9,6,3,2,2,3,
557,vt6_Lavola,2020/04/01,2,"13 Linja-autot",,1,,,,,4,,4,1,,1,,1,,2,2,1,1,1,2,,,
557,vt6_Lavola,2020/04/01,2,"14 KAPP",4,7,1,2,4,6,3,7,13,8,20,12,11,14,19,18,12,10,13,10,10,3,2,4
557,vt6_Lavola,2020/04/01,2,"15 KATP",10,18,11,12,16,29,24,30,40,48,38,43,38,32,41,40,42,38,38,26,22,18,18,23
557,vt6_Lavola,2020/04/01,2,"16 HA + PK",,,1,,,4,4,6,10,6,9,12,17,19,14,17,19,11,12,4,1,,1,1
557,vt6_Lavola,2020/04/01,2,"17 HA + AV",,2,,3,1,1,1,5,4,4,2,4,6,4,6,4,2,1,2,1,,,,
557,vt6_Lavola,2020/04/02,1,"11 HA-PA",7,10,5,10,36,131,426,465,261,240,205,224,274,261,299,356,313,216,214,171,111,97,39,18
557,vt6_Lavola,2020/04/02,1,"12 KAIP",3,,,1,5,3,8,20,21,36,18,10,16,14,17,8,7,7,5,6,3,1,3,1
557,vt6_Lavola,2020/04/02,1,"13 Linja-autot",,1,1,,,,,1,,,,,,,1,,1,,1,1,1,,,
557,vt6_Lavola,2020/04/02,1,"14 KAPP",1,7,4,5,3,5,9,6,12,9,21,20,27,22,27,28,26,33,13,13,8,6,3,3
557,vt6_Lavola,2020/04/02,1,"15 KATP",14,16,22,19,23,18,26,31,30,31,35,30,37,35,35,33,41,34,23,26,23,29,26,13
557,vt6_Lavola,2020/04/02,1,"16 HA + PK",,,,,,1,2,3,6,8,3,11,17,5,11,8,8,7,2,3,2,,,
557,vt6_Lavola,2020/04/02,1,"17 HA + AV",,,,,,,1,1,,,,1,2,,,,2,2,1,1,,,,
557,vt6_Lavola,2020/04/02,2,"11 HA-PA",11,7,5,8,15,52,177,207,168,149,205,188,233,287,330,477,444,312,258,164,118,82,71,22
557,vt6_Lavola,2020/04/02,2,"12 KAIP",3,1,1,4,3,9,7,32,19,15,21,12,17,15,26,15,21,12,6,5,6,6,2,
557,vt6_Lavola,2020/04/02,2,"13 Linja-autot",,,,,,2,1,,,,,2,2,3,1,3,7,,2,1,1,1,1,1
557,vt6_Lavola,2020/04/02,2,"14 KAPP",13,8,3,13,12,12,4,10,12,5,13,15,13,18,17,9,15,18,12,16,4,3,3,4
557,vt6_Lavola,2020/04/02,2,"15 KATP",13,10,9,9,19,29,21,24,32,34,42,36,35,44,32,35,38,53,37,26,21,14,19,18
557,vt6_Lavola,2020/04/02,2,"16 HA + PK",,,,1,,1,2,13,9,8,8,13,18,10,12,12,11,8,6,2,,3,,
557,vt6_Lavola,2020/04/02,2,"17 HA + AV",,,2,1,,1,4,2,4,3,5,,5,9,4,6,2,5,1,,,1,1,
557,vt6_Lavola,2020/04/03,1,"11 HA-PA",11,10,6,8,32,108,351,358,202,221,240,225,274,300,287,362,304,248,201,159,131,78,37,28
557,vt6_Lavola,2020/04/03,1,"12 KAIP",2,1,,2,4,9,8,19,15,15,22,19,8,16,15,3,6,6,5,4,2,1,1,2
557,vt6_Lavola,2020/04/03,1,"13 Linja-autot",,1,,,,1,,,1,1,,,,1,,,,1,1,,,,,
557,vt6_Lavola,2020/04/03,1,"14 KAPP",5,7,3,1,,1,7,4,11,16,17,26,27,24,24,24,18,7,12,6,6,6,2,1
557,vt6_Lavola,2020/04/03,1,"15 KATP",19,23,10,20,22,20,10,31,30,30,28,24,32,32,25,24,23,22,27,16,16,10,10,11
557,vt6_Lavola,2020/04/03,1,"16 HA + PK",1,,1,,,2,1,6,9,8,9,6,14,11,7,10,11,10,9,2,3,1,3,
557,vt6_Lavola,2020/04/03,1,"17 HA + AV",,,,1,,,,1,1,3,1,1,1,1,2,1,,,1,1,1,,,
557,vt6_Lavola,2020/04/03,2,"11 HA-PA",12,10,10,5,21,65,177,208,177,139,228,246,272,341,422,526,474,356,274,172,112,94,63,33
557,vt6_Lavola,2020/04/03,2,"12 KAIP",2,3,1,2,1,6,10,19,17,14,16,24,19,28,17,23,16,12,9,14,1,2,5,3
557,vt6_Lavola,2020/04/03,2,"13 Linja-autot",,,,,,1,2,2,2,2,2,6,1,3,1,5,1,3,4,1,,,,
557,vt6_Lavola,2020/04/03,2,"14 KAPP",7,5,3,6,7,6,9,5,12,15,8,15,15,16,9,6,6,3,10,5,3,3,10,3
557,vt6_Lavola,2020/04/03,2,"15 KATP",12,17,9,12,21,14,22,27,32,35,37,20,38,35,31,32,29,29,27,21,16,14,11,10
557,vt6_Lavola,2020/04/03,2,"16 HA + PK",,,1,,,3,5,10,10,5,9,8,17,11,14,13,16,11,7,4,5,1,1,
557,vt6_Lavola,2020/04/03,2,"17 HA + AV",1,1,1,,2,,5,2,3,4,3,4,4,3,4,3,3,3,2,,1,,,
557,vt6_Lavola,2020/04/04,1,"11 HA-PA",25,11,13,7,8,37,60,70,111,205,232,249,284,316,275,234,215,199,177,118,115,92,34,33
557,vt6_Lavola,2020/04/04,1,"12 KAIP",2,,,1,4,4,,,2,2,2,5,3,2,4,5,1,3,1,4,,2,,
557,vt6_Lavola,2020/04/04,1,"13 Linja-autot",,,,,,,,,,,1,1,,,,,,1,,1,,,,
557,vt6_Lavola,2020/04/04,1,"14 KAPP",2,9,7,1,4,3,3,7,7,3,11,6,7,3,6,8,7,4,4,2,8,3,1,1
557,vt6_Lavola,2020/04/04,1,"15 KATP",14,13,12,9,14,4,5,14,14,16,7,12,11,8,11,6,8,7,7,4,7,6,5,4
557,vt6_Lavola,2020/04/04,1,"16 HA + PK",,,,,,,,1,3,9,14,15,11,15,12,16,14,12,2,4,,2,,1
557,vt6_Lavola,2020/04/04,1,"17 HA + AV",,,,,,,,2,1,2,1,1,,1,1,2,1,,1,,1,1,,
557,vt6_Lavola,2020/04/04,2,"11 HA-PA",20,22,7,12,8,18,62,62,82,164,233,240,304,293,323,268,228,193,183,122,97,78,62,28
557,vt6_Lavola,2020/04/04,2,"12 KAIP",,,,,,2,5,3,4,7,7,6,11,10,10,8,10,7,3,2,1,2,1,
557,vt6_Lavola,2020/04/04,2,"13 Linja-autot",,1,,,,,2,1,,,2,2,1,4,1,4,,2,2,1,2,,,
557,vt6_Lavola,2020/04/04,2,"14 KAPP",3,4,3,1,3,4,4,7,5,3,6,5,6,6,3,6,4,9,4,4,2,1,7,
557,vt6_Lavola,2020/04/04,2,"15 KATP",11,11,6,3,4,12,13,14,11,14,16,18,16,15,12,19,7,14,9,7,4,2,4,3
557,vt6_Lavola,2020/04/04,2,"16 HA + PK",,,,,,,2,3,3,17,16,17,17,17,11,11,10,5,9,2,5,2,3,
557,vt6_Lavola,2020/04/04,2,"17 HA + AV",1,,,,,,,,1,3,3,3,3,,,1,,1,1,,,,,
557,vt6_Lavola,2020/04/05,1,"11 HA-PA",29,19,10,9,4,26,55,33,48,83,147,202,193,250,265,256,236,211,191,147,131,98,43,32
557,vt6_Lavola,2020/04/05,1,"12 KAIP",2,,,,,,1,1,1,,1,,5,3,4,5,3,,3,,2,2,1,
557,vt6_Lavola,2020/04/05,1,"13 Linja-autot",,,,,,,1,,,,1,,,,,,,,,1,,,,
557,vt6_Lavola,2020/04/05,1,"14 KAPP",1,1,2,,2,,1,4,4,1,6,11,7,1,4,4,7,7,7,4,5,4,5,3
557,vt6_Lavola,2020/04/05,1,"15 KATP",2,2,2,1,2,1,1,2,5,15,3,9,8,6,9,10,10,7,6,4,12,9,4,8
557,vt6_Lavola,2020/04/05,1,"16 HA + PK",,,,,,,1,1,2,3,7,11,12,14,11,9,8,3,5,4,4,2,1,
557,vt6_Lavola,2020/04/05,1,"17 HA + AV",,,,,,,,,,,,,,1,1,3,,1,1,2,4,,,
557,vt6_Lavola,2020/04/05,2,"11 HA-PA",27,16,12,11,7,17,34,48,46,85,162,205,246,263,297,242,259,225,205,126,103,89,45,20
557,vt6_Lavola,2020/04/05,2,"12 KAIP",,,,,,3,2,4,3,2,3,3,10,7,9,7,8,5,7,5,7,3,1,
557,vt6_Lavola,2020/04/05,2,"13 Linja-autot",,,,,,,,,1,,1,4,,1,,2,1,3,2,1,,,3,
557,vt6_Lavola,2020/04/05,2,"14 KAPP",5,1,3,1,1,2,5,8,7,6,5,9,5,8,15,13,8,9,14,3,10,4,6,6
557,vt6_Lavola,2020/04/05,2,"15 KATP",3,2,2,1,4,4,1,4,5,7,12,15,15,15,13,23,15,12,10,11,7,14,11,10
557,vt6_Lavola,2020/04/05,2,"16 HA + PK",,,,,,,1,1,6,9,3,7,13,10,12,11,9,6,4,4,5,3,2,
557,vt6_Lavola,2020/04/05,2,"17 HA + AV",,,,,,,,,,,,2,1,,,,2,3,3,1,,,,
557,vt6_Lavola,2020/04/06,1,"11 HA-PA",11,8,5,8,30,117,375,377,261,237,207,273,238,277,264,302,281,214,190,122,90,71,28,14
557,vt6_Lavola,2020/04/06,1,"12 KAIP",1,1,1,1,4,4,12,18,19,16,23,18,8,18,12,12,7,4,8,3,3,5,,1
557,vt6_Lavola,2020/04/06,1,"13 Linja-autot",1,,,,,,,,,,,1,1,1,,,,2,,1,,,,
557,vt6_Lavola,2020/04/06,1,"14 KAPP",1,3,2,2,,3,2,5,9,15,8,20,26,23,21,24,16,19,11,8,2,4,3,3
557,vt6_Lavola,2020/04/06,1,"15 KATP",7,11,15,9,18,17,25,27,37,29,27,20,35,39,38,38,30,33,35,34,26,20,14,19
557,vt6_Lavola,2020/04/06,1,"16 HA + PK",,,,,1,1,3,5,7,14,13,11,15,15,20,9,6,6,8,3,,2,,
557,vt6_Lavola,2020/04/06,1,"17 HA + AV",,,,,,,,2,2,2,3,3,1,4,1,4,4,,3,1,1,,1,
557,vt6_Lavola,2020/04/06,2,"11 HA-PA",13,11,13,19,28,76,205,251,194,193,214,220,277,285,330,541,505,323,199,167,106,80,64,29
557,vt6_Lavola,2020/04/06,2,"12 KAIP",,3,1,1,6,6,10,26,25,20,28,22,15,19,23,19,26,9,6,2,6,2,4,
557,vt6_Lavola,2020/04/06,2,"13 Linja-autot",1,,1,,,3,3,1,,,3,,1,,,3,3,4,4,1,1,2,1,
557,vt6_Lavola,2020/04/06,2,"14 KAPP",3,9,2,1,2,5,8,3,9,11,6,11,10,10,10,15,13,7,13,8,5,8,6,7
557,vt6_Lavola,2020/04/06,2,"15 KATP",2,4,8,11,18,32,30,25,41,30,39,38,28,43,34,45,43,49,43,31,21,19,15,10
557,vt6_Lavola,2020/04/06,2,"16 HA + PK",,1,2,1,1,1,5,9,11,14,10,17,24,14,19,15,14,10,9,4,,1,1,
557,vt6_Lavola,2020/04/06,2,"17 HA + AV",,2,,1,1,,1,5,8,4,3,2,6,1,4,3,3,1,2,5,2,,,
557,vt6_Lavola,2020/04/07,1,"11 HA-PA",10,10,1,11,25,108,347,374,274,289,219,247,250,283,276,328,308,247,202,149,114,94,31,25
557,vt6_Lavola,2020/04/07,1,"12 KAIP",2,,2,1,4,7,10,10,20,25,23,17,12,15,18,17,13,6,10,7,5,3,3,1
557,vt6_Lavola,2020/04/07,1,"13 Linja-autot",,1,1,,,,,1,,,,,1,,,,,,1,1,,,,
557,vt6_Lavola,2020/04/07,1,"14 KAPP",2,10,2,3,5,8,9,8,12,11,19,15,24,17,23,18,18,16,10,15,4,3,2,6
557,vt6_Lavola,2020/04/07,1,"15 KATP",18,24,15,24,23,18,21,30,24,41,22,34,34,39,30,39,38,29,29,21,30,26,17,15
557,vt6_Lavola,2020/04/07,1,"16 HA + PK",,,,,,,8,6,3,9,14,14,10,15,10,13,12,13,11,8,3,1,1,
557,vt6_Lavola,2020/04/07,1,"17 HA + AV",,,,,,,,,4,,1,1,2,1,,6,1,,3,,1,,,
