"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
562,vt6_Mälkiä,2020/04/01,1,"11 HA-PA",11,10,6,10,30,119,419,389,246,197,205,265,272,332,392,569,523,326,232,166,103,94,60,31
562,vt6_Mälkiä,2020/04/01,1,"12 KAIP",3,3,,3,2,8,21,10,19,20,24,16,17,10,13,8,8,6,2,6,3,3,3,2
562,vt6_Mälkiä,2020/04/01,1,"13 Linja-autot",,,,,,1,4,2,2,,1,2,1,4,3,2,2,2,,2,1,1,1,
562,vt6_Mälkiä,2020/04/01,1,"14 KAPP",6,,2,2,2,5,8,8,10,12,19,11,15,11,8,12,15,13,14,14,3,4,5,2
562,vt6_Mälkiä,2020/04/01,1,"15 KATP",8,17,15,10,8,12,31,33,33,24,19,26,24,33,21,30,23,17,22,21,19,12,10,15
562,vt6_Mälkiä,2020/04/01,1,"16 HA + PK",,,,,,,5,7,6,4,4,5,4,7,9,9,10,4,7,3,,,,
562,vt6_Mälkiä,2020/04/01,1,"17 HA + AV",,,1,,1,,3,,1,3,2,,,1,1,1,2,1,,,,,,
562,vt6_Mälkiä,2020/04/01,2,"11 HA-PA",15,11,7,7,22,120,415,438,259,232,215,223,247,296,319,472,379,263,175,157,115,89,82,24
562,vt6_Mälkiä,2020/04/01,2,"12 KAIP",1,,2,1,1,6,10,19,15,9,13,10,19,16,15,24,12,7,5,3,7,,5,1
562,vt6_Mälkiä,2020/04/01,2,"13 Linja-autot",,,,,,,1,2,2,1,1,2,3,4,2,2,2,4,2,,3,1,,1
562,vt6_Mälkiä,2020/04/01,2,"14 KAPP",3,7,,6,3,4,1,7,9,17,10,13,12,10,13,10,6,5,14,5,9,3,4,5
562,vt6_Mälkiä,2020/04/01,2,"15 KATP",12,8,5,9,11,12,21,25,22,25,36,33,30,24,30,32,29,28,31,24,15,6,17,20
562,vt6_Mälkiä,2020/04/01,2,"16 HA + PK",1,,,1,,,8,10,10,8,8,12,11,10,14,14,14,6,2,4,3,1,1,1
562,vt6_Mälkiä,2020/04/01,2,"17 HA + AV",2,,1,2,1,,2,6,4,4,4,5,1,2,7,5,4,2,1,,1,1,1,1
562,vt6_Mälkiä,2020/04/02,1,"11 HA-PA",20,11,9,12,23,127,425,369,223,222,236,254,256,343,379,596,538,330,253,148,113,103,76,26
562,vt6_Mälkiä,2020/04/02,1,"12 KAIP",2,1,,3,2,6,23,19,15,18,20,13,24,18,7,11,14,3,4,2,4,,3,1
562,vt6_Mälkiä,2020/04/02,1,"13 Linja-autot",,,,,,1,3,3,1,1,1,1,1,2,3,3,3,2,,1,1,3,1,
562,vt6_Mälkiä,2020/04/02,1,"14 KAPP",3,3,2,1,1,1,2,9,9,10,13,12,15,14,21,19,17,19,9,9,4,3,3,2
562,vt6_Mälkiä,2020/04/02,1,"15 KATP",11,11,11,11,9,17,22,22,20,20,28,20,23,24,34,23,23,21,11,19,15,13,13,9
562,vt6_Mälkiä,2020/04/02,1,"16 HA + PK",,,,,,1,2,4,7,6,5,6,7,6,7,11,4,3,1,3,,,,
562,vt6_Mälkiä,2020/04/02,1,"17 HA + AV",,,,,,1,,4,1,1,2,2,,1,,1,,2,,,1,,,
562,vt6_Mälkiä,2020/04/02,2,"11 HA-PA",12,14,5,14,21,116,421,440,265,243,243,197,279,306,369,505,411,254,187,131,109,99,81,28
562,vt6_Mälkiä,2020/04/02,2,"12 KAIP",,,2,,3,4,11,11,19,13,12,20,20,15,20,26,11,8,5,2,2,4,1,
562,vt6_Mälkiä,2020/04/02,2,"13 Linja-autot",,,,,,,2,4,2,2,1,1,1,1,3,2,1,2,1,,1,1,,1
562,vt6_Mälkiä,2020/04/02,2,"14 KAPP",6,2,7,5,7,4,6,11,7,8,6,18,11,14,10,9,8,11,9,7,4,7,5,1
562,vt6_Mälkiä,2020/04/02,2,"15 KATP",8,8,7,5,13,9,20,27,25,27,30,21,20,25,24,31,33,33,29,18,12,9,13,11
562,vt6_Mälkiä,2020/04/02,2,"16 HA + PK",,,1,,,1,6,10,12,7,6,7,9,10,6,14,11,9,6,4,1,1,,
562,vt6_Mälkiä,2020/04/02,2,"17 HA + AV",,1,2,3,,,3,1,5,2,9,2,3,2,6,4,1,2,,,1,,1,1
562,vt6_Mälkiä,2020/04/03,1,"11 HA-PA",17,13,6,9,23,111,402,328,201,214,247,280,299,394,446,614,552,371,286,206,111,119,70,36
562,vt6_Mälkiä,2020/04/03,1,"12 KAIP",3,,1,1,5,12,20,31,15,15,16,14,19,23,9,7,7,5,6,2,6,,2,1
562,vt6_Mälkiä,2020/04/03,1,"13 Linja-autot",1,,,,,1,4,1,2,,2,2,2,1,1,2,3,2,,1,,1,1,
562,vt6_Mälkiä,2020/04/03,1,"14 KAPP",2,4,3,1,2,2,2,2,7,8,18,15,15,17,6,12,8,7,10,3,3,1,,1
562,vt6_Mälkiä,2020/04/03,1,"15 KATP",10,16,7,10,8,16,19,31,36,22,27,19,31,32,24,17,18,23,12,15,13,8,4,7
562,vt6_Mälkiä,2020/04/03,1,"16 HA + PK",,,1,1,1,2,4,4,3,11,6,9,8,10,5,10,12,6,6,5,3,2,2,
562,vt6_Mälkiä,2020/04/03,1,"17 HA + AV",1,,,,1,1,,2,,1,4,2,1,5,,2,,,2,1,1,1,,
562,vt6_Mälkiä,2020/04/03,2,"11 HA-PA",13,10,6,10,22,111,410,403,254,229,244,265,279,377,404,460,338,285,191,163,120,91,67,28
562,vt6_Mälkiä,2020/04/03,2,"12 KAIP",1,,,1,3,5,8,15,17,11,11,22,25,18,16,27,7,7,2,4,2,2,6,1
562,vt6_Mälkiä,2020/04/03,2,"13 Linja-autot",,,,,,,3,3,2,2,4,3,1,1,3,3,3,1,4,,2,1,1,1
562,vt6_Mälkiä,2020/04/03,2,"14 KAPP",3,2,3,1,3,,5,6,7,9,9,9,11,8,7,6,8,6,9,1,6,4,5,1
562,vt6_Mälkiä,2020/04/03,2,"15 KATP",8,7,6,4,7,11,25,32,20,31,28,23,38,32,34,27,20,14,21,23,11,9,14,6
562,vt6_Mälkiä,2020/04/03,2,"16 HA + PK",1,,1,,1,2,6,13,6,19,8,8,7,12,14,13,12,6,5,,1,1,1,
562,vt6_Mälkiä,2020/04/03,2,"17 HA + AV",3,1,1,1,,,3,,2,4,5,1,3,6,7,2,1,,,4,1,,,
562,vt6_Mälkiä,2020/04/04,1,"11 HA-PA",30,23,10,9,7,38,88,88,89,167,235,283,321,336,286,299,225,190,156,122,87,96,58,36
562,vt6_Mälkiä,2020/04/04,1,"12 KAIP",3,1,1,3,3,2,1,,3,4,1,6,10,1,4,4,3,4,4,1,,1,1,1
