"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
592,vt6_Metso,2020/04/01,1,"11 HA-PA",4,5,4,,5,32,65,55,79,58,78,66,66,75,95,128,128,83,56,36,29,18,16,1
592,vt6_Metso,2020/04/01,1,"12 KAIP",3,,,2,3,4,5,11,7,6,3,4,5,2,3,3,5,2,3,2,2,1,3,3
592,vt6_Metso,2020/04/01,1,"13 Linja-autot",,,,,,,,,1,1,,,1,1,,1,1,,,,,,,
592,vt6_Metso,2020/04/01,1,"14 KAPP",,3,5,2,2,6,7,10,9,7,12,15,8,7,13,12,9,12,12,8,3,9,,2
592,vt6_Metso,2020/04/01,1,"15 KATP",15,18,11,9,10,13,7,11,10,15,23,15,18,17,22,23,21,10,19,11,13,8,19,9
592,vt6_Metso,2020/04/01,1,"16 HA + PK",,,,1,,,,3,3,2,4,4,5,4,4,7,5,1,5,,1,,,
592,vt6_Metso,2020/04/01,1,"17 HA + AV",,,,,,,,,1,1,1,1,,,,,,,,1,,,,1
592,vt6_Metso,2020/04/01,2,"11 HA-PA",1,3,5,8,7,28,81,95,70,67,57,76,74,90,87,98,105,74,55,36,29,20,15,8
592,vt6_Metso,2020/04/01,2,"12 KAIP",1,,,1,,,1,3,6,4,10,7,7,6,10,11,5,3,4,2,1,,1,
592,vt6_Metso,2020/04/01,2,"13 Linja-autot",,,,,,,1,1,1,,,,,,,,1,,,,1,,,
592,vt6_Metso,2020/04/01,2,"14 KAPP",5,,4,,5,4,6,2,5,7,4,8,10,11,11,11,12,10,8,10,5,9,4,2
592,vt6_Metso,2020/04/01,2,"15 KATP",6,4,6,7,7,7,10,18,17,17,17,23,28,25,14,17,24,21,30,25,4,16,9,8
592,vt6_Metso,2020/04/01,2,"16 HA + PK",,,,,,,4,2,2,3,2,6,5,6,3,6,6,4,2,,1,,,
592,vt6_Metso,2020/04/01,2,"17 HA + AV",,,,,,,,2,2,,1,,1,,2,2,2,,,1,,,,
592,vt6_Metso,2020/04/02,1,"11 HA-PA",8,5,4,3,4,28,59,63,69,49,57,77,69,65,88,115,118,91,62,35,39,24,15,12
592,vt6_Metso,2020/04/02,1,"12 KAIP",1,1,,1,3,2,6,8,3,6,7,9,2,7,2,3,2,4,1,2,1,3,1,2
592,vt6_Metso,2020/04/02,1,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,1,1,,,
592,vt6_Metso,2020/04/02,1,"14 KAPP",5,7,6,4,4,1,4,8,4,8,13,21,10,17,23,13,16,17,8,6,3,5,1,4
592,vt6_Metso,2020/04/02,1,"15 KATP",12,12,13,10,5,10,12,17,11,19,11,22,23,32,22,21,17,13,18,17,16,15,7,16
592,vt6_Metso,2020/04/02,1,"16 HA + PK",,,,1,,1,1,2,2,1,3,4,1,3,4,3,8,,2,1,,2,,1
592,vt6_Metso,2020/04/02,1,"17 HA + AV",,,,,,,,,1,,1,1,,1,,,2,,1,,,,,
592,vt6_Metso,2020/04/02,2,"11 HA-PA",5,1,6,3,4,31,83,69,68,55,58,65,67,81,89,98,115,71,61,29,25,19,16,4
592,vt6_Metso,2020/04/02,2,"12 KAIP",1,2,,,1,1,1,2,6,6,3,4,6,2,14,12,5,6,5,1,3,2,1,
592,vt6_Metso,2020/04/02,2,"13 Linja-autot",3,1,,,,1,,,,,,1,,2,,,,3,,,,,,
592,vt6_Metso,2020/04/02,2,"14 KAPP",7,4,4,2,6,10,5,5,9,4,12,11,12,13,12,14,10,13,11,8,13,1,3,2
592,vt6_Metso,2020/04/02,2,"15 KATP",12,6,8,8,5,11,9,12,11,21,20,26,16,20,25,18,21,21,26,19,9,8,5,7
592,vt6_Metso,2020/04/02,2,"16 HA + PK",,,,,,,2,1,2,1,1,4,5,3,5,3,2,1,6,2,1,1,,
592,vt6_Metso,2020/04/02,2,"17 HA + AV",,,1,1,,,,,,1,,,,1,3,2,2,,,1,,,,
592,vt6_Metso,2020/04/03,1,"11 HA-PA",8,2,2,1,1,25,49,55,66,67,65,70,105,107,113,169,149,113,93,43,39,15,18,9
592,vt6_Metso,2020/04/03,1,"12 KAIP",,,2,3,2,1,7,4,5,4,8,4,4,2,5,2,2,3,2,4,1,,2,2
592,vt6_Metso,2020/04/03,1,"13 Linja-autot",,,,,,,,1,,,,,1,,1,2,,1,,,,,,
592,vt6_Metso,2020/04/03,1,"14 KAPP",3,3,2,,1,8,3,11,5,7,10,20,15,15,12,8,4,8,2,4,5,2,,
592,vt6_Metso,2020/04/03,1,"15 KATP",14,7,19,4,7,10,12,13,6,16,16,18,19,16,14,15,14,13,10,10,8,4,7,9
592,vt6_Metso,2020/04/03,1,"16 HA + PK",,1,,,,,,3,3,4,4,5,5,6,8,7,6,5,5,4,,3,1,
592,vt6_Metso,2020/04/03,1,"17 HA + AV",,,,,,1,1,1,,,1,,,1,2,,1,1,,,,,,
