"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
827,vt9_Jännevirta,2020/04/01,1,"11 HA-PA",5,9,1,5,10,23,73,105,98,93,95,124,115,132,182,305,279,178,97,71,45,48,29,6
827,vt9_Jännevirta,2020/04/01,1,"12 KAIP",1,1,3,1,2,4,2,7,3,4,7,4,6,11,5,3,6,3,2,2,5,2,1,2
827,vt9_Jännevirta,2020/04/01,1,"13 Linja-autot",,,,,,2,,2,,1,2,1,,,,1,1,1,,,2,,,
827,vt9_Jännevirta,2020/04/01,1,"14 KAPP",2,1,,1,1,3,1,2,5,1,2,2,4,,2,2,1,2,,,1,,,
827,vt9_Jännevirta,2020/04/01,1,"15 KATP",2,4,8,1,2,10,7,9,8,9,9,8,6,8,10,13,9,8,6,1,4,2,6,2
827,vt9_Jännevirta,2020/04/01,1,"16 HA + PK",,,,,1,,1,4,3,4,5,3,6,6,4,10,7,3,7,5,,,,
827,vt9_Jännevirta,2020/04/01,1,"17 HA + AV",,1,,,,3,2,,1,2,1,1,,1,2,,3,,,,,,,
827,vt9_Jännevirta,2020/04/01,2,"11 HA-PA",5,3,11,11,15,111,295,224,129,116,101,130,119,131,134,132,137,107,74,79,44,36,26,7
827,vt9_Jännevirta,2020/04/01,2,"12 KAIP",1,,1,2,,,1,4,5,5,5,11,8,6,3,4,3,2,4,1,,2,1,
827,vt9_Jännevirta,2020/04/01,2,"13 Linja-autot",,,,,1,,2,2,,2,1,,,,,1,1,1,,,1,,1,
827,vt9_Jännevirta,2020/04/01,2,"14 KAPP",,1,,,,1,2,3,,3,2,1,,1,2,1,4,3,2,2,1,1,,1
827,vt9_Jännevirta,2020/04/01,2,"15 KATP",3,,1,,2,3,6,7,4,5,11,13,14,7,15,8,5,12,11,8,8,2,1,2
827,vt9_Jännevirta,2020/04/01,2,"16 HA + PK",,,,,,1,1,7,4,4,7,5,5,3,10,5,7,5,1,2,2,,1,
827,vt9_Jännevirta,2020/04/01,2,"17 HA + AV",,1,,,1,,1,,,2,,,,3,1,,,,,1,,,,
827,vt9_Jännevirta,2020/04/02,1,"11 HA-PA",8,5,4,1,9,24,80,123,95,116,110,135,145,165,193,295,296,188,117,81,53,42,27,6
827,vt9_Jännevirta,2020/04/02,1,"12 KAIP",1,1,1,1,,5,7,5,5,3,2,1,1,4,6,4,3,6,4,,3,1,2,
827,vt9_Jännevirta,2020/04/02,1,"13 Linja-autot",,,,,,1,1,1,,1,,,,,,1,1,,,,,1,,
827,vt9_Jännevirta,2020/04/02,1,"14 KAPP",,,1,,2,,2,2,4,3,3,,2,3,1,1,1,1,1,3,2,,1,2
827,vt9_Jännevirta,2020/04/02,1,"15 KATP",3,5,7,4,5,5,5,4,7,9,3,6,7,7,8,10,5,5,7,7,3,3,2,2
827,vt9_Jännevirta,2020/04/02,1,"16 HA + PK",,,,,1,1,,,2,2,5,8,4,6,8,5,5,8,4,4,1,2,,1
827,vt9_Jännevirta,2020/04/02,1,"17 HA + AV",,,,,,1,1,2,1,,,2,5,3,1,2,1,4,,,,,,
827,vt9_Jännevirta,2020/04/02,2,"11 HA-PA",5,5,2,10,22,104,285,216,143,134,135,119,137,146,135,162,163,132,86,64,46,31,22,6
827,vt9_Jännevirta,2020/04/02,2,"12 KAIP",,,1,,2,1,,6,4,3,7,5,4,11,1,8,2,5,4,1,,1,,
827,vt9_Jännevirta,2020/04/02,2,"13 Linja-autot",,,,,,,1,4,,1,,,,,,,,2,,,,,1,
827,vt9_Jännevirta,2020/04/02,2,"14 KAPP",,,,1,,,,1,3,2,2,1,1,1,,1,4,,1,,,1,1,1
827,vt9_Jännevirta,2020/04/02,2,"15 KATP",2,4,1,2,2,3,4,2,4,5,8,14,11,4,11,10,8,5,8,7,7,3,5,3
827,vt9_Jännevirta,2020/04/02,2,"16 HA + PK",,,,,,,3,5,4,5,8,5,5,6,1,2,3,5,1,1,,1,,
827,vt9_Jännevirta,2020/04/02,2,"17 HA + AV",,,,,,2,,1,,1,3,2,1,1,,,1,,,,,,,
827,vt9_Jännevirta,2020/04/03,1,"11 HA-PA",10,2,2,6,9,26,62,98,87,84,100,130,175,214,279,349,371,249,148,110,65,49,25,16
827,vt9_Jännevirta,2020/04/03,1,"12 KAIP",1,1,1,1,1,4,8,5,5,6,6,4,4,4,3,7,3,4,1,5,1,3,,2
827,vt9_Jännevirta,2020/04/03,1,"13 Linja-autot",1,,,1,,1,,1,2,2,,1,,1,,,1,,,,,,,
827,vt9_Jännevirta,2020/04/03,1,"14 KAPP",2,1,1,1,1,3,1,,2,3,1,1,3,1,2,3,1,2,2,2,,,,1
827,vt9_Jännevirta,2020/04/03,1,"15 KATP",7,4,6,4,5,4,5,9,9,13,5,5,5,11,2,8,7,6,5,4,2,2,4,1
827,vt9_Jännevirta,2020/04/03,1,"16 HA + PK",,,,,,,2,,1,1,9,9,6,12,15,9,11,14,8,5,2,1,,
827,vt9_Jännevirta,2020/04/03,1,"17 HA + AV",,,,,1,,3,1,2,,,2,5,,2,1,4,1,,,,,,
827,vt9_Jännevirta,2020/04/03,2,"11 HA-PA",13,1,7,7,23,98,287,190,139,131,126,116,128,161,162,179,156,116,112,72,62,30,26,21
827,vt9_Jännevirta,2020/04/03,2,"12 KAIP",,,,,1,,5,2,8,6,6,7,7,11,3,4,5,3,1,,2,,2,1
827,vt9_Jännevirta,2020/04/03,2,"13 Linja-autot",,,,,,,1,2,,1,,,,,,2,,1,1,,,,1,
