"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
905,vt23_Keuruu1,2020/04/01,1,"11 HA-PA",,2,1,6,3,25,41,50,44,39,45,44,62,43,68,67,46,40,30,19,10,15,7,2
905,vt23_Keuruu1,2020/04/01,1,"12 KAIP",,,,,,,,2,,4,3,3,3,5,4,2,,,,,1,1,,
905,vt23_Keuruu1,2020/04/01,1,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,,
905,vt23_Keuruu1,2020/04/01,1,"14 KAPP",1,,,,,,,,,,1,,2,3,1,1,,1,,,,,,
905,vt23_Keuruu1,2020/04/01,1,"15 KATP",2,4,,2,,1,3,6,2,4,1,7,3,4,5,3,2,3,3,2,1,6,2,2
905,vt23_Keuruu1,2020/04/01,1,"16 HA + PK",,,,,,,1,2,1,5,,2,3,2,1,1,1,1,3,,,,,
905,vt23_Keuruu1,2020/04/01,1,"17 HA + AV",,,,,,,,,,,1,,,1,,1,1,1,,,,1,,
905,vt23_Keuruu1,2020/04/01,2,"11 HA-PA",1,1,1,2,3,22,38,40,23,27,50,47,39,54,72,62,64,52,31,18,21,8,7,5
905,vt23_Keuruu1,2020/04/01,2,"12 KAIP",,,,,,,2,1,,1,5,2,2,2,2,1,1,2,1,1,,,1,
905,vt23_Keuruu1,2020/04/01,2,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,,
905,vt23_Keuruu1,2020/04/01,2,"14 KAPP",,,,,1,,,3,,1,1,,1,2,1,1,,1,,,,,,
905,vt23_Keuruu1,2020/04/01,2,"15 KATP",3,4,2,5,,2,1,3,3,5,1,6,7,5,1,6,6,2,4,2,5,1,1,2
905,vt23_Keuruu1,2020/04/01,2,"16 HA + PK",,,1,,,1,1,1,2,4,3,3,4,4,1,3,4,3,2,1,2,1,,
905,vt23_Keuruu1,2020/04/01,2,"17 HA + AV",,,,,,,,,1,,1,,2,,,,,,,,1,,,1
905,vt23_Keuruu1,2020/04/02,1,"11 HA-PA",,,2,3,6,27,54,59,43,32,46,38,45,46,61,73,51,39,23,19,20,7,7,1
905,vt23_Keuruu1,2020/04/02,1,"12 KAIP",,,,,,1,,1,5,2,3,1,1,2,,1,2,1,,,1,,,
905,vt23_Keuruu1,2020/04/02,1,"13 Linja-autot",,,,,,,,,1,,,,,,1,,,,,,,,,
905,vt23_Keuruu1,2020/04/02,1,"14 KAPP",,,,,,,,2,,1,1,,3,3,2,1,,,,,,,,
905,vt23_Keuruu1,2020/04/02,1,"15 KATP",2,3,,,,,5,2,4,8,3,1,5,2,,,,4,3,3,3,7,3,1
905,vt23_Keuruu1,2020/04/02,1,"16 HA + PK",,,,,,,,1,1,1,2,1,1,3,1,1,2,1,,1,1,1,,
905,vt23_Keuruu1,2020/04/02,1,"17 HA + AV",,,,,,,,,,,,1,,,1,1,,,,2,,,,
905,vt23_Keuruu1,2020/04/02,2,"11 HA-PA",2,,2,1,,26,32,34,34,36,36,31,30,43,68,84,77,41,30,28,21,13,11,2
