"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1055,kt68_Lehtimäki,2020/02/01,1,"11 HA-PA",5,4,6,4,1,3,5,8,16,15,22,35,55,52,46,55,46,39,37,24,15,24,3,3
1055,kt68_Lehtimäki,2020/02/01,1,"12 KAIP",,,,,,,1,,,,1,,,,1,1,1,1,,,,,,2
1055,kt68_Lehtimäki,2020/02/01,1,"14 KAPP",,,,,,,,,,1,1,,,,1,,1,,,,,,,
1055,kt68_Lehtimäki,2020/02/01,1,"15 KATP",,,,,,,,,,1,,,,,,,1,,,,,,,
1055,kt68_Lehtimäki,2020/02/01,1,"16 HA + PK",,,,,,,,,,,1,2,1,,,3,,2,,,1,,1,
1055,kt68_Lehtimäki,2020/02/01,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,,,1,,,
1055,kt68_Lehtimäki,2020/02/01,2,"11 HA-PA",3,7,3,1,,2,8,6,28,25,34,52,40,48,39,59,33,28,25,23,11,12,8,6
1055,kt68_Lehtimäki,2020/02/01,2,"12 KAIP",,,,,,,,1,1,1,,1,,,,,1,1,2,,,2,,1
1055,kt68_Lehtimäki,2020/02/01,2,"15 KATP",,,,,,,,,,,,1,,,,,,,1,,,,,
1055,kt68_Lehtimäki,2020/02/01,2,"16 HA + PK",,,,,,,,,,,1,1,,,,2,1,1,,1,,,,
1055,kt68_Lehtimäki,2020/02/01,2,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,,,
1055,kt68_Lehtimäki,2020/02/02,1,"11 HA-PA",2,2,3,2,,1,4,6,7,10,17,23,28,41,39,52,40,56,34,23,14,9,3,1
1055,kt68_Lehtimäki,2020/02/02,1,"12 KAIP",,,1,1,,,,1,1,,,,,,1,,1,,2,,,,,
1055,kt68_Lehtimäki,2020/02/02,1,"13 Linja-autot",,,,,,,1,,,,,,,,,,,1,,,,,,
1055,kt68_Lehtimäki,2020/02/02,1,"14 KAPP",,,,,,,,,,,1,,,,,,1,,,,1,,,
1055,kt68_Lehtimäki,2020/02/02,1,"15 KATP",,,,,1,,,,,,,,1,,,1,,,,,,,,
1055,kt68_Lehtimäki,2020/02/02,1,"16 HA + PK",,,,,,,,,1,,,,1,,,,2,1,,,,,,
1055,kt68_Lehtimäki,2020/02/02,1,"17 HA + AV",,,,,,,,,,,,2,,1,,,,,,,,,,
1055,kt68_Lehtimäki,2020/02/02,2,"11 HA-PA",3,2,2,,1,,8,2,4,13,19,33,52,54,39,46,33,40,35,35,12,10,1,
1055,kt68_Lehtimäki,2020/02/02,2,"12 KAIP",1,,,,,,,1,,,,2,,,1,,,,,1,1,,,
1055,kt68_Lehtimäki,2020/02/02,2,"13 Linja-autot",,,,,,,,,,,1,,,,,1,,,,,,,,
1055,kt68_Lehtimäki,2020/02/02,2,"14 KAPP",,,,,,,,,,,,,,,,,2,,,,,,,
1055,kt68_Lehtimäki,2020/02/02,2,"15 KATP",,,,,,,,,,,1,,,,,,1,,,,,1,,
1055,kt68_Lehtimäki,2020/02/02,2,"16 HA + PK",,,,,,,,,,,1,3,2,1,,,1,3,,1,,,,
1055,kt68_Lehtimäki,2020/02/02,2,"17 HA + AV",,,,,,,,,,,,,,,,,,2,,,,,,
1055,kt68_Lehtimäki,2020/02/03,1,"11 HA-PA",1,1,,1,,7,25,35,32,29,28,38,34,48,50,54,56,39,34,25,24,9,3,1
1055,kt68_Lehtimäki,2020/02/03,1,"12 KAIP",,,,,1,1,2,6,3,1,1,3,2,2,,1,2,1,,,1,,,
1055,kt68_Lehtimäki,2020/02/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,3,,,,,,,,
1055,kt68_Lehtimäki,2020/02/03,1,"14 KAPP",,,,,,,,,,,,,,,,,,,,1,1,,,
1055,kt68_Lehtimäki,2020/02/03,1,"15 KATP",,,,,,1,,1,1,1,1,2,,,2,1,1,,,,,,,
1055,kt68_Lehtimäki,2020/02/03,1,"16 HA + PK",,,,,,,,1,,1,2,1,1,,,,1,1,,,1,,,
