"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,1,"11 HA-PA",18,9,11,6,6,9,27,20,70,47,69,111,115,114,107,99,112,97,80,86,72,57,41,25
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,1,"12 KAIP",1,2,3,,2,,,,3,1,4,3,3,4,1,,1,2,1,1,4,,1,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,1,"13 Linja-autot",,,,,,,,,,,,1,,1,1,,,,,2,,3,1,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,1,"14 KAPP",1,,1,,,,1,1,,,,,,1,1,,,2,1,,,1,,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,1,"15 KATP",13,14,11,10,2,1,1,1,2,1,4,1,1,2,2,5,4,1,2,6,3,4,6,2
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,1,"16 HA + PK",1,,,,,1,,1,3,6,4,3,7,3,1,2,1,1,2,1,1,3,3,2
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,1,"17 HA + AV",,,,,,,,,1,,,1,1,,,,,1,,1,,,1,1
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,2,"11 HA-PA",12,15,9,13,8,23,32,56,74,87,97,113,99,97,119,119,111,115,87,55,34,28,19,19
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,2,"12 KAIP",,,3,,1,,1,,2,1,,3,4,2,1,3,,3,,1,,2,,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,2,"13 Linja-autot",,,,,,,1,1,,1,,,1,,,,,,,,1,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,2,"14 KAPP",,,,,2,,2,1,2,,1,1,,1,2,,,,,,,1,,1
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,2,"15 KATP",7,3,5,1,2,3,4,5,1,2,2,4,3,2,,4,4,2,2,2,,,1,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,2,"16 HA + PK",,1,,,1,,,4,3,1,6,3,6,,5,1,5,1,1,2,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/01,2,"17 HA + AV",,,,,1,,,,2,,,3,1,,,,3,1,1,,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/02,1,"11 HA-PA",16,10,7,8,10,7,12,16,19,29,34,63,105,120,119,141,136,138,142,104,82,66,36,23
1068,vt19_Ilmajoki_Rengonkylä,2020/02/02,1,"12 KAIP",,,,,,,,,,,2,2,3,1,2,,,1,3,1,2,2,2,1
1068,vt19_Ilmajoki_Rengonkylä,2020/02/02,1,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/02,1,"14 KAPP",2,3,,2,,,,,,,1,,1,2,1,5,1,1,5,2,2,3,1,2
1068,vt19_Ilmajoki_Rengonkylä,2020/02/02,1,"15 KATP",,1,1,,,1,,1,,1,1,1,5,2,2,1,1,2,3,4,4,6,5,3
1068,vt19_Ilmajoki_Rengonkylä,2020/02/02,1,"16 HA + PK",1,,,,,1,,1,,1,,1,4,,2,3,2,2,1,5,2,2,1,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/02,1,"17 HA + AV",,1,,,,,,,,,3,1,,,1,,,1,1,1,,1,,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/02,2,"11 HA-PA",17,11,5,5,13,7,13,32,35,34,67,82,124,157,147,142,134,137,110,94,48,33,18,4
1068,vt19_Ilmajoki_Rengonkylä,2020/02/02,2,"12 KAIP",1,,,,,,1,,,,,3,1,3,3,2,2,2,5,2,2,2,2,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/02,2,"14 KAPP",,,1,,,,,1,1,1,2,2,1,2,3,,3,2,1,1,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/02,2,"15 KATP",,,,2,1,,,1,4,3,2,4,1,5,3,13,18,9,6,4,12,6,5,3
1068,vt19_Ilmajoki_Rengonkylä,2020/02/02,2,"16 HA + PK",1,,,,,,,,1,,4,1,3,5,1,4,2,2,1,2,2,,1,2
1068,vt19_Ilmajoki_Rengonkylä,2020/02/02,2,"17 HA + AV",,,,,,,,,,1,,,,,5,,1,,,,,,,
1068,vt19_Ilmajoki_Rengonkylä,2020/02/03,1,"11 HA-PA",11,9,5,7,16,46,135,171,107,59,83,76,81,92,101,163,158,122,85,72,54,38,35,14
1068,vt19_Ilmajoki_Rengonkylä,2020/02/03,1,"12 KAIP",,1,1,1,2,2,9,5,7,9,7,6,6,5,9,9,1,4,3,1,1,2,2,1
