"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1228,st847_Haukipudas,2020/02/01,1,"11 HA-PA",37,24,13,21,20,17,31,35,52,116,137,219,254,306,303,310,289,244,210,156,140,107,59,45
1228,st847_Haukipudas,2020/02/01,1,"12 KAIP",,,,,,1,,3,3,2,4,2,1,3,4,2,1,1,3,1,3,2,1,
1228,st847_Haukipudas,2020/02/01,1,"13 Linja-autot",1,1,,1,,,,1,1,1,1,1,3,3,3,3,2,2,3,2,1,,2,1
1228,st847_Haukipudas,2020/02/01,1,"14 KAPP",,,,,,,2,,,,,,,,,,,,,,,,,
1228,st847_Haukipudas,2020/02/01,1,"15 KATP",1,,,,,1,1,,,,2,,1,2,,,2,1,,,,,1,
1228,st847_Haukipudas,2020/02/01,1,"16 HA + PK",,,1,,,,,2,2,2,2,5,6,5,9,10,4,2,3,3,,,,
1228,st847_Haukipudas,2020/02/01,1,"17 HA + AV",,,,,1,,,,,,,,,,,,,,,1,,,,
1228,st847_Haukipudas,2020/02/01,2,"11 HA-PA",24,22,16,18,10,23,52,40,68,125,163,265,316,285,295,299,283,208,199,163,119,86,56,62
1228,st847_Haukipudas,2020/02/01,2,"12 KAIP",,,,,1,,,,2,2,2,4,3,3,4,,3,2,3,1,,2,,
1228,st847_Haukipudas,2020/02/01,2,"13 Linja-autot",,,1,,,1,,2,1,1,3,2,4,3,2,3,2,3,3,1,1,,3,2
1228,st847_Haukipudas,2020/02/01,2,"14 KAPP",,1,1,,,,,,,1,,,,,1,,,,2,,1,,,
1228,st847_Haukipudas,2020/02/01,2,"15 KATP",,,,1,,,,,,2,4,1,,,1,,1,,1,1,,,,
1228,st847_Haukipudas,2020/02/01,2,"16 HA + PK",,,,,,,,,3,3,8,8,6,10,10,10,3,1,3,3,1,,,
1228,st847_Haukipudas,2020/02/01,2,"17 HA + AV",,,,,,,1,,,,,,,,,1,,,,,,,,
1228,st847_Haukipudas,2020/02/02,1,"11 HA-PA",47,35,16,20,24,16,22,22,44,66,109,150,197,254,296,270,292,242,246,194,129,99,37,22
1228,st847_Haukipudas,2020/02/02,1,"12 KAIP",,,1,1,,,,,1,2,2,1,1,2,4,2,4,1,1,,1,1,1,
1228,st847_Haukipudas,2020/02/02,1,"13 Linja-autot",1,1,,,,,,1,1,1,2,2,2,2,3,1,3,2,3,1,1,1,1,
1228,st847_Haukipudas,2020/02/02,1,"14 KAPP",,,,,,,,,,,,1,,,,,,,,,,,,
1228,st847_Haukipudas,2020/02/02,1,"15 KATP",2,,,,,,,,1,,,1,,1,,1,1,,1,,1,1,,
1228,st847_Haukipudas,2020/02/02,1,"16 HA + PK",1,,,,,,1,1,1,1,2,5,2,3,4,7,4,6,4,2,2,3,,
1228,st847_Haukipudas,2020/02/02,1,"17 HA + AV",,,,,1,1,,,,,,,,1,,,,,1,1,,,,
1228,st847_Haukipudas,2020/02/02,2,"11 HA-PA",33,22,27,15,20,20,43,37,41,80,115,185,239,248,252,280,263,284,199,149,139,82,37,15
