"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1230,vt20_Rankkila,2020/02/01,1,"11 HA-PA",7,6,3,4,6,5,7,29,44,87,117,96,112,81,75,89,73,78,65,44,38,21,15,7
1230,vt20_Rankkila,2020/02/01,1,"12 KAIP",,,,,,1,,2,2,2,2,1,1,,3,2,2,,,2,,1,,1
1230,vt20_Rankkila,2020/02/01,1,"13 Linja-autot",,,,,,,1,,2,1,,1,,1,,1,2,2,,2,,1,,
1230,vt20_Rankkila,2020/02/01,1,"14 KAPP",,,,,1,,,,1,1,,,2,,,,,,,,,,,
1230,vt20_Rankkila,2020/02/01,1,"15 KATP",3,1,2,1,1,1,2,,,,2,,1,3,1,2,1,1,,2,2,1,,
1230,vt20_Rankkila,2020/02/01,1,"16 HA + PK",1,,,,1,,1,4,9,9,7,8,3,5,6,2,7,6,1,,2,2,2,
1230,vt20_Rankkila,2020/02/01,1,"17 HA + AV",,1,1,,,,1,4,3,3,2,2,1,2,,,,,,,,,,
1230,vt20_Rankkila,2020/02/01,2,"11 HA-PA",3,2,4,4,4,6,10,16,49,75,77,88,70,76,71,71,80,66,52,48,39,25,10,12
1230,vt20_Rankkila,2020/02/01,2,"12 KAIP",,1,,,,,1,2,,3,1,6,2,6,4,5,2,4,,1,1,,1,
1230,vt20_Rankkila,2020/02/01,2,"13 Linja-autot",,,,,,,,,,1,,1,1,1,1,,1,1,,2,1,,,
1230,vt20_Rankkila,2020/02/01,2,"14 KAPP",,1,,,,,1,,,,1,,,2,,1,,,1,1,,1,1,
1230,vt20_Rankkila,2020/02/01,2,"15 KATP",,2,,,,,3,2,1,,1,1,3,3,1,2,,3,2,1,1,1,1,
1230,vt20_Rankkila,2020/02/01,2,"16 HA + PK",2,,,,1,,1,,2,3,4,2,6,7,6,2,8,7,9,4,5,3,2,1
1230,vt20_Rankkila,2020/02/01,2,"17 HA + AV",1,,,,,,,,1,,,1,1,,,,2,2,3,3,2,2,,
1230,vt20_Rankkila,2020/02/02,1,"11 HA-PA",5,3,2,2,,3,4,8,29,38,32,74,91,78,100,86,86,88,69,54,42,29,18,7
1230,vt20_Rankkila,2020/02/02,1,"12 KAIP",,,,,,,,1,,,2,,1,,1,,1,2,1,2,3,,1,1
1230,vt20_Rankkila,2020/02/02,1,"13 Linja-autot",,,,,,,,,,3,,2,,,1,,1,,2,1,,,1,
1230,vt20_Rankkila,2020/02/02,1,"14 KAPP",,,,,,,,,,1,,,,,,,,2,1,1,1,1,,
1230,vt20_Rankkila,2020/02/02,1,"15 KATP",,,,,1,,2,,1,2,1,1,,3,1,1,2,1,2,1,1,2,2,2
1230,vt20_Rankkila,2020/02/02,1,"16 HA + PK",,,,,,,,,4,2,5,1,1,6,6,4,5,5,2,2,2,,,1
1230,vt20_Rankkila,2020/02/02,1,"17 HA + AV",,,,,,,,1,,5,1,,1,,1,,,,,1,,,,
1230,vt20_Rankkila,2020/02/02,2,"11 HA-PA",5,1,2,2,4,1,6,8,13,32,71,133,141,246,298,267,269,245,171,125,53,42,16,10
1230,vt20_Rankkila,2020/02/02,2,"12 KAIP",,,,,1,1,,,1,,4,3,5,6,6,5,6,12,1,2,2,2,,1
1230,vt20_Rankkila,2020/02/02,2,"13 Linja-autot",,,,,,,,,,,,4,2,,,4,1,1,2,2,2,,,
1230,vt20_Rankkila,2020/02/02,2,"14 KAPP",,,,,,,,1,,,,,,1,,2,,,1,1,2,,,
1230,vt20_Rankkila,2020/02/02,2,"15 KATP",,,1,,,,2,1,1,1,,3,,4,2,2,5,4,5,2,2,3,2,1
1230,vt20_Rankkila,2020/02/02,2,"16 HA + PK",1,,,,,,,,,1,8,14,9,15,33,21,19,24,14,17,9,7,2,1
1230,vt20_Rankkila,2020/02/02,2,"17 HA + AV",,,,,,,1,,,1,1,,4,3,7,3,3,6,5,2,2,,,
