"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1249,st815_Lunki,2020/02/01,1,"11 HA-PA",59,25,6,20,75,26,29,86,109,55,30,49,75,99,76,87,123,101,77,55,55,78,23,11
1249,st815_Lunki,2020/02/01,1,"12 KAIP",,,1,,,,,,,,,1,,,,,,2,1,,,,,
1249,st815_Lunki,2020/02/01,1,"13 Linja-autot",1,,,,2,1,1,2,2,2,2,1,1,2,1,1,2,3,1,,1,,,
1249,st815_Lunki,2020/02/01,1,"16 HA + PK",,,,,,,,1,,1,1,,1,1,,,,,1,,1,1,1,
1249,st815_Lunki,2020/02/01,1,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,,,
1249,st815_Lunki,2020/02/01,2,"11 HA-PA",6,91,5,12,38,26,23,73,67,113,49,58,72,68,142,65,88,113,115,41,56,127,45,11
1249,st815_Lunki,2020/02/01,2,"12 KAIP",,,1,,,1,,,,,,,1,,,,,1,2,,,,,
1249,st815_Lunki,2020/02/01,2,"13 Linja-autot",,2,,,,1,,1,2,1,1,1,1,1,2,1,2,3,1,1,1,,,
1249,st815_Lunki,2020/02/01,2,"14 KAPP",,,,,,,,,,,,,,,,,1,,,,,,,
1249,st815_Lunki,2020/02/01,2,"15 KATP",,,,,,,,,,,,,1,,,,,,,,,,,
1249,st815_Lunki,2020/02/01,2,"16 HA + PK",,,,,,,1,,,1,1,1,2,1,,1,,,,,,2,,
1249,st815_Lunki,2020/02/01,2,"17 HA + AV",,,,,,,,,,1,,,,,1,,,,,,,,,
1249,st815_Lunki,2020/02/02,1,"11 HA-PA",37,33,7,12,54,16,1,16,89,27,34,46,90,144,98,151,230,160,122,65,76,123,38,10
1249,st815_Lunki,2020/02/02,1,"12 KAIP",1,,,,1,,,1,,1,,,,,,,1,,,,,2,1,
1249,st815_Lunki,2020/02/02,1,"13 Linja-autot",,,,,,1,,2,2,1,1,1,1,1,1,2,4,2,1,1,2,,1,
1249,st815_Lunki,2020/02/02,1,"15 KATP",,,,,,,,,,,,,,,,,1,,1,,,,,
1249,st815_Lunki,2020/02/02,1,"16 HA + PK",,,,,,,,,1,,,1,1,1,,,,1,,,1,,,
1249,st815_Lunki,2020/02/02,1,"17 HA + AV",,,,,1,,,,1,,,,,1,,,,,,,,,,
1249,st815_Lunki,2020/02/02,2,"11 HA-PA",8,81,8,5,32,23,8,6,44,74,36,43,87,106,124,150,232,197,133,65,87,63,150,2
1249,st815_Lunki,2020/02/02,2,"12 KAIP",,1,,,2,,,,,1,,,,,,,,,,1,,2,2,
1249,st815_Lunki,2020/02/02,2,"13 Linja-autot",,1,,,,1,,2,1,1,1,1,1,1,1,1,3,2,1,1,2,1,,2
1249,st815_Lunki,2020/02/02,2,"14 KAPP",,,,,,,,,,,,,,,,,,,,1,,,,
1249,st815_Lunki,2020/02/02,2,"15 KATP",,,,,,,,,,,,,,,,1,,1,,1,,,,
1249,st815_Lunki,2020/02/02,2,"16 HA + PK",,,,,,,,,,2,,2,2,1,,,,,,,,,,
1249,st815_Lunki,2020/02/02,2,"17 HA + AV",,,,,,,,,,,,,,,,1,,,,,,,,
1249,st815_Lunki,2020/02/03,1,"11 HA-PA",38,16,6,7,78,219,265,373,359,105,69,100,115,182,165,144,164,194,193,63,110,115,40,43
1249,st815_Lunki,2020/02/03,1,"12 KAIP",,1,,1,,2,1,2,1,2,2,3,2,6,3,2,1,,,,,,,
1249,st815_Lunki,2020/02/03,1,"13 Linja-autot",,,,,1,2,3,3,2,2,2,2,3,3,3,2,2,2,3,2,2,1,,
1249,st815_Lunki,2020/02/03,1,"14 KAPP",,,,,,,,,,,,,,,,1,,,,,,,,
1249,st815_Lunki,2020/02/03,1,"15 KATP",,,,,,,,,,,,,,,,,1,,,1,,1,,
1249,st815_Lunki,2020/02/03,1,"16 HA + PK",,,,,,,,2,1,,,,,2,1,,,1,1,,,,,
1249,st815_Lunki,2020/02/03,1,"17 HA + AV",,,,,,,,,1,,,,,,,,,,,,,,,
1249,st815_Lunki,2020/02/03,2,"11 HA-PA",4,75,3,4,38,116,183,228,205,147,65,92,98,111,269,271,277,194,319,62,46,185,74,5
1249,st815_Lunki,2020/02/03,2,"12 KAIP",,,,,1,2,2,1,2,1,1,1,3,3,3,1,,,1,,,,,
1249,st815_Lunki,2020/02/03,2,"13 Linja-autot",,1,,,,1,2,2,3,3,2,2,3,3,2,2,2,2,2,3,2,1,,
1249,st815_Lunki,2020/02/03,2,"14 KAPP",,,,,,,,,,,,,,,,,,1,,,,,,
1249,st815_Lunki,2020/02/03,2,"15 KATP",,,,1,,,1,,,,,,,,,,,,,,1,,,
1249,st815_Lunki,2020/02/03,2,"16 HA + PK",,,,,,,,1,1,,,,,,,,,1,3,1,,,,
1249,st815_Lunki,2020/02/04,1,"11 HA-PA",35,10,4,4,65,279,242,310,343,95,62,99,114,133,133,129,200,211,156,61,99,148,67,19
1249,st815_Lunki,2020/02/04,1,"12 KAIP",,,,,,,,1,6,2,,1,5,4,6,3,3,2,,1,,,2,
1249,st815_Lunki,2020/02/04,1,"13 Linja-autot",,,,,1,3,2,5,3,2,4,2,2,2,2,2,2,2,2,2,3,,,
1249,st815_Lunki,2020/02/04,1,"14 KAPP",,,,,,,,,,,,,,,,,,1,,,,,,
1249,st815_Lunki,2020/02/04,1,"16 HA + PK",,,,,,,,2,,,,1,,2,,1,,,1,2,,,,
1249,st815_Lunki,2020/02/04,1,"17 HA + AV",,,,,,,,1,,,,,,1,,,,,,,,,,
1249,st815_Lunki,2020/02/04,2,"11 HA-PA",86,64,4,,21,119,160,189,222,145,61,88,76,139,149,255,268,236,214,139,33,213,154,25
1249,st815_Lunki,2020/02/04,2,"12 KAIP",,,,,,,1,3,4,3,1,1,2,6,2,1,1,1,,,,1,,1
1249,st815_Lunki,2020/02/04,2,"13 Linja-autot",,1,,,,2,2,1,3,3,2,2,2,2,2,2,2,2,2,3,2,1,,
1249,st815_Lunki,2020/02/04,2,"14 KAPP",,,,,,,,,,,1,,,,,,,,,,,,,
1249,st815_Lunki,2020/02/04,2,"15 KATP",,,,,,,,,,,1,,,,,,,,1,,,,,
1249,st815_Lunki,2020/02/04,2,"16 HA + PK",,,,,,,,,2,,,,,,,1,1,1,,,1,,,
1249,st815_Lunki,2020/02/05,1,"11 HA-PA",31,5,3,5,57,219,199,314,359,116,75,80,120,158,135,143,191,205,148,147,135,119,34,57
1249,st815_Lunki,2020/02/05,1,"12 KAIP",,,,,1,,1,5,4,2,1,4,3,4,5,1,1,,,1,,,,
1249,st815_Lunki,2020/02/05,1,"13 Linja-autot",,,,,1,3,4,8,2,2,2,2,2,2,2,3,3,2,2,2,5,3,,
1249,st815_Lunki,2020/02/05,1,"14 KAPP",,,,,,,,,,1,,,,,,,,,,1,,,,
1249,st815_Lunki,2020/02/05,1,"15 KATP",,,,,,,1,,1,,,,,,,1,,,,,,,,
1249,st815_Lunki,2020/02/05,1,"16 HA + PK",,,,,,,,,1,2,,2,,,,1,1,,,,,1,,
1249,st815_Lunki,2020/02/05,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,,,1,,,
