"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1467,kt78_Pöykkölä,2020/02/01,1,"11 HA-PA",19,18,15,10,11,9,38,39,65,122,144,154,201,201,213,180,182,155,144,98,80,63,34,28
1467,kt78_Pöykkölä,2020/02/01,1,"12 KAIP",,1,,2,3,,1,1,3,4,2,4,5,2,4,1,,6,2,5,1,,,
1467,kt78_Pöykkölä,2020/02/01,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,,1,,,,,,
1467,kt78_Pöykkölä,2020/02/01,1,"14 KAPP",,,,,,,,,,,1,1,,,,,1,1,,,,,,
1467,kt78_Pöykkölä,2020/02/01,1,"15 KATP",,,,1,2,,,,1,1,1,,1,,1,,,,1,1,,,,
1467,kt78_Pöykkölä,2020/02/01,1,"16 HA + PK",1,,,2,,,1,1,,,,1,1,4,3,4,2,3,4,3,1,1,1,
1467,kt78_Pöykkölä,2020/02/01,1,"17 HA + AV",1,,,,,,,1,1,,,1,,,,,,1,1,,,,,
1467,kt78_Pöykkölä,2020/02/01,2,"11 HA-PA",21,20,24,9,13,6,12,32,48,89,121,158,161,200,210,216,194,196,176,144,105,81,44,40
1467,kt78_Pöykkölä,2020/02/01,2,"12 KAIP",,,1,1,4,,1,1,2,4,4,4,6,4,3,2,4,2,2,3,,3,,
1467,kt78_Pöykkölä,2020/02/01,2,"13 Linja-autot",,,,,,,,,,2,,,1,,,,,1,1,,,,,
1467,kt78_Pöykkölä,2020/02/01,2,"14 KAPP",,,,,,,,1,,2,1,,1,,1,,2,1,,1,,1,,
1467,kt78_Pöykkölä,2020/02/01,2,"15 KATP",1,,,,1,1,,1,,1,1,,,1,,1,,,,,1,,,
1467,kt78_Pöykkölä,2020/02/01,2,"16 HA + PK",,,,,,1,,,1,1,2,2,,1,4,1,2,1,2,1,2,1,,
1467,kt78_Pöykkölä,2020/02/01,2,"17 HA + AV",,,,1,,,,,,,,,,2,,1,,2,,,1,,1,
