"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
176,vt7_Sipoonlahti,2020/02/01,1,"11 HA-PA",106,60,52,44,31,52,148,216,344,498,607,778,883,781,856,921,943,828,742,530,407,307,252,176
176,vt7_Sipoonlahti,2020/02/01,1,"12 KAIP",,,1,2,,1,,4,8,9,4,9,8,7,5,9,7,4,6,5,5,2,5,4
176,vt7_Sipoonlahti,2020/02/01,1,"13 Linja-autot",1,1,,,,,,2,2,2,6,4,7,4,8,3,7,8,2,2,3,3,5,
176,vt7_Sipoonlahti,2020/02/01,1,"14 KAPP",2,2,2,1,1,,,,2,7,4,9,3,,2,,1,1,,1,1,13,6,
176,vt7_Sipoonlahti,2020/02/01,1,"15 KATP",9,6,4,3,,5,2,2,7,6,4,11,5,6,4,9,12,4,4,1,4,3,5,2
176,vt7_Sipoonlahti,2020/02/01,1,"16 HA + PK",1,2,1,2,,,3,4,4,7,16,11,18,15,8,12,13,6,10,5,1,2,1,1
176,vt7_Sipoonlahti,2020/02/01,1,"17 HA + AV",,,,,,1,,,1,1,2,1,1,1,,,1,2,,,,,,
176,vt7_Sipoonlahti,2020/02/01,2,"11 HA-PA",54,52,35,30,59,139,171,262,488,698,810,888,906,937,865,847,717,682,536,444,320,292,172,111
176,vt7_Sipoonlahti,2020/02/01,2,"12 KAIP",2,2,4,5,3,1,5,3,5,5,8,5,7,7,3,3,5,4,3,3,3,,1,
176,vt7_Sipoonlahti,2020/02/01,2,"13 Linja-autot",,,,,,3,4,4,7,8,4,7,3,3,2,3,3,4,2,2,1,,1,2
176,vt7_Sipoonlahti,2020/02/01,2,"14 KAPP",2,,,,1,1,2,1,3,2,3,6,5,6,7,8,1,3,6,1,5,3,4,1
