"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
189,vt7_Loviisa_Itä,2020/02/01,1,"11 HA-PA",37,7,9,9,16,14,33,75,107,151,228,251,252,287,265,254,273,226,227,165,129,83,61,43
189,vt7_Loviisa_Itä,2020/02/01,1,"12 KAIP",,,,,,,,4,2,2,5,3,7,6,1,2,7,3,3,4,,8,1,3
189,vt7_Loviisa_Itä,2020/02/01,1,"13 Linja-autot",,,,,,,,1,1,5,1,3,1,4,3,2,,1,2,3,,,,1
189,vt7_Loviisa_Itä,2020/02/01,1,"14 KAPP",2,,,1,,1,,1,2,6,2,11,4,7,2,2,1,1,,1,,1,5,10
189,vt7_Loviisa_Itä,2020/02/01,1,"15 KATP",1,4,2,2,,,4,,7,3,5,4,5,5,5,6,1,5,4,3,,2,3,1
189,vt7_Loviisa_Itä,2020/02/01,1,"16 HA + PK",,1,1,,1,,,3,,4,6,4,6,9,2,1,6,6,5,4,,,,3
189,vt7_Loviisa_Itä,2020/02/01,1,"17 HA + AV",,,,,,,,,,,,1,1,,,,1,,2,,,,,
189,vt7_Loviisa_Itä,2020/02/01,2,"11 HA-PA",22,12,13,10,26,44,66,106,173,259,260,292,269,238,242,225,213,165,157,110,73,52,49,42
189,vt7_Loviisa_Itä,2020/02/01,2,"12 KAIP",1,,,1,3,2,2,2,4,3,5,6,1,1,5,,1,2,1,2,1,1,1,1
189,vt7_Loviisa_Itä,2020/02/01,2,"13 Linja-autot",,,1,1,1,2,1,1,3,1,3,2,,,1,2,,1,1,,,,1,8
189,vt7_Loviisa_Itä,2020/02/01,2,"14 KAPP",,,,1,1,3,1,1,2,2,3,4,7,4,3,3,2,2,1,6,4,1,1,1
189,vt7_Loviisa_Itä,2020/02/01,2,"15 KATP",2,2,1,,3,3,2,2,3,1,3,2,6,,1,1,1,,1,,,,,1
189,vt7_Loviisa_Itä,2020/02/01,2,"16 HA + PK",1,,,,1,,1,2,4,3,1,9,5,5,2,5,2,2,2,1,,,,
189,vt7_Loviisa_Itä,2020/02/01,2,"17 HA + AV",,1,,,,,,,,,,,,,1,,,,,,2,,,
189,vt7_Loviisa_Itä,2020/02/02,1,"11 HA-PA",28,24,15,5,12,10,15,38,37,65,138,173,234,253,280,282,312,293,246,219,140,104,57,37
189,vt7_Loviisa_Itä,2020/02/02,1,"12 KAIP",,1,,1,,,,3,2,2,5,,7,2,2,7,7,8,2,8,4,4,2,3
189,vt7_Loviisa_Itä,2020/02/02,1,"13 Linja-autot",2,2,1,,,,,,,,2,5,,2,1,,3,1,3,2,1,2,1,4
189,vt7_Loviisa_Itä,2020/02/02,1,"14 KAPP",,1,,,,,,,,4,4,9,4,5,3,5,8,3,3,,2,1,5,10
189,vt7_Loviisa_Itä,2020/02/02,1,"15 KATP",,,,1,1,1,1,,2,1,6,5,4,3,4,8,1,9,5,5,6,1,5,2
189,vt7_Loviisa_Itä,2020/02/02,1,"16 HA + PK",,,,,,,,,2,,1,4,3,5,2,2,6,3,3,5,1,,2,3
189,vt7_Loviisa_Itä,2020/02/02,1,"17 HA + AV",,,,,,,,,1,,1,,2,,,2,1,,3,,1,,,1
189,vt7_Loviisa_Itä,2020/02/02,2,"11 HA-PA",19,10,21,19,14,25,54,48,67,170,219,223,290,317,346,333,376,349,265,226,171,80,51,37
189,vt7_Loviisa_Itä,2020/02/02,2,"12 KAIP",1,1,1,,,,,1,1,,1,2,3,5,,1,3,2,2,3,,3,,
189,vt7_Loviisa_Itä,2020/02/02,2,"13 Linja-autot",,,,,,,,,3,2,1,4,2,,3,1,1,1,2,1,1,,1,1
189,vt7_Loviisa_Itä,2020/02/02,2,"14 KAPP",,,,2,,,3,,5,3,9,8,12,12,3,10,10,15,11,5,2,5,4,1
189,vt7_Loviisa_Itä,2020/02/02,2,"15 KATP",,,,,,,1,2,2,3,3,7,1,4,2,,2,3,6,1,2,3,2,2
189,vt7_Loviisa_Itä,2020/02/02,2,"16 HA + PK",,,,,1,,,1,1,,3,3,1,5,6,5,7,2,3,1,2,1,,
189,vt7_Loviisa_Itä,2020/02/02,2,"17 HA + AV",,,,,,,,,,,,,,,,,,2,,2,1,,1,
189,vt7_Loviisa_Itä,2020/02/03,1,"11 HA-PA",29,18,10,9,5,27,106,209,159,148,159,139,130,122,191,345,309,224,156,103,81,66,60,32
189,vt7_Loviisa_Itä,2020/02/03,1,"12 KAIP",2,,,,,3,15,9,9,4,7,10,8,4,4,8,10,7,4,6,4,4,,3
189,vt7_Loviisa_Itä,2020/02/03,1,"13 Linja-autot",,,,,,,1,1,,,1,,,1,1,3,1,3,,,,,,
189,vt7_Loviisa_Itä,2020/02/03,1,"14 KAPP",,1,3,4,2,1,3,10,4,18,13,26,21,18,33,22,10,12,18,17,7,4,2,2
189,vt7_Loviisa_Itä,2020/02/03,1,"15 KATP",1,1,4,3,2,5,2,13,5,18,18,19,17,10,14,19,20,18,12,10,6,7,5,1
189,vt7_Loviisa_Itä,2020/02/03,1,"16 HA + PK",,,,,,,2,1,3,8,3,4,4,3,2,4,4,3,3,3,1,2,,1
189,vt7_Loviisa_Itä,2020/02/03,1,"17 HA + AV",,,,,,,3,,3,1,3,1,2,,1,,2,1,2,,,2,,
189,vt7_Loviisa_Itä,2020/02/03,2,"11 HA-PA",15,14,9,19,51,182,377,260,221,159,143,148,130,168,189,215,192,145,120,82,61,35,28,13
189,vt7_Loviisa_Itä,2020/02/03,2,"12 KAIP",1,,1,1,,6,5,3,3,8,6,5,11,12,10,6,6,3,6,3,1,,1,1
189,vt7_Loviisa_Itä,2020/02/03,2,"13 Linja-autot",,,,1,,,2,2,4,,2,1,4,,4,1,3,1,1,,,,,
189,vt7_Loviisa_Itä,2020/02/03,2,"14 KAPP",,3,1,3,1,8,6,8,9,19,17,11,14,15,14,18,19,12,9,12,6,8,1,3
189,vt7_Loviisa_Itä,2020/02/03,2,"15 KATP",,2,1,2,4,6,4,13,10,21,13,16,23,15,10,18,21,8,12,15,9,4,3,1
189,vt7_Loviisa_Itä,2020/02/03,2,"16 HA + PK",,,,1,,4,2,,2,2,2,,2,,4,4,3,1,2,1,,,2,
