"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
233,kt40_Hauninen,2020/02/01,1,"11 HA-PA",90,42,31,44,63,76,154,262,387,552,763,1008,1196,1284,1259,1268,1118,972,820,606,401,240,180,146
233,kt40_Hauninen,2020/02/01,1,"12 KAIP",2,2,,1,1,2,2,12,8,8,8,14,10,14,10,8,6,4,8,8,3,1,1,3
233,kt40_Hauninen,2020/02/01,1,"13 Linja-autot",2,,,,,,,1,3,1,,1,1,2,2,1,,2,2,3,3,2,,
233,kt40_Hauninen,2020/02/01,1,"14 KAPP",1,,,2,1,,1,44,12,,1,2,3,2,3,4,1,,,36,16,2,1,
233,kt40_Hauninen,2020/02/01,1,"15 KATP",6,5,1,4,2,2,3,34,14,10,4,4,5,7,6,10,3,1,4,8,9,2,,
233,kt40_Hauninen,2020/02/01,1,"16 HA + PK",,,,,,1,,5,3,13,19,18,19,16,16,17,12,13,11,6,3,1,1,1
233,kt40_Hauninen,2020/02/01,1,"17 HA + AV",,,,,,1,,2,,1,2,1,1,2,,4,1,,1,,,,,
233,kt40_Hauninen,2020/02/01,2,"11 HA-PA",105,58,35,22,42,86,156,179,287,558,786,1039,1143,1233,1161,1116,1025,835,680,501,401,310,211,149
233,kt40_Hauninen,2020/02/01,2,"12 KAIP",2,,,1,3,2,4,4,3,9,23,14,9,12,7,9,5,14,6,9,2,,2,1
233,kt40_Hauninen,2020/02/01,2,"13 Linja-autot",,,,,1,2,4,,1,2,1,5,4,2,1,1,2,2,1,4,1,1,1,1
233,kt40_Hauninen,2020/02/01,2,"14 KAPP",,3,3,1,3,3,1,5,7,4,1,1,3,2,3,4,6,3,8,5,9,3,1,3
233,kt40_Hauninen,2020/02/01,2,"15 KATP",3,7,9,11,5,4,4,5,6,6,8,2,3,9,6,4,7,6,8,12,4,2,2,1
233,kt40_Hauninen,2020/02/01,2,"16 HA + PK",,,,,,,3,5,5,11,10,23,21,18,18,15,12,5,12,4,3,1,2,
233,kt40_Hauninen,2020/02/01,2,"17 HA + AV",,,,,,,,1,1,2,1,1,,,4,1,2,1,1,,2,,,
233,kt40_Hauninen,2020/02/02,1,"11 HA-PA",98,74,44,38,42,60,79,142,205,313,514,797,978,1185,1167,1231,1269,1077,879,654,402,226,101,55
233,kt40_Hauninen,2020/02/02,1,"12 KAIP",3,,1,1,,,,2,2,4,3,6,4,3,6,7,6,9,6,10,7,1,2,4
233,kt40_Hauninen,2020/02/02,1,"13 Linja-autot",,,,1,,,,,,3,,2,2,1,1,1,1,1,,1,3,4,2,1
233,kt40_Hauninen,2020/02/02,1,"14 KAPP",2,,,1,,,,15,4,2,1,5,6,5,6,3,2,7,20,32,20,3,4,4
233,kt40_Hauninen,2020/02/02,1,"15 KATP",1,1,2,,,1,,9,5,2,1,7,4,5,3,5,11,10,13,18,12,7,7,1
233,kt40_Hauninen,2020/02/02,1,"16 HA + PK",,,,,,,1,,3,6,13,13,17,13,17,25,20,9,9,12,5,1,1,
233,kt40_Hauninen,2020/02/02,1,"17 HA + AV",,2,,,,,,,,,,,2,1,1,3,2,1,3,1,,,,
233,kt40_Hauninen,2020/02/02,2,"11 HA-PA",125,102,55,34,33,37,102,78,126,319,493,725,939,1020,1100,1061,1116,1001,778,613,439,275,130,83
233,kt40_Hauninen,2020/02/02,2,"12 KAIP",,1,1,,1,,,1,4,5,4,9,7,8,8,6,3,6,9,6,12,6,4,4
233,kt40_Hauninen,2020/02/02,2,"13 Linja-autot",,,,,,2,,,1,1,3,2,1,1,,2,,1,2,3,1,,,
233,kt40_Hauninen,2020/02/02,2,"14 KAPP",4,,,,3,3,4,2,4,5,1,2,5,2,5,7,8,9,10,17,8,6,4,5
233,kt40_Hauninen,2020/02/02,2,"15 KATP",1,1,1,1,,,7,5,3,4,3,8,7,2,6,10,5,3,12,18,7,6,7,2
233,kt40_Hauninen,2020/02/02,2,"16 HA + PK",,,,2,1,,1,,4,5,8,8,16,18,19,18,21,10,12,7,10,5,3,
233,kt40_Hauninen,2020/02/02,2,"17 HA + AV",1,,,,,,,,2,1,2,1,,1,1,2,3,,1,,,,1,
233,kt40_Hauninen,2020/02/03,1,"11 HA-PA",44,30,19,28,113,462,1106,1515,1146,656,741,732,899,1010,1161,2065,1887,1182,916,735,461,312,167,81
