"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
239,vt1_Kaarina,2020/02/01,1,"11 HA-PA",72,46,30,23,18,36,111,112,204,313,465,582,635,644,596,591,606,572,497,431,246,249,150,122
239,vt1_Kaarina,2020/02/01,1,"12 KAIP",3,1,1,2,1,,2,,3,5,5,7,3,8,7,7,6,2,5,3,5,,1,
239,vt1_Kaarina,2020/02/01,1,"13 Linja-autot",2,1,2,1,,1,,2,1,1,2,3,4,4,3,5,4,4,5,6,2,3,3,1
239,vt1_Kaarina,2020/02/01,1,"14 KAPP",,,,,,,,,,1,1,4,,,2,,1,2,3,1,,,,
239,vt1_Kaarina,2020/02/01,1,"15 KATP",1,,1,1,,1,1,2,1,3,3,2,2,5,2,1,2,3,2,2,2,,,
239,vt1_Kaarina,2020/02/01,1,"16 HA + PK",1,,1,,,,1,,4,3,13,15,4,9,7,8,7,9,3,7,2,3,,2
239,vt1_Kaarina,2020/02/01,1,"17 HA + AV",,,,,,,,1,,1,,,1,3,1,2,,1,,1,,,,
239,vt1_Kaarina,2020/02/01,2,"11 HA-PA",72,46,42,21,46,47,76,207,262,382,426,550,544,589,530,626,608,461,444,375,292,205,138,127
239,vt1_Kaarina,2020/02/01,2,"12 KAIP",2,,,1,1,,1,4,6,1,4,2,4,3,3,3,2,6,6,1,5,3,,2
239,vt1_Kaarina,2020/02/01,2,"13 Linja-autot",,,,2,2,,2,3,3,5,3,3,6,5,4,7,4,3,2,,3,,1,2
239,vt1_Kaarina,2020/02/01,2,"14 KAPP",,,,,1,1,1,4,3,1,1,1,1,1,,1,1,2,1,2,1,,,
239,vt1_Kaarina,2020/02/01,2,"15 KATP",,,2,,1,,,1,2,3,,3,1,3,7,4,1,1,2,3,,,,1
239,vt1_Kaarina,2020/02/01,2,"16 HA + PK",3,1,,,,1,1,4,4,3,7,6,15,9,15,2,8,5,7,7,6,3,1,2
239,vt1_Kaarina,2020/02/01,2,"17 HA + AV",,,,,,,,,,,,1,,,2,,2,,,,,,,
239,vt1_Kaarina,2020/02/02,1,"11 HA-PA",96,80,49,47,21,22,103,88,82,159,289,373,478,532,546,594,588,666,541,462,398,220,94,58
239,vt1_Kaarina,2020/02/02,1,"12 KAIP",2,,3,,,,2,1,,4,1,6,1,3,8,4,3,7,2,4,2,,1,
239,vt1_Kaarina,2020/02/02,1,"13 Linja-autot",4,1,2,1,,1,,1,,1,3,1,4,4,3,3,4,5,8,3,9,3,4,2
239,vt1_Kaarina,2020/02/02,1,"14 KAPP",,,,,,,,,,,,2,1,1,1,1,1,3,1,1,,1,1,
239,vt1_Kaarina,2020/02/02,1,"15 KATP",,2,,,,1,1,2,1,,2,1,1,1,1,2,3,2,7,10,1,2,1,
239,vt1_Kaarina,2020/02/02,1,"16 HA + PK",1,,1,1,2,,1,,2,2,10,4,9,10,5,5,7,7,2,7,5,6,2,
239,vt1_Kaarina,2020/02/02,1,"17 HA + AV",,,,,,,,,,2,1,1,,,,1,1,,1,,,,,
239,vt1_Kaarina,2020/02/02,2,"11 HA-PA",98,52,42,40,45,33,68,123,130,219,304,396,530,504,588,625,577,590,521,440,319,136,74,28
239,vt1_Kaarina,2020/02/02,2,"12 KAIP",,,,1,,,,2,4,3,5,7,3,4,7,6,10,6,2,6,5,5,,1
239,vt1_Kaarina,2020/02/02,2,"13 Linja-autot",,,,2,2,,2,3,3,4,2,2,5,6,1,5,5,2,3,4,3,1,2,
239,vt1_Kaarina,2020/02/02,2,"14 KAPP",,,,,,,,1,1,,,1,1,3,3,1,,3,3,,5,,,
239,vt1_Kaarina,2020/02/02,2,"15 KATP",,,,,,,,,1,3,,,1,5,9,3,5,2,3,5,4,4,4,1
