"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
465,vt3_Hämeenlinna_E,2020/02/01,1,"11 HA-PA",97,55,49,31,28,66,111,219,464,799,959,1025,947,938,897,850,765,779,605,473,377,216,188,140
465,vt3_Hämeenlinna_E,2020/02/01,1,"12 KAIP",,,3,2,3,,4,3,11,7,5,5,7,8,14,4,10,3,6,8,1,2,2,2
465,vt3_Hämeenlinna_E,2020/02/01,1,"13 Linja-autot",2,,2,,,,1,1,3,7,3,3,4,4,4,8,3,11,5,4,2,2,5,3
465,vt3_Hämeenlinna_E,2020/02/01,1,"14 KAPP",4,4,1,1,3,,2,2,,3,6,6,3,5,6,3,5,8,4,,1,1,3,1
465,vt3_Hämeenlinna_E,2020/02/01,1,"15 KATP",8,10,9,10,8,4,4,5,2,7,10,5,8,6,4,9,8,13,4,2,3,1,,
465,vt3_Hämeenlinna_E,2020/02/01,1,"16 HA + PK",2,1,,,,1,1,3,9,10,18,14,19,7,8,11,8,10,4,6,5,2,4,1
465,vt3_Hämeenlinna_E,2020/02/01,1,"17 HA + AV",,,,,,1,,1,1,2,1,1,1,2,1,1,1,1,,2,1,,,
465,vt3_Hämeenlinna_E,2020/02/01,2,"11 HA-PA",77,52,32,46,69,80,127,283,449,633,787,855,880,900,801,858,874,890,685,557,444,302,204,104
465,vt3_Hämeenlinna_E,2020/02/01,2,"12 KAIP",3,,2,2,2,1,5,6,5,17,13,12,11,4,8,6,3,7,5,4,4,2,2,2
465,vt3_Hämeenlinna_E,2020/02/01,2,"13 Linja-autot",,,1,1,2,2,4,7,5,12,7,3,3,5,3,5,8,3,4,2,2,2,,
465,vt3_Hämeenlinna_E,2020/02/01,2,"14 KAPP",4,2,1,2,,6,3,7,10,8,4,8,5,1,5,3,2,4,3,3,,2,,
465,vt3_Hämeenlinna_E,2020/02/01,2,"15 KATP",12,11,8,8,8,6,6,12,7,5,3,5,5,4,7,3,1,4,4,2,3,4,4,3
465,vt3_Hämeenlinna_E,2020/02/01,2,"16 HA + PK",2,,1,,,,,3,5,11,12,13,16,15,15,13,8,8,7,8,3,2,1,1
465,vt3_Hämeenlinna_E,2020/02/01,2,"17 HA + AV",,,,,,,,,,3,,1,1,,3,2,2,1,,1,,1,,
465,vt3_Hämeenlinna_E,2020/02/02,1,"11 HA-PA",117,76,50,30,40,39,58,86,223,407,488,704,793,887,844,842,923,916,745,601,559,295,163,102
465,vt3_Hämeenlinna_E,2020/02/02,1,"12 KAIP",4,3,2,,,,,1,1,3,4,5,4,4,3,6,5,5,7,5,9,4,5,3
465,vt3_Hämeenlinna_E,2020/02/02,1,"13 Linja-autot",2,,,,2,,,1,2,,3,3,3,3,3,2,3,4,7,6,4,7,4,1
465,vt3_Hämeenlinna_E,2020/02/02,1,"14 KAPP",1,2,1,,,,,1,,3,2,10,2,11,13,6,4,15,12,11,21,12,8,3
465,vt3_Hämeenlinna_E,2020/02/02,1,"15 KATP",,,1,,,1,2,2,2,2,4,2,2,5,8,3,12,2,13,17,11,11,8,8
465,vt3_Hämeenlinna_E,2020/02/02,1,"16 HA + PK",2,,1,,,1,,,3,13,8,9,4,10,6,16,3,9,13,12,5,3,1,1
465,vt3_Hämeenlinna_E,2020/02/02,1,"17 HA + AV",,,,,,,1,,,,,1,1,1,,2,1,3,1,1,1,4,,
465,vt3_Hämeenlinna_E,2020/02/02,2,"11 HA-PA",74,60,38,41,50,75,58,115,176,313,459,645,865,968,988,1135,1251,1196,1054,793,539,426,178,83
465,vt3_Hämeenlinna_E,2020/02/02,2,"12 KAIP",4,3,2,,,,,1,3,,2,5,2,4,6,6,3,7,10,9,13,4,4,5
465,vt3_Hämeenlinna_E,2020/02/02,2,"13 Linja-autot",1,,1,1,2,3,2,1,2,1,2,6,5,6,7,8,7,6,3,4,4,6,2,1
465,vt3_Hämeenlinna_E,2020/02/02,2,"14 KAPP",1,1,,1,,,,1,2,1,,,4,1,3,1,3,4,6,4,6,7,5,2
465,vt3_Hämeenlinna_E,2020/02/02,2,"15 KATP",1,1,1,2,,1,1,5,,2,5,5,17,9,5,11,12,9,10,22,17,13,4,12
465,vt3_Hämeenlinna_E,2020/02/02,2,"16 HA + PK",,,1,,2,1,1,,3,10,10,5,7,12,15,15,16,13,22,6,5,8,2,
465,vt3_Hämeenlinna_E,2020/02/02,2,"17 HA + AV",,,,,,,,,1,1,2,5,1,1,,4,1,1,2,4,2,4,2,1
465,vt3_Hämeenlinna_E,2020/02/03,1,"11 HA-PA",65,31,34,22,38,151,474,859,908,660,615,620,569,603,723,1143,1243,943,574,347,281,191,172,79
465,vt3_Hämeenlinna_E,2020/02/03,1,"12 KAIP",,3,2,2,3,10,21,20,46,29,35,30,26,21,34,29,21,17,12,6,4,2,4,2
465,vt3_Hämeenlinna_E,2020/02/03,1,"13 Linja-autot",3,1,1,,,,2,3,3,4,9,3,5,2,4,2,3,7,4,4,3,1,5,1
465,vt3_Hämeenlinna_E,2020/02/03,1,"14 KAPP",2,2,6,3,3,10,17,23,24,26,44,35,31,29,36,27,33,26,19,21,21,8,6,4
465,vt3_Hämeenlinna_E,2020/02/03,1,"15 KATP",6,6,5,4,7,19,17,17,20,29,19,41,39,31,45,43,40,27,37,28,34,26,24,32
465,vt3_Hämeenlinna_E,2020/02/03,1,"16 HA + PK",,1,,,1,2,1,7,8,10,10,6,8,6,4,12,6,10,5,1,3,1,1,1
465,vt3_Hämeenlinna_E,2020/02/03,1,"17 HA + AV",1,,,,,,,2,1,5,2,4,2,3,3,1,1,2,1,1,,,,1
465,vt3_Hämeenlinna_E,2020/02/03,2,"11 HA-PA",25,23,16,38,90,486,738,1191,992,601,494,557,592,626,709,915,1030,744,538,400,323,228,106,49
465,vt3_Hämeenlinna_E,2020/02/03,2,"12 KAIP",2,2,3,6,10,15,13,30,31,36,25,29,36,31,28,20,18,19,8,7,7,7,3,1
465,vt3_Hämeenlinna_E,2020/02/03,2,"13 Linja-autot",,,1,,2,6,1,3,4,5,6,4,3,4,3,5,4,2,2,2,2,2,,1
465,vt3_Hämeenlinna_E,2020/02/03,2,"14 KAPP",2,2,,5,4,7,10,12,15,31,23,30,33,41,40,25,26,24,10,9,7,4,7,6
465,vt3_Hämeenlinna_E,2020/02/03,2,"15 KATP",9,10,6,5,10,20,28,36,36,37,35,32,26,37,44,34,30,16,32,24,30,18,16,17
465,vt3_Hämeenlinna_E,2020/02/03,2,"16 HA + PK",,1,,,,1,6,7,4,4,6,7,5,4,6,8,13,6,8,6,5,3,1,1
465,vt3_Hämeenlinna_E,2020/02/03,2,"17 HA + AV",,,,,,,2,3,1,6,4,6,4,2,1,1,3,,1,2,1,1,,
465,vt3_Hämeenlinna_E,2020/02/04,1,"11 HA-PA",39,37,18,19,22,155,464,875,945,636,576,593,601,600,811,1175,1357,969,632,384,305,209,139,73
465,vt3_Hämeenlinna_E,2020/02/04,1,"12 KAIP",2,2,,2,8,5,28,26,25,31,28,32,26,29,31,30,28,18,14,7,3,5,5,3
465,vt3_Hämeenlinna_E,2020/02/04,1,"13 Linja-autot",2,1,2,,,,,2,5,12,6,3,2,7,4,6,10,5,6,5,2,2,3,
465,vt3_Hämeenlinna_E,2020/02/04,1,"14 KAPP",4,3,4,6,1,9,9,24,31,46,32,34,43,18,31,34,33,22,17,13,21,10,8,13
465,vt3_Hämeenlinna_E,2020/02/04,1,"15 KATP",16,14,11,12,12,11,15,19,21,23,39,33,34,34,47,42,44,27,35,33,40,21,29,20
465,vt3_Hämeenlinna_E,2020/02/04,1,"16 HA + PK",,,,,,1,5,4,1,8,10,8,5,8,6,6,5,5,1,4,7,3,,
465,vt3_Hämeenlinna_E,2020/02/04,1,"17 HA + AV",,,,,,,,1,1,8,1,2,1,1,3,3,2,1,1,,1,2,,
465,vt3_Hämeenlinna_E,2020/02/04,2,"11 HA-PA",24,23,12,25,63,363,674,1190,1043,567,509,530,592,661,759,1016,1081,767,546,443,319,229,108,43
465,vt3_Hämeenlinna_E,2020/02/04,2,"12 KAIP",4,1,2,11,8,8,20,31,39,35,25,30,29,25,20,42,24,15,8,8,10,6,5,3
465,vt3_Hämeenlinna_E,2020/02/04,2,"13 Linja-autot",,,2,,2,3,3,3,8,9,7,7,4,5,7,7,5,6,3,2,,1,1,
465,vt3_Hämeenlinna_E,2020/02/04,2,"14 KAPP",2,1,4,3,11,9,9,9,13,31,32,32,35,37,34,32,24,22,17,12,10,7,6,6
465,vt3_Hämeenlinna_E,2020/02/04,2,"15 KATP",9,19,13,8,12,24,26,38,34,35,35,34,40,34,34,35,31,27,22,26,26,27,13,13
465,vt3_Hämeenlinna_E,2020/02/04,2,"16 HA + PK",,,1,,,2,1,3,10,7,7,6,9,3,7,11,5,8,7,2,2,3,2,
465,vt3_Hämeenlinna_E,2020/02/04,2,"17 HA + AV",,,,,,1,1,,2,2,,4,1,1,,3,4,1,2,1,1,,1,
465,vt3_Hämeenlinna_E,2020/02/05,1,"11 HA-PA",45,33,27,13,28,141,489,896,954,632,625,581,608,621,860,1253,1388,1145,651,374,285,237,141,93
465,vt3_Hämeenlinna_E,2020/02/05,1,"12 KAIP",6,2,1,2,3,6,15,16,39,28,18,26,36,27,34,32,18,6,8,8,5,5,7,4
465,vt3_Hämeenlinna_E,2020/02/05,1,"13 Linja-autot",1,2,2,,,,,1,4,2,4,4,3,5,8,4,6,7,3,6,1,3,5,1
465,vt3_Hämeenlinna_E,2020/02/05,1,"14 KAPP",3,2,4,3,3,10,11,19,24,37,36,45,24,22,33,29,32,20,16,16,25,13,9,9
465,vt3_Hämeenlinna_E,2020/02/05,1,"15 KATP",21,15,16,15,12,16,12,23,25,28,38,31,45,36,46,35,41,38,33,34,29,24,29,24
465,vt3_Hämeenlinna_E,2020/02/05,1,"16 HA + PK",1,1,,,,1,2,3,6,12,4,12,3,7,6,10,11,6,8,3,4,4,,1
465,vt3_Hämeenlinna_E,2020/02/05,1,"17 HA + AV",,,,,,1,,4,2,3,3,,2,3,3,1,3,,2,1,1,1,2,
465,vt3_Hämeenlinna_E,2020/02/05,2,"11 HA-PA",29,20,15,33,83,367,627,1145,1024,552,450,529,597,647,758,1058,1149,838,550,418,393,435,104,47
465,vt3_Hämeenlinna_E,2020/02/05,2,"12 KAIP",5,2,1,8,10,18,16,23,21,24,24,31,27,32,37,41,22,9,8,9,7,8,3,
465,vt3_Hämeenlinna_E,2020/02/05,2,"13 Linja-autot",,,1,,2,3,4,5,6,6,4,5,4,4,10,5,3,5,3,3,,4,1,1
465,vt3_Hämeenlinna_E,2020/02/05,2,"14 KAPP",4,2,4,5,2,7,9,8,18,29,41,38,29,37,39,39,23,30,14,18,12,9,3,4
465,vt3_Hämeenlinna_E,2020/02/05,2,"15 KATP",16,16,22,9,8,25,35,34,33,31,24,40,40,33,39,39,25,24,24,27,28,20,16,16
465,vt3_Hämeenlinna_E,2020/02/05,2,"16 HA + PK",,2,,,1,2,2,5,7,4,6,14,7,7,7,12,5,4,5,4,5,,2,
465,vt3_Hämeenlinna_E,2020/02/05,2,"17 HA + AV",1,,,,,,1,1,,1,5,4,4,3,3,,,1,2,,1,1,,
465,vt3_Hämeenlinna_E,2020/02/06,1,"11 HA-PA",62,34,26,10,32,123,421,873,963,694,592,632,612,721,921,1268,1428,1118,704,479,325,258,211,105
465,vt3_Hämeenlinna_E,2020/02/06,1,"12 KAIP",4,4,1,3,5,6,19,14,19,28,29,25,24,39,31,40,25,8,17,10,6,6,5,3
465,vt3_Hämeenlinna_E,2020/02/06,1,"13 Linja-autot",2,1,2,,1,,2,1,8,3,4,5,3,3,3,10,7,3,6,4,2,2,2,1
465,vt3_Hämeenlinna_E,2020/02/06,1,"14 KAPP",3,3,3,2,3,9,15,16,17,40,33,50,33,28,32,30,26,28,16,15,9,11,9,11
465,vt3_Hämeenlinna_E,2020/02/06,1,"15 KATP",16,12,13,8,13,10,16,19,21,38,25,35,37,41,39,33,43,40,31,34,29,34,28,22
465,vt3_Hämeenlinna_E,2020/02/06,1,"16 HA + PK",1,,,,1,,2,2,5,6,7,11,7,12,8,12,3,5,7,5,2,5,,
465,vt3_Hämeenlinna_E,2020/02/06,1,"17 HA + AV",,,,,,1,1,,2,2,5,1,,4,4,2,2,3,,1,,,1,
465,vt3_Hämeenlinna_E,2020/02/06,2,"11 HA-PA",47,21,20,24,62,362,628,1133,853,581,544,522,581,666,815,1083,1220,898,660,458,335,242,108,44
465,vt3_Hämeenlinna_E,2020/02/06,2,"12 KAIP",3,3,3,5,11,14,20,24,31,29,34,36,22,30,27,24,26,14,13,8,4,5,6,2
