"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
592,vt6_Metso,2020/02/01,1,"11 HA-PA",25,13,9,9,9,7,23,46,87,140,155,180,163,147,163,138,149,114,131,96,73,44,43,24
592,vt6_Metso,2020/02/01,1,"12 KAIP",1,,,2,3,3,2,3,,,2,1,2,1,3,3,,1,5,,2,1,1,
592,vt6_Metso,2020/02/01,1,"13 Linja-autot",,,,,,,,,,2,,2,1,1,,1,3,,1,,,1,,1
592,vt6_Metso,2020/02/01,1,"14 KAPP",4,1,2,4,,,1,2,1,6,4,5,1,3,2,1,1,2,4,6,7,2,1,
592,vt6_Metso,2020/02/01,1,"15 KATP",6,7,11,2,4,4,,,4,,1,,1,5,1,1,1,1,1,2,5,,,1
592,vt6_Metso,2020/02/01,1,"16 HA + PK",,,,,,,1,2,7,5,9,7,9,5,7,3,6,1,6,2,,2,,
592,vt6_Metso,2020/02/01,1,"17 HA + AV",,,,,,,,,,,,,,,1,,1,,,,,,1,1
592,vt6_Metso,2020/02/01,2,"11 HA-PA",6,6,4,6,6,14,34,58,94,149,165,174,146,128,145,160,146,127,101,86,71,40,28,19
592,vt6_Metso,2020/02/01,2,"12 KAIP",1,,1,,1,,1,1,5,6,3,5,1,3,4,6,1,1,1,,3,,1,
592,vt6_Metso,2020/02/01,2,"13 Linja-autot",,,,,,,,1,1,,1,1,1,1,,1,,1,1,,,1,2,
592,vt6_Metso,2020/02/01,2,"14 KAPP",1,1,2,,1,1,2,1,2,6,1,4,5,4,4,3,5,4,7,1,2,1,5,2
592,vt6_Metso,2020/02/01,2,"15 KATP",3,1,2,4,,2,2,1,9,2,5,7,2,1,1,,2,2,,2,2,,,
592,vt6_Metso,2020/02/01,2,"16 HA + PK",,,,,,,1,1,4,3,8,4,6,4,6,7,7,1,2,4,1,2,,2
