"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
596,vt6_Käyrälampi,2020/02/01,1,"11 HA-PA",24,16,10,12,11,10,27,45,95,155,200,246,271,249,268,249,213,215,176,123,88,68,53,34
596,vt6_Käyrälampi,2020/02/01,1,"12 KAIP",1,,1,3,3,1,1,,2,1,5,3,2,4,4,5,3,6,3,4,4,1,2,1
596,vt6_Käyrälampi,2020/02/01,1,"13 Linja-autot",,,,,,,,,,1,1,2,,,,1,2,1,1,,1,,,1
596,vt6_Käyrälampi,2020/02/01,1,"14 KAPP",3,,1,2,,,,,,3,3,1,2,1,,,,3,1,3,5,2,,2
596,vt6_Käyrälampi,2020/02/01,1,"15 KATP",9,14,5,5,7,2,1,1,3,1,5,4,6,2,1,5,3,1,1,3,1,1,2,
596,vt6_Käyrälampi,2020/02/01,1,"16 HA + PK",,,,1,,,2,5,6,2,7,10,11,6,4,2,5,3,4,2,1,4,,1
596,vt6_Käyrälampi,2020/02/01,1,"17 HA + AV",,,,2,1,,1,,1,,,1,1,3,2,,1,,1,,,,,1
596,vt6_Käyrälampi,2020/02/01,2,"11 HA-PA",13,12,5,13,13,30,46,67,142,225,272,278,278,214,231,214,207,161,121,86,76,58,28,19
596,vt6_Käyrälampi,2020/02/01,2,"12 KAIP",3,1,5,2,4,1,1,,2,6,5,5,2,2,4,2,1,1,2,1,,,3,1
596,vt6_Käyrälampi,2020/02/01,2,"13 Linja-autot",,,,,,,,,2,,,1,1,1,,1,3,1,,,1,,,1
596,vt6_Käyrälampi,2020/02/01,2,"14 KAPP",,1,1,,,2,,2,1,1,1,4,3,2,,6,2,4,5,,,,1,
