"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
607,kt72_Virtasalmi,2020/02/01,1,"11 HA-PA",4,6,,,2,4,5,8,22,33,31,39,45,36,26,38,31,22,15,25,13,13,8,3
607,kt72_Virtasalmi,2020/02/01,1,"12 KAIP",,,,1,,,,,,,2,,1,,,,,1,,1,,1,,
607,kt72_Virtasalmi,2020/02/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,1,
607,kt72_Virtasalmi,2020/02/01,1,"14 KAPP",,,,,,,,,,1,,,,,,,1,,,,,,,
607,kt72_Virtasalmi,2020/02/01,1,"15 KATP",3,,2,1,,,,,,,,1,1,,,,,,,,,,,
607,kt72_Virtasalmi,2020/02/01,1,"16 HA + PK",,,,,,,,,,1,1,,1,1,,,2,,,2,,,,
607,kt72_Virtasalmi,2020/02/01,1,"17 HA + AV",,,,,,,,1,,,,,,,,1,,,1,,,,,
607,kt72_Virtasalmi,2020/02/01,2,"11 HA-PA",3,1,5,3,3,,7,16,23,31,26,38,40,31,36,37,39,26,23,16,6,7,6,4
607,kt72_Virtasalmi,2020/02/01,2,"12 KAIP",,,1,,,,,,,1,1,,,1,,,,,,,1,,,1
607,kt72_Virtasalmi,2020/02/01,2,"13 Linja-autot",,,,,,,,1,,,1,,,,,1,,1,,,,,,
607,kt72_Virtasalmi,2020/02/01,2,"14 KAPP",,,,,,,,,,2,2,,,1,,,,,,,,,1,
607,kt72_Virtasalmi,2020/02/01,2,"15 KATP",1,1,,,,1,,,,,,,,,,,,2,,,,,,
607,kt72_Virtasalmi,2020/02/01,2,"16 HA + PK",,,,,,,,,1,,1,2,,1,,2,1,1,1,1,,,,
607,kt72_Virtasalmi,2020/02/01,2,"17 HA + AV",,,,,,,,,1,,,,,,,,1,,,1,,,,
607,kt72_Virtasalmi,2020/02/02,1,"11 HA-PA",5,4,2,1,,2,1,3,5,7,21,16,32,39,41,47,53,43,35,17,11,9,8,2
607,kt72_Virtasalmi,2020/02/02,1,"12 KAIP",1,1,,,1,,,,1,1,,,1,,,,,,,,,,1,
607,kt72_Virtasalmi,2020/02/02,1,"13 Linja-autot",,,,,,,,,,1,,,,,,,,,,,,,,
607,kt72_Virtasalmi,2020/02/02,1,"14 KAPP",,,,,,,,,,,,,,,,,,,,2,,,,
607,kt72_Virtasalmi,2020/02/02,1,"15 KATP",,,,,,,,,,,,1,1,,1,,,,,,,1,1,
607,kt72_Virtasalmi,2020/02/02,1,"16 HA + PK",,,,,,,,,,,,3,2,1,,1,1,,,,1,,,
607,kt72_Virtasalmi,2020/02/02,2,"11 HA-PA",2,,3,2,3,3,5,7,7,20,13,30,50,49,53,48,64,34,37,25,20,11,2,2
607,kt72_Virtasalmi,2020/02/02,2,"12 KAIP",,1,,,1,,1,,1,,1,1,,,,,,1,,,,1,,
607,kt72_Virtasalmi,2020/02/02,2,"13 Linja-autot",,,,,1,,,,,,,,,,,,1,,,,,,1,
607,kt72_Virtasalmi,2020/02/02,2,"14 KAPP",,,,,,,,,,,,,,,3,,,,,,,,,
607,kt72_Virtasalmi,2020/02/02,2,"15 KATP",,,1,,,,,,,,,,,,,,,,2,,,,,
607,kt72_Virtasalmi,2020/02/02,2,"16 HA + PK",,,,,,,1,,,,1,,1,4,,,4,,1,1,,,,
607,kt72_Virtasalmi,2020/02/02,2,"17 HA + AV",,,,,,,,,,,,1,1,,,,,,,,,,,
607,kt72_Virtasalmi,2020/02/03,1,"11 HA-PA",3,3,1,3,,13,29,50,42,28,19,29,35,30,36,53,57,32,23,19,17,9,7,2
607,kt72_Virtasalmi,2020/02/03,1,"12 KAIP",,,,,,,,,1,1,1,1,,2,1,2,,1,,,,,,
607,kt72_Virtasalmi,2020/02/03,1,"13 Linja-autot",,,,,,,,1,,1,,,,,,1,,1,,,,,,
607,kt72_Virtasalmi,2020/02/03,1,"14 KAPP",1,,,,,,,,,,,1,,2,,1,,1,,,,,,
607,kt72_Virtasalmi,2020/02/03,1,"15 KATP",1,1,,,,1,,3,1,1,1,1,1,3,2,1,,,1,,2,1,5,2
607,kt72_Virtasalmi,2020/02/03,1,"16 HA + PK",,,,,,,,1,,,1,,,,,,,,,,,,,1
607,kt72_Virtasalmi,2020/02/03,1,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,,,
607,kt72_Virtasalmi,2020/02/03,2,"11 HA-PA",,,,4,10,17,40,41,40,36,38,29,31,34,36,56,52,31,23,16,10,5,9,
607,kt72_Virtasalmi,2020/02/03,2,"12 KAIP",,,,,,2,1,2,,1,,1,3,1,1,4,2,,1,,,,,
607,kt72_Virtasalmi,2020/02/03,2,"13 Linja-autot",1,,,,,,2,,1,,,,,,,1,2,,,,,,,
607,kt72_Virtasalmi,2020/02/03,2,"14 KAPP",,,,,,,,,,,,1,1,1,,1,,,1,,,,,
607,kt72_Virtasalmi,2020/02/03,2,"15 KATP",,,1,,4,,1,4,3,1,4,1,1,1,4,5,2,1,2,3,3,1,,1
607,kt72_Virtasalmi,2020/02/03,2,"16 HA + PK",,,,1,,,1,1,,,,,,1,1,1,1,,,,,,,
607,kt72_Virtasalmi,2020/02/03,2,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,,,
607,kt72_Virtasalmi,2020/02/04,1,"11 HA-PA",,1,1,1,1,7,26,47,40,34,35,32,35,20,46,58,35,37,31,20,10,9,3,3
607,kt72_Virtasalmi,2020/02/04,1,"12 KAIP",,,,,,,,2,2,3,2,2,,1,,,1,1,,,,,,
