"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
622,vt13_Kangasniemi,2020/02/01,1,"11 HA-PA",4,1,2,1,1,4,6,10,31,55,55,52,54,48,55,62,41,38,34,39,15,10,6,5
622,vt13_Kangasniemi,2020/02/01,1,"12 KAIP",,,,,,,,,,,,2,,,,,,,,,,1,,
622,vt13_Kangasniemi,2020/02/01,1,"16 HA + PK",,,,,,,,,,1,3,2,2,,,2,2,3,,,1,,,
622,vt13_Kangasniemi,2020/02/01,2,"11 HA-PA",4,2,5,,3,2,3,11,21,30,65,45,57,47,49,54,49,46,39,21,13,15,10,3
622,vt13_Kangasniemi,2020/02/01,2,"12 KAIP",,,,,,,,,1,1,,1,,1,,,,2,1,2,,1,,
622,vt13_Kangasniemi,2020/02/01,2,"13 Linja-autot",,,,,,,2,,,,,,1,,,,,,,1,,,,
622,vt13_Kangasniemi,2020/02/01,2,"14 KAPP",,,,,,,,,,,,1,,,,,2,1,,,1,,,1
622,vt13_Kangasniemi,2020/02/01,2,"15 KATP",2,3,,1,1,,,,1,4,3,1,3,1,1,3,,,2,,1,1,2,1
622,vt13_Kangasniemi,2020/02/01,2,"16 HA + PK",,,,,,,,,,1,2,2,1,3,1,1,,2,3,,1,,,1
622,vt13_Kangasniemi,2020/02/01,2,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,,,1,,
622,vt13_Kangasniemi,2020/02/02,1,"11 HA-PA",3,7,2,1,2,4,4,8,6,12,30,51,45,61,75,55,65,66,57,33,26,22,4,4
622,vt13_Kangasniemi,2020/02/02,1,"12 KAIP",,,,,,,,,,1,,,,1,1,1,2,,1,1,4,2,,
622,vt13_Kangasniemi,2020/02/02,1,"13 Linja-autot",,,,,,,,,,,2,,,1,,1,1,,,,,,,1
622,vt13_Kangasniemi,2020/02/02,1,"14 KAPP",,,,,,,,,,,,,,1,,,2,1,1,2,,2,,
622,vt13_Kangasniemi,2020/02/02,1,"15 KATP",,1,1,1,1,2,1,1,,,,,,,1,2,1,2,1,,4,,1,
622,vt13_Kangasniemi,2020/02/02,1,"16 HA + PK",1,1,,,,,,,1,1,,1,1,,2,2,4,1,,1,1,,,
622,vt13_Kangasniemi,2020/02/02,1,"17 HA + AV",,,,,,,,,,,,1,,,,,,,,,,,,1
622,vt13_Kangasniemi,2020/02/02,2,"11 HA-PA",5,1,,3,2,3,1,4,7,9,29,26,61,73,62,77,100,71,55,50,23,16,8,3
622,vt13_Kangasniemi,2020/02/02,2,"12 KAIP",,,,,,,,,,,,1,,,1,1,,,,2,,,1,
622,vt13_Kangasniemi,2020/02/02,2,"13 Linja-autot",,,,,,,,,,,,,1,1,,,,,1,1,,1,1,
622,vt13_Kangasniemi,2020/02/02,2,"14 KAPP",,,,,,,,,,,,,,1,1,3,1,,1,,,,,
622,vt13_Kangasniemi,2020/02/02,2,"15 KATP",,,1,2,,,2,1,2,1,,2,1,2,2,2,4,1,3,4,1,1,,
622,vt13_Kangasniemi,2020/02/02,2,"16 HA + PK",,,,,,,,1,,1,4,,1,1,1,1,1,4,1,,1,,,
622,vt13_Kangasniemi,2020/02/02,2,"17 HA + AV",,,,,,,,1,,,,,,,,2,,,,,1,,,
622,vt13_Kangasniemi,2020/02/03,1,"11 HA-PA",,1,,2,5,25,30,59,46,50,41,31,41,39,47,41,59,39,22,22,8,4,6,2
622,vt13_Kangasniemi,2020/02/03,1,"12 KAIP",,,,,,2,1,2,2,1,1,1,1,,2,1,2,1,,1,3,,,
622,vt13_Kangasniemi,2020/02/03,1,"13 Linja-autot",1,,,,1,,,,,1,3,,,1,2,1,,1,,1,,,,
622,vt13_Kangasniemi,2020/02/03,1,"14 KAPP",,,,,,,1,,2,1,1,2,4,,,5,3,1,2,,2,,,
622,vt13_Kangasniemi,2020/02/03,1,"15 KATP",1,2,1,,3,,,4,,5,3,1,2,6,2,5,6,3,1,2,2,3,2,3
622,vt13_Kangasniemi,2020/02/03,1,"16 HA + PK",,,,,,,,,,,,1,,,1,,1,,,2,1,,,
622,vt13_Kangasniemi,2020/02/03,1,"17 HA + AV",,,,,,,,1,1,,,,,,,1,1,,,,,,,
622,vt13_Kangasniemi,2020/02/03,2,"11 HA-PA",3,,3,,7,16,37,44,44,34,39,38,27,44,47,55,62,47,22,16,10,5,13,
622,vt13_Kangasniemi,2020/02/03,2,"12 KAIP",,,,,,1,,,,2,2,,2,1,1,2,,1,1,,1,,,1
622,vt13_Kangasniemi,2020/02/03,2,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,1,,,,,
622,vt13_Kangasniemi,2020/02/03,2,"14 KAPP",,,,,,1,,2,2,,2,1,1,1,3,,,4,,1,1,,,
622,vt13_Kangasniemi,2020/02/03,2,"15 KATP",,,,,2,6,3,3,1,3,1,2,6,5,4,6,3,2,3,3,2,5,3,1
622,vt13_Kangasniemi,2020/02/03,2,"16 HA + PK",,,,,,,1,1,1,1,,,1,1,2,,1,,2,1,,,,
622,vt13_Kangasniemi,2020/02/03,2,"17 HA + AV",,,,,,,,,1,,1,,,,,,,,,,,,,
622,vt13_Kangasniemi,2020/02/04,1,"11 HA-PA",2,,1,1,2,20,24,52,48,36,35,29,29,42,31,61,67,36,29,13,14,7,1,2
622,vt13_Kangasniemi,2020/02/04,1,"12 KAIP",,,1,,,,1,1,1,4,,1,1,3,,,2,,,1,1,2,,
622,vt13_Kangasniemi,2020/02/04,1,"13 Linja-autot",,,,,,,3,2,1,1,1,1,,2,1,1,1,2,,1,,,,
622,vt13_Kangasniemi,2020/02/04,1,"14 KAPP",1,,,,,1,1,3,1,,,3,2,,,2,1,1,1,1,,,1,
622,vt13_Kangasniemi,2020/02/04,1,"15 KATP",3,4,3,1,,2,2,1,2,,4,3,5,4,4,4,2,1,2,2,1,1,2,1
622,vt13_Kangasniemi,2020/02/04,1,"16 HA + PK",,,,,,,,,1,,,1,1,1,1,,,,1,,1,,,
622,vt13_Kangasniemi,2020/02/04,1,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,,,
622,vt13_Kangasniemi,2020/02/04,2,"11 HA-PA",,1,3,,5,7,29,42,35,34,25,42,42,32,61,59,71,36,24,24,14,9,4,1
622,vt13_Kangasniemi,2020/02/04,2,"12 KAIP",,,,2,,,,1,1,1,,,4,1,,1,2,1,1,1,,,,1
622,vt13_Kangasniemi,2020/02/04,2,"13 Linja-autot",,,,,,,,1,,1,,,1,,,,,,1,,,,,
622,vt13_Kangasniemi,2020/02/04,2,"14 KAPP",,,,,,,1,1,1,2,,1,1,1,3,4,3,1,,1,2,1,,
622,vt13_Kangasniemi,2020/02/04,2,"15 KATP",2,1,,,2,2,3,2,,2,4,6,2,5,4,4,4,2,3,1,8,5,1,3
622,vt13_Kangasniemi,2020/02/04,2,"16 HA + PK",,,,,,2,,1,1,,,1,,4,1,3,,1,1,,,1,,
622,vt13_Kangasniemi,2020/02/04,2,"17 HA + AV",,,,,,,,,,,1,,,,1,,,1,,,,,,
622,vt13_Kangasniemi,2020/02/05,1,"11 HA-PA",1,1,,4,1,24,26,50,52,29,29,27,33,44,51,55,68,60,31,21,24,10,4,2
622,vt13_Kangasniemi,2020/02/05,1,"12 KAIP",,,,,,,1,,2,2,5,,3,4,1,2,2,,,,,3,1,
