"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
732,vt6_Kousa,2020/02/01,1,"11 HA-PA",5,4,5,3,3,3,12,10,39,33,55,62,44,66,57,50,45,32,40,28,26,22,8,11
732,vt6_Kousa,2020/02/01,1,"12 KAIP",,1,,,,,,1,,,1,,1,2,1,1,,,,,1,1,,
732,vt6_Kousa,2020/02/01,1,"13 Linja-autot",2,,,,,,,,,1,,2,,,,,,,,,1,,1,
732,vt6_Kousa,2020/02/01,1,"14 KAPP",2,1,,,1,1,2,,1,1,7,2,1,,,2,3,4,1,3,2,,1,2
732,vt6_Kousa,2020/02/01,1,"15 KATP",,1,3,2,,,,,,,1,,,1,1,2,1,3,,2,1,,,
732,vt6_Kousa,2020/02/01,1,"16 HA + PK",,1,,1,,,,,1,2,,3,3,1,1,2,1,3,1,1,,,,
732,vt6_Kousa,2020/02/01,1,"17 HA + AV",,,,,,,,,,,1,1,,,,1,,,,,,,,
732,vt6_Kousa,2020/02/01,2,"11 HA-PA",4,3,4,3,4,8,11,15,32,35,38,55,49,36,46,42,44,41,34,24,23,17,16,16
732,vt6_Kousa,2020/02/01,2,"12 KAIP",,,,,,,,,1,2,,1,1,1,,,1,,,,1,,,
732,vt6_Kousa,2020/02/01,2,"13 Linja-autot",,2,,,1,,,1,,,,2,,1,,,,,,2,,,,
732,vt6_Kousa,2020/02/01,2,"14 KAPP",1,1,2,,,2,,2,2,,,2,3,3,2,2,1,1,1,,4,1,,
732,vt6_Kousa,2020/02/01,2,"15 KATP",,,,,,2,1,2,,1,,1,1,,1,1,2,,,,,,,
732,vt6_Kousa,2020/02/01,2,"16 HA + PK",,,,,,,2,1,1,,,1,3,2,2,3,3,2,1,1,,,1,
732,vt6_Kousa,2020/02/01,2,"17 HA + AV",,,,,,,,,,,1,,,,,3,,,,,,,,
732,vt6_Kousa,2020/02/02,1,"11 HA-PA",1,1,3,3,5,3,2,3,8,19,41,26,50,47,64,69,70,48,44,37,29,24,12,4
732,vt6_Kousa,2020/02/02,1,"12 KAIP",,,,,,,,,,,,1,2,,1,,,1,1,,,,1,
732,vt6_Kousa,2020/02/02,1,"13 Linja-autot",1,,,,,,,,,,,,,2,,,,,,,,,1,2
732,vt6_Kousa,2020/02/02,1,"14 KAPP",2,1,,,,,1,,1,1,,,1,1,,2,4,5,5,4,1,,1,
732,vt6_Kousa,2020/02/02,1,"15 KATP",,,,,,,,,,,,,,1,,,1,1,2,1,3,1,1,1
732,vt6_Kousa,2020/02/02,1,"16 HA + PK",,,,,,,,,,1,,4,2,1,2,3,3,1,,,1,2,1,1
732,vt6_Kousa,2020/02/02,1,"17 HA + AV",,,,,,1,,,,,1,,,,,1,,,1,,,,,1
732,vt6_Kousa,2020/02/02,2,"11 HA-PA",6,2,7,2,3,3,7,8,10,21,28,45,55,73,95,91,91,56,56,42,29,18,7,2
732,vt6_Kousa,2020/02/02,2,"12 KAIP",,,,,,,1,,,1,,2,1,,,,1,1,,,,,,
732,vt6_Kousa,2020/02/02,2,"13 Linja-autot",,,,,,,,,1,,,,,,1,1,1,,,,,,,1
732,vt6_Kousa,2020/02/02,2,"14 KAPP",1,,1,,,1,,,3,,,1,,2,4,3,4,,2,1,,,1,1
732,vt6_Kousa,2020/02/02,2,"15 KATP",1,,,,,1,2,2,,1,1,1,1,1,,3,3,,4,3,1,1,,
732,vt6_Kousa,2020/02/02,2,"16 HA + PK",,,,,,,,,1,,3,1,2,2,2,3,1,2,1,1,,,1,1
732,vt6_Kousa,2020/02/02,2,"17 HA + AV",,,,,1,,,,1,,,,,1,,1,1,2,,,,,1,
732,vt6_Kousa,2020/02/03,1,"11 HA-PA",,2,2,6,6,21,28,48,39,26,46,46,40,61,64,66,49,29,18,14,15,12,5,3
732,vt6_Kousa,2020/02/03,1,"12 KAIP",,,,,,,,2,,1,1,2,3,4,1,,3,1,,1,1,,,3
732,vt6_Kousa,2020/02/03,1,"13 Linja-autot",,,1,,,,,1,,,1,,1,,,,,,,,,,1,
732,vt6_Kousa,2020/02/03,1,"14 KAPP",1,,1,,2,2,,3,4,5,3,6,6,4,8,7,10,5,8,5,2,11,7,2
732,vt6_Kousa,2020/02/03,1,"15 KATP",1,1,2,1,2,,2,,1,3,4,7,2,6,2,1,3,2,4,5,3,,3,
732,vt6_Kousa,2020/02/03,1,"16 HA + PK",,,,,1,,,1,,,1,1,,1,,2,,2,1,1,,,1,
732,vt6_Kousa,2020/02/03,1,"17 HA + AV",,,,,,,,2,,,,,,,,,,,2,1,1,,,
732,vt6_Kousa,2020/02/03,2,"11 HA-PA",4,1,7,2,4,26,47,44,38,40,40,43,49,42,46,60,57,38,25,20,12,4,6,2
732,vt6_Kousa,2020/02/03,2,"12 KAIP",,,,,,1,1,1,2,5,3,1,2,1,1,4,,1,,,1,3,,
732,vt6_Kousa,2020/02/03,2,"13 Linja-autot",,,,,,,1,,2,,2,,1,,,,,,,,,,,
732,vt6_Kousa,2020/02/03,2,"14 KAPP",1,9,,1,2,3,3,2,1,5,14,14,9,8,8,12,5,12,6,5,5,5,4,6
732,vt6_Kousa,2020/02/03,2,"15 KATP",,,1,3,2,1,6,4,3,3,7,3,6,1,6,4,6,4,3,3,4,2,2,2
732,vt6_Kousa,2020/02/03,2,"16 HA + PK",,,,,,1,,1,2,1,,1,4,,3,2,2,,1,,,1,,
732,vt6_Kousa,2020/02/03,2,"17 HA + AV",,,1,,1,1,1,,,2,,,,,1,,1,,,1,,,,
732,vt6_Kousa,2020/02/04,1,"11 HA-PA",5,2,2,2,2,7,31,53,33,23,34,48,37,52,67,68,49,33,24,17,19,12,5,2
732,vt6_Kousa,2020/02/04,1,"12 KAIP",1,1,,,,,,5,1,4,2,,2,3,1,1,1,1,1,1,,,,
732,vt6_Kousa,2020/02/04,1,"13 Linja-autot",,,,,1,,,,,,,,,,,,,1,,,,,1,
732,vt6_Kousa,2020/02/04,1,"14 KAPP",4,1,1,1,1,6,2,5,6,6,5,4,8,5,2,6,7,5,2,8,11,6,3,3
732,vt6_Kousa,2020/02/04,1,"15 KATP",1,1,1,2,,1,,6,4,5,5,4,6,8,2,5,4,2,3,3,4,,5,2
732,vt6_Kousa,2020/02/04,1,"16 HA + PK",,,1,,,,,1,,1,1,,,,3,,2,1,,1,,,,
732,vt6_Kousa,2020/02/04,1,"17 HA + AV",1,,,,,,,,1,,,,,,,,1,,,1,,,,
732,vt6_Kousa,2020/02/04,2,"11 HA-PA",5,3,2,2,7,15,37,27,41,27,39,42,39,62,41,53,60,25,30,19,17,13,4,3
732,vt6_Kousa,2020/02/04,2,"12 KAIP",1,,,,,1,1,2,1,1,1,3,2,1,,3,1,,,1,1,1,,
732,vt6_Kousa,2020/02/04,2,"13 Linja-autot",,1,,,,,1,,1,,,,2,,,1,,,,,,,,
732,vt6_Kousa,2020/02/04,2,"14 KAPP",5,4,,1,3,1,,5,3,5,6,9,4,4,2,14,9,7,7,10,5,4,3,4
732,vt6_Kousa,2020/02/04,2,"15 KATP",1,,1,3,,6,3,5,5,2,4,3,3,4,4,10,3,7,5,7,4,1,1,2
732,vt6_Kousa,2020/02/04,2,"16 HA + PK",,,,,,,,,,1,1,1,2,,2,1,1,,,1,,1,,
732,vt6_Kousa,2020/02/04,2,"17 HA + AV",,,,,,2,1,,,,,,,,1,1,,,,,,,,
732,vt6_Kousa,2020/02/05,1,"11 HA-PA",2,4,2,2,3,11,31,47,39,33,33,39,40,38,58,79,42,38,20,25,11,21,3,2
732,vt6_Kousa,2020/02/05,1,"12 KAIP",,2,,,,1,,2,,1,3,,1,1,1,,1,,,,,,,
732,vt6_Kousa,2020/02/05,1,"13 Linja-autot",1,,,,,,,1,,,,,,,1,1,,1,,,,,1,1
732,vt6_Kousa,2020/02/05,1,"14 KAPP",5,2,1,1,1,2,3,5,4,9,3,4,8,7,5,8,6,7,3,10,2,6,4,2
732,vt6_Kousa,2020/02/05,1,"15 KATP",,2,3,3,2,1,2,1,3,4,4,2,4,5,6,5,6,6,4,4,1,1,2,1
732,vt6_Kousa,2020/02/05,1,"16 HA + PK",,,,,,,,,1,1,,1,,2,3,,,,1,,,,,
732,vt6_Kousa,2020/02/05,1,"17 HA + AV",,,,,,,,,,,,,,,,1,,,,,,,,
732,vt6_Kousa,2020/02/05,2,"11 HA-PA",,2,2,6,6,16,35,32,35,29,37,34,35,44,54,76,62,55,23,19,15,6,10,5
732,vt6_Kousa,2020/02/05,2,"12 KAIP",,1,,,,,,1,2,1,2,1,1,4,,1,1,,,2,1,,1,
732,vt6_Kousa,2020/02/05,2,"13 Linja-autot",1,,,,,,1,,1,,,,,1,,,1,1,,,,,,
732,vt6_Kousa,2020/02/05,2,"14 KAPP",2,2,4,3,2,4,3,3,6,5,4,7,5,6,6,9,8,6,5,3,2,,,
732,vt6_Kousa,2020/02/05,2,"15 KATP",,1,,1,7,3,3,1,4,2,6,3,5,4,6,4,8,2,1,,6,3,1,2
732,vt6_Kousa,2020/02/05,2,"16 HA + PK",,,,,,,,,,1,3,,,1,,1,2,,,,,,1,
732,vt6_Kousa,2020/02/05,2,"17 HA + AV",,,,,,,,,,1,1,,,,,,,,1,,,,,
732,vt6_Kousa,2020/02/06,1,"11 HA-PA",3,2,7,1,4,7,23,40,31,30,45,39,30,53,71,75,50,47,29,15,32,27,16,10
732,vt6_Kousa,2020/02/06,1,"12 KAIP",,4,,,,1,,1,3,1,1,1,3,5,1,2,1,3,,1,3,,,
732,vt6_Kousa,2020/02/06,1,"13 Linja-autot",,,,,,,,1,,,,,,,,,,,,,,,1,
732,vt6_Kousa,2020/02/06,1,"14 KAPP",,,,1,1,2,3,6,4,2,6,6,3,2,3,10,6,4,6,2,1,5,,1
732,vt6_Kousa,2020/02/06,1,"15 KATP",2,2,1,1,1,,1,1,4,3,5,5,5,6,5,10,4,3,3,2,2,2,6,2
732,vt6_Kousa,2020/02/06,1,"16 HA + PK",,,,,,,,2,,,1,1,2,1,,,2,,,2,,,,
732,vt6_Kousa,2020/02/06,1,"17 HA + AV",,,,,,,,,,,,,,,,1,,,,3,1,,,
732,vt6_Kousa,2020/02/06,2,"11 HA-PA",1,2,2,2,5,15,35,31,30,27,37,36,64,44,49,49,73,53,38,21,18,9,5,4
732,vt6_Kousa,2020/02/06,2,"12 KAIP",,,,1,1,1,,1,3,2,2,3,1,1,1,3,1,,,,2,1,1,
732,vt6_Kousa,2020/02/06,2,"13 Linja-autot",,1,,,,,1,,1,1,,,1,,,,1,,,,,,,
732,vt6_Kousa,2020/02/06,2,"14 KAPP",2,1,1,3,,5,5,6,4,5,2,4,4,8,4,10,3,3,3,4,5,2,3,1
732,vt6_Kousa,2020/02/06,2,"15 KATP",1,,3,3,1,,7,6,2,4,6,1,9,4,5,6,3,3,2,4,3,3,2,
732,vt6_Kousa,2020/02/06,2,"16 HA + PK",,,,,,,,,,,,2,,,2,2,1,,2,1,1,,1,
732,vt6_Kousa,2020/02/06,2,"17 HA + AV",1,,,,,,,,,,,,,,,,,,,,,,,
732,vt6_Kousa,2020/02/07,1,"11 HA-PA",7,2,3,4,4,12,25,35,44,29,45,45,67,75,86,74,76,54,57,50,47,22,12,13
732,vt6_Kousa,2020/02/07,1,"12 KAIP",,1,,,,,,2,1,,1,,4,2,,1,3,3,3,,,,,
732,vt6_Kousa,2020/02/07,1,"13 Linja-autot",,1,,,,,,,,1,,,,,2,1,,,1,,,,1,1
732,vt6_Kousa,2020/02/07,1,"14 KAPP",4,1,2,4,2,3,1,8,4,7,4,7,5,3,4,8,2,6,1,5,5,1,1,2
732,vt6_Kousa,2020/02/07,1,"15 KATP",4,1,5,3,2,1,3,3,4,2,3,3,4,4,6,2,2,1,2,4,3,1,2,5
732,vt6_Kousa,2020/02/07,1,"16 HA + PK",,,,,1,,,,2,1,2,1,,2,2,,2,1,3,1,2,1,,
732,vt6_Kousa,2020/02/07,1,"17 HA + AV",,,,,,,,,,,,,,,,1,,,1,,,,,
732,vt6_Kousa,2020/02/07,2,"11 HA-PA",4,1,3,3,5,18,43,31,31,41,46,52,50,62,70,95,88,59,44,25,22,14,9,4
732,vt6_Kousa,2020/02/07,2,"12 KAIP",,,,,,1,1,1,2,1,2,,,,3,1,2,,,1,1,,,
732,vt6_Kousa,2020/02/07,2,"13 Linja-autot",1,,,,2,,1,2,2,,,,,1,,,1,,,,,,,
732,vt6_Kousa,2020/02/07,2,"14 KAPP",4,1,1,1,2,8,4,6,4,7,4,6,10,6,7,4,1,4,,4,1,,,2
732,vt6_Kousa,2020/02/07,2,"15 KATP",2,,1,,3,2,2,3,3,,4,10,1,3,4,8,,2,3,,1,1,,1
732,vt6_Kousa,2020/02/07,2,"16 HA + PK",,,,,,,,1,1,1,,1,2,1,,,3,2,,,1,,2,
732,vt6_Kousa,2020/02/07,2,"17 HA + AV",,,,,,,,,,,1,,,,,1,1,,,,,,1,
732,vt6_Kousa,2020/02/08,1,"11 HA-PA",5,5,5,7,6,10,11,18,33,55,68,67,63,46,49,36,46,38,23,30,21,10,12,10
732,vt6_Kousa,2020/02/08,1,"12 KAIP",,1,,,,,,,,,,,1,,,,1,1,,,,,,
732,vt6_Kousa,2020/02/08,1,"13 Linja-autot",,,,,,,,,1,,,,,,,,,,,1,,,1,
732,vt6_Kousa,2020/02/08,1,"14 KAPP",1,,,1,,1,2,,1,1,2,1,1,1,1,1,3,2,2,,2,,,
