"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
836,vt5_Vuorela,2020/02/01,1,"11 HA-PA",108,59,49,41,44,53,83,182,231,362,450,531,588,625,634,707,610,485,402,319,270,191,164,107
836,vt5_Vuorela,2020/02/01,1,"12 KAIP",1,3,2,1,4,,1,3,3,2,5,3,6,4,5,6,7,5,3,5,5,1,2,
836,vt5_Vuorela,2020/02/01,1,"13 Linja-autot",,1,,,2,,,1,,3,2,,3,2,1,,,2,,3,1,2,,1
836,vt5_Vuorela,2020/02/01,1,"14 KAPP",,1,1,1,,1,1,,1,,1,,1,,2,,2,1,2,2,1,,1,
836,vt5_Vuorela,2020/02/01,1,"15 KATP",7,11,8,6,7,4,6,2,5,4,5,1,3,6,10,4,3,4,3,6,1,4,4,
836,vt5_Vuorela,2020/02/01,1,"16 HA + PK",2,,,,,1,2,7,7,10,16,18,11,9,15,8,11,8,9,8,6,1,,
836,vt5_Vuorela,2020/02/01,1,"17 HA + AV",,,,,,,,,1,,2,,2,,,,1,3,1,,1,1,1,
836,vt5_Vuorela,2020/02/01,2,"11 HA-PA",48,35,20,24,39,72,141,155,228,398,533,570,687,590,609,579,521,482,374,294,220,145,109,67
836,vt5_Vuorela,2020/02/01,2,"12 KAIP",3,2,,,3,2,,2,6,5,8,5,11,7,5,8,5,4,3,6,4,4,3,2
836,vt5_Vuorela,2020/02/01,2,"13 Linja-autot",2,,1,,1,1,1,3,1,1,3,2,2,2,1,,1,2,1,1,1,1,1,
836,vt5_Vuorela,2020/02/01,2,"14 KAPP",,,1,,,,,1,3,,1,,2,1,1,1,,2,1,,,,,1
836,vt5_Vuorela,2020/02/01,2,"15 KATP",3,4,7,3,7,7,2,5,6,9,5,9,4,6,4,4,8,5,4,3,7,1,2,1
