"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
8,vt4_Kerava_Jokivarsi,2020/02/01,1,"11 HA-PA",174,127,99,89,90,196,198,360,671,832,1022,1077,1264,1278,1363,1438,1418,1223,1053,879,666,451,399,312
8,vt4_Kerava_Jokivarsi,2020/02/01,1,"12 KAIP",10,8,5,10,13,6,6,10,19,13,11,16,9,12,8,13,7,7,9,3,4,2,3,6
8,vt4_Kerava_Jokivarsi,2020/02/01,1,"13 Linja-autot",1,,,1,,,2,3,2,3,6,3,3,5,3,5,8,7,3,3,4,3,2,
8,vt4_Kerava_Jokivarsi,2020/02/01,1,"14 KAPP",4,11,6,9,7,4,2,6,4,13,20,11,9,13,8,15,6,2,2,4,5,11,5,
8,vt4_Kerava_Jokivarsi,2020/02/01,1,"15 KATP",19,9,15,10,4,5,6,4,3,8,8,8,7,6,10,6,2,4,1,1,2,2,1,
8,vt4_Kerava_Jokivarsi,2020/02/01,1,"16 HA + PK",,1,,,1,,7,2,8,8,14,9,9,13,11,13,20,15,7,8,5,,2,1
8,vt4_Kerava_Jokivarsi,2020/02/01,1,"17 HA + AV",,,,,,,1,1,1,2,4,1,1,,1,,1,,,1,,,2,
8,vt4_Kerava_Jokivarsi,2020/02/01,2,"11 HA-PA",176,101,84,90,132,215,358,355,646,936,1100,1344,1443,1435,1431,1311,1218,1175,948,795,611,407,290,231
8,vt4_Kerava_Jokivarsi,2020/02/01,2,"12 KAIP",8,9,10,3,13,14,9,11,7,11,12,17,17,5,10,11,6,2,10,7,6,5,3,2
8,vt4_Kerava_Jokivarsi,2020/02/01,2,"13 Linja-autot",,1,,,,1,1,2,3,7,5,7,5,4,3,5,1,3,4,2,4,3,,2
8,vt4_Kerava_Jokivarsi,2020/02/01,2,"14 KAPP",10,3,6,2,7,12,8,10,18,4,16,16,16,7,8,6,6,4,5,,2,3,1,1
8,vt4_Kerava_Jokivarsi,2020/02/01,2,"15 KATP",12,18,6,13,9,16,6,7,5,5,4,5,5,6,6,1,8,1,1,4,2,2,4,7
8,vt4_Kerava_Jokivarsi,2020/02/01,2,"16 HA + PK",,,1,,,,3,3,4,11,14,19,20,19,14,8,10,9,3,3,3,3,2,
8,vt4_Kerava_Jokivarsi,2020/02/01,2,"17 HA + AV",,1,,,,,1,,1,,1,1,,4,,,3,1,,,1,,,
8,vt4_Kerava_Jokivarsi,2020/02/02,1,"11 HA-PA",260,163,97,80,86,93,139,170,254,455,785,1005,1158,1229,1301,1361,1340,1226,992,785,640,437,290,172
8,vt4_Kerava_Jokivarsi,2020/02/02,1,"12 KAIP",,2,,,,,,1,1,4,7,2,4,3,13,5,11,10,5,15,13,20,22,5
8,vt4_Kerava_Jokivarsi,2020/02/02,1,"13 Linja-autot",2,,,,,,,,1,1,7,7,2,6,2,2,4,4,2,1,1,1,,
8,vt4_Kerava_Jokivarsi,2020/02/02,1,"14 KAPP",,,1,,2,1,2,1,7,2,26,7,12,19,15,24,31,12,9,26,17,16,34,7
8,vt4_Kerava_Jokivarsi,2020/02/02,1,"15 KATP",1,,,,,,,2,2,3,8,6,7,5,2,9,10,24,13,14,9,4,19,8
8,vt4_Kerava_Jokivarsi,2020/02/02,1,"16 HA + PK",,,,,,1,1,,2,6,10,9,7,17,7,8,9,11,8,4,4,1,,2
8,vt4_Kerava_Jokivarsi,2020/02/02,1,"17 HA + AV",,,,,,1,,1,,1,2,,1,1,1,,2,5,4,5,2,,,
8,vt4_Kerava_Jokivarsi,2020/02/02,2,"11 HA-PA",182,120,104,77,90,125,188,211,262,570,819,963,1166,1345,1633,1673,1657,1683,1520,1119,796,512,306,170
8,vt4_Kerava_Jokivarsi,2020/02/02,2,"12 KAIP",1,,1,1,,1,,,,2,7,3,2,7,6,10,11,10,15,19,9,13,11,13
8,vt4_Kerava_Jokivarsi,2020/02/02,2,"13 Linja-autot",,,,,,1,1,,7,1,2,6,2,4,7,3,,3,9,3,5,2,5,1
