"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
904,vt13_Saarijärvi,2020/02/01,1,"11 HA-PA",3,2,4,3,5,4,12,20,31,59,73,79,94,54,52,48,45,37,41,38,29,24,7,9
904,vt13_Saarijärvi,2020/02/01,1,"12 KAIP",,,,,,,1,1,3,4,4,5,6,4,4,2,,1,1,,2,1,,
904,vt13_Saarijärvi,2020/02/01,1,"13 Linja-autot",,,,,,,1,,,,1,2,,1,,,,,,,2,1,1,
904,vt13_Saarijärvi,2020/02/01,1,"14 KAPP",,,,,,,,,1,,,1,,,,,,,,,,,,
904,vt13_Saarijärvi,2020/02/01,1,"15 KATP",,,1,,1,2,1,1,1,2,5,1,1,1,1,1,3,1,,2,2,1,,2
904,vt13_Saarijärvi,2020/02/01,1,"16 HA + PK",,,,,,,,,2,1,2,3,2,1,2,5,3,2,,1,,,,1
904,vt13_Saarijärvi,2020/02/01,1,"17 HA + AV",,,,,,,,,,1,,,,,,2,,,,,1,1,,
904,vt13_Saarijärvi,2020/02/01,2,"11 HA-PA",11,5,8,2,2,3,3,19,34,53,70,63,65,51,79,61,75,50,34,40,21,21,17,5
904,vt13_Saarijärvi,2020/02/01,2,"12 KAIP",,,1,,,,,2,2,1,,1,,1,2,,1,,,1,1,,,2
904,vt13_Saarijärvi,2020/02/01,2,"13 Linja-autot",,,,,,,,,1,,,,1,,2,1,,3,,,,,,1
904,vt13_Saarijärvi,2020/02/01,2,"14 KAPP",,,,,,1,,1,,,,,,,,,,,,,,,,
