"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1007,vt19_Lapua,2020/07/01,1,"11 HA-PA",32,23,19,9,37,113,205,266,188,201,215,267,266,340,392,534,525,429,318,238,253,153,92,88
1007,vt19_Lapua,2020/07/01,1,"12 KAIP",1,,2,6,5,12,5,13,11,9,13,10,12,11,7,4,4,8,6,6,2,2,3,1
1007,vt19_Lapua,2020/07/01,1,"13 Linja-autot",,1,,,,,,1,,2,,,,,,3,,,,,,,2,
1007,vt19_Lapua,2020/07/01,1,"14 KAPP",2,,1,1,1,3,7,4,9,5,4,3,9,8,2,8,3,2,6,1,7,1,2,
1007,vt19_Lapua,2020/07/01,1,"15 KATP",16,6,15,20,12,12,13,21,23,22,21,15,21,19,25,15,18,18,13,15,13,8,7,8
1007,vt19_Lapua,2020/07/01,1,"16 HA + PK",,,,,,4,3,4,1,11,10,6,14,13,11,8,13,12,16,10,13,6,4,2
1007,vt19_Lapua,2020/07/01,1,"17 HA + AV",,,,,,,1,,4,2,3,4,6,2,3,4,2,2,4,,3,2,,
1007,vt19_Lapua,2020/07/01,2,"11 HA-PA",29,17,17,16,39,145,269,281,212,268,261,313,319,380,435,455,460,326,227,210,218,124,91,42
1007,vt19_Lapua,2020/07/01,2,"12 KAIP",1,2,,1,2,4,1,7,7,10,11,9,9,13,10,15,10,5,4,8,4,1,2,
1007,vt19_Lapua,2020/07/01,2,"13 Linja-autot",,,,,,,3,2,,,,1,1,1,1,,2,,,2,1,,,
1007,vt19_Lapua,2020/07/01,2,"14 KAPP",1,,,1,1,,5,2,3,10,13,7,6,10,8,9,7,4,4,3,2,1,1,2
1007,vt19_Lapua,2020/07/01,2,"15 KATP",8,5,6,9,8,5,13,15,24,17,22,25,28,21,25,25,23,16,15,18,14,15,15,10
1007,vt19_Lapua,2020/07/01,2,"16 HA + PK",,1,,,2,1,2,6,8,7,10,22,12,13,11,8,14,13,8,7,5,6,1,1
1007,vt19_Lapua,2020/07/01,2,"17 HA + AV",,,1,1,1,1,3,3,3,,,7,5,1,1,5,5,3,3,3,2,2,1,
1007,vt19_Lapua,2020/07/02,1,"11 HA-PA",44,17,14,15,38,122,214,302,204,207,292,314,302,367,380,557,524,409,314,275,260,167,95,74
1007,vt19_Lapua,2020/07/02,1,"12 KAIP",2,4,,6,5,8,9,7,13,11,11,9,11,3,12,6,4,7,7,3,2,3,,5
1007,vt19_Lapua,2020/07/02,1,"13 Linja-autot",,,,,,,1,2,1,2,1,,,1,,2,1,1,,2,,,,
1007,vt19_Lapua,2020/07/02,1,"14 KAPP",,1,5,1,3,4,2,5,6,4,9,5,9,5,6,8,4,3,7,1,1,3,1,1
1007,vt19_Lapua,2020/07/02,1,"15 KATP",12,11,19,17,15,13,15,20,21,17,21,17,18,25,21,11,13,17,15,10,14,10,9,11
1007,vt19_Lapua,2020/07/02,1,"16 HA + PK",2,,1,,1,2,5,2,5,10,15,16,17,21,11,22,14,14,12,11,8,8,6,6
1007,vt19_Lapua,2020/07/02,1,"17 HA + AV",1,2,1,,,,4,6,2,6,3,5,4,1,2,10,4,1,4,3,5,4,,1
1007,vt19_Lapua,2020/07/02,2,"11 HA-PA",31,17,13,12,34,129,292,255,225,219,270,309,299,347,391,480,481,354,244,288,199,163,90,56
1007,vt19_Lapua,2020/07/02,2,"12 KAIP",1,,1,,3,3,8,6,10,13,11,9,9,11,15,13,8,7,8,6,4,3,2,1
1007,vt19_Lapua,2020/07/02,2,"13 Linja-autot",,1,,,,,2,1,1,,,2,1,1,1,,2,,1,1,2,,,
1007,vt19_Lapua,2020/07/02,2,"14 KAPP",,,,1,,2,5,4,5,9,7,12,3,8,5,2,7,6,7,2,4,3,1,1
1007,vt19_Lapua,2020/07/02,2,"15 KATP",8,4,8,7,6,7,14,11,12,33,16,15,18,19,16,21,34,18,25,24,11,15,13,8
1007,vt19_Lapua,2020/07/02,2,"16 HA + PK",1,1,,,1,1,4,5,8,3,12,14,14,13,13,18,15,14,14,11,12,9,9,1
1007,vt19_Lapua,2020/07/02,2,"17 HA + AV",1,1,,,,2,1,4,2,3,6,4,5,1,10,5,3,3,3,6,6,,2,2
1007,vt19_Lapua,2020/07/03,1,"11 HA-PA",43,14,13,8,38,104,184,253,195,196,213,305,360,410,509,621,597,466,413,297,266,170,109,96
1007,vt19_Lapua,2020/07/03,1,"12 KAIP",3,,2,4,6,8,12,7,12,6,6,10,10,10,11,9,8,6,5,10,7,3,,3
1007,vt19_Lapua,2020/07/03,1,"13 Linja-autot",,,,,,1,,1,2,,,,,2,,1,,2,,,1,,,
