"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1051,vt3_Laihia_Perälä,2020/07/01,1,"11 HA-PA",11,7,3,6,6,46,130,108,96,92,106,153,121,137,142,133,160,152,129,121,141,73,48,22
1051,vt3_Laihia_Perälä,2020/07/01,1,"12 KAIP",,,1,1,,3,3,6,6,4,6,2,2,4,1,3,3,1,2,2,2,,,
1051,vt3_Laihia_Perälä,2020/07/01,1,"13 Linja-autot",,,,,,,1,,,,,1,,,,,,,,,1,,,
1051,vt3_Laihia_Perälä,2020/07/01,1,"14 KAPP",1,,1,1,,,1,2,3,3,3,3,4,,3,,4,3,4,,2,3,,1
1051,vt3_Laihia_Perälä,2020/07/01,1,"15 KATP",1,1,2,3,1,1,10,4,5,5,3,9,5,10,4,7,8,5,4,1,3,2,,
1051,vt3_Laihia_Perälä,2020/07/01,1,"16 HA + PK",,,,,,2,2,2,6,5,3,4,6,6,8,6,6,3,3,6,9,1,5,
1051,vt3_Laihia_Perälä,2020/07/01,1,"17 HA + AV",,,,,,,,2,,,,1,3,1,,1,1,,,,,,,
1051,vt3_Laihia_Perälä,2020/07/01,2,"11 HA-PA",12,2,7,5,3,25,64,61,99,88,114,140,121,130,184,238,252,153,113,115,96,83,24,18
1051,vt3_Laihia_Perälä,2020/07/01,2,"12 KAIP",,,,,,,1,7,6,5,3,2,5,5,5,3,5,4,,,1,2,,
1051,vt3_Laihia_Perälä,2020/07/01,2,"13 Linja-autot",,,,,,,,,,,,,,1,1,,,,,,,,,
1051,vt3_Laihia_Perälä,2020/07/01,2,"14 KAPP",,,,,1,,,,2,,3,1,3,5,4,3,2,2,1,,,,,
1051,vt3_Laihia_Perälä,2020/07/01,2,"15 KATP",,,1,,,,5,2,8,7,7,8,8,7,8,5,4,4,2,3,2,3,,6
1051,vt3_Laihia_Perälä,2020/07/01,2,"16 HA + PK",,1,,,,,2,4,5,7,5,5,10,3,6,4,6,5,,3,9,4,,1
1051,vt3_Laihia_Perälä,2020/07/01,2,"17 HA + AV",,,,,,,,,,,2,,,4,2,1,1,,1,1,,,,
1051,vt3_Laihia_Perälä,2020/07/02,1,"11 HA-PA",14,9,7,4,7,43,130,97,97,93,82,121,145,130,159,149,162,156,140,141,125,78,35,31
1051,vt3_Laihia_Perälä,2020/07/02,1,"12 KAIP",,,1,1,1,2,6,6,4,8,3,4,2,3,4,1,3,3,4,5,2,3,1,1
1051,vt3_Laihia_Perälä,2020/07/02,1,"13 Linja-autot",,,,,,,,,,1,,,1,,,,,,,,,,,
1051,vt3_Laihia_Perälä,2020/07/02,1,"14 KAPP",,1,2,1,1,,1,5,2,1,4,2,1,1,2,1,,1,,1,1,,1,
1051,vt3_Laihia_Perälä,2020/07/02,1,"15 KATP",2,1,5,4,,1,4,5,2,5,6,7,7,4,6,5,3,3,3,3,2,2,1,4
1051,vt3_Laihia_Perälä,2020/07/02,1,"16 HA + PK",1,,,,,1,3,2,4,3,3,7,9,6,8,9,7,9,5,2,4,5,1,2
1051,vt3_Laihia_Perälä,2020/07/02,1,"17 HA + AV",,,,,,,,2,,1,,,,1,2,,2,,1,1,,,,
1051,vt3_Laihia_Perälä,2020/07/02,2,"11 HA-PA",11,9,2,2,6,25,59,71,60,96,133,118,144,152,163,234,229,155,146,131,115,67,26,14
1051,vt3_Laihia_Perälä,2020/07/02,2,"12 KAIP",,,,,1,,2,4,3,3,2,4,5,4,2,4,7,1,3,3,,,,1
1051,vt3_Laihia_Perälä,2020/07/02,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,1,,,,,,,
1051,vt3_Laihia_Perälä,2020/07/02,2,"14 KAPP",,,,,,,2,2,2,,2,5,1,7,4,2,3,2,,,,,,
1051,vt3_Laihia_Perälä,2020/07/02,2,"15 KATP",,,,,,2,5,2,8,5,12,6,8,3,4,7,8,5,4,5,7,1,2,
1051,vt3_Laihia_Perälä,2020/07/02,2,"16 HA + PK",,,,,,,,3,4,4,6,9,9,10,10,6,15,12,3,7,4,2,,
1051,vt3_Laihia_Perälä,2020/07/02,2,"17 HA + AV",,,,,,,,,,1,1,1,,1,1,,5,1,,,,,,
1051,vt3_Laihia_Perälä,2020/07/03,1,"11 HA-PA",8,4,7,3,9,40,125,102,109,90,104,150,128,129,165,167,163,180,127,127,120,119,46,29
1051,vt3_Laihia_Perälä,2020/07/03,1,"12 KAIP",1,1,,,,1,6,5,5,2,3,3,3,3,1,4,6,3,1,,1,2,,
1051,vt3_Laihia_Perälä,2020/07/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,1,1,,,,
1051,vt3_Laihia_Perälä,2020/07/03,1,"14 KAPP",1,,,,,1,1,1,3,,3,2,2,1,,2,2,2,1,,,1,,1
1051,vt3_Laihia_Perälä,2020/07/03,1,"15 KATP",1,6,4,3,1,1,3,5,5,8,2,5,5,2,8,4,6,4,,2,4,2,1,
1051,vt3_Laihia_Perälä,2020/07/03,1,"16 HA + PK",,1,,,,3,3,5,3,3,7,4,7,7,10,6,9,7,9,10,7,8,2,2
1051,vt3_Laihia_Perälä,2020/07/03,1,"17 HA + AV",,,,,,1,1,1,,2,,1,1,,,,,1,1,1,,,,
1051,vt3_Laihia_Perälä,2020/07/03,2,"11 HA-PA",20,5,4,1,4,24,58,55,77,101,127,155,181,163,194,261,219,196,147,103,92,69,39,24
1051,vt3_Laihia_Perälä,2020/07/03,2,"12 KAIP",,1,,,,,1,5,1,1,5,7,2,4,2,5,5,2,,1,2,1,,
