"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1054,kt44_Kauhajoki,2020/07/01,1,"11 HA-PA",14,12,5,6,21,80,95,124,111,127,147,189,158,183,221,235,249,180,118,108,94,59,52,20
1054,kt44_Kauhajoki,2020/07/01,1,"12 KAIP",,,,1,,1,3,3,4,7,10,7,7,13,8,6,10,3,2,4,5,7,2,4
1054,kt44_Kauhajoki,2020/07/01,1,"13 Linja-autot",,,,,,,,,,,,1,,1,,,1,,,,1,,,
1054,kt44_Kauhajoki,2020/07/01,1,"14 KAPP",,,,1,,,1,2,1,1,4,5,1,6,1,,,2,1,1,2,1,2,1
1054,kt44_Kauhajoki,2020/07/01,1,"15 KATP",3,2,2,3,2,4,6,4,8,10,13,6,6,6,8,13,4,5,5,3,4,3,2,4
1054,kt44_Kauhajoki,2020/07/01,1,"16 HA + PK",1,,,,,1,2,8,3,7,7,9,15,12,12,11,9,8,6,5,2,5,,1
1054,kt44_Kauhajoki,2020/07/01,1,"17 HA + AV",,,1,,,,1,2,,2,2,1,,1,3,2,,1,,1,1,3,,1
1054,kt44_Kauhajoki,2020/07/01,2,"11 HA-PA",19,15,6,10,14,79,115,134,124,121,164,154,193,157,185,243,235,176,146,90,123,104,53,30
1054,kt44_Kauhajoki,2020/07/01,2,"12 KAIP",,,,,,3,8,1,8,4,5,7,5,6,2,5,8,9,5,6,6,4,5,2
1054,kt44_Kauhajoki,2020/07/01,2,"13 Linja-autot",,,,,,,1,2,,,,,,,,1,1,1,,1,,,,
1054,kt44_Kauhajoki,2020/07/01,2,"14 KAPP",,,1,,1,1,,3,1,1,2,4,2,2,3,,1,2,2,1,3,1,1,1
1054,kt44_Kauhajoki,2020/07/01,2,"15 KATP",2,2,1,,4,2,6,11,5,5,9,4,11,6,7,7,6,4,4,5,1,4,3,3
1054,kt44_Kauhajoki,2020/07/01,2,"16 HA + PK",,,,,,,2,3,8,6,5,9,14,6,15,8,11,10,5,6,3,2,3,3
1054,kt44_Kauhajoki,2020/07/01,2,"17 HA + AV",,,,,,,,1,2,1,,1,2,1,6,3,2,1,2,3,1,1,2,3
1054,kt44_Kauhajoki,2020/07/02,1,"11 HA-PA",17,9,9,7,27,63,87,115,120,118,151,159,180,191,196,262,275,191,128,98,98,73,42,19
1054,kt44_Kauhajoki,2020/07/02,1,"12 KAIP",3,3,4,2,2,8,6,8,4,4,3,5,8,10,11,6,6,6,3,6,2,,,
1054,kt44_Kauhajoki,2020/07/02,1,"13 Linja-autot",,,,,,,,,,,,1,,,,1,,,,1,,,1,
1054,kt44_Kauhajoki,2020/07/02,1,"14 KAPP",2,1,1,3,,1,1,2,4,1,3,3,4,1,6,1,,2,,,1,1,,
1054,kt44_Kauhajoki,2020/07/02,1,"15 KATP",3,4,1,4,1,2,8,7,7,6,7,9,5,11,11,8,5,5,5,3,7,2,6,4
1054,kt44_Kauhajoki,2020/07/02,1,"16 HA + PK",1,1,,,,,1,3,6,7,6,12,5,16,11,15,11,12,9,6,5,1,1,
1054,kt44_Kauhajoki,2020/07/02,1,"17 HA + AV",,3,2,,1,,4,,2,5,4,2,5,3,2,5,3,2,2,,1,3,,
1054,kt44_Kauhajoki,2020/07/02,2,"11 HA-PA",15,12,4,5,12,71,110,146,132,130,132,167,178,163,201,214,213,178,159,131,154,97,65,24
1054,kt44_Kauhajoki,2020/07/02,2,"12 KAIP",4,,3,2,2,4,2,8,10,6,8,7,8,3,6,6,5,9,3,1,2,3,,1
1054,kt44_Kauhajoki,2020/07/02,2,"13 Linja-autot",,1,,,1,,2,1,,,,1,,1,,,,1,,,,,,
1054,kt44_Kauhajoki,2020/07/02,2,"14 KAPP",2,,,2,3,1,1,5,2,4,6,4,4,2,3,1,2,1,1,,,1,,
1054,kt44_Kauhajoki,2020/07/02,2,"15 KATP",3,3,1,1,1,4,5,10,5,3,8,6,7,8,6,5,3,5,6,5,4,7,,1
1054,kt44_Kauhajoki,2020/07/02,2,"16 HA + PK",,,,,,1,1,4,2,4,10,9,13,14,16,15,16,14,5,11,4,1,3,1
1054,kt44_Kauhajoki,2020/07/02,2,"17 HA + AV",1,1,1,,,1,1,2,4,6,1,1,1,,2,5,1,3,1,1,1,1,,
1054,kt44_Kauhajoki,2020/07/03,1,"11 HA-PA",6,6,2,10,22,71,93,114,101,98,161,177,189,211,256,237,229,186,149,109,100,83,58,46
1054,kt44_Kauhajoki,2020/07/03,1,"12 KAIP",1,,,1,,2,10,1,8,10,10,10,9,12,6,4,3,5,,3,5,2,1,
1054,kt44_Kauhajoki,2020/07/03,1,"13 Linja-autot",,,,,,,,,,,,,,,1,1,,1,,,,,,
1054,kt44_Kauhajoki,2020/07/03,1,"14 KAPP",,,,,,,,3,1,1,6,7,2,1,2,,2,3,,1,,2,2,
1054,kt44_Kauhajoki,2020/07/03,1,"15 KATP",2,2,3,3,,3,9,7,5,6,8,8,2,8,16,14,5,5,3,3,2,1,1,1
1054,kt44_Kauhajoki,2020/07/03,1,"16 HA + PK",1,1,,,,,1,1,5,8,5,10,17,13,14,16,11,18,3,3,6,3,2,3
1054,kt44_Kauhajoki,2020/07/03,1,"17 HA + AV",,,1,,,1,1,2,2,,3,4,3,7,1,3,3,2,1,3,1,1,,
1054,kt44_Kauhajoki,2020/07/03,2,"11 HA-PA",16,4,8,3,17,74,101,132,118,107,134,159,174,182,223,246,258,200,179,146,112,104,63,28
1054,kt44_Kauhajoki,2020/07/03,2,"12 KAIP",1,,,,1,4,7,8,8,8,4,9,5,9,4,7,4,2,2,3,3,,,3
1054,kt44_Kauhajoki,2020/07/03,2,"13 Linja-autot",,,,,,1,,1,,,,,,1,,1,,,,,1,1,,
1054,kt44_Kauhajoki,2020/07/03,2,"14 KAPP",,1,,,,,,4,3,5,4,3,1,1,4,2,1,,1,1,1,2,,
1054,kt44_Kauhajoki,2020/07/03,2,"15 KATP",1,1,2,,1,6,5,10,6,14,4,7,5,9,9,6,5,5,4,6,1,2,2,2
1054,kt44_Kauhajoki,2020/07/03,2,"16 HA + PK",,,,,,1,1,1,7,2,5,7,13,18,23,24,15,13,9,5,7,4,1,
1054,kt44_Kauhajoki,2020/07/03,2,"17 HA + AV",,,,,,,2,3,3,2,,,,4,2,1,2,5,5,1,1,1,,
1054,kt44_Kauhajoki,2020/07/04,1,"11 HA-PA",27,16,11,9,9,14,25,37,57,86,135,138,175,180,163,145,119,126,91,104,82,57,49,48
1054,kt44_Kauhajoki,2020/07/04,1,"12 KAIP",1,,,1,1,1,2,1,5,1,1,2,4,3,2,2,1,1,1,1,,,1,
1054,kt44_Kauhajoki,2020/07/04,1,"13 Linja-autot",,,,,,,,,1,,,,,,,,,,1,,,,,
1054,kt44_Kauhajoki,2020/07/04,1,"14 KAPP",,,,,,,,,,,,,,1,,2,,,,,,,,
1054,kt44_Kauhajoki,2020/07/04,1,"15 KATP",2,2,,,,,1,,2,,1,1,1,1,1,3,2,4,1,2,1,2,1,2
1054,kt44_Kauhajoki,2020/07/04,1,"16 HA + PK",,,,,,,1,,3,3,10,6,7,7,5,5,8,3,4,2,2,3,2,
1054,kt44_Kauhajoki,2020/07/04,1,"17 HA + AV",1,,,,,,,,1,1,2,2,2,1,4,1,,,1,,,,1,
1054,kt44_Kauhajoki,2020/07/04,2,"11 HA-PA",31,20,14,6,8,10,21,22,58,83,104,143,160,188,154,170,147,160,136,116,101,81,46,43
1054,kt44_Kauhajoki,2020/07/04,2,"12 KAIP",1,,,,1,2,2,,2,3,1,4,1,1,2,1,2,3,,2,,,3,
1054,kt44_Kauhajoki,2020/07/04,2,"13 Linja-autot",,,,,,,,,,1,,,,,1,1,1,,,1,,,,
1054,kt44_Kauhajoki,2020/07/04,2,"14 KAPP",1,1,,1,,,,,,,,1,,,1,,,,,,1,,,
1054,kt44_Kauhajoki,2020/07/04,2,"15 KATP",1,,1,,,1,,2,,3,1,3,3,,,2,1,2,3,2,2,1,1,1
1054,kt44_Kauhajoki,2020/07/04,2,"16 HA + PK",1,1,,,1,3,,1,,6,12,7,5,4,9,4,7,4,6,6,,,1,
1054,kt44_Kauhajoki,2020/07/04,2,"17 HA + AV",,,,,,,,,,1,1,1,1,2,2,2,3,,2,,1,1,,
1054,kt44_Kauhajoki,2020/07/05,1,"11 HA-PA",32,19,16,19,7,9,13,19,35,55,103,143,150,168,153,171,170,158,165,129,115,73,42,19
1054,kt44_Kauhajoki,2020/07/05,1,"12 KAIP",1,,,,,1,,1,,1,1,2,1,,1,5,5,1,2,,,,1,
1054,kt44_Kauhajoki,2020/07/05,1,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,,
1054,kt44_Kauhajoki,2020/07/05,1,"14 KAPP",,,,,,1,,,,,,1,,1,1,,,1,1,1,1,,1,
1054,kt44_Kauhajoki,2020/07/05,1,"15 KATP",,,1,,,,,,1,,1,1,3,5,1,3,3,1,1,3,1,3,,2
1054,kt44_Kauhajoki,2020/07/05,1,"16 HA + PK",,,1,,,1,,,2,2,4,8,3,12,4,4,4,7,8,6,3,1,1,
1054,kt44_Kauhajoki,2020/07/05,1,"17 HA + AV",,,,,,,,,,,,1,,,2,1,3,2,2,,1,1,,
1054,kt44_Kauhajoki,2020/07/05,2,"11 HA-PA",32,21,14,16,10,9,20,9,37,61,72,125,152,146,154,165,168,148,161,138,162,74,48,24
1054,kt44_Kauhajoki,2020/07/05,2,"12 KAIP",,,,1,,,,,1,1,1,2,1,2,2,,4,5,1,3,1,,,1
1054,kt44_Kauhajoki,2020/07/05,2,"13 Linja-autot",,,,,1,,,1,,,,,,,,2,,,,,,,,
1054,kt44_Kauhajoki,2020/07/05,2,"14 KAPP",,,,,,1,,,,,,,1,,1,,1,,1,1,,,,
1054,kt44_Kauhajoki,2020/07/05,2,"15 KATP",,,,,,,,2,,,1,,2,,,8,3,2,3,3,2,2,1,2
1054,kt44_Kauhajoki,2020/07/05,2,"16 HA + PK",,,1,1,,,,,3,,2,7,9,7,7,8,9,8,3,2,5,5,,1
1054,kt44_Kauhajoki,2020/07/05,2,"17 HA + AV",,,,1,,,,,1,1,,1,2,2,,3,3,2,,2,2,2,,1
1054,kt44_Kauhajoki,2020/07/06,1,"11 HA-PA",13,4,5,10,19,64,96,91,102,102,169,155,167,170,214,230,226,160,110,90,79,47,30,18
1054,kt44_Kauhajoki,2020/07/06,1,"12 KAIP",,,,,1,3,5,1,4,3,3,8,4,7,7,9,5,5,3,1,1,2,2,
1054,kt44_Kauhajoki,2020/07/06,1,"13 Linja-autot",,,,,,,,1,,,,1,,,,,,1,,,,,,1
1054,kt44_Kauhajoki,2020/07/06,1,"14 KAPP",,,1,,1,,1,1,2,3,6,2,4,1,2,3,2,,2,1,,1,,
1054,kt44_Kauhajoki,2020/07/06,1,"15 KATP",,2,,2,1,5,6,6,5,3,6,7,8,10,7,10,12,5,1,5,4,1,3,3
1054,kt44_Kauhajoki,2020/07/06,1,"16 HA + PK",,1,,,,3,1,2,3,9,7,7,8,14,17,13,10,5,3,4,2,2,1,1
1054,kt44_Kauhajoki,2020/07/06,1,"17 HA + AV",,,,,,,2,,4,1,,2,,3,1,4,6,2,1,,1,,,
1054,kt44_Kauhajoki,2020/07/06,2,"11 HA-PA",10,4,5,9,16,84,106,129,132,121,115,167,158,172,194,214,240,156,130,110,83,51,40,24
1054,kt44_Kauhajoki,2020/07/06,2,"12 KAIP",,,,2,,4,4,7,5,5,5,6,5,5,9,4,7,3,4,2,3,1,,
1054,kt44_Kauhajoki,2020/07/06,2,"13 Linja-autot",,,,,,,,1,,,,1,1,,,1,2,,,1,,,,1
1054,kt44_Kauhajoki,2020/07/06,2,"14 KAPP",1,,,,1,,1,5,1,2,10,2,3,1,5,3,3,2,2,,4,1,,
1054,kt44_Kauhajoki,2020/07/06,2,"15 KATP",1,1,,,2,6,3,5,5,6,5,3,4,12,7,8,8,6,6,3,4,2,2,1
1054,kt44_Kauhajoki,2020/07/06,2,"16 HA + PK",,,,,,,5,2,1,5,11,7,5,15,22,12,15,8,10,2,1,2,,
1054,kt44_Kauhajoki,2020/07/06,2,"17 HA + AV",,,,,,,,,1,2,,2,1,2,3,1,5,4,2,1,3,2,1,2
1054,kt44_Kauhajoki,2020/07/07,1,"11 HA-PA",12,10,1,6,11,71,89,99,95,119,161,190,174,185,226,244,236,151,135,94,86,64,41,21
1054,kt44_Kauhajoki,2020/07/07,1,"12 KAIP",,,,,2,,3,7,5,4,8,6,6,8,4,2,3,3,1,1,1,,2,1
1054,kt44_Kauhajoki,2020/07/07,1,"13 Linja-autot",,,,,,,,,,,,,,1,,1,1,,,1,,,,
1054,kt44_Kauhajoki,2020/07/07,1,"14 KAPP",,1,,,,,1,2,2,,2,4,5,3,1,1,1,,1,,,1,,
1054,kt44_Kauhajoki,2020/07/07,1,"15 KATP",3,1,2,2,2,1,7,2,4,4,8,8,4,9,9,10,6,6,4,4,3,3,4,1
1054,kt44_Kauhajoki,2020/07/07,1,"16 HA + PK",,,,,,1,1,3,2,10,9,10,13,12,15,8,7,5,6,3,2,4,4,
1054,kt44_Kauhajoki,2020/07/07,1,"17 HA + AV",,,,,,,3,,1,1,4,,4,1,3,2,,1,,2,4,1,,
1054,kt44_Kauhajoki,2020/07/07,2,"11 HA-PA",10,6,8,2,14,70,113,116,119,121,127,168,170,179,199,212,243,181,138,122,97,84,48,33
1054,kt44_Kauhajoki,2020/07/07,2,"12 KAIP",,1,,,,5,6,4,5,7,5,11,4,7,5,3,4,5,5,,1,,,2
1054,kt44_Kauhajoki,2020/07/07,2,"13 Linja-autot",,,,,,,,1,,,,2,1,,,,,,,1,,,,1
1054,kt44_Kauhajoki,2020/07/07,2,"14 KAPP",1,,,,,,2,2,,2,4,3,1,2,1,1,1,1,,1,,,,
1054,kt44_Kauhajoki,2020/07/07,2,"15 KATP",2,2,,1,1,2,4,7,5,8,8,9,3,9,6,5,5,8,4,4,6,6,2,
1054,kt44_Kauhajoki,2020/07/07,2,"16 HA + PK",,,,,,,4,4,2,4,8,14,18,20,13,11,11,9,11,4,2,2,1,1
1054,kt44_Kauhajoki,2020/07/07,2,"17 HA + AV",,,,,,,,1,1,1,,,4,,2,5,2,1,1,2,1,,1,
1054,kt44_Kauhajoki,2020/07/08,1,"11 HA-PA",15,12,4,5,19,67,87,86,98,123,141,154,188,197,217,224,243,161,121,101,79,50,34,29
1054,kt44_Kauhajoki,2020/07/08,1,"12 KAIP",1,,,,2,1,7,5,4,7,6,5,11,5,11,3,5,3,5,,3,2,2,
1054,kt44_Kauhajoki,2020/07/08,1,"13 Linja-autot",,,,,,,,,,1,2,,1,,,,,1,,,,,,
1054,kt44_Kauhajoki,2020/07/08,1,"14 KAPP",1,,,,,,1,3,4,4,4,2,4,4,2,3,,,1,2,,,,1
1054,kt44_Kauhajoki,2020/07/08,1,"15 KATP",2,1,,5,1,5,8,6,7,3,8,7,3,9,7,10,4,4,4,2,5,1,5,5
1054,kt44_Kauhajoki,2020/07/08,1,"16 HA + PK",,,,,1,1,1,2,5,7,7,7,13,10,8,12,11,3,4,5,3,1,,
1054,kt44_Kauhajoki,2020/07/08,1,"17 HA + AV",,,,,,,2,1,1,,1,2,1,3,,4,1,3,1,3,,1,,
1054,kt44_Kauhajoki,2020/07/08,2,"11 HA-PA",8,10,10,4,33,56,114,124,111,108,145,164,187,146,203,175,226,164,158,111,106,82,44,33
1054,kt44_Kauhajoki,2020/07/08,2,"12 KAIP",,1,,,,2,5,7,8,7,5,7,12,9,6,10,4,3,1,2,1,,1,1
1054,kt44_Kauhajoki,2020/07/08,2,"13 Linja-autot",,,,,,,,1,,,1,,1,2,1,1,,1,,,1,,,
1054,kt44_Kauhajoki,2020/07/08,2,"14 KAPP",,,,,,1,1,4,2,4,2,1,1,2,2,,2,,1,,1,,,
1054,kt44_Kauhajoki,2020/07/08,2,"15 KATP",3,1,1,2,3,2,6,6,4,14,12,5,8,3,8,8,8,5,2,4,9,7,1,
