"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,1,"11 HA-PA",15,6,2,3,6,29,111,107,103,94,130,126,136,161,194,167,207,155,142,114,110,84,54,26
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,1,"12 KAIP",2,,,,1,1,2,7,,5,9,3,7,7,7,7,8,7,2,4,5,2,1,
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,1,"13 Linja-autot",,,,,,,,,1,,,,2,,1,,2,1,,1,,,2,
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,1,"14 KAPP",,,1,,,2,,4,5,2,6,3,1,3,2,3,4,2,1,2,2,1,,
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,1,"15 KATP",6,1,1,5,1,6,5,10,14,11,9,11,10,16,14,9,11,13,10,10,4,1,2,2
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,1,"16 HA + PK",,1,,,1,,,1,6,2,6,3,9,8,6,5,10,11,14,9,11,7,3,
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,1,"17 HA + AV",,1,,,,,1,,,2,6,2,6,,1,2,3,4,2,4,1,1,,1
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,2,"11 HA-PA",11,10,2,5,7,18,79,81,115,121,131,159,181,165,169,245,217,201,123,93,85,83,73,29
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,2,"12 KAIP",1,,,2,2,,3,5,7,4,3,7,8,9,5,10,7,6,2,2,5,2,1,1
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,2,"13 Linja-autot",,,,,,,,1,,1,,1,1,,,1,,1,,,,,1,1
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,2,"14 KAPP",,,,1,,1,,1,5,3,6,6,4,4,4,2,5,2,1,2,,,,
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,2,"15 KATP",,,3,4,,1,9,5,14,12,13,11,10,16,11,10,11,14,4,4,4,5,6,1
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,2,"16 HA + PK",,,,,,1,1,,4,3,2,8,5,15,17,9,3,6,8,8,6,2,1,
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/01,2,"17 HA + AV",2,,,,,,1,,1,3,3,2,5,1,1,7,2,2,4,2,1,,2,
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/02,1,"11 HA-PA",13,14,3,4,9,28,107,92,115,128,132,140,157,153,176,188,199,166,125,101,95,104,56,19
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/02,1,"12 KAIP",3,,,1,,2,3,8,7,5,3,8,8,7,3,7,8,9,4,4,4,2,2,
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/02,1,"13 Linja-autot",,,,,,,,,,,,1,,,2,,1,1,,3,,,,
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/02,1,"14 KAPP",,,,,,,1,4,3,5,3,4,3,,3,5,3,4,1,,1,,,
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/02,1,"15 KATP",1,3,2,4,,5,4,11,12,12,9,19,14,19,13,15,10,12,10,11,2,3,2,2
1063,vt8_Kaitsor_Vöyri-Maksamaa,2020/07/02,1,"16 HA + PK",,,,,,,,4,3,7,8,4,7,7,11,13,4,9,8,3,4,6,1,1
