"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1103,vt28_Sievi,2020/07/01,1,"11 HA-PA",5,7,3,,8,14,33,38,35,45,48,44,59,46,66,59,70,44,31,47,35,26,25,10
1103,vt28_Sievi,2020/07/01,1,"12 KAIP",,,,,,1,3,3,1,3,4,4,4,4,4,2,2,8,,1,1,,1,1
1103,vt28_Sievi,2020/07/01,1,"13 Linja-autot",,,,,,,,,,1,,1,,1,2,,,,,1,,,,
1103,vt28_Sievi,2020/07/01,1,"14 KAPP",,,,,,,,,2,,2,,,2,,3,1,,1,,,1,,
1103,vt28_Sievi,2020/07/01,1,"15 KATP",,,,1,,2,5,6,2,3,1,7,6,4,7,5,2,4,4,,3,3,3,3
1103,vt28_Sievi,2020/07/01,1,"16 HA + PK",,,,,,1,,1,,3,3,4,3,10,6,5,6,1,3,1,4,,1,1
1103,vt28_Sievi,2020/07/01,1,"17 HA + AV",,,,,,,1,1,1,3,1,1,4,1,1,2,3,1,1,,1,,1,
1103,vt28_Sievi,2020/07/01,2,"11 HA-PA",5,4,,1,2,36,40,30,30,35,33,49,61,70,63,70,67,66,50,18,29,24,15,7
1103,vt28_Sievi,2020/07/01,2,"12 KAIP",,,,,,1,,2,2,2,5,4,3,4,6,4,4,4,2,2,2,2,,
1103,vt28_Sievi,2020/07/01,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,,,,,
1103,vt28_Sievi,2020/07/01,2,"14 KAPP",,,,,,,,1,4,2,2,2,2,1,,,1,2,1,,,,1,
1103,vt28_Sievi,2020/07/01,2,"15 KATP",1,2,,2,1,3,6,3,3,2,2,5,3,3,2,5,5,3,4,6,4,2,,
1103,vt28_Sievi,2020/07/01,2,"16 HA + PK",,,,,,,,,1,,5,,4,3,5,2,6,6,2,2,,,1,1
1103,vt28_Sievi,2020/07/01,2,"17 HA + AV",,,,,,,,,1,,2,4,3,1,2,1,1,2,1,1,,1,,
1103,vt28_Sievi,2020/07/02,1,"11 HA-PA",6,6,3,3,7,12,32,47,56,45,42,56,40,43,81,76,68,57,40,36,36,36,26,8
1103,vt28_Sievi,2020/07/02,1,"12 KAIP",3,,,,1,,2,1,2,4,1,1,6,2,3,5,2,3,4,1,,2,1,
1103,vt28_Sievi,2020/07/02,1,"13 Linja-autot",,,,,,,,,1,1,,1,1,1,,,,,,,,,,
1103,vt28_Sievi,2020/07/02,1,"14 KAPP",,,,,,,,,,2,4,2,1,,3,2,1,1,,1,,1,,1
1103,vt28_Sievi,2020/07/02,1,"15 KATP",1,1,,2,2,2,5,1,2,13,6,4,6,6,8,4,7,4,4,5,7,2,,
1103,vt28_Sievi,2020/07/02,1,"16 HA + PK",,,1,,,,,,1,2,3,1,6,4,4,4,2,6,4,3,2,1,1,1
1103,vt28_Sievi,2020/07/02,1,"17 HA + AV",,,,,,,,1,,1,,3,1,1,,2,1,2,2,,,1,2,
1103,vt28_Sievi,2020/07/02,2,"11 HA-PA",5,4,1,,3,36,33,27,26,53,37,37,59,57,45,69,73,79,54,30,57,24,18,9
1103,vt28_Sievi,2020/07/02,2,"12 KAIP",,,,1,,3,1,1,4,,2,1,3,2,5,,5,4,2,2,2,,1,
1103,vt28_Sievi,2020/07/02,2,"13 Linja-autot",,,,,,,,,1,,,,1,,,1,,,,,1,,,
1103,vt28_Sievi,2020/07/02,2,"14 KAPP",1,,,,,,,,,1,1,1,2,2,1,2,3,,,,,,1,
1103,vt28_Sievi,2020/07/02,2,"15 KATP",2,,1,,2,1,2,2,4,3,5,7,3,5,7,8,5,7,2,1,3,2,2,2
1103,vt28_Sievi,2020/07/02,2,"16 HA + PK",,,,,,,1,,,4,1,6,,2,6,3,1,7,5,1,2,2,1,1
1103,vt28_Sievi,2020/07/02,2,"17 HA + AV",,,,,,,,,,1,1,,,2,,2,1,2,,1,,,1,
1103,vt28_Sievi,2020/07/03,1,"11 HA-PA",8,2,3,1,3,13,27,40,37,34,63,58,51,65,96,81,79,72,44,34,48,28,17,14
1103,vt28_Sievi,2020/07/03,1,"12 KAIP",,,,,,1,2,1,1,4,2,2,2,2,1,4,,2,,,1,2,,1
1103,vt28_Sievi,2020/07/03,1,"13 Linja-autot",,,,,,,,,,,1,1,,2,1,,,,,,1,,,
1103,vt28_Sievi,2020/07/03,1,"14 KAPP",,,,,,,,,1,2,,3,4,1,2,1,,1,1,,,,,
1103,vt28_Sievi,2020/07/03,1,"15 KATP",2,,,,2,,5,4,7,7,7,5,4,4,8,6,4,3,1,1,1,2,1,1
1103,vt28_Sievi,2020/07/03,1,"16 HA + PK",,,,,,,,3,1,2,2,4,,1,1,1,6,3,2,1,3,2,,1
1103,vt28_Sievi,2020/07/03,1,"17 HA + AV",,,,,,,,,1,,1,2,3,2,2,2,,1,4,,,1,2,
1103,vt28_Sievi,2020/07/03,2,"11 HA-PA",4,7,2,1,5,33,39,17,35,37,29,51,63,60,76,82,88,63,54,55,20,30,12,5
1103,vt28_Sievi,2020/07/03,2,"12 KAIP",,1,,,1,,1,1,5,6,5,6,3,3,5,1,2,2,1,1,,,,
1103,vt28_Sievi,2020/07/03,2,"13 Linja-autot",,,,,,,,,,1,,,,,,,,,,1,,,,
1103,vt28_Sievi,2020/07/03,2,"14 KAPP",1,,1,,,,,1,1,1,3,1,4,1,1,1,2,,,,,,,
1103,vt28_Sievi,2020/07/03,2,"15 KATP",2,1,,,3,2,3,4,4,5,5,4,6,6,4,4,3,3,3,2,,1,3,2
1103,vt28_Sievi,2020/07/03,2,"16 HA + PK",,,,,,,,,1,,4,2,4,4,4,2,3,4,2,2,2,1,2,
1103,vt28_Sievi,2020/07/03,2,"17 HA + AV",,,,,,,,,,,,2,2,1,1,1,,,,,,,1,
1103,vt28_Sievi,2020/07/04,1,"11 HA-PA",8,11,4,3,7,3,9,8,27,32,51,47,66,59,45,54,40,39,29,55,31,36,19,12
1103,vt28_Sievi,2020/07/04,1,"12 KAIP",1,,,,,,3,1,,2,1,1,2,2,1,,,1,,,2,1,,
1103,vt28_Sievi,2020/07/04,1,"13 Linja-autot",,,,,,,,,,,,,,1,1,,,1,,,,,,
1103,vt28_Sievi,2020/07/04,1,"14 KAPP",,,,,,,,,,,,,,1,1,,,,,,,1,,
1103,vt28_Sievi,2020/07/04,1,"15 KATP",,1,1,,,,1,1,1,2,,,1,2,,,,,,1,,1,,
1103,vt28_Sievi,2020/07/04,1,"16 HA + PK",,,1,,,1,,1,5,1,3,3,6,7,,1,1,3,3,4,2,1,1,1
1103,vt28_Sievi,2020/07/04,1,"17 HA + AV",,,,,,,,,,1,2,1,,,1,,1,,1,,,,2,
1103,vt28_Sievi,2020/07/04,2,"11 HA-PA",13,8,6,3,6,6,8,7,13,27,50,39,57,48,47,60,52,48,41,43,27,15,15,12
1103,vt28_Sievi,2020/07/04,2,"12 KAIP",,,,,1,,1,2,1,2,,2,,1,,3,2,1,,1,1,1,,
1103,vt28_Sievi,2020/07/04,2,"13 Linja-autot",,,,,,,,1,1,,,,,,,,,,,,,,,
1103,vt28_Sievi,2020/07/04,2,"15 KATP",,,,,1,,,,,1,,2,,1,1,3,,,,1,,1,,
1103,vt28_Sievi,2020/07/04,2,"16 HA + PK",,,,,,,,3,1,3,2,3,5,6,3,3,8,1,2,,2,,2,
1103,vt28_Sievi,2020/07/04,2,"17 HA + AV",,,,,,,,,,,1,1,,1,,,1,1,,,,,,
1103,vt28_Sievi,2020/07/05,1,"11 HA-PA",9,10,12,6,2,2,6,4,19,24,25,36,72,65,61,94,51,74,67,55,48,41,27,8
1103,vt28_Sievi,2020/07/05,1,"12 KAIP",,,,,,,,,,,,1,2,,3,2,,1,1,2,,,,
1103,vt28_Sievi,2020/07/05,1,"13 Linja-autot",1,,,,,,,,,,1,,,,,,,,,,,,,
1103,vt28_Sievi,2020/07/05,1,"14 KAPP",1,,,,,,,,1,,,,,,,,,2,1,1,1,,,
1103,vt28_Sievi,2020/07/05,1,"15 KATP",1,,,,,,1,2,1,,,2,1,1,,3,1,2,4,2,2,2,1,3
1103,vt28_Sievi,2020/07/05,1,"16 HA + PK",,,,,,,,1,1,,1,,5,3,5,2,3,4,5,3,,2,1,
1103,vt28_Sievi,2020/07/05,1,"17 HA + AV",,,,,,,,,,,2,,,,,2,2,1,1,1,3,1,,
1103,vt28_Sievi,2020/07/05,2,"11 HA-PA",6,12,10,2,3,6,5,7,7,20,42,68,73,74,76,64,80,64,68,49,38,46,23,9
1103,vt28_Sievi,2020/07/05,2,"12 KAIP",,,,,,,,,,3,,,,1,1,,1,,1,1,,,,
1103,vt28_Sievi,2020/07/05,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,2,,,2,,
1103,vt28_Sievi,2020/07/05,2,"14 KAPP",,,,,,,,,,,,,,,,,,,,,1,,,1
1103,vt28_Sievi,2020/07/05,2,"15 KATP",,,,,1,,,1,,1,1,2,,1,2,2,6,5,1,1,3,,1,1
