"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
119,vt7_Helsinki_Itäsalmi,2020/07/01,1,"11 HA-PA",48,40,18,20,31,121,499,551,535,588,797,748,866,951,1061,1534,1506,1234,940,678,592,452,280,134
119,vt7_Helsinki_Itäsalmi,2020/07/01,1,"12 KAIP",,6,3,4,8,16,17,23,48,25,29,39,41,28,23,40,37,21,13,10,7,3,7,2
119,vt7_Helsinki_Itäsalmi,2020/07/01,1,"13 Linja-autot",1,1,,1,1,1,2,6,6,7,7,5,4,6,5,3,6,7,5,4,4,2,,1
119,vt7_Helsinki_Itäsalmi,2020/07/01,1,"14 KAPP",8,4,2,4,7,8,17,19,29,31,30,39,32,22,21,21,26,19,19,10,8,9,33,7
119,vt7_Helsinki_Itäsalmi,2020/07/01,1,"15 KATP",5,8,9,8,8,10,14,25,25,25,24,21,30,22,21,29,18,14,12,16,12,11,18,12
119,vt7_Helsinki_Itäsalmi,2020/07/01,1,"16 HA + PK",,,,,,,1,5,6,7,13,13,16,20,18,25,23,19,16,21,14,8,5,4
119,vt7_Helsinki_Itäsalmi,2020/07/01,1,"17 HA + AV",,,,,,,,1,2,,3,1,3,3,2,4,2,4,3,4,1,3,1,2
119,vt7_Helsinki_Itäsalmi,2020/07/01,2,"11 HA-PA",67,20,27,28,68,324,1020,1048,904,684,731,756,779,789,942,964,1130,986,814,623,546,440,249,140
119,vt7_Helsinki_Itäsalmi,2020/07/01,2,"12 KAIP",4,5,8,7,5,20,55,37,33,23,25,22,33,33,24,30,26,17,15,7,7,4,6,6
119,vt7_Helsinki_Itäsalmi,2020/07/01,2,"13 Linja-autot",,,1,,,8,4,5,5,5,4,3,4,5,4,9,11,6,2,5,4,1,3,3
119,vt7_Helsinki_Itäsalmi,2020/07/01,2,"14 KAPP",4,2,1,2,1,9,19,11,19,15,28,35,24,22,22,24,17,30,24,8,10,9,6,5
119,vt7_Helsinki_Itäsalmi,2020/07/01,2,"15 KATP",9,3,10,8,11,26,43,24,47,41,43,38,52,37,42,44,41,39,29,35,38,20,16,9
119,vt7_Helsinki_Itäsalmi,2020/07/01,2,"16 HA + PK",,1,,3,4,10,10,26,22,19,24,31,31,25,30,32,26,31,20,11,9,6,4,2
119,vt7_Helsinki_Itäsalmi,2020/07/01,2,"17 HA + AV",5,1,2,2,3,2,9,9,4,6,7,5,2,4,7,6,5,3,1,4,7,4,4,2
119,vt7_Helsinki_Itäsalmi,2020/07/02,1,"11 HA-PA",62,39,39,45,43,127,506,582,572,696,847,901,988,1002,1147,1588,1692,1277,980,774,599,401,271,143
119,vt7_Helsinki_Itäsalmi,2020/07/02,1,"12 KAIP",1,1,3,9,10,12,18,37,21,35,42,31,34,36,42,43,22,16,8,13,7,7,3,2
119,vt7_Helsinki_Itäsalmi,2020/07/02,1,"13 Linja-autot",1,1,,1,,1,,8,5,1,3,4,4,6,4,7,6,7,4,2,1,2,1,2
119,vt7_Helsinki_Itäsalmi,2020/07/02,1,"14 KAPP",8,8,8,4,3,9,15,27,19,38,37,42,39,29,20,29,18,21,16,15,12,2,12,10
119,vt7_Helsinki_Itäsalmi,2020/07/02,1,"15 KATP",13,8,12,11,8,14,10,24,29,36,32,30,27,42,34,23,23,19,11,19,11,12,13,8
119,vt7_Helsinki_Itäsalmi,2020/07/02,1,"16 HA + PK",1,1,,,,,5,7,7,17,12,14,18,20,29,25,37,31,23,17,11,12,3,2
119,vt7_Helsinki_Itäsalmi,2020/07/02,1,"17 HA + AV",2,1,,,,,2,1,2,1,2,,5,4,3,12,1,2,1,1,2,,,1
