"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1202,vt4_Ii,2020/07/01,1,"11 HA-PA",37,18,23,18,27,60,140,153,167,211,252,305,316,370,404,460,505,403,366,261,221,148,100,46
1202,vt4_Ii,2020/07/01,1,"12 KAIP",1,1,1,3,1,5,10,3,11,9,5,8,4,13,9,14,7,11,5,2,2,4,2,2
1202,vt4_Ii,2020/07/01,1,"13 Linja-autot",1,,,,,1,2,1,1,,1,1,2,3,5,2,2,3,4,4,2,1,1,
1202,vt4_Ii,2020/07/01,1,"14 KAPP",,3,1,,2,1,3,3,4,9,9,6,3,9,10,6,1,6,4,4,,1,4,
1202,vt4_Ii,2020/07/01,1,"15 KATP",9,9,5,9,15,15,17,19,23,21,24,17,20,22,18,16,16,18,17,14,20,12,13,8
1202,vt4_Ii,2020/07/01,1,"16 HA + PK",,4,1,1,,,3,3,5,5,15,12,18,24,20,25,29,23,19,16,14,13,5,3
1202,vt4_Ii,2020/07/01,1,"17 HA + AV",,,,2,,1,1,,2,5,3,4,6,5,3,7,5,7,5,2,4,4,,1
1202,vt4_Ii,2020/07/01,2,"11 HA-PA",39,26,11,15,28,128,267,219,199,220,319,356,350,379,383,410,416,328,326,242,195,138,78,56
1202,vt4_Ii,2020/07/01,2,"12 KAIP",,,,1,,2,1,6,4,12,8,10,10,15,10,7,10,8,10,3,2,3,3,
1202,vt4_Ii,2020/07/01,2,"13 Linja-autot",1,1,,,,1,2,2,2,1,2,2,2,2,2,1,1,3,3,1,1,1,1,
1202,vt4_Ii,2020/07/01,2,"14 KAPP",1,2,1,2,,2,2,7,6,6,4,10,7,11,17,10,7,11,9,10,8,3,2,2
1202,vt4_Ii,2020/07/01,2,"15 KATP",8,7,7,7,5,5,7,13,19,15,27,28,20,29,15,29,26,28,26,29,18,13,14,5
1202,vt4_Ii,2020/07/01,2,"16 HA + PK",4,3,1,,1,5,4,7,7,13,15,17,13,26,18,22,17,20,19,13,6,16,8,4
1202,vt4_Ii,2020/07/01,2,"17 HA + AV",1,,,,,,2,3,4,3,7,6,2,7,12,4,5,5,4,5,3,6,1,
1202,vt4_Ii,2020/07/02,1,"11 HA-PA",33,23,23,24,29,77,151,172,203,221,319,313,371,321,379,483,544,436,361,306,215,144,132,73
1202,vt4_Ii,2020/07/02,1,"12 KAIP",1,3,3,1,3,7,6,8,11,3,6,13,9,11,10,6,4,4,3,4,3,5,1,3
1202,vt4_Ii,2020/07/02,1,"13 Linja-autot",,,1,,,1,3,1,2,,1,1,2,3,1,1,2,2,2,4,,1,1,
1202,vt4_Ii,2020/07/02,1,"14 KAPP",1,2,1,2,1,,2,5,2,3,4,8,6,4,3,8,7,7,4,5,,3,4,1
1202,vt4_Ii,2020/07/02,1,"15 KATP",8,7,7,12,16,19,19,16,28,16,27,16,17,16,16,21,20,17,17,10,11,15,19,9
