"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1221,vt4_Rantsila,2020/07/01,1,"11 HA-PA",24,28,15,8,11,18,31,45,67,73,110,132,113,170,176,201,196,155,131,124,70,66,56,30
1221,vt4_Rantsila,2020/07/01,1,"12 KAIP",1,2,,,,1,3,,2,3,6,6,1,4,2,2,5,5,3,3,5,2,2,4
1221,vt4_Rantsila,2020/07/01,1,"13 Linja-autot",,,,,1,,,,,1,,1,,,,,1,1,1,,3,,,
1221,vt4_Rantsila,2020/07/01,1,"14 KAPP",2,2,1,,,2,,4,7,3,2,5,6,6,3,4,6,5,1,3,7,4,2,2
1221,vt4_Rantsila,2020/07/01,1,"15 KATP",12,14,12,11,10,15,7,7,8,15,17,13,5,11,8,12,13,7,7,15,16,9,10,17
1221,vt4_Rantsila,2020/07/01,1,"16 HA + PK",2,,2,,1,,,4,3,3,9,10,9,10,8,7,10,7,12,6,4,5,4,3
1221,vt4_Rantsila,2020/07/01,1,"17 HA + AV",,,1,1,,,,1,3,1,,3,3,5,5,3,1,4,2,4,2,1,2,1
1221,vt4_Rantsila,2020/07/01,2,"11 HA-PA",16,7,9,4,5,34,29,73,89,107,137,162,165,167,154,166,126,115,66,80,57,61,37,22
1221,vt4_Rantsila,2020/07/01,2,"12 KAIP",1,,,2,2,2,2,5,4,3,3,2,4,1,5,5,4,3,3,2,3,1,2,
1221,vt4_Rantsila,2020/07/01,2,"13 Linja-autot",,,1,,,,,,,1,3,,,1,4,1,1,,,1,,2,,
1221,vt4_Rantsila,2020/07/01,2,"14 KAPP",,,,1,,3,1,2,1,3,4,3,7,5,8,3,6,2,6,4,4,2,1,
1221,vt4_Rantsila,2020/07/01,2,"15 KATP",3,7,3,10,9,8,10,9,9,11,10,15,24,12,22,14,19,12,13,23,15,14,3,9
1221,vt4_Rantsila,2020/07/01,2,"16 HA + PK",2,5,,1,1,1,2,6,5,7,8,12,8,6,16,10,12,9,13,6,5,5,3,2
1221,vt4_Rantsila,2020/07/01,2,"17 HA + AV",,,,,,3,,,1,1,2,3,8,1,3,1,2,2,3,1,2,3,,
1221,vt4_Rantsila,2020/07/02,1,"11 HA-PA",18,23,7,12,14,23,32,36,70,81,96,131,148,167,170,200,212,146,166,119,115,109,84,57
1221,vt4_Rantsila,2020/07/02,1,"12 KAIP",5,2,1,,1,,2,,3,4,4,8,4,3,3,3,6,4,8,5,,3,3,4
1221,vt4_Rantsila,2020/07/02,1,"13 Linja-autot",,1,,,1,,,1,,1,,2,,1,1,,,,1,,1,,1,1
1221,vt4_Rantsila,2020/07/02,1,"14 KAPP",,2,1,2,,2,1,1,2,4,4,5,10,6,5,4,8,6,7,3,3,3,4,
1221,vt4_Rantsila,2020/07/02,1,"15 KATP",14,16,9,13,8,10,13,12,10,17,11,9,5,10,11,12,10,16,9,16,15,14,8,15
1221,vt4_Rantsila,2020/07/02,1,"16 HA + PK",1,,,,1,,,1,3,3,4,3,5,7,7,8,11,10,8,8,7,8,5,2
1221,vt4_Rantsila,2020/07/02,1,"17 HA + AV",,,1,,1,,,1,1,,3,1,1,4,,1,2,3,6,3,1,,1,
1221,vt4_Rantsila,2020/07/02,2,"11 HA-PA",20,9,8,10,7,23,36,56,77,134,151,185,166,187,174,162,148,161,111,103,70,50,50,23
1221,vt4_Rantsila,2020/07/02,2,"12 KAIP",1,,,1,,1,5,5,4,4,5,4,3,3,7,4,2,7,3,3,5,5,3,
1221,vt4_Rantsila,2020/07/02,2,"13 Linja-autot",,,,,,,,,,,,1,,2,1,2,1,1,,,,2,,
1221,vt4_Rantsila,2020/07/02,2,"14 KAPP",,1,2,,,1,1,2,1,6,3,2,4,5,7,4,6,4,3,2,3,1,2,1
1221,vt4_Rantsila,2020/07/02,2,"15 KATP",5,9,6,5,8,6,10,9,9,14,18,11,19,17,21,16,20,11,18,18,16,12,9,5
1221,vt4_Rantsila,2020/07/02,2,"16 HA + PK",3,2,1,,,2,2,3,3,6,8,15,16,8,16,15,13,11,13,5,8,7,2,4
1221,vt4_Rantsila,2020/07/02,2,"17 HA + AV",,,,,,,,,3,4,4,1,4,2,1,3,,5,2,3,1,2,1,1
1221,vt4_Rantsila,2020/07/03,1,"11 HA-PA",36,23,16,10,12,25,19,40,58,88,125,123,155,192,233,270,252,217,189,192,148,135,118,81
1221,vt4_Rantsila,2020/07/03,1,"12 KAIP",1,1,,,,,1,,1,,3,7,2,5,6,6,4,2,6,2,2,2,1,1
1221,vt4_Rantsila,2020/07/03,1,"13 Linja-autot",,1,,,1,,,,,,2,1,,2,,,1,1,1,,4,,1,
1221,vt4_Rantsila,2020/07/03,1,"14 KAPP",1,3,,,2,2,3,1,2,6,3,,,5,2,5,2,2,1,2,3,1,,1
1221,vt4_Rantsila,2020/07/03,1,"15 KATP",14,16,11,8,14,12,6,10,9,10,9,8,15,6,13,9,5,8,7,9,9,7,5,10
1221,vt4_Rantsila,2020/07/03,1,"16 HA + PK",1,5,2,,,2,,3,1,9,5,12,4,9,9,9,10,7,11,9,9,5,12,4
1221,vt4_Rantsila,2020/07/03,1,"17 HA + AV",2,1,,1,1,,1,1,,1,,3,3,4,2,9,4,3,4,4,7,3,,1
1221,vt4_Rantsila,2020/07/03,2,"11 HA-PA",21,12,11,13,11,26,32,44,80,133,154,172,224,233,268,266,243,188,142,130,89,55,45,20
1221,vt4_Rantsila,2020/07/03,2,"12 KAIP",,,,1,,2,1,1,2,3,2,4,2,5,8,3,3,3,1,2,2,2,2,
1221,vt4_Rantsila,2020/07/03,2,"13 Linja-autot",,,,,1,,1,,,,2,,4,1,,3,1,2,1,1,3,1,1,
1221,vt4_Rantsila,2020/07/03,2,"14 KAPP",,,1,1,1,1,,2,,4,2,7,7,4,2,1,1,6,6,3,2,2,,
1221,vt4_Rantsila,2020/07/03,2,"15 KATP",7,6,5,6,10,6,9,8,10,11,7,19,14,14,10,12,12,12,5,11,15,7,5,4
1221,vt4_Rantsila,2020/07/03,2,"16 HA + PK",,,1,,,1,2,4,4,7,11,21,14,14,24,11,20,13,24,8,12,9,9,1
1221,vt4_Rantsila,2020/07/03,2,"17 HA + AV",,,1,,1,1,,2,2,1,1,3,4,2,3,3,5,3,1,,2,2,,1
1221,vt4_Rantsila,2020/07/04,1,"11 HA-PA",41,38,30,23,21,20,26,38,88,113,167,216,202,283,224,237,242,183,174,144,93,77,64,49
1221,vt4_Rantsila,2020/07/04,1,"12 KAIP",1,,,,1,1,,,,1,4,5,4,6,3,1,3,3,3,5,1,,1,
1221,vt4_Rantsila,2020/07/04,1,"13 Linja-autot",,,,1,,,,1,,1,,,,,1,,,,,,,,,1
1221,vt4_Rantsila,2020/07/04,1,"14 KAPP",,,,,,2,,,2,1,2,5,1,2,3,1,2,1,1,2,5,,4,
1221,vt4_Rantsila,2020/07/04,1,"15 KATP",12,19,9,8,2,6,5,6,6,4,3,3,1,7,5,4,5,6,5,6,3,3,,1
1221,vt4_Rantsila,2020/07/04,1,"16 HA + PK",6,1,4,,2,,1,3,7,10,13,11,5,8,9,12,13,7,7,5,6,4,2,2
1221,vt4_Rantsila,2020/07/04,1,"17 HA + AV",2,3,1,,,,,,3,1,,4,6,5,3,8,8,6,2,3,6,6,2,2
1221,vt4_Rantsila,2020/07/04,2,"11 HA-PA",26,15,15,15,13,14,26,59,73,114,184,200,212,213,218,164,165,155,119,85,67,54,41,29
