"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1251,vt4_Oulu_Lintula,2020/07/01,1,"11 HA-PA",106,101,50,73,99,394,1175,1429,1071,977,908,1029,1140,1216,1345,1653,1691,1499,1182,944,945,687,429,237
1251,vt4_Oulu_Lintula,2020/07/01,1,"12 KAIP",4,7,9,13,13,14,45,46,49,51,48,38,53,63,44,41,43,28,17,18,15,10,11,8
1251,vt4_Oulu_Lintula,2020/07/01,1,"13 Linja-autot",1,1,,,1,5,5,4,,3,5,3,4,7,5,2,5,4,5,3,2,4,2,
1251,vt4_Oulu_Lintula,2020/07/01,1,"14 KAPP",7,3,4,1,7,7,12,16,8,13,11,14,20,13,14,7,12,7,3,9,7,5,3,2
1251,vt4_Oulu_Lintula,2020/07/01,1,"15 KATP",24,24,18,33,20,33,27,46,45,25,42,35,31,35,36,29,29,25,23,16,16,13,20,15
1251,vt4_Oulu_Lintula,2020/07/01,1,"16 HA + PK",2,2,1,1,2,4,12,29,30,41,34,40,46,42,48,46,50,61,43,52,32,25,8,7
1251,vt4_Oulu_Lintula,2020/07/01,1,"17 HA + AV",2,3,1,,2,3,9,11,7,15,15,9,9,6,13,10,8,14,4,5,7,4,1,3
1251,vt4_Oulu_Lintula,2020/07/01,2,"11 HA-PA",108,94,64,52,103,346,762,1026,815,851,979,1140,1215,1263,1521,2169,1953,1432,1164,1067,879,618,384,189
1251,vt4_Oulu_Lintula,2020/07/01,2,"12 KAIP",5,3,9,7,13,14,60,58,58,55,68,70,67,86,77,61,43,23,24,15,11,10,15,11
1251,vt4_Oulu_Lintula,2020/07/01,2,"13 Linja-autot",1,,1,1,,4,3,1,2,6,3,3,4,2,5,3,3,2,3,4,5,2,2,1
1251,vt4_Oulu_Lintula,2020/07/01,2,"14 KAPP",3,1,2,3,3,3,8,15,12,18,19,21,17,20,13,22,13,14,10,16,8,5,5,3
1251,vt4_Oulu_Lintula,2020/07/01,2,"15 KATP",8,13,12,9,11,15,21,24,36,35,34,38,30,35,40,44,34,31,38,31,28,22,21,11
1251,vt4_Oulu_Lintula,2020/07/01,2,"16 HA + PK",5,1,1,,,8,11,10,26,32,33,45,48,41,66,58,58,43,46,29,17,11,13,7
1251,vt4_Oulu_Lintula,2020/07/01,2,"17 HA + AV",2,,,,2,1,3,1,8,9,7,19,9,19,9,23,10,5,7,3,6,3,2,1
1251,vt4_Oulu_Lintula,2020/07/02,1,"11 HA-PA",206,126,89,74,119,336,1190,1480,1202,1035,1149,1336,1389,1597,1715,1741,1637,1502,1295,1006,890,730,519,331
1251,vt4_Oulu_Lintula,2020/07/02,1,"12 KAIP",11,10,4,13,10,21,42,38,50,51,58,54,51,49,44,31,21,22,22,15,10,7,10,3
