"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
127,kt45_Rusutjärvi,2020/07/01,1,"11 HA-PA",19,11,6,5,12,43,137,172,130,183,172,233,232,262,344,521,479,356,263,183,151,110,72,40
127,kt45_Rusutjärvi,2020/07/01,1,"12 KAIP",,1,1,,1,3,14,17,10,11,12,14,12,17,12,14,16,8,6,2,6,,,1
127,kt45_Rusutjärvi,2020/07/01,1,"13 Linja-autot",,,,,,,,,,,,,1,,,2,,,,,,,,
127,kt45_Rusutjärvi,2020/07/01,1,"14 KAPP",,1,2,1,,,4,2,6,4,6,4,5,1,7,1,1,5,3,3,,3,1,2
127,kt45_Rusutjärvi,2020/07/01,1,"15 KATP",7,7,1,4,3,6,15,17,12,17,10,14,13,25,20,16,15,11,5,10,9,5,2,4
127,kt45_Rusutjärvi,2020/07/01,1,"16 HA + PK",,,,,1,,3,3,5,5,6,4,5,11,9,6,8,7,5,2,5,2,,
127,kt45_Rusutjärvi,2020/07/01,1,"17 HA + AV",,,,,,1,,2,1,1,1,5,2,2,1,3,,,1,1,,,,1
127,kt45_Rusutjärvi,2020/07/01,2,"11 HA-PA",11,11,6,8,28,155,432,336,227,192,169,192,194,213,243,287,273,253,205,163,131,109,65,38
127,kt45_Rusutjärvi,2020/07/01,2,"12 KAIP",1,1,1,1,1,14,17,13,11,14,14,8,10,15,10,12,8,8,3,4,4,3,1,1
127,kt45_Rusutjärvi,2020/07/01,2,"14 KAPP",2,,1,1,,5,5,9,4,5,7,7,6,8,9,8,4,3,3,1,2,,,
127,kt45_Rusutjärvi,2020/07/01,2,"15 KATP",4,8,4,1,5,14,18,13,13,18,12,14,16,14,13,19,8,17,5,5,4,12,2,8
127,kt45_Rusutjärvi,2020/07/01,2,"16 HA + PK",,,,,1,2,3,4,3,1,2,5,6,2,6,7,6,9,11,4,1,1,1,2
127,kt45_Rusutjärvi,2020/07/01,2,"17 HA + AV",,,,,,,,2,2,2,2,2,1,,,1,,,,1,,,,
127,kt45_Rusutjärvi,2020/07/02,1,"11 HA-PA",26,6,3,6,14,37,129,159,150,177,193,229,245,284,352,533,485,394,296,219,171,118,66,46
127,kt45_Rusutjärvi,2020/07/02,1,"12 KAIP",1,2,1,,,6,11,20,11,18,18,16,9,12,9,16,17,9,3,5,3,1,2,2
127,kt45_Rusutjärvi,2020/07/02,1,"13 Linja-autot",,,,,,,1,,,,1,1,1,1,1,,2,1,1,,,,,
127,kt45_Rusutjärvi,2020/07/02,1,"14 KAPP",,,2,1,1,2,3,2,5,7,4,2,7,7,6,2,2,4,2,4,,3,2,
127,kt45_Rusutjärvi,2020/07/02,1,"15 KATP",6,2,5,3,4,6,13,8,17,15,14,14,16,22,22,14,19,14,7,12,6,5,3,2
127,kt45_Rusutjärvi,2020/07/02,1,"16 HA + PK",,,,,,,3,3,3,5,3,3,5,8,8,10,9,5,6,5,5,,,1
127,kt45_Rusutjärvi,2020/07/02,1,"17 HA + AV",,,,,1,,,,2,,1,4,3,8,1,3,1,5,3,1,2,1,,
127,kt45_Rusutjärvi,2020/07/02,2,"11 HA-PA",10,10,10,16,27,165,418,342,214,198,177,199,197,217,264,283,293,246,238,216,148,110,65,37
127,kt45_Rusutjärvi,2020/07/02,2,"12 KAIP",,,2,3,3,11,18,14,18,12,11,14,10,19,15,12,8,10,6,2,1,5,3,3
127,kt45_Rusutjärvi,2020/07/02,2,"13 Linja-autot",,,,,,,1,,,,,,,,,,,,,,,,,
127,kt45_Rusutjärvi,2020/07/02,2,"14 KAPP",1,,,,1,2,4,5,2,4,8,3,2,6,7,7,9,2,2,2,3,,,
127,kt45_Rusutjärvi,2020/07/02,2,"15 KATP",4,3,2,4,5,13,18,16,22,18,14,16,17,10,14,22,12,9,7,5,7,7,6,5
127,kt45_Rusutjärvi,2020/07/02,2,"16 HA + PK",,,1,,,2,3,1,4,4,5,4,7,5,3,7,12,6,15,4,2,2,1,1
127,kt45_Rusutjärvi,2020/07/02,2,"17 HA + AV",,,,,,,2,4,,1,1,,,3,1,4,1,1,2,,1,1,,1
127,kt45_Rusutjärvi,2020/07/03,1,"11 HA-PA",20,5,6,8,11,52,121,156,137,183,253,245,302,352,439,526,488,356,276,194,178,114,93,40
127,kt45_Rusutjärvi,2020/07/03,1,"12 KAIP",1,1,2,1,2,6,8,13,14,15,16,8,12,20,9,11,5,2,4,3,2,1,,
127,kt45_Rusutjärvi,2020/07/03,1,"13 Linja-autot",,,,1,,1,,,1,,,,,,3,1,,,,1,,,,
127,kt45_Rusutjärvi,2020/07/03,1,"14 KAPP",1,,3,3,2,2,3,8,6,8,6,7,4,10,4,4,,,1,3,1,2,1,1
127,kt45_Rusutjärvi,2020/07/03,1,"15 KATP",7,5,4,4,3,8,10,20,16,13,21,22,17,15,18,17,6,9,8,4,5,1,3,3
127,kt45_Rusutjärvi,2020/07/03,1,"16 HA + PK",1,,,,,,2,5,6,6,5,4,8,4,9,12,7,15,7,3,5,4,,
127,kt45_Rusutjärvi,2020/07/03,1,"17 HA + AV",,,,,,1,1,1,4,4,3,2,2,2,5,1,4,4,1,,2,,,1
127,kt45_Rusutjärvi,2020/07/03,2,"11 HA-PA",11,10,13,10,31,165,370,316,203,172,198,192,227,252,249,270,309,257,195,168,137,125,79,52
127,kt45_Rusutjärvi,2020/07/03,2,"12 KAIP",1,1,2,3,4,9,23,13,12,14,18,21,13,8,9,11,4,5,4,3,4,2,,2
127,kt45_Rusutjärvi,2020/07/03,2,"14 KAPP",2,,3,1,2,3,4,4,7,7,4,7,5,3,4,6,4,4,1,3,,,,1
127,kt45_Rusutjärvi,2020/07/03,2,"15 KATP",6,3,5,2,6,11,20,17,13,24,14,13,18,13,11,12,8,6,2,6,3,3,5,3
127,kt45_Rusutjärvi,2020/07/03,2,"16 HA + PK",,2,,,,1,4,1,4,3,4,3,5,3,8,4,10,16,10,1,7,2,1,
127,kt45_Rusutjärvi,2020/07/03,2,"17 HA + AV",,,,1,,1,4,2,1,,2,1,,2,3,2,1,3,1,,,1,1,
127,kt45_Rusutjärvi,2020/07/04,1,"11 HA-PA",35,17,21,9,15,18,41,73,107,170,229,249,255,259,254,245,202,208,177,126,93,83,59,31
127,kt45_Rusutjärvi,2020/07/04,1,"12 KAIP",3,1,,1,3,,,,,3,,2,3,,2,,1,,,2,,1,,
127,kt45_Rusutjärvi,2020/07/04,1,"13 Linja-autot",,,1,,,1,,,,2,1,,1,,1,,,,,,,,,
127,kt45_Rusutjärvi,2020/07/04,1,"14 KAPP",,,,1,1,,,,2,1,,,,,1,,,1,,,,,,
127,kt45_Rusutjärvi,2020/07/04,1,"15 KATP",6,3,5,,1,1,1,2,1,2,5,2,2,5,6,6,1,3,3,1,1,,,1
127,kt45_Rusutjärvi,2020/07/04,1,"16 HA + PK",,,,,,,2,1,1,4,3,8,1,9,5,2,6,4,2,2,2,3,,
127,kt45_Rusutjärvi,2020/07/04,1,"17 HA + AV",,,,,,,,1,2,,1,,4,,1,,,1,,,,,2,
127,kt45_Rusutjärvi,2020/07/04,2,"11 HA-PA",34,20,22,14,13,27,45,41,69,138,173,200,273,281,253,270,239,167,187,155,107,114,58,51
127,kt45_Rusutjärvi,2020/07/04,2,"12 KAIP",,,1,,,3,2,2,2,2,1,1,,5,1,2,1,2,2,1,,1,,
127,kt45_Rusutjärvi,2020/07/04,2,"14 KAPP",1,,1,,,,,1,,,,,1,,2,,1,,,,,1,1,
127,kt45_Rusutjärvi,2020/07/04,2,"15 KATP",2,4,1,3,2,4,5,2,4,3,5,1,1,3,1,1,,1,3,1,,,,
127,kt45_Rusutjärvi,2020/07/04,2,"16 HA + PK",,1,,,,1,,1,4,5,2,6,7,1,4,8,4,5,2,6,,1,,1
127,kt45_Rusutjärvi,2020/07/04,2,"17 HA + AV",,,,,,,,,,,,,1,1,2,,2,,1,,,,,
127,kt45_Rusutjärvi,2020/07/05,1,"11 HA-PA",30,25,21,11,13,11,27,48,74,135,180,236,243,254,244,258,185,193,206,147,84,65,36,29
127,kt45_Rusutjärvi,2020/07/05,1,"12 KAIP",2,,,,,,,,2,1,,1,1,,1,,2,1,2,,1,,2,1
127,kt45_Rusutjärvi,2020/07/05,1,"13 Linja-autot",,,,,,,,,,,,,,1,,,1,,,,,,,
127,kt45_Rusutjärvi,2020/07/05,1,"14 KAPP",,,,,,,,,,,2,,1,1,2,,,1,,2,1,2,,
127,kt45_Rusutjärvi,2020/07/05,1,"15 KATP",,,,,1,,,,,,2,2,4,3,3,4,5,4,4,2,1,1,3,4
127,kt45_Rusutjärvi,2020/07/05,1,"16 HA + PK",,,,,,,1,,2,,5,4,7,6,4,5,4,5,4,3,3,,1,
127,kt45_Rusutjärvi,2020/07/05,1,"17 HA + AV",,,,,,,,,,1,2,,,1,,,1,1,1,,1,1,1,
127,kt45_Rusutjärvi,2020/07/05,2,"11 HA-PA",24,21,24,7,13,19,42,34,41,78,103,176,239,284,302,296,277,308,312,255,186,128,75,26
127,kt45_Rusutjärvi,2020/07/05,2,"12 KAIP",1,,,,,,1,,1,1,,,3,2,3,3,4,5,2,2,3,2,1,
127,kt45_Rusutjärvi,2020/07/05,2,"14 KAPP",,,,,,,,,1,,1,1,1,1,,1,,1,1,1,1,,1,
127,kt45_Rusutjärvi,2020/07/05,2,"15 KATP",,,2,,,,1,,2,3,1,6,3,2,3,8,1,4,3,3,5,6,2,3
127,kt45_Rusutjärvi,2020/07/05,2,"16 HA + PK",1,,,,,,,,1,2,2,2,3,4,6,3,13,3,6,11,5,2,3,
127,kt45_Rusutjärvi,2020/07/05,2,"17 HA + AV",,,,,,,,,,,,,1,1,,,,1,2,2,2,1,1,
127,kt45_Rusutjärvi,2020/07/06,1,"11 HA-PA",9,2,5,6,16,47,136,121,137,182,196,227,234,275,318,513,471,270,229,143,114,101,68,26
