"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1401,vt4_Tervola,2020/07/01,1,"11 HA-PA",11,11,5,1,5,9,31,43,34,49,65,87,84,70,101,124,103,95,92,65,52,42,24,9
1401,vt4_Tervola,2020/07/01,1,"12 KAIP",,,,1,,5,2,4,3,5,3,3,3,6,1,3,3,3,1,1,2,2,2,1
1401,vt4_Tervola,2020/07/01,1,"13 Linja-autot",1,,,,,,,,2,,,,,,,2,1,,2,,,,,
1401,vt4_Tervola,2020/07/01,1,"14 KAPP",,1,,1,1,,1,3,3,3,1,3,1,3,,4,2,1,2,3,2,1,,1
1401,vt4_Tervola,2020/07/01,1,"15 KATP",6,6,6,14,10,13,10,11,12,6,19,10,10,8,13,13,12,9,9,2,5,8,10,5
1401,vt4_Tervola,2020/07/01,1,"16 HA + PK",1,,1,,1,1,1,3,2,6,5,10,7,9,6,8,8,10,4,2,1,1,2,1
1401,vt4_Tervola,2020/07/01,1,"17 HA + AV",,,,,,1,,1,,,,,3,1,1,,3,1,5,1,2,1,,1
1401,vt4_Tervola,2020/07/01,2,"11 HA-PA",8,4,1,4,15,30,39,39,56,82,88,86,98,80,101,88,97,81,70,51,48,34,16,9
1401,vt4_Tervola,2020/07/01,2,"12 KAIP",,,,1,,,4,1,2,2,,2,2,1,7,3,7,4,1,,2,1,,
1401,vt4_Tervola,2020/07/01,2,"13 Linja-autot",,,,,,1,,,,,,1,1,,,1,,1,,,,1,,
1401,vt4_Tervola,2020/07/01,2,"14 KAPP",,1,1,2,1,,,,3,3,3,3,4,1,4,2,7,2,3,2,1,2,,
1401,vt4_Tervola,2020/07/01,2,"15 KATP",11,3,4,4,2,3,5,4,15,22,12,9,15,21,23,21,12,6,12,8,12,5,3,2
1401,vt4_Tervola,2020/07/01,2,"16 HA + PK",,,,,1,,1,2,3,4,7,13,5,13,7,10,6,7,6,1,3,2,2,
