"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1447,vt21_Kilpisjärvi_T,2020/07/01,1,"11 HA-PA",5,1,1,1,,1,2,4,9,30,30,33,33,53,63,50,39,29,30,16,21,9,4,3
1447,vt21_Kilpisjärvi_T,2020/07/01,1,"12 KAIP",,,,,,,,,,1,1,,,1,1,1,1,,1,,,,,
1447,vt21_Kilpisjärvi_T,2020/07/01,1,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,1,,,,,1
1447,vt21_Kilpisjärvi_T,2020/07/01,1,"14 KAPP",2,2,1,1,5,1,3,1,3,1,4,,3,1,,,4,3,3,1,2,2,,3
1447,vt21_Kilpisjärvi_T,2020/07/01,1,"15 KATP",1,,,,,,1,,,1,,1,1,,1,1,2,,,2,,,,
1447,vt21_Kilpisjärvi_T,2020/07/01,1,"16 HA + PK",1,,,,,,,,,,,,,2,2,2,,1,1,1,1,1,,
1447,vt21_Kilpisjärvi_T,2020/07/01,1,"17 HA + AV",,,,,,,,,,,,1,1,1,,1,1,,,2,1,,1,
1447,vt21_Kilpisjärvi_T,2020/07/01,2,"11 HA-PA",2,4,1,,1,1,,,9,6,11,39,60,56,52,62,29,34,26,17,18,11,7,12
1447,vt21_Kilpisjärvi_T,2020/07/01,2,"12 KAIP",,,,,,,,,,,,1,2,,4,2,,,1,2,,,,
1447,vt21_Kilpisjärvi_T,2020/07/01,2,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,,,
1447,vt21_Kilpisjärvi_T,2020/07/01,2,"14 KAPP",1,,1,,,,,1,,,,2,2,,3,6,6,4,6,5,2,5,4,
1447,vt21_Kilpisjärvi_T,2020/07/01,2,"15 KATP",,,,,,,,,,,1,1,1,,1,,,3,,6,1,,1,
1447,vt21_Kilpisjärvi_T,2020/07/01,2,"16 HA + PK",,,,,,,,,,1,1,2,,1,2,1,,2,1,1,,,,1
1447,vt21_Kilpisjärvi_T,2020/07/01,2,"17 HA + AV",,,,,,,,,,,,,,,1,,,1,,,,,1,
1447,vt21_Kilpisjärvi_T,2020/07/02,1,"11 HA-PA",3,3,3,,1,1,,2,3,21,21,36,31,43,37,55,40,52,30,29,21,11,3,6
1447,vt21_Kilpisjärvi_T,2020/07/02,1,"12 KAIP",,,,,,,,,,,,,1,2,,1,3,,1,1,2,,,
1447,vt21_Kilpisjärvi_T,2020/07/02,1,"13 Linja-autot",,1,,1,,,,,,,,1,,,1,,,,1,,,,,
1447,vt21_Kilpisjärvi_T,2020/07/02,1,"14 KAPP",2,4,1,,3,1,2,2,1,2,2,,5,,5,1,1,5,2,,,3,1,2
1447,vt21_Kilpisjärvi_T,2020/07/02,1,"15 KATP",,,1,,,2,,2,,,,,,,,,2,1,,,,,,
1447,vt21_Kilpisjärvi_T,2020/07/02,1,"16 HA + PK",,,1,,,,,,,,,,1,,1,1,1,,1,1,1,3,1,
1447,vt21_Kilpisjärvi_T,2020/07/02,1,"17 HA + AV",,,,,,,,,,,1,1,1,,2,3,,,1,,2,1,,
1447,vt21_Kilpisjärvi_T,2020/07/02,2,"11 HA-PA",3,2,2,1,,1,,2,2,11,10,25,67,43,51,30,53,37,28,31,16,10,5,7
1447,vt21_Kilpisjärvi_T,2020/07/02,2,"12 KAIP",,,,,,,,,,,,,1,1,2,2,,,1,,1,,,1
1447,vt21_Kilpisjärvi_T,2020/07/02,2,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,,,
1447,vt21_Kilpisjärvi_T,2020/07/02,2,"14 KAPP",1,,,,,,1,,,,,2,4,4,2,1,4,7,3,3,6,2,3,
1447,vt21_Kilpisjärvi_T,2020/07/02,2,"15 KATP",,,,,1,,,,,,,1,,,,,1,,1,,4,1,,
1447,vt21_Kilpisjärvi_T,2020/07/02,2,"16 HA + PK",,,,,,,,,,,1,,,2,2,1,1,2,,1,,1,1,
1447,vt21_Kilpisjärvi_T,2020/07/02,2,"17 HA + AV",,,,,,,,,,,1,,2,1,1,,1,,1,,2,,,
1447,vt21_Kilpisjärvi_T,2020/07/03,1,"11 HA-PA",3,,6,1,1,1,1,5,8,20,27,24,39,50,54,42,48,49,48,45,27,23,12,7
1447,vt21_Kilpisjärvi_T,2020/07/03,1,"12 KAIP",,,,,,,,,,,1,2,1,,1,2,,1,1,2,,2,,
1447,vt21_Kilpisjärvi_T,2020/07/03,1,"13 Linja-autot",,,,,,,,,,,1,,,,1,,,,1,,,,,
1447,vt21_Kilpisjärvi_T,2020/07/03,1,"14 KAPP",,,2,1,1,2,3,2,4,,5,2,1,2,1,2,,1,2,,1,,,1
1447,vt21_Kilpisjärvi_T,2020/07/03,1,"15 KATP",,1,1,,,,1,,,,1,,,,,,1,,,,,,,
1447,vt21_Kilpisjärvi_T,2020/07/03,1,"16 HA + PK",,,1,,,,,,1,1,2,2,1,1,3,,2,,,1,1,1,,1
1447,vt21_Kilpisjärvi_T,2020/07/03,1,"17 HA + AV",1,,,,,,,,,,,,1,,,2,2,3,,,2,,,
1447,vt21_Kilpisjärvi_T,2020/07/03,2,"11 HA-PA",3,2,1,1,,3,1,3,4,18,30,34,41,48,45,48,39,54,58,44,26,18,16,8
1447,vt21_Kilpisjärvi_T,2020/07/03,2,"12 KAIP",,,,,,,,,,,,1,1,2,,,1,1,2,,1,,,1
1447,vt21_Kilpisjärvi_T,2020/07/03,2,"13 Linja-autot",,,,,,,,,,,1,,,1,,,,,,,,,,
1447,vt21_Kilpisjärvi_T,2020/07/03,2,"14 KAPP",1,,,,,,,,,,2,,2,5,4,1,3,1,10,5,2,2,,1
1447,vt21_Kilpisjärvi_T,2020/07/03,2,"15 KATP",,,,,,,,,,,,,2,,,1,1,,1,,1,1,,
1447,vt21_Kilpisjärvi_T,2020/07/03,2,"16 HA + PK",,,,,,,,,,,,1,1,2,1,1,3,1,2,2,,,,
1447,vt21_Kilpisjärvi_T,2020/07/03,2,"17 HA + AV",,,,,,,,,,,1,3,2,,1,1,1,2,2,2,1,,1,
1447,vt21_Kilpisjärvi_T,2020/07/04,1,"11 HA-PA",1,3,5,4,1,,,4,4,27,42,47,43,67,82,117,86,58,50,31,22,16,5,8
1447,vt21_Kilpisjärvi_T,2020/07/04,1,"12 KAIP",,,,,,,,,,,,,1,2,1,2,1,,2,,1,,,
1447,vt21_Kilpisjärvi_T,2020/07/04,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,1,,,,,
