"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
207,vt8_Pori,2020/07/01,1,"11 HA-PA",32,21,14,11,17,71,209,175,227,265,337,332,418,434,523,697,671,451,465,358,253,178,115,51
207,vt8_Pori,2020/07/01,1,"12 KAIP",2,,1,2,2,8,6,16,21,19,13,13,22,11,14,22,14,14,6,5,2,2,2,
207,vt8_Pori,2020/07/01,1,"13 Linja-autot",,,,,,2,2,,1,,5,,,2,,,2,1,,3,,,,1
207,vt8_Pori,2020/07/01,1,"14 KAPP",3,,,,,2,3,6,1,7,6,7,3,3,5,4,4,9,3,6,1,2,1,1
207,vt8_Pori,2020/07/01,1,"15 KATP",6,3,1,4,10,8,12,18,13,29,31,19,20,19,24,29,15,16,23,20,16,16,16,17
207,vt8_Pori,2020/07/01,1,"16 HA + PK",,,,,,2,5,7,9,14,11,17,12,23,26,25,27,29,15,15,12,7,7,2
207,vt8_Pori,2020/07/01,1,"17 HA + AV",,,,,,1,1,,4,2,5,10,6,8,7,5,4,5,6,2,2,,2,1
207,vt8_Pori,2020/07/01,2,"11 HA-PA",37,16,15,20,33,148,361,351,328,341,387,383,412,428,448,470,484,380,320,269,240,183,101,59
207,vt8_Pori,2020/07/01,2,"12 KAIP",1,1,1,3,1,8,13,12,8,16,12,16,15,12,17,21,18,11,8,4,4,2,,5
207,vt8_Pori,2020/07/01,2,"13 Linja-autot",,,,,,,,2,,2,1,1,,2,1,2,2,,1,1,1,1,,
207,vt8_Pori,2020/07/01,2,"14 KAPP",,,,1,,,3,,2,4,12,6,5,7,7,5,7,9,5,2,1,,,
207,vt8_Pori,2020/07/01,2,"15 KATP",1,4,6,4,7,8,14,11,26,19,20,21,24,16,19,25,31,24,24,25,20,11,6,2
207,vt8_Pori,2020/07/01,2,"16 HA + PK",3,,,,2,3,9,13,10,16,19,29,22,20,22,26,27,19,16,10,10,9,5,4
207,vt8_Pori,2020/07/01,2,"17 HA + AV",,1,1,,1,1,2,3,2,2,5,4,5,6,6,5,5,1,4,2,1,2,1,
207,vt8_Pori,2020/07/02,1,"11 HA-PA",41,25,16,10,11,64,205,213,261,323,413,438,458,489,516,689,703,508,478,354,261,151,130,57
207,vt8_Pori,2020/07/02,1,"12 KAIP",,1,,2,1,9,14,11,10,15,17,19,16,20,14,10,12,10,6,5,1,2,,
207,vt8_Pori,2020/07/02,1,"13 Linja-autot",,,,,,,3,,2,1,3,2,2,1,1,1,2,,1,1,,,,
207,vt8_Pori,2020/07/02,1,"14 KAPP",2,,,1,,2,1,9,9,8,8,8,5,4,6,7,2,6,9,2,1,,2,1
207,vt8_Pori,2020/07/02,1,"15 KATP",5,2,1,,3,7,16,19,20,21,22,29,21,26,19,28,15,23,17,13,18,5,6,10
207,vt8_Pori,2020/07/02,1,"16 HA + PK",1,1,,,,4,1,14,10,15,23,29,24,14,24,29,30,21,13,14,16,5,1,4
207,vt8_Pori,2020/07/02,1,"17 HA + AV",,,,1,,,1,4,5,,2,8,9,6,5,2,6,4,3,1,1,5,,
207,vt8_Pori,2020/07/02,2,"11 HA-PA",35,26,15,16,37,157,335,368,297,361,383,393,439,439,444,475,527,480,348,286,275,192,105,63
207,vt8_Pori,2020/07/02,2,"12 KAIP",,,2,2,2,5,9,7,9,17,13,10,13,12,29,21,16,7,8,5,3,2,3,
207,vt8_Pori,2020/07/02,2,"13 Linja-autot",,,,,,,,1,1,1,1,2,,2,1,2,3,,1,,2,,1,
207,vt8_Pori,2020/07/02,2,"14 KAPP",,,,,1,,4,4,2,6,11,7,11,8,9,5,7,5,3,2,3,1,1,1
207,vt8_Pori,2020/07/02,2,"15 KATP",3,5,6,5,2,8,13,11,38,16,23,25,26,24,25,24,22,20,23,27,12,9,7,2
207,vt8_Pori,2020/07/02,2,"16 HA + PK",,,,1,3,2,16,14,20,15,21,24,26,23,26,25,27,27,28,8,8,4,11,6
207,vt8_Pori,2020/07/02,2,"17 HA + AV",1,,,,,2,2,,2,1,1,3,13,4,3,6,4,5,5,2,,,1,
207,vt8_Pori,2020/07/03,1,"11 HA-PA",23,14,14,11,21,59,198,191,218,310,382,472,531,583,668,751,805,695,555,389,328,243,158,63
207,vt8_Pori,2020/07/03,1,"12 KAIP",,,,,2,4,17,20,19,16,14,12,23,24,12,11,12,8,9,8,3,7,3,
207,vt8_Pori,2020/07/03,1,"13 Linja-autot",1,,,,,1,,2,,2,1,1,2,1,1,,1,1,3,2,1,,,
207,vt8_Pori,2020/07/03,1,"14 KAPP",1,,,,,3,3,3,3,3,4,4,6,4,6,4,4,2,,2,,3,1,1
207,vt8_Pori,2020/07/03,1,"15 KATP",6,5,6,3,4,12,13,17,27,19,22,26,23,20,20,16,13,8,17,13,12,11,5,8
207,vt8_Pori,2020/07/03,1,"16 HA + PK",,1,,1,,3,4,2,12,13,24,23,32,24,23,39,39,40,28,16,13,25,7,3
207,vt8_Pori,2020/07/03,1,"17 HA + AV",,,,1,,,1,2,4,6,8,6,7,7,4,7,5,6,8,3,5,4,,1
207,vt8_Pori,2020/07/03,2,"11 HA-PA",34,21,12,24,33,157,315,337,335,381,391,457,462,473,533,582,496,446,385,335,279,213,157,84
207,vt8_Pori,2020/07/03,2,"12 KAIP",,1,2,3,1,7,12,12,13,17,19,20,11,27,17,20,5,12,11,8,1,3,5,
207,vt8_Pori,2020/07/03,2,"13 Linja-autot",,,,,,,,3,1,1,3,1,,2,,2,2,1,1,2,,,,1
207,vt8_Pori,2020/07/03,2,"14 KAPP",,,,1,1,,5,,1,8,5,5,6,4,5,9,3,1,3,,3,1,,1
207,vt8_Pori,2020/07/03,2,"15 KATP",3,4,6,3,8,7,17,11,23,14,27,24,21,17,29,21,16,16,10,13,10,5,5,3
207,vt8_Pori,2020/07/03,2,"16 HA + PK",,2,1,,1,6,11,16,10,18,30,21,31,18,29,35,29,32,20,23,8,11,4,2
207,vt8_Pori,2020/07/03,2,"17 HA + AV",,,,,,,,4,4,4,3,3,8,8,3,5,8,1,3,2,4,2,,
