"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,1,"11 HA-PA",58,44,23,23,36,221,904,1139,887,789,824,939,962,996,973,1185,1193,1089,803,667,560,372,198,135
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,1,"12 KAIP",2,1,2,,4,5,18,21,21,22,20,20,16,20,20,13,11,10,7,9,2,2,1,3
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,1,"13 Linja-autot",,1,,,1,,3,4,1,2,,2,4,2,3,1,2,1,1,1,2,,2,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,1,"14 KAPP",,,,,,,2,4,2,5,4,4,1,3,2,5,5,,1,1,1,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,1,"15 KATP",2,4,,2,,1,1,4,5,3,1,1,3,3,3,3,2,4,2,1,2,1,1,
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,1,"16 HA + PK",1,,,,1,1,7,4,12,15,11,11,5,12,24,18,22,19,7,8,6,3,3,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,1,"17 HA + AV",,,,,,,,1,1,3,2,1,5,3,1,5,4,1,,,1,,1,
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,2,"11 HA-PA",51,39,25,19,34,157,433,685,601,536,671,850,904,1003,1207,1784,1629,1209,971,905,676,391,221,102
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,2,"12 KAIP",3,1,1,3,2,6,17,18,16,17,16,20,25,17,17,21,17,16,15,9,4,6,2,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,2,"13 Linja-autot",1,,1,,3,,2,3,2,1,,2,4,3,3,3,5,2,3,1,,2,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,2,"14 KAPP",,1,,,2,1,3,6,2,4,3,6,1,2,,8,1,,1,2,2,1,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,2,"15 KATP",1,,,,1,1,5,4,1,2,1,1,7,2,3,2,1,2,2,1,1,,1,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,2,"16 HA + PK",1,,,,,2,6,10,14,15,18,13,22,19,24,16,24,25,15,14,9,3,4,3
237,vt1_Kaarina_Kurkela_länsi,2020/07/01,2,"17 HA + AV",,,1,,,1,4,2,1,,1,3,2,1,1,2,1,,,,,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,1,"11 HA-PA",77,48,24,18,46,205,900,1117,837,741,837,899,930,950,976,1174,1302,1141,797,730,503,384,233,116
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,1,"12 KAIP",3,1,,1,3,10,19,21,25,20,19,24,21,21,22,12,13,12,3,5,2,1,2,5
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,1,"13 Linja-autot",,1,,,1,,4,2,1,2,,4,7,3,4,2,2,1,1,2,3,,2,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,1,"14 KAPP",,,,,,2,8,,5,2,3,2,1,5,6,2,3,3,2,3,1,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,1,"15 KATP",2,1,,2,1,1,5,3,2,1,4,1,4,1,2,1,3,3,3,,1,1,2,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,1,"16 HA + PK",1,1,1,,,1,4,7,15,15,19,20,18,15,14,15,17,16,10,6,2,5,2,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,1,"17 HA + AV",,,,,,1,1,2,1,2,3,1,2,5,,3,1,2,2,1,1,,1,
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,2,"11 HA-PA",77,34,34,14,35,152,408,671,555,589,721,856,927,993,1175,1746,1595,1211,991,859,689,366,222,105
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,2,"12 KAIP",3,1,2,1,2,6,21,21,19,18,22,22,16,19,21,19,16,8,8,4,7,9,2,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,2,"13 Linja-autot",1,,1,,1,1,1,1,2,1,,5,4,3,3,3,3,2,2,1,1,1,,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,2,"14 KAPP",1,,,,,1,1,3,4,6,6,6,7,6,5,7,4,1,1,,1,2,1,
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,2,"15 KATP",,,1,1,,1,1,5,2,4,2,6,5,5,5,2,3,,2,2,2,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,2,"16 HA + PK",1,,,,,2,12,13,11,19,12,22,24,12,17,22,18,19,18,11,10,6,4,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/02,2,"17 HA + AV",,,,,,,,1,5,2,6,2,2,3,2,4,,1,1,,1,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,1,"11 HA-PA",71,41,36,30,38,202,843,1000,782,742,837,1011,1014,961,1136,1189,1304,1123,966,754,603,442,270,167
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,1,"12 KAIP",3,1,2,,2,9,15,25,22,24,21,16,27,22,19,16,12,4,5,3,2,3,2,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,1,"13 Linja-autot",,,,,1,,4,3,1,2,1,2,4,4,2,3,2,1,2,2,2,1,1,
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,1,"14 KAPP",,,,,,,1,3,,5,3,2,5,3,4,2,3,2,6,1,1,1,,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,1,"15 KATP",2,2,2,2,,,5,1,1,8,3,5,6,2,1,5,5,1,4,,1,,,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,1,"16 HA + PK",1,,,,1,2,11,6,12,9,14,13,15,15,15,21,16,16,7,8,3,1,1,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,1,"17 HA + AV",,,,,,,,3,1,1,1,2,2,1,2,5,5,1,3,2,,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,2,"11 HA-PA",63,32,33,32,42,146,390,641,551,611,755,938,1018,1176,1353,1754,1453,1200,1043,817,609,372,224,170
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,2,"12 KAIP",2,,1,2,1,6,15,18,23,25,26,11,30,26,20,23,10,11,5,7,3,5,3,
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,2,"13 Linja-autot",,,1,,2,1,3,1,2,5,1,2,4,2,3,4,4,4,4,2,1,2,1,
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,2,"14 KAPP",,,,1,,1,2,4,7,4,4,6,4,,5,3,,1,,1,1,1,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,2,"15 KATP",1,,,5,3,2,2,3,1,7,3,4,3,5,2,,4,1,2,1,1,1,,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,2,"16 HA + PK",1,,,,1,1,1,14,9,17,17,24,25,19,17,19,20,22,14,16,8,3,3,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/03,2,"17 HA + AV",,,,,,,1,2,1,2,4,2,3,4,5,3,,1,2,,1,1,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,1,"11 HA-PA",131,85,71,48,38,56,200,241,203,444,683,913,1055,1050,998,924,795,717,605,513,433,292,210,163
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,1,"12 KAIP",1,,,,,1,3,4,2,4,3,5,9,4,4,4,1,,4,2,1,1,,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,1,"13 Linja-autot",,2,,,1,,,1,1,1,2,3,1,2,2,2,2,1,1,2,2,,1,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,1,"14 KAPP",,,,,,1,,1,,,,1,2,,,2,,1,,,,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,1,"15 KATP",1,,1,,1,1,,,,,,,,2,,1,,,1,,,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,1,"16 HA + PK",1,,,,,,,4,3,5,10,23,10,15,9,7,11,12,7,3,2,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,1,"17 HA + AV",,,,,,1,,,,,1,1,2,1,1,,2,2,,,,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,2,"11 HA-PA",124,140,99,42,35,50,97,246,290,450,609,827,921,888,990,1028,860,783,626,532,452,266,193,142
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,2,"12 KAIP",3,,1,,2,1,2,2,5,3,4,10,3,5,2,10,4,5,4,5,4,2,2,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,2,"13 Linja-autot",1,,1,,1,,1,,2,,,1,3,,3,2,3,2,3,1,1,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,2,"14 KAPP",,1,,,1,,,,1,1,,1,,,1,,1,1,,,,1,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,2,"15 KATP",,1,,1,1,1,,1,1,4,2,,4,1,3,3,3,3,1,1,2,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,2,"16 HA + PK",1,1,1,,,,1,2,3,11,14,17,15,22,11,13,11,11,5,7,3,2,2,
237,vt1_Kaarina_Kurkela_länsi,2020/07/04,2,"17 HA + AV",,,,,,,,,,1,,2,4,,,5,1,2,,1,,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,1,"11 HA-PA",123,107,82,60,25,37,155,143,119,236,425,588,776,891,898,917,953,930,855,726,500,380,195,100
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,1,"12 KAIP",2,,,,,,,,1,2,2,3,3,,3,2,3,3,,3,3,1,,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,1,"13 Linja-autot",,1,,,,,1,,1,,,2,1,2,4,1,2,2,2,1,3,1,2,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,1,"14 KAPP",,,,1,,,,1,,,,,,,,1,1,1,,1,,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,1,"15 KATP",,,,,,,,,,2,,,1,,1,1,,,1,2,1,2,1,
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,1,"16 HA + PK",1,,,,,,,3,1,4,7,8,8,8,11,9,7,14,9,3,7,2,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,1,"17 HA + AV",,,,,,,,,,,,,,2,,1,2,2,2,,2,,,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,2,"11 HA-PA",120,113,88,66,32,33,77,170,178,330,485,728,858,897,959,1011,1007,886,710,622,542,270,133,70
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,2,"12 KAIP",1,,1,,,,,2,,2,3,3,4,4,3,4,1,1,6,3,2,1,2,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,2,"13 Linja-autot",,,1,,,,1,,,,,1,3,,4,1,2,2,3,2,2,2,,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,2,"14 KAPP",,,,,1,,1,2,1,,,,2,1,,,3,1,,,3,1,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,2,"15 KATP",,1,,,,,,1,,1,,2,2,,1,,1,1,3,2,3,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,2,"16 HA + PK",,,,1,,,,3,1,7,11,13,7,7,11,12,16,17,8,9,12,3,,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/05,2,"17 HA + AV",1,,,,,,,1,,1,2,,2,,,1,1,1,1,2,1,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,1,"11 HA-PA",39,30,16,22,37,186,829,1048,785,757,859,963,1011,964,1005,1099,1069,924,772,657,490,348,236,120
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,1,"12 KAIP",1,1,1,,2,8,13,18,21,25,22,24,21,20,17,9,12,7,7,5,7,1,1,4
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,1,"13 Linja-autot",1,1,,,2,,5,3,1,1,2,2,4,3,7,6,5,1,1,2,2,1,2,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,1,"14 KAPP",,,,,,2,3,3,2,5,1,5,3,3,5,5,5,1,1,1,2,1,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,1,"15 KATP",,,,1,,,6,3,5,2,5,1,5,2,5,2,3,4,2,,,,1,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,1,"16 HA + PK",,2,,,,2,7,7,11,9,16,15,17,13,13,21,16,19,14,6,5,2,,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,1,"17 HA + AV",,,,,,,2,5,1,2,1,4,5,5,2,4,2,,2,1,1,2,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,2,"11 HA-PA",50,27,20,17,53,159,426,601,588,575,763,809,925,951,1101,1600,1437,1061,883,785,587,295,155,95
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,2,"12 KAIP",,2,1,1,3,9,13,26,24,14,24,19,15,23,15,27,12,12,5,3,5,3,,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,2,"13 Linja-autot",1,,1,,2,,2,1,1,,1,3,3,2,3,3,3,4,4,3,,3,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,2,"14 KAPP",,,,,2,,4,2,9,4,3,2,5,2,4,3,3,,2,1,,,,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,2,"15 KATP",1,,,1,1,1,4,8,7,4,1,4,1,7,3,4,4,3,2,2,1,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,2,"16 HA + PK",1,1,,,1,2,4,11,10,16,21,15,13,24,20,22,18,11,10,5,17,5,7,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/06,2,"17 HA + AV",,,,,1,,,,4,2,1,4,2,3,3,3,4,,,2,1,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,1,"11 HA-PA",55,33,16,23,29,184,831,1001,726,731,831,952,999,969,991,1098,1220,937,805,617,474,326,207,112
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,1,"12 KAIP",2,1,3,,1,8,15,26,17,16,24,16,22,20,21,11,18,6,6,7,4,4,1,4
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,1,"13 Linja-autot",,1,,,1,,3,3,1,1,,2,2,3,4,3,2,1,1,2,2,,2,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,1,"14 KAPP",,,,,,3,1,5,,1,5,2,3,4,5,1,,,,1,,1,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,1,"15 KATP",3,1,1,1,,1,3,4,3,2,3,6,1,4,,4,2,2,3,1,1,,1,5
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,1,"16 HA + PK",2,,,,,,4,6,11,11,21,21,18,13,11,10,19,19,12,11,5,,,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,1,"17 HA + AV",,,,,,,1,1,2,4,1,1,2,2,5,2,1,,2,,2,1,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,2,"11 HA-PA",59,43,21,17,24,161,401,622,526,598,679,827,966,918,1108,1593,1415,1042,919,805,666,371,191,86
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,2,"12 KAIP",1,2,,1,1,5,18,20,15,22,21,21,22,13,22,25,19,3,10,4,7,3,2,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,2,"13 Linja-autot",,,1,,1,1,1,1,2,1,1,1,4,2,3,4,5,2,3,2,,2,,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,2,"14 KAPP",,,,1,1,2,,4,5,6,5,2,3,2,2,1,,1,1,3,2,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,2,"15 KATP",1,,2,2,2,2,2,1,4,8,8,1,3,7,,2,5,1,3,2,,1,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,2,"16 HA + PK",1,,,,,3,7,9,4,12,19,22,20,17,18,21,22,24,15,11,7,4,6,
237,vt1_Kaarina_Kurkela_länsi,2020/07/07,2,"17 HA + AV",,,,,,,,1,3,3,1,3,3,3,1,4,1,1,3,3,,,1,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,1,"11 HA-PA",56,38,19,18,37,179,847,940,728,718,763,959,1009,975,934,1129,1172,966,800,622,483,400,237,112
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,1,"12 KAIP",4,,,1,2,7,17,17,21,16,26,14,19,23,18,14,12,6,5,6,8,,2,3
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,1,"13 Linja-autot",,1,,,1,,3,3,1,3,2,2,2,3,4,2,2,1,1,2,2,,2,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,1,"14 KAPP",1,,1,,,3,3,2,5,,2,2,6,5,4,3,,2,,,,,,3
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,1,"15 KATP",,3,1,1,,1,2,4,1,,2,5,1,8,7,4,,6,,1,5,1,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,1,"16 HA + PK",1,,,,,,5,13,6,21,15,21,15,17,16,13,14,17,6,5,4,4,2,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,1,"17 HA + AV",,,,,1,,2,1,1,1,2,2,1,4,2,2,2,2,2,,,1,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,2,"11 HA-PA",40,29,18,18,34,135,404,608,514,578,726,794,885,927,1130,1602,1461,1111,908,842,617,338,161,90
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,2,"12 KAIP",2,2,2,1,2,7,11,20,17,23,15,24,26,23,22,17,8,8,9,5,4,3,4,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,2,"13 Linja-autot",,,1,,1,2,3,2,3,2,,1,4,1,3,3,4,3,2,3,,2,,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,2,"14 KAPP",,1,2,,,,1,5,5,4,3,2,4,3,1,2,5,,1,1,2,,1,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,2,"15 KATP",1,,,,2,1,2,5,10,1,3,4,3,,4,3,5,4,1,3,3,1,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,2,"16 HA + PK",,1,,,,4,4,8,11,7,13,20,18,23,18,22,15,17,11,6,7,5,1,
237,vt1_Kaarina_Kurkela_länsi,2020/07/08,2,"17 HA + AV",,,,1,,,,6,2,1,2,1,6,2,3,3,3,,1,,1,,1,
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,1,"11 HA-PA",73,32,32,21,40,164,792,922,695,711,794,952,924,1006,963,1187,1168,991,875,688,479,380,230,138
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,1,"12 KAIP",4,,1,,2,4,14,19,23,16,27,15,27,20,13,17,12,7,8,6,3,4,3,3
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,1,"13 Linja-autot",,1,,1,,,4,4,1,1,1,4,4,3,5,1,2,1,2,1,2,,2,
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,1,"14 KAPP",,,,,1,,2,4,5,,3,2,6,2,3,5,3,2,3,2,1,1,,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,1,"15 KATP",2,1,,2,,1,2,1,2,4,,4,1,3,,3,5,6,3,4,1,,,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,1,"16 HA + PK",2,,,,,3,1,9,10,10,12,21,18,9,6,11,17,13,14,13,4,1,4,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,1,"17 HA + AV",,,,,,,1,2,1,3,2,2,4,2,2,1,1,2,,2,1,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,2,"11 HA-PA",58,42,28,24,34,140,384,586,524,575,761,856,941,921,1157,1634,1482,1180,962,762,641,342,178,108
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,2,"12 KAIP",,2,3,1,2,1,7,25,22,16,20,24,22,28,23,18,12,8,7,9,5,3,1,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,2,"13 Linja-autot",,,1,,2,1,2,3,1,1,,1,5,1,2,3,3,2,3,2,2,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,2,"14 KAPP",,1,,1,1,,3,1,9,3,4,7,4,2,6,5,,1,,4,3,3,1,2
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,2,"15 KATP",1,,1,2,1,,4,4,6,4,5,5,8,4,1,5,2,5,4,3,3,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,2,"16 HA + PK",,1,,,1,2,2,14,8,11,19,23,19,18,14,22,23,16,9,15,9,1,3,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/09,2,"17 HA + AV",,,,,,,1,1,3,2,1,,1,2,2,5,,2,,2,1,,,
237,vt1_Kaarina_Kurkela_länsi,2020/07/10,1,"11 HA-PA",68,31,23,34,36,177,775,903,652,683,823,953,1050,1021,1048,1131,1172,1086,915,779,585,416,286,167
237,vt1_Kaarina_Kurkela_länsi,2020/07/10,1,"12 KAIP",3,,,2,1,13,19,15,18,21,25,20,21,16,9,10,6,11,7,3,3,1,4,4
237,vt1_Kaarina_Kurkela_länsi,2020/07/10,1,"13 Linja-autot",,1,,,,,4,3,1,1,,3,4,3,5,3,2,1,2,2,2,1,1,
237,vt1_Kaarina_Kurkela_länsi,2020/07/10,1,"14 KAPP",,,,,,,4,1,4,2,4,7,1,1,4,8,4,1,1,,1,1,,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/10,1,"15 KATP",2,,1,1,,1,,8,1,4,3,6,2,,4,,1,1,1,2,,,,1
237,vt1_Kaarina_Kurkela_länsi,2020/07/10,1,"16 HA + PK",2,,,,1,2,5,4,9,11,14,15,20,11,12,15,17,16,18,7,11,9,1,3
237,vt1_Kaarina_Kurkela_länsi,2020/07/10,1,"17 HA + AV",,,,,,,,4,,,2,2,1,3,1,2,2,,2,1,,,2,1
