"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
249,vt8_Ihala,2020/07/01,1,"11 HA-PA",41,23,25,10,54,120,329,589,511,525,626,687,804,853,969,1377,1193,958,749,598,473,252,187,106
249,vt8_Ihala,2020/07/01,1,"12 KAIP",1,1,,1,1,7,12,29,45,30,24,22,36,33,22,25,16,8,6,11,7,6,5,5
249,vt8_Ihala,2020/07/01,1,"13 Linja-autot",2,,,,1,5,3,5,7,6,3,8,5,7,8,4,8,7,7,11,7,6,6,1
249,vt8_Ihala,2020/07/01,1,"14 KAPP",1,2,,1,1,3,7,25,18,22,17,11,16,18,6,8,10,10,5,11,15,7,7,2
249,vt8_Ihala,2020/07/01,1,"15 KATP",1,1,1,3,3,8,11,53,39,35,31,23,20,18,21,18,17,20,11,24,40,16,8,7
249,vt8_Ihala,2020/07/01,1,"16 HA + PK",,,,1,2,,4,15,11,7,12,13,20,22,23,24,20,27,16,12,9,3,,1
249,vt8_Ihala,2020/07/01,1,"17 HA + AV",,1,1,,2,2,3,2,2,5,1,4,3,5,3,6,4,6,2,1,3,1,1,
249,vt8_Ihala,2020/07/01,2,"11 HA-PA",75,32,19,24,47,206,760,849,651,536,638,668,752,721,801,945,1021,835,690,593,437,350,241,107
249,vt8_Ihala,2020/07/01,2,"12 KAIP",1,4,1,3,1,6,18,30,39,27,37,26,26,30,37,21,15,11,8,6,4,4,5,2
249,vt8_Ihala,2020/07/01,2,"13 Linja-autot",,,,,,,2,4,2,5,4,3,8,1,3,4,5,2,1,,2,2,,
249,vt8_Ihala,2020/07/01,2,"14 KAPP",2,,1,2,,4,12,11,12,12,14,15,13,17,21,11,20,23,13,17,7,6,3,3
249,vt8_Ihala,2020/07/01,2,"15 KATP",7,3,2,6,7,8,20,14,16,20,20,19,22,20,17,19,22,29,21,19,6,10,4,8
249,vt8_Ihala,2020/07/01,2,"16 HA + PK",,,,,1,2,9,8,3,7,12,18,12,13,11,11,15,11,7,12,6,2,1,3
249,vt8_Ihala,2020/07/01,2,"17 HA + AV",1,1,,,,1,3,,1,3,2,1,3,3,2,,1,,2,1,1,,,1
249,vt8_Ihala,2020/07/02,1,"11 HA-PA",88,51,29,22,51,112,349,562,507,471,631,714,796,890,940,1312,1174,928,702,627,455,248,172,96
249,vt8_Ihala,2020/07/02,1,"12 KAIP",1,,2,,1,9,6,18,35,29,22,16,28,28,35,31,16,12,11,7,5,6,4,3
249,vt8_Ihala,2020/07/02,1,"13 Linja-autot",2,,1,,1,3,5,6,4,5,4,8,4,5,5,4,5,3,7,7,6,5,4,3
249,vt8_Ihala,2020/07/02,1,"14 KAPP",4,3,,,3,1,2,23,21,11,13,9,14,10,9,13,8,8,8,17,27,6,6,3
