"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
438,vt12_Tre_Paasikiventie,2020/07/01,1,"11 HA-PA",88,75,42,35,70,379,1361,1665,1370,1268,1278,1530,1520,1498,1517,1828,1836,1637,1337,992,950,622,396,209
438,vt12_Tre_Paasikiventie,2020/07/01,1,"12 KAIP",2,1,2,1,5,12,40,27,67,41,41,36,43,44,34,23,18,5,7,15,12,7,3,2
438,vt12_Tre_Paasikiventie,2020/07/01,1,"13 Linja-autot",4,1,1,,2,9,7,18,17,14,15,14,12,17,13,15,17,19,14,13,13,14,12,9
438,vt12_Tre_Paasikiventie,2020/07/01,1,"14 KAPP",5,5,6,3,6,4,2,5,2,7,6,3,9,3,4,3,3,4,6,7,3,4,2,8
438,vt12_Tre_Paasikiventie,2020/07/01,1,"15 KATP",,2,3,1,1,2,3,3,4,1,4,,3,4,4,7,8,4,1,2,3,2,1,5
438,vt12_Tre_Paasikiventie,2020/07/01,1,"16 HA + PK",,2,,,,3,12,7,18,12,15,21,17,17,20,13,15,20,22,13,12,6,4,1
438,vt12_Tre_Paasikiventie,2020/07/01,1,"17 HA + AV",8,8,4,2,5,7,4,2,6,8,6,2,8,10,5,7,4,3,5,7,8,3,2,8
438,vt12_Tre_Paasikiventie,2020/07/01,2,"11 HA-PA",145,109,59,42,62,230,629,837,838,943,1082,1256,1429,1619,1884,2696,2253,1788,1527,1246,1094,774,517,274
438,vt12_Tre_Paasikiventie,2020/07/01,2,"12 KAIP",3,3,3,1,6,7,25,49,52,42,44,30,43,47,40,40,29,16,10,11,7,4,3,2
438,vt12_Tre_Paasikiventie,2020/07/01,2,"13 Linja-autot",2,1,,1,4,10,12,14,13,13,12,11,18,13,16,14,16,12,11,12,13,12,9,6
438,vt12_Tre_Paasikiventie,2020/07/01,2,"14 KAPP",3,5,7,2,8,8,2,3,2,2,2,2,3,10,6,5,1,2,6,9,9,3,,9
438,vt12_Tre_Paasikiventie,2020/07/01,2,"15 KATP",6,5,,2,2,7,4,6,4,3,3,2,6,5,9,9,4,3,2,,3,1,3,2
438,vt12_Tre_Paasikiventie,2020/07/01,2,"16 HA + PK",1,,1,1,,,1,10,6,15,16,13,15,14,16,25,26,20,29,15,15,12,7,4
438,vt12_Tre_Paasikiventie,2020/07/01,2,"17 HA + AV",6,4,2,1,5,2,,2,4,1,3,4,3,5,6,4,4,5,5,4,4,4,2,5
