"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
450,vt3_Myllypuro,2020/07/01,1,"11 HA-PA",49,26,24,16,23,135,310,394,400,385,456,488,510,580,737,1023,1079,765,578,418,356,245,175,88
450,vt3_Myllypuro,2020/07/01,1,"12 KAIP",3,4,1,1,5,9,14,33,38,23,33,33,37,30,24,28,19,21,15,9,4,1,3,3
450,vt3_Myllypuro,2020/07/01,1,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,,,1
450,vt3_Myllypuro,2020/07/01,1,"14 KAPP",3,,2,,1,4,1,10,10,12,12,9,13,16,14,15,5,16,9,21,10,5,4,1
450,vt3_Myllypuro,2020/07/01,1,"15 KATP",14,11,5,4,2,7,6,19,17,18,10,22,23,23,23,24,16,13,22,18,14,15,18,12
450,vt3_Myllypuro,2020/07/01,1,"16 HA + PK",1,1,,,,1,3,10,11,16,20,26,23,25,19,35,27,29,26,14,12,11,5,4
450,vt3_Myllypuro,2020/07/01,1,"17 HA + AV",,,,1,,,2,5,6,5,5,4,12,9,7,11,14,7,,7,2,,1,
450,vt3_Myllypuro,2020/07/01,2,"11 HA-PA",33,28,22,15,43,260,614,594,423,430,458,476,509,517,611,797,750,568,512,399,349,243,122,67
450,vt3_Myllypuro,2020/07/01,2,"12 KAIP",,1,,1,7,8,25,32,31,26,25,23,29,27,33,21,30,21,20,7,3,3,3,
450,vt3_Myllypuro,2020/07/01,2,"13 Linja-autot",,,,,,,,1,1,,,,,2,,,,,,,,,,
450,vt3_Myllypuro,2020/07/01,2,"14 KAPP",,,,,,3,7,3,6,10,15,14,21,20,10,16,19,13,13,8,7,3,,1
450,vt3_Myllypuro,2020/07/01,2,"15 KATP",10,5,7,4,2,7,15,17,29,16,24,17,24,24,22,27,29,19,16,19,19,9,12,13
450,vt3_Myllypuro,2020/07/01,2,"16 HA + PK",1,,,,1,1,5,10,15,21,26,23,25,22,22,28,22,26,22,14,12,4,1,3
450,vt3_Myllypuro,2020/07/01,2,"17 HA + AV",1,,,,,,4,3,4,7,8,10,4,8,7,8,9,5,2,3,4,3,2,
450,vt3_Myllypuro,2020/07/02,1,"11 HA-PA",53,40,38,17,25,134,295,378,405,422,498,552,563,614,745,1075,1027,823,632,492,384,277,130,71
450,vt3_Myllypuro,2020/07/02,1,"12 KAIP",1,2,,1,4,12,19,28,35,27,28,32,31,34,30,31,26,20,16,11,8,3,2,1
450,vt3_Myllypuro,2020/07/02,1,"13 Linja-autot",,,,,,,,,1,,,,,,,1,,,,,,,1,
450,vt3_Myllypuro,2020/07/02,1,"14 KAPP",7,1,,,,5,4,14,10,19,14,13,9,8,9,12,14,9,9,8,10,6,7,3
450,vt3_Myllypuro,2020/07/02,1,"15 KATP",17,10,6,3,4,4,7,15,14,22,25,20,17,22,27,21,20,20,22,16,17,16,26,10
450,vt3_Myllypuro,2020/07/02,1,"16 HA + PK",,1,1,,1,1,4,9,17,15,24,37,23,30,24,39,38,19,18,18,18,8,9,1
450,vt3_Myllypuro,2020/07/02,1,"17 HA + AV",1,,,,,,2,5,5,10,6,10,13,8,8,15,13,3,13,5,2,1,5,1
450,vt3_Myllypuro,2020/07/02,2,"11 HA-PA",51,29,31,24,53,254,570,584,434,413,425,472,518,535,641,791,777,651,594,446,371,254,132,95
450,vt3_Myllypuro,2020/07/02,2,"12 KAIP",,1,2,2,6,6,27,27,27,38,30,29,29,32,35,30,28,19,14,7,7,5,3,
450,vt3_Myllypuro,2020/07/02,2,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,1,1,
450,vt3_Myllypuro,2020/07/02,2,"14 KAPP",1,1,1,1,,3,3,8,14,14,13,16,16,11,15,12,21,17,12,6,10,3,3,3
450,vt3_Myllypuro,2020/07/02,2,"15 KATP",10,4,8,9,6,4,17,9,21,17,13,15,25,13,17,18,27,16,22,13,16,14,8,12
450,vt3_Myllypuro,2020/07/02,2,"16 HA + PK",,,,,1,1,10,10,14,14,23,24,22,28,21,31,23,28,22,19,13,7,4,2
