"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
453,Tampere_Mustalahti,2020/07/01,1,"11 HA-PA",24,20,16,9,7,58,186,297,326,328,388,421,430,409,380,390,392,372,326,235,178,146,78,60
453,Tampere_Mustalahti,2020/07/01,1,"12 KAIP",1,,,,2,3,7,6,11,5,10,1,6,7,11,4,5,1,2,1,2,3,1,
453,Tampere_Mustalahti,2020/07/01,1,"13 Linja-autot",2,1,1,,2,2,3,6,6,7,6,8,5,7,6,6,8,7,6,6,5,5,4,2
453,Tampere_Mustalahti,2020/07/01,1,"14 KAPP",,,,,,1,,,,,,,,,,1,,,,1,,,,1
453,Tampere_Mustalahti,2020/07/01,1,"15 KATP",,,,,,,,,,1,,,,,1,,2,,,,,,,
453,Tampere_Mustalahti,2020/07/01,1,"16 HA + PK",,,,,,,1,,2,4,1,,2,3,1,5,1,2,2,2,2,1,,
453,Tampere_Mustalahti,2020/07/01,1,"17 HA + AV",,,,,,,1,,,,2,,,1,1,,,1,1,,,,,
453,Tampere_Mustalahti,2020/07/01,2,"11 HA-PA",29,41,27,12,9,30,71,124,172,192,231,327,372,354,447,597,491,436,439,389,274,179,134,91
453,Tampere_Mustalahti,2020/07/01,2,"12 KAIP",,1,,,,1,5,7,5,5,4,4,7,9,9,4,8,3,1,1,2,1,1,
453,Tampere_Mustalahti,2020/07/01,2,"13 Linja-autot",2,1,,1,1,2,4,7,6,9,7,6,10,8,8,7,6,6,7,7,7,5,4,4
453,Tampere_Mustalahti,2020/07/01,2,"14 KAPP",,,,,,,,,,,,,,,,,,,,1,,,1,
453,Tampere_Mustalahti,2020/07/01,2,"15 KATP",,,,,,,,,,,,1,1,1,2,,2,1,2,1,1,1,1,
453,Tampere_Mustalahti,2020/07/01,2,"16 HA + PK",,,,,,,,3,4,4,2,2,3,3,2,4,8,2,3,3,1,1,1,
453,Tampere_Mustalahti,2020/07/01,2,"17 HA + AV",,,,,,,,,1,,,,,1,,,,,1,,,,1,
453,Tampere_Mustalahti,2020/07/02,1,"11 HA-PA",25,32,25,14,10,54,180,287,322,328,393,487,420,469,376,426,437,440,438,332,185,140,79,44
